Crops,2021,2022,2023,2024,2025
Coconut Matured,15.92,17.09,18.24,15.48,18.12
"Banana Lakatan, Green",37.64,35.41,44.68,51.82,60.85
Pineapple Hawaiian,39.78,42.97,47.34,47.34,58.71
Calamansi,36.76,45.58,45.75,36.41,42.71
Ampalaya,47.26,47.64,53.33,51.71,51.20
Cabbage,60.58,55.22,62.34,53.94,67.94
Onion Red Creole,90.41,83.91,116.37,64.55,110.55
Tomato,41.10,39.71,46.47,49.60,44.97
"Eggplant Long, Purple",39.00,38.78,42.94,40.09,48.06
Sweet Potato,25.21,28.47,33.10,34.19,33.95
White/Irish Potato,53.05,59.06,76.48,72.59,83.44
