Commodity,Year,SU Production,SU Imports,SU Gross Supply,UT Exports,UT Seeds,Wastes,Domestic Use
Abaca,1990,59418.00,0.00,59418.00,21160.00,.,.,38258.00
Abaca,1991,63991.00,0.00,63991.00,20830.00,.,.,43161.00
Abaca,1992,62684.00,0.00,62684.00,21030.00,.,.,41654.00
Abaca,1993,59517.00,0.00,59517.00,1730.00,.,.,57787.00
Abaca,1994,66410.00,0.00,66410.00,2132.00,.,.,64278.00
Abaca,1995,64833.00,0.00,64833.00,19970.00,.,.,44863.00
Abaca,1996,70431.00,0.00,70431.00,17254.00,.,.,53177.00
Abaca,1997,67110.00,3.00,67113.00,19537.00,.,.,47576.00
Abaca,1998,71217.00,b/,71217.00,24037.00,.,.,47180.00
Abaca,1999,73125.00,0.00,73125.00,20053.00,.,.,53072.00
Abaca,2000,77180.00,9676.00,86856.00,19652.00,.,.,67204.00
Abaca,2001,72861.00,490.00,73351.00,12775.00,.,.,60576.00
Abaca,2002,63028.00,68.00,63096.00,16965.00,.,.,46131.00
Abaca,2003,69765.00,56.00,69821.00,15731.00,.,.,54090.00
Abaca,2004,74465.00,198.00,74663.00,19999.00,.,.,54664.00
Abaca,2005,74014.00,0.00,74014.00,14372.00,.,.,59642.00
Abaca,2006,69802.00,38.80,69840.80,14170.00,.,.,55670.80
Abaca,2007,66437.00,164.00,66601.00,18674.00,.,.,47927.00
Abaca,2008,68386.00,9641.00,78027.00,13314.00,.,.,64713.00
Abaca,2009,65825.00,231.00,66056.00,6793.00,.,.,59263.00
Abaca,2010,66512.00,2987.00,69499.00,10803.00,.,.,58696.00
Abaca,2011,68613.00,434.00,69047.00,9198.00,.,.,59849.00
Abaca,2012,68510.00,103.00,68613.00,8202.00,.,.,60411.00
Abaca,2013,64952.00,725.00,65677.00,3271.00,.,.,62406.00
Abaca,2014,68052.00,1040.00,69092.00,13620.00,.,.,55472.00
Abaca,2015,70356.41,144.00,70500.41,48632.00,.,.,21868.41
Abaca,2016,71839.75,2299.00,74138.75,10673.00,.,.,63465.75
Abaca,2017,68841.00,5270.00,74111.00,18893.00,.,.,55218.00
Abaca,2018,71515.96,3036.38,74552.34,19215.00,.,.,55337.34
Abaca,2019,72208.60,5565.66,77774.27,11798.00,.,.,65976.27
Abaca,2020,70952.44,5821.00,76773.44,13813.50,.,.,62959.94
Abaca,2021,62404.06,8030.00,70434.06,15240.16,.,.,55193.90
Abaca,2022,67822.17,3880.00,71702.17,11173.83,.,.,60528.34
Cotton,1990,12520.00,51080.00,63600.00,270.00,500.80,.,62829.20
Cotton,1991,15552.00,55600.00,71152.00,210.00,622.08,.,70319.92
Cotton,1992,37892.00,60310.00,98202.00,20.00,1515.68,.,96666.32
Cotton,1993,19214.00,57680.00,76894.00,404.00,768.56,.,75721.44
Cotton,1994,7203.00,76590.00,83793.00,343.00,288.12,.,83161.88
Cotton,1995,8093.00,57530.00,65623.00,324.00,323.72,.,64975.28
Cotton,1996,6507.00,77781.00,84288.00,272.00,260.28,.,83755.72
Cotton,1997,4119.00,68750.00,72869.00,27.00,164.76,.,72677.24
Cotton,1998,3380.00,42317.00,45697.00,22.00,135.20,.,45539.80
Cotton,1999,3151.00,53496.00,56647.00,0.00,126.04,.,56520.96
Cotton,2000,1114.00,51952.00,53066.00,0.00,44.56,.,53021.44
Cotton,2001,2489.00,46100.00,48589.00,68.00,99.56,.,48421.44
Cotton,2002,4541.00,45537.00,50078.00,753.00,181.64,.,49143.36
Cotton,2003,2231.00,31952.00,34183.00,689.00,89.24,.,33404.76
Cotton,2004,4297.00,33550.00,37847.00,1467.00,171.88,.,36208.12
Cotton,2005,5157.00,33168.00,38325.00,530.00,206.28,.,37588.72
Cotton,2006,2640.00,25518.00,28158.00,823.70,105.60,.,27228.70
Cotton,2007,1360.00,16968.00,18328.00,3059.00,54.40,.,15214.60
Cotton,2008,738.00,12572.00,13310.00,353.00,29.52,.,12927.48
Cotton,2009,127.00,16924.00,17051.00,131.00,5.08,.,16914.92
Cotton,2010,35.00,17106.00,17141.00,299.00,1.40,.,16840.60
Cotton,2011,51.00,12213.90,12264.90,520.10,2.04,.,11742.77
Cotton,2012,77.00,6155.30,6232.30,521.00,3.08,.,5708.22
Cotton,2013,55.00,11900.00,11955.00,103.00,2.20,.,11849.80
Cotton,2014,11.00,13199.00,13210.00,100.00,b/,.,13110.00
Cotton,2015,5.84,14098.00,14103.84,494.00,b/,.,13609.84
Cotton,2016,4.69,10242.00,10246.69,411.00,b/,.,9835.69
Cotton,2017,9.59,15396.11,15405.71,209.90,b/,.,15195.81
Cotton,2018,27.24,17604.51,17631.75,243.26,1.09,.,17387.40
Cotton,2019,23.09,17130.55,17153.64,603.62,0.92,.,16549.10
Cotton,2020,40.85,10103.67,10144.52,606.93,1.63,.,9535.96
Cotton,2021,27.46,11763.71,11791.17,1936.30,1.10,.,9853.77
Cotton,2022,33.28,10090.97,10124.25,1691.46,1.33,.,8431.47
Rubber (natural),1990,46348.00,17470.00,63818.00,36880.00,.,.,26938.00
Rubber (natural),1991,45176.25,10230.00,55406.25,24200.00,.,.,31206.25
Rubber (natural),1992,43129.50,19750.00,62879.50,18570.00,.,.,44309.50
Rubber (natural),1993,43665.00,20500.00,64165.00,25170.00,.,.,38995.00
Rubber (natural),1994,44707.25,24242.00,68949.25,22510.00,.,.,46439.25
Rubber (natural),1995,45404.75,22024.00,67428.75,20882.00,.,.,46546.75
Rubber (natural),1996,48174.25,21381.00,69555.25,34488.00,.,.,35067.25
Rubber (natural),1997,55327.25,23282.00,78609.25,33520.00,.,.,45089.25
Rubber (natural),1998,55687.50,43688.00,99375.50,30124.00,.,.,69251.50
Rubber (natural),1999,53639.75,58911.00,112550.75,33000.00,.,.,79550.75
Rubber (natural),2000,54077.25,621.00,54698.25,29806.00,.,.,24892.25
Rubber (natural),2001,66010.50,1362.00,67372.50,38238.00,.,.,29134.50
Rubber (natural),2002,66928.00,625.00,67553.00,44559.00,.,.,22994.00
Rubber (natural),2003,68494.75,1670.00,70164.75,55241.00,.,.,14923.75
Rubber (natural),2004,77823.50,1014.00,78837.50,44835.00,.,.,34002.50
Rubber (natural),2005,78909.00,348.00,79257.00,42439.00,.,.,36818.00
Rubber (natural),2006,87891.50,3919.00,91810.50,33915.00,.,.,57895.50
Rubber (natural),2007,101018.00,48441.00,149459.00,31474.00,.,.,117985.00
Rubber (natural),2008,102761.00,47708.00,150469.00,26866.00,.,.,123603.00
Rubber (natural),2009,97740.50,29001.00,126741.50,12126.00,.,.,114615.50
Rubber (natural),2010,98884.25,14138.00,113022.25,13101.00,.,.,99921.25
Rubber (natural),2011,106426.25,15576.00,122002.25,22904.00,.,.,99098.25
Rubber (natural),2012,110749.50,17202.00,127951.50,24985.00,.,.,102966.50
Rubber (natural),2013,111204.50,17503.00,128707.50,69589.00,.,.,59118.50
Rubber (natural),2014,113263.00,13679.00,126942.00,85410.00,.,.,41532.00
Rubber (natural),2015,99534.16,41297.00,140831.16,82608.00,.,.,58223.16
Rubber (natural),2016,90656.49,54902.00,145558.49,66965.00,.,.,78593.49
Rubber (natural),2017,101746.11,45614.51,147360.62,132732.20,.,.,14628.42
Rubber (natural),2018,211685.45,49783.93,261469.38,118109.73,.,.,143359.65
Rubber (natural),2019,215837.38,56134.79,271972.17,124272.03,.,.,147700.14
Rubber (natural),2020,211203.55,39727.05,250930.60,158328.80,.,.,92601.80
Rubber (natural),2021,215317.87,58432.50,273750.37,202362.85,.,.,71387.52
Rubber (natural),2022,207874.83,60637.44,268512.26,190917.38,.,.,77594.89
Tobacco,1990,81722.00,11950.00,93672.00,12100.00,.,8172.20,73399.80
Tobacco,1991,85182.00,19490.00,104672.00,24200.00,.,8518.20,71953.80
Tobacco,1992,117899.00,21800.00,139699.00,18210.00,.,11789.90,109699.10
Tobacco,1993,104786.00,13540.00,118326.00,17210.00,.,10478.60,90637.40
Tobacco,1994,56900.00,26640.00,83540.00,11930.00,.,5690.00,65920.00
Tobacco,1995,63706.00,26110.00,89816.00,19146.00,.,6370.60,64299.40
Tobacco,1996,64861.00,14557.00,79418.00,18176.00,.,6486.10,54755.90
Tobacco,1997,65292.00,23859.00,89151.00,18171.00,.,6529.20,64450.80
Tobacco,1998,61952.00,18712.00,80664.00,13191.00,.,6195.20,61277.80
Tobacco,1999,51693.00,28916.00,80609.00,17638.00,.,5169.30,57801.70
Tobacco,2000,49529.00,28036.00,77565.00,9712.00,.,4952.90,62900.10
Tobacco,2001,48173.00,17722.00,65895.00,9733.00,.,4817.30,51344.70
Tobacco,2002,50174.00,24042.00,74216.00,11731.00,.,5017.40,57467.60
Tobacco,2003,52903.00,29916.00,82819.00,12252.00,.,5290.30,65276.70
Tobacco,2004,48308.00,57995.00,106303.00,12437.00,.,4830.80,89035.20
Tobacco,2005,45093.00,71630.00,116723.00,14403.00,.,4509.30,97810.70
Tobacco,2006,38368.00,60323.00,98691.00,17448.00,.,3836.80,77406.20
Tobacco,2007,34288.63,23513.00,57801.63,17172.00,.,3428.86,37200.76
Tobacco,2008,32466.34,56416.00,88882.34,23632.00,.,3246.63,62003.70
Tobacco,2009,36383.00,42865.00,79248.00,25763.00,.,3638.30,49846.70
Tobacco,2010,40530.00,32844.00,73374.00,27901.00,.,4053.00,41420.00
Tobacco,2011,44944.00,42853.00,87797.00,28139.00,.,4494.40,55163.60
Tobacco,2012,48075.00,43047.00,91122.00,10930.00,.,4807.50,75384.50
Tobacco,2013,53753.00,45283.00,99036.00,26845.00,.,5375.30,66815.70
Tobacco,2014,61418.00,28268.00,89686.00,31867.00,.,6141.80,51677.20
Tobacco,2015,56193.50,47715.00,103908.50,25000.00,.,5619.35,73289.15
Tobacco,2016,56456.73,40705.00,97161.73,23908.00,.,5645.67,67608.05
Tobacco,2017,51024.20,40276.20,91300.39,34439.02,.,5102.42,51758.96
Tobacco,2018,50381.07,65363.34,115744.41,37088.56,.,5038.11,73617.74
Tobacco,2019,51060.79,53133.79,104194.58,40425.55,.,5106.08,58662.95
Tobacco,2020,52434.82,46503.74,98938.56,32420.55,.,5243.48,61274.53
Tobacco,2021,50930.66,44667.82,95598.48,40755.83,.,5093.07,49749.59
Tobacco,2022,47730.39,54461.23,102191.62,39442.03,.,4773.04,57976.55
