Type of Valuation,Subsector,2000 Q1,2000 Q2,2000 Q3,2000 Q4,2000 January to June,2000 January to September,2000 January to December,2001 Q1,2001 Q2,2001 Q3,2001 Q4,2001 January to June,2001 January to September,2001 January to December,2002 Q1,2002 Q2,2002 Q3,2002 Q4,2002 January to June,2002 January to September,2002 January to December,2003 Q1,2003 Q2,2003 Q3,2003 Q4,2003 January to June,2003 January to September,2003 January to December,2004 Q1,2004 Q2,2004 Q3,2004 Q4,2004 January to June,2004 January to September,2004 January to December,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2005 January to June,2005 January to September,2005 January to December,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2006 January to June,2006 January to September,2006 January to December,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2007 January to June,2007 January to September,2007 January to December,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2008 January to June,2008 January to September,2008 January to December,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2009 January to June,2009 January to September,2009 January to December,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2010 January to June,2010 January to September,2010 January to December,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2011 January to June,2011 January to September,2011 January to December,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2012 January to June,2012 January to September,2012 January to December,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2013 January to June,2013 January to September,2013 January to December,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2014 January to June,2014 January to September,2014 January to December,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2015 January to June,2015 January to September,2015 January to December,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2016 January to June,2016 January to September,2016 January to December,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2017 January to June,2017 January to September,2017 January to December,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2018 January to June,2018 January to September,2018 January to December,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2019 January to June,2019 January to September,2019 January to December,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2020 January to June,2020 January to September,2020 January to December,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2021 January to June,2021 January to September,2021 January to December,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2022 January to June,2022 January to September,2022 January to December,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2023 January to June,2023 January to September,2023 January to December,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2024 January to June,2024 January to September,2024 January to December,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2025 January to June,2025 January to September,2025 January to December,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2026 January to June,2026 January to September,2026 January to December
Current Prices,CROP,71109.11,70233.45,59025.91,78523.27,141342.56,200368.47,278891.74,68131.16,71134.81,57594.72,82517.00,139265.97,196860.69,279377.70,78790.41,72210.95,59344.47,92686.84,151001.36,210345.83,303032.68,83845.16,74682.87,65505.02,100499.19,158528.02,224033.05,324532.24,94937.77,88844.90,87008.86,112107.35,183782.67,270791.53,382898.88,99617.78,95296.59,88257.76,122888.63,194914.37,283172.12,406060.75,117556.21,108239.09,95962.17,130653.46,225795.30,321757.47,452410.93,122114.71,115775.80,109836.42,160419.11,237890.51,347726.93,508146.04,145856.63,169955.98,137045.96,174741.10,315812.61,452858.56,627599.66,161950.20,151787.97,130039.51,180384.64,313738.17,443777.68,624162.32,158569.92,147487.32,138677.10,216556.16,306057.24,444734.34,661290.50,208175.71,198284.88,157559.45,219518.66,406460.59,564020.04,783538.70,192788.95,192789.90,168133.83,223912.30,385578.84,553712.67,777624.97,189502.03,178135.60,171245.48,255435.65,367637.63,538883.12,794318.77,222776.40,216588.07,183023.40,284593.40,439364.47,622387.88,906981.28,217215.36,195607.30,168146.25,254921.05,412822.66,580968.91,835889.96,209136.33,199500.12,189484.39,258973.42,408636.45,598120.84,857094.26,229235.37,229167.25,199847.23,282138.88,458402.61,658249.84,940388.72,248254.87,239284.44,207002.08,283403.35,487539.32,694541.40,977944.75,258395.56,236979.39,213428.23,274954.37,495374.96,708803.19,983757.56,248973.26,262213.21,227222.95,324505.28,511186.46,738409.42,1062914.70,270681.26,265989.49,231342.14,308975.62,536670.75,768012.89,1076988.50,268885.77,265343.99,240990.17,333547.17,534229.76,775219.93,1108767.10,308537.77,288005.96,265243.56,368736.04,596543.73,861787.29,1230523.33,346863.70,305323.05,291302.77,375138.32,652186.76,943489.53,1318627.85,329529.06,313288.08,253402.66,333734.35,642817.14,896219.80,1229954.15,322037.75,.,.,.,.,.,.
Current Prices,..Palay,24136.21,22964.92,20917.33,35715.22,47101.13,68018.46,103733.68,22905.39,23215.39,19778.65,39190.57,46120.78,65899.43,105090.00,25749.15,24016.47,18793.40,46795.12,49765.62,68559.03,115354.15,26207.01,21760.43,22090.81,47706.95,47967.44,70058.25,117765.20,30325.60,25616.64,28659.35,51023.59,55942.24,84601.59,135625.17,33728.67,29595.56,28390.72,58595.37,63324.23,91714.95,150310.32,37855.41,32717.59,30392.68,58311.78,70573.00,100965.68,159277.45,39377.50,35078.35,36022.19,71440.50,74455.85,110478.04,181918.54,47235.54,58445.69,46591.10,81786.11,105681.23,152272.33,234058.45,59682.56,53666.45,46855.17,77608.11,113349.00,160204.18,237812.29,53992.39,47114.58,39338.84,91748.08,101106.98,140445.81,232193.89,60344.64,55387.29,45710.58,92915.77,115731.93,161442.51,254358.28,64873.22,64761.65,57500.86,104962.36,129634.87,187135.73,292098.09,66065.80,62914.45,58969.77,126669.27,128980.25,187950.02,314619.29,83136.55,85293.90,62088.81,147672.04,168430.45,230519.26,378191.31,76174.39,68821.87,45283.63,121701.15,144996.26,190279.89,311981.04,67621.17,63743.47,54827.09,118376.81,131364.65,186191.74,304568.54,79199.29,75789.42,63070.22,132093.14,154988.71,218058.92,350152.06,91375.55,82788.94,70056.02,140788.00,174164.49,244220.51,385008.51,83242.90,69050.12,49393.15,112759.41,152293.02,201686.17,314445.58,69106.40,76550.58,59930.26,113168.97,145656.98,205587.24,318756.20,77593.44,71232.08,63496.26,120447.19,148825.52,212321.79,332768.98,79154.08,72914.33,66339.19,126315.45,152068.41,218407.60,344723.04,86795.67,80806.95,77871.11,157806.70,167602.62,245473.74,403280.43,116844.90,95556.28,78568.61,148382.50,212401.18,290969.79,439352.29,93598.59,76971.96,61138.22,115744.25,170570.55,231708.77,347453.02,97605.22,.,.,.,.,.,.
Current Prices,..Corn,7506.31,6579.31,9336.24,6202.14,14085.62,23421.86,29624.00,7606.23,6238.47,10422.83,6047.55,13844.70,24267.54,30315.09,7399.87,5686.03,10133.68,5688.27,13085.89,23219.57,28907.84,8796.58,4667.07,9630.36,8147.20,13463.65,23094.01,31241.20,13548.86,7572.95,16555.07,9597.16,21121.81,37676.88,47274.04,10054.34,6289.13,16047.09,7918.05,16343.47,32390.56,40308.61,14732.50,10154.70,19133.47,11018.88,24887.21,44020.68,55039.56,17223.52,11161.76,23705.51,13793.53,28385.27,52090.78,65884.31,21504.01,14744.26,23644.66,15956.38,36248.27,59892.93,75849.31,26041.86,14330.01,20610.86,14736.21,40371.88,60982.74,75718.95,18609.84,9258.27,24059.60,18422.10,27868.11,51927.71,70349.81,24615.37,17275.59,25325.24,20472.30,41890.96,67216.20,87688.50,26650.38,17933.72,30125.78,19391.71,44584.10,74709.88,94101.58,27863.57,13451.99,31183.52,17684.37,41315.56,72499.09,90183.46,28458.29,16390.26,32601.15,23145.09,44848.55,77449.70,100594.79,29668.42,13096.43,29858.12,19857.43,42764.85,72622.96,92480.39,24141.67,11486.78,32268.32,17399.87,35628.45,67896.77,85296.64,26958.69,15262.34,30136.06,21900.16,42221.03,72357.09,94257.25,34300.09,18405.22,31440.59,25015.85,52705.30,84145.89,109161.74,33691.49,16455.95,36854.74,19351.36,50147.43,87002.18,106353.54,28607.31,17100.03,35402.20,19514.22,45707.34,81109.53,100623.76,31170.09,19201.10,34967.55,32609.54,50371.19,85338.74,117948.28,39608.14,25764.67,42059.42,36008.51,65372.82,107432.24,143440.75,49938.52,27454.07,46878.81,35817.80,77392.59,124271.40,160089.21,45136.22,21329.82,37034.30,26478.44,66466.04,103500.34,129978.78,34503.09,22347.12,37913.83,34251.70,56850.21,94764.03,129015.73,41871.83,.,.,.,.,.,.
Current Prices,..Banana,4883.56,5919.37,4740.90,5212.98,10802.93,15543.84,20756.81,5191.83,6237.74,5941.52,6002.95,11429.57,17371.09,23374.04,6160.56,6736.96,6453.86,6799.61,12897.52,19351.39,26151.00,6991.59,7945.28,7138.43,7345.62,14936.87,22075.30,29420.92,7866.01,9176.13,8744.22,9620.50,17042.14,25786.36,35406.86,9100.48,11252.82,10968.55,12187.07,20353.30,31321.85,43508.93,10719.00,13062.12,11509.82,12392.53,23781.12,35290.94,47683.47,11714.57,15704.04,13854.11,16718.78,27418.61,41272.72,57991.50,15449.50,21426.02,18565.16,19578.33,36875.52,55440.68,75019.01,19271.83,24070.92,21899.11,23381.94,43342.75,65241.86,88623.80,23705.49,29039.17,26988.81,25414.52,52744.66,79733.47,105148.00,24876.10,29041.95,24297.97,23929.67,53918.04,78216.02,102145.68,24209.61,29640.52,27265.24,26140.76,53850.14,81115.38,107256.14,26478.56,30345.41,29151.32,30826.30,56823.97,85975.28,116801.59,30449.17,33270.38,31459.23,35033.15,63719.55,95178.77,130211.92,31375.13,34960.61,35207.74,34294.51,66335.74,101543.48,135837.98,32142.70,37602.19,40540.57,36732.32,69744.89,110285.46,147017.78,32925.23,36872.30,37991.50,39421.37,69797.53,107789.03,147210.40,36169.66,39908.00,40558.02,41660.82,76077.66,116635.68,158296.50,47089.59,51220.51,54924.68,54159.13,98310.10,153234.78,207393.91,49186.55,59068.65,62656.26,64100.67,108255.20,170911.46,235012.13,53939.88,55470.04,54782.56,53624.81,109409.92,164192.48,217817.30,40356.37,43978.32,43874.97,43909.57,84334.69,128209.66,172119.23,39617.90,46712.11,49437.95,44800.51,86330.01,135767.95,180568.46,45775.62,52555.59,53960.18,45502.21,98331.21,152291.39,197793.59,41361.03,44609.94,39566.07,40197.64,85970.97,125537.04,165734.68,36765.62,.,.,.,.,.,.
Current Prices,..Coconut,7514.47,6984.49,4398.50,6862.31,14498.96,18897.46,25759.77,4072.70,5089.15,5109.59,7711.08,9161.85,14271.45,21982.53,7443.18,7283.80,8110.29,9995.14,14726.98,22837.26,32832.40,9057.36,8864.62,9086.92,10864.89,17921.99,27008.90,37873.79,11181.98,12216.17,13421.81,14594.97,23398.15,36819.97,51414.94,12298.07,13298.87,14013.01,13220.62,25596.93,39609.94,52830.57,11332.18,11053.20,13659.40,14279.11,22385.37,36044.77,50323.88,13001.54,13566.07,15268.52,17897.97,26567.61,41836.13,59734.10,17094.17,20610.66,23367.67,19137.15,37704.83,61072.50,80209.65,15898.72,15422.23,16537.39,17044.17,31320.95,47858.34,64902.51,15725.00,17329.53,21791.97,28762.36,33054.53,54846.50,83608.86,30413.42,31777.04,29497.33,29266.71,62190.46,91687.79,120954.50,24113.10,22064.15,21902.52,20828.66,46177.26,68079.78,88908.44,17209.24,18017.57,21755.05,25363.41,35226.80,56981.86,82345.26,25152.03,25142.73,26221.19,28417.74,50294.77,76515.95,104933.70,21766.75,22716.48,25593.82,26016.74,44483.24,70077.06,96093.80,22521.85,24602.72,30735.39,30794.16,47124.56,77859.95,108654.11,27246.25,28138.20,32862.16,32453.96,55384.44,88246.61,120700.57,24638.64,22094.59,23828.76,21206.39,46733.23,70561.99,91768.38,23442.78,23842.47,28086.99,28067.84,47285.25,75372.24,103440.08,23033.01,24085.52,28695.98,34017.27,47118.53,75814.51,109831.77,27033.69,27897.47,33072.76,35667.90,54931.17,88003.93,123671.83,29420.04,31791.66,35331.47,36527.67,61211.70,96543.17,133070.84,26469.64,28197.30,33534.88,34956.88,54666.95,88201.82,123158.71,31427.46,30347.82,53511.54,50640.48,61775.29,115286.83,165927.31,38354.96,49268.46,50673.87,49271.50,87623.42,138297.29,187568.79,38704.64,.,.,.,.,.,.
Current Prices,..Mango,4787.92,9487.92,694.08,693.58,14275.84,14969.92,15663.50,4464.41,8494.37,850.19,620.47,12958.78,13808.98,14429.45,5540.05,7959.32,969.10,1017.91,13499.37,14468.47,15486.39,4735.55,8740.95,1068.27,915.19,13476.50,14544.77,15459.96,4820.64,9166.51,1106.18,1135.34,13987.15,15093.33,16228.67,4721.84,9771.96,1138.48,1168.16,14493.81,15632.29,16800.46,4591.68,11975.72,1208.30,934.25,16567.40,17775.70,18709.95,3624.80,11012.45,1556.01,1194.86,14637.26,16193.27,17388.13,4680.21,12570.69,1563.22,1068.08,17250.90,18814.12,19882.20,4327.06,11296.64,1532.49,982.84,15623.70,17156.19,18139.03,3990.19,11317.30,1601.61,1000.45,15307.48,16909.09,17909.54,4771.24,11507.06,1415.79,903.98,16278.30,17694.09,18598.06,4136.26,13072.32,1408.08,925.71,17208.58,18616.66,19542.37,3893.48,12735.62,1554.25,1012.85,16629.10,18183.36,19196.21,4069.17,12384.13,1808.93,1095.38,16453.31,18262.24,19357.62,4547.55,13115.67,1700.45,1023.85,17663.22,19363.67,20387.52,4396.90,15640.85,1988.04,1181.04,20037.75,22025.79,23206.83,4540.77,20714.63,2490.19,1192.26,25255.39,27745.58,28937.84,5737.68,18044.68,2287.56,963.04,23782.36,26069.91,27032.95,4034.58,17835.96,3126.42,1580.22,21870.54,24996.95,26577.18,4329.96,20721.62,2673.08,1519.26,25051.58,27724.66,29243.92,5344.08,22817.94,2536.48,1321.82,28162.02,30698.50,32020.32,4206.34,22770.61,2909.64,1535.29,26976.96,29886.59,31421.89,5137.25,26409.96,3615.27,1755.27,31547.21,35162.48,36917.75,5091.24,19468.21,2815.41,1649.12,24559.44,27374.86,29023.98,5575.78,28316.51,3087.26,1451.08,33892.29,36979.56,38430.64,5171.31,.,.,.,.,.,.
Current Prices,..Sugarcane,7078.95,2989.39,622.98,6006.31,10068.34,10691.32,16697.63,9117.40,2316.08,821.07,7203.29,11433.48,12254.56,19457.84,10557.71,3435.19,479.56,7552.70,13992.90,14472.47,22025.16,11694.82,3952.16,397.23,7527.83,15646.98,16044.21,23572.03,10606.16,4948.34,296.14,6364.58,15554.51,15850.65,22215.23,10458.26,4198.47,266.15,7805.27,14656.73,14922.88,22728.14,16340.40,6043.76,532.29,10233.47,22384.16,22916.44,33149.91,14794.40,3984.96,508.53,9565.68,18779.36,19287.89,28853.57,15628.95,8991.91,779.85,7993.88,24620.85,25400.70,33394.58,13013.22,3479.74,643.78,11733.86,16492.96,17136.74,28870.60,17035.61,2124.66,194.63,15315.88,19160.26,19354.89,34670.76,30544.57,12750.28,829.05,12126.75,43294.85,44123.90,56250.65,18211.50,7138.87,1666.28,15430.67,25350.38,27016.65,42447.32,17743.87,4855.01,1800.53,15566.20,22598.88,24399.41,39965.61,17974.44,5832.07,2572.59,14524.30,23806.51,26379.11,40903.41,20969.14,5525.66,1337.42,15171.26,26494.79,27832.22,43003.47,24897.37,7282.70,603.32,11770.99,32180.07,32783.39,44554.38,20176.61,11867.79,1073.61,10973.23,32044.40,33118.02,44091.25,14537.05,11170.19,1757.85,13298.29,25707.24,27465.10,40763.39,22369.18,5209.64,410.73,10868.07,27578.82,27989.55,38857.62,21555.32,9298.92,637.27,11394.05,30854.25,31491.52,42885.57,19277.39,12029.92,1692.98,12747.83,31307.30,33000.29,45748.12,21388.09,7684.22,5555.32,28974.05,29072.31,34627.63,63601.68,30266.63,9730.95,3848.71,26008.00,39997.58,43846.29,69854.29,30825.31,4453.41,206.60,22281.84,35278.72,35485.32,57767.16,32834.03,18471.82,445.84,14286.69,51305.86,51751.70,66038.38,24214.67,.,.,.,.,.,.
Current Prices,..Pineapple,2146.44,2101.60,2210.09,2092.32,4248.04,6458.13,8550.45,1971.15,2344.75,2529.87,2123.66,4315.90,6845.77,8969.44,2266.93,2282.38,2384.98,1998.28,4549.31,6934.29,8932.57,2536.30,2849.73,3576.95,2387.20,5386.03,8962.98,11350.18,2282.69,2939.44,2883.54,2174.63,5222.14,8105.68,10280.30,2602.51,3172.44,3342.84,2376.19,5774.95,9117.79,11493.99,2245.53,2425.12,2531.73,2054.13,4670.65,7202.38,9256.51,2429.92,2655.01,3134.36,2770.91,5084.93,8219.28,10990.19,2594.97,3300.35,3381.56,3385.84,5895.31,9276.87,12662.71,2955.01,3356.35,3463.83,3282.44,6311.35,9775.18,13057.62,2761.07,3550.60,3406.02,3489.37,6311.67,9717.69,13207.06,3317.61,4567.88,4206.95,3809.93,7885.49,12092.44,15902.37,3517.32,4641.10,4698.15,4369.91,8158.42,12856.57,17226.49,3631.74,4674.58,4235.06,4496.61,8306.32,12541.38,17037.99,4193.47,5008.15,4416.70,4593.56,9201.62,13618.32,18211.88,5009.67,6079.95,6106.58,6488.09,11089.62,17196.20,23684.29,5084.21,6668.40,6199.16,5961.38,11752.61,17951.77,23913.15,5399.60,7648.64,7495.79,8239.82,13048.24,20544.03,28783.85,6503.59,9485.75,8335.66,6187.11,15989.34,24325.01,30512.12,8324.35,10148.61,9217.08,10989.24,18472.96,27690.04,38679.28,9436.47,9464.77,8183.61,31409.23,18901.24,27084.85,58494.08,10162.30,10572.78,9617.42,9751.23,20735.08,30352.50,40103.73,10264.52,10719.86,11396.89,12555.77,20984.38,32381.27,44937.04,9819.92,12860.61,13399.41,14805.55,22680.53,36079.94,50885.49,14549.97,23384.93,18739.89,19733.49,37934.90,56674.79,76408.29,19238.90,13729.07,16331.65,16767.42,32967.96,49299.61,66067.03,12249.36,.,.,.,.,.,.
Current Prices,..Cassava,988.49,1667.70,1361.18,2280.85,2656.19,4017.37,6298.22,974.55,1519.32,1190.66,1810.64,2493.87,3684.53,5495.16,829.04,1453.94,1208.43,1699.62,2282.97,3491.40,5191.02,1007.97,1778.52,1713.29,2175.98,2786.50,4499.79,6675.77,1127.14,2084.40,1879.37,1484.14,3211.54,5090.91,6575.05,1284.38,1844.53,1463.88,1776.01,3128.91,4592.79,6368.80,1384.64,2654.82,2182.90,2922.91,4039.46,6222.36,9145.27,1607.97,2839.90,1959.47,2441.67,4447.87,6407.34,8849.01,1587.21,3083.58,2370.43,3546.86,4670.78,7041.22,10588.07,2110.85,3355.52,2587.65,3833.82,5466.36,8054.02,11887.84,2277.31,3265.55,2663.43,3839.14,5542.85,8206.29,12045.42,2410.58,3658.73,3364.05,4716.23,6069.32,9433.36,14149.59,2626.42,3560.94,3853.51,5662.83,6187.36,10040.87,15703.70,2842.86,4071.66,4690.26,6463.25,6914.52,11604.78,18068.02,2930.74,4165.68,3573.08,5992.71,7096.42,10669.50,16662.21,2823.46,3943.38,3535.77,4426.12,6766.85,10302.62,14728.73,2961.30,4287.46,4012.34,6225.19,7248.76,11261.10,17486.29,2946.68,3746.34,5123.37,8087.57,6693.02,11816.40,19903.97,2709.80,4097.41,5168.63,5886.22,6807.21,11975.84,17862.05,3259.12,4752.06,6944.71,6529.45,8011.18,14955.90,21485.35,4086.97,6107.78,5259.76,9250.77,10194.75,15454.52,24705.29,3950.21,5446.45,5010.92,7467.39,9396.65,14407.58,21874.97,3439.87,5403.05,5440.99,8200.06,8842.93,14283.92,22483.98,4203.83,6387.01,6098.74,9331.63,10590.84,16689.58,26021.21,5114.38,7717.46,7915.25,12075.72,12831.84,20747.09,32822.81,4217.85,7370.23,7478.86,9647.92,11588.08,19066.94,28714.86,4516.69,.,.,.,.,.,.
Current Prices,..Rubber,355.20,693.29,417.92,387.70,1048.49,1466.41,1854.11,313.11,626.04,454.81,694.85,939.16,1393.97,2088.82,286.46,764.51,691.18,1382.32,1050.96,1742.15,3124.47,617.88,1201.69,985.03,1977.11,1819.57,2804.60,4781.72,843.38,2041.47,1451.00,3104.00,2885.00,4336.00,7440.19,922.53,2022.13,1771.14,3876.79,2944.66,4715.80,8592.59,1950.92,3360.82,2994.47,3992.60,5311.73,8306.20,12298.80,2400.27,3992.15,3086.77,5955.54,6392.42,9479.19,15434.73,2617.93,4903.05,4076.88,4036.00,7520.98,11597.86,15633.45,1521.51,2779.10,2720.83,6123.76,4300.61,7021.44,13145.20,3447.51,5920.59,5141.29,10393.27,9368.10,14509.39,24902.66,5314.83,8919.05,7321.49,9113.05,14233.88,21555.37,30668.42,3975.73,6310.03,4177.03,7145.18,10285.75,14462.78,21607.96,3129.74,4369.87,3694.63,6410.59,7499.61,11194.24,17604.82,2225.61,3265.96,2458.55,3464.67,5491.57,7950.12,11414.79,1033.61,2680.73,2001.70,2385.67,3714.33,5716.03,8101.71,642.41,2418.44,1924.35,3645.58,3060.85,4985.20,8630.78,1734.49,3068.90,2711.32,3697.37,4803.40,7514.72,11212.09,1216.36,2906.86,2687.57,3040.72,4123.22,6810.79,9851.50,1058.17,3217.80,2728.82,3613.73,4275.97,7004.78,10618.51,1045.80,2155.12,2195.53,4019.78,3200.92,5396.45,9416.23,1218.07,3361.69,2864.72,4226.48,4579.76,7444.48,11670.97,1388.39,3503.30,2848.62,3434.43,4891.69,7740.31,11174.74,1135.56,2833.25,2384.21,3338.49,3968.81,6353.02,9691.51,1230.26,3724.00,3074.08,5288.34,4954.27,8028.35,13316.69,2205.48,4488.24,3573.44,5147.32,6693.71,10267.15,15414.47,2317.24,.,.,.,.,.,.
