Geolocation,Irrigated Farms,1960,1971,1980,1991,2002,2012
PHILIPPINES,Number of Holdings/Farms with Irrigation,374405,505949,872781,1473164,1984045,2264850
PHILIPPINES,Physical Farm Area Irrigated (in hectares),620558,864608,1205700,2296111,2930029,1809745
..NATIONAL  CAPITAL  REGION (NCR),Number of Holdings/Farms with Irrigation,178,157,4419,2996,11947,12465
..NATIONAL  CAPITAL  REGION (NCR),Physical Farm Area Irrigated (in hectares),552,490,14100,24575,39369,13610
..CORDILLERA ADMINISTRATIVE REGION  (CAR),Number of Holdings/Farms with Irrigation,43293,43757,52242,78956,96218,190076
..CORDILLERA ADMINISTRATIVE REGION  (CAR),Physical Farm Area Irrigated (in hectares),34454,37381,40188,66117,97270,64866
..Region I  (ILOCOS REGION),Number of Holdings/Farms with Irrigation,73183,85730,125456,243687,220306,408399
..Region I  (ILOCOS REGION),Physical Farm Area Irrigated (in hectares),81075,99077,116946,237640,185323,172764
..Region II  (CAGAYAN VALLEY),Number of Holdings/Farms with Irrigation,24192,40290,79148,135854,200595,297060
..Region II  (CAGAYAN VALLEY),Physical Farm Area Irrigated (in hectares),49083,79170,123062,208989,281691,229454
..Region III  (CENTRAL LUZON),Number of Holdings/Farms with Irrigation,68080,90158,149847,219013,248881,289940
..Region III  (CENTRAL LUZON),Physical Farm Area Irrigated (in hectares),176285,225287,276886,380037,384391,332612
..Region IV-A  (CALABARZON),Number of Holdings/Farms with Irrigation,24484,30848,47493,55426,75040,64932
..Region IV-A  (CALABARZON),Physical Farm Area Irrigated (in hectares),43252,52809,64805,84071,125796,60946
..MIMAROPA Region,Number of Holdings/Farms with Irrigation,7150,16703,28519,62383,121365,127703
..MIMAROPA Region,Physical Farm Area Irrigated (in hectares),13029,36153,53541,132795,254072,158424
..Region V  (BICOL REGION),Number of Holdings/Farms with Irrigation,35987,49678,78792,109980,138028,155098
..Region V  (BICOL REGION),Physical Farm Area Irrigated (in hectares),56087,67553,83431,140438,217052,136284
..Region VI  (WESTERN VISAYAS),Number of Holdings/Farms with Irrigation,23848,30548,74014,105169,192901,145783
..Region VI  (WESTERN VISAYAS),Physical Farm Area Irrigated (in hectares),55040,81332,116513,187805,256405,122580
..Region VII  (CENTRAL VISAYAS),Number of Holdings/Farms with Irrigation,18651,24959,39783,55284,117162,109953
..Region VII  (CENTRAL VISAYAS),Physical Farm Area Irrigated (in hectares),11949,20028,30961,64213,142710,52789
..Region VIII  (EASTERN VISAYAS),Number of Holdings/Farms with Irrigation,17314,25153,49255,73191,104748,90069
..Region VIII  (EASTERN VISAYAS),Physical Farm Area Irrigated (in hectares),19519,29527,52199,99165,136560,50927
..Region IX  (ZAMBOANGA PENINSULA),Number of Holdings/Farms with Irrigation,3539,7878,20950,36882,50297,36623
..Region IX  (ZAMBOANGA PENINSULA),Physical Farm Area Irrigated (in hectares),7715,14925,33166,82984,107657,46503
..Region X  (NORTHERN MINDANAO),Number of Holdings/Farms with Irrigation,7516,9057,20049,47675,68079,74116
..Region X  (NORTHERN MINDANAO),Physical Farm Area Irrigated (in hectares),7866,10874,25453,93878,99354,77528
..Region XI  (DAVAO REGION),Number of Holdings/Farms with Irrigation,1925,5842,21876,46845,79140,45811
..Region XI  (DAVAO REGION),Physical Farm Area Irrigated (in hectares),3523,9944,42746,96784,157563,67552
..Region XII  (SOCCSKSARGEN),Number of Holdings/Farms with Irrigation,9630,24352,44294,80863,123718,134451
..Region XII  (SOCCSKSARGEN),Physical Farm Area Irrigated (in hectares),24044,54125,78610,155578,203917,136413
..Region XIII (Caraga),Number of Holdings/Farms with Irrigation,3450,6919,18781,42079,79462,36776
..Region XIII (Caraga),Physical Farm Area Irrigated (in hectares),6803,9504,35190,65625,129772,41278
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Number of Holdings/Farms with Irrigation,11605,13856,17863,74847,56158,45595
..AUTONOMOUS  REGION  IN MUSLIM MINDANAO  (ARMM),Physical Farm Area Irrigated (in hectares),30111,36743,27647,171062,111124,45215
