Geolocation,Number/Area of Holdings/Farms,Number/Area of Parcels,1960,1971,1980,1991,2002,2012
PHILIPPINES,Number of Holdings/Farms,TOTAL,2166216,2354469,3420323,4610041,4822739,5563138
PHILIPPINES,Number of Holdings/Farms,..Under 1.0 Hectares,249773,319363,775791,1685380,1935874,3162683
PHILIPPINES,Number of Holdings/Farms,..1.00-2.99 Hectares,1100974,1117581,1578044,1967639,1974572,1779364
PHILIPPINES,Number of Holdings/Farms,..3.00-4.99 Hectares,404882,558347,588151,523201,508880,370974
PHILIPPINES,Number of Holdings/Farms,..5.00-9.99 Hectares,289730,243847,360006,325243,303139,194222
PHILIPPINES,Number of Holdings/Farms,..10.00-24.99 Hectares,109119,101130,103721,95537,88658,50199
PHILIPPINES,Number of Holdings/Farms,..25.00  Hectares and Over,11738,14201,14608,13042,11616,5696
PHILIPPINES,Area of Holdings/Farms,TOTAL,7772485,8493735,9725155,9974871,9670793,7271446
PHILIPPINES,Area of Holdings/Farms,..Under 1.0 Hectares,124423,162194,369100,728112,827031,872686
PHILIPPINES,Area of Holdings/Farms,..1.00-2.99 Hectares,1796009,1887663,2522200,3037906,3001608,2586935
PHILIPPINES,Area of Holdings/Farms,..3.00-4.99 Hectares,1426457,2013269,2066700,1835084,1778383,1278311
PHILIPPINES,Area of Holdings/Farms,..5.00-9.99 Hectares,1845252,1553496,2243000,2046380,1914396,1211136
PHILIPPINES,Area of Holdings/Farms,..10.00-24.99 Hectares,1396103,1412100,1406400,1293385,1192189,662624
PHILIPPINES,Area of Holdings/Farms,..25.00  Hectares and Over,1184240,1465011,1117800,1034004,957187,659754
..NATIONAL  CAPITAL  REGION (NCR),Number of Holdings/Farms,TOTAL,5272,2787,12841,15136,22820,38580
..NATIONAL  CAPITAL  REGION (NCR),Number of Holdings/Farms,..Under 1.0 Hectares,1844,1007,3104,11103,8840,34079
..NATIONAL  CAPITAL  REGION (NCR),Number of Holdings/Farms,..1.00-2.99 Hectares,2731,1184,4533,2374,7658,2554
..NATIONAL  CAPITAL  REGION (NCR),Number of Holdings/Farms,..3.00-4.99 Hectares,479,427,2488,676,2649,902
