Geolocation,Number/Area of Holding/Farm Parcels,Tenure Status,1960,1971,1980,1991,2002,2012
PHILIPPINES,Number of Holding/Farm Parcels,TOTAL,2166216,2354469,3420323,4610041,4822739,7897371
PHILIPPINES,Number of Holding/Farm Parcels,..Owned  d/,967725,1364990,1993293,1999979,2292666,5214660
PHILIPPINES,Number of Holding/Farm Parcels,..Partly Owned  e/,310944,268665,367304,1522516,1500328,.
PHILIPPINES,Number of Holding/Farm Parcels,..Tenanted,804617,624821,871536,681469,621989,1467328
PHILIPPINES,Number of Holding/Farm Parcels,..Leased,.,.,.,116174,111085,319990
PHILIPPINES,Number of Holding/Farm Parcels,..Other Forms,82930,95993,188190,289903,284078,895393
PHILIPPINES,Area of Holding/Farm Parcels (in hectares),TOTAL,7772485,8493735,9725155,9974871,9670793,7271446
PHILIPPINES,Area of Holding/Farm Parcels (in hectares),..Owned  d/,4133276,5345429,6496200,4855059,4896765,4685335
PHILIPPINES,Area of Holding/Farm Parcels (in hectares),..Partly Owned  e/,1139957,930840,986700,3226083,3105017,.
PHILIPPINES,Area of Holding/Farm Parcels (in hectares),..Tenanted,1851535,1546722,1806900,1284179,1115283,1425140
PHILIPPINES,Area of Holding/Farm Parcels (in hectares),..Leased,.,.,.,252689,202518,433712
PHILIPPINES,Area of Holding/Farm Parcels (in hectares),..Other Forms,647717,670744,435400,356861,328664,727259
..NATIONAL  CAPITAL  REGION (NCR),Number of Holding/Farm Parcels,TOTAL,5272,2787,12841,15136,22820,40032
..NATIONAL  CAPITAL  REGION (NCR),Number of Holding/Farm Parcels,..Owned  d/,1932,1631,11148,11114,18400,33337
..NATIONAL  CAPITAL  REGION (NCR),Number of Holding/Farm Parcels,..Partly Owned  e/,246,143,346,996,1620,.
..NATIONAL  CAPITAL  REGION (NCR),Number of Holding/Farm Parcels,..Tenanted,2897,777,764,819,1052,1088
..NATIONAL  CAPITAL  REGION (NCR),Number of Holding/Farm Parcels,..Leased,.,.,.,743,624,1393
..NATIONAL  CAPITAL  REGION (NCR),Number of Holding/Farm Parcels,..Other Forms,197,236,583,1464,1023,4214
..NATIONAL  CAPITAL  REGION (NCR),Area of Holding/Farm Parcels (in hectares),TOTAL,8980,6244,47946,53646,71632,20271
..NATIONAL  CAPITAL  REGION (NCR),Area of Holding/Farm Parcels (in hectares),..Owned  d/,2414,3845,42848,24233,60490,18954
..NATIONAL  CAPITAL  REGION (NCR),Area of Holding/Farm Parcels (in hectares),..Partly Owned  e/,863,445,2286,9464,6528,.
..NATIONAL  CAPITAL  REGION (NCR),Area of Holding/Farm Parcels (in hectares),..Tenanted,4864,1591,1889,739,1573,396
