Crop,Geolocation,2010 Quarter1,2010 Quarter2,2010 Semester1,2010 Quarter3,2010 Quarter4,2010 Semester2,2010 Annual,2011 Quarter1,2011 Quarter2,2011 Semester1,2011 Quarter3,2011 Quarter4,2011 Semester2,2011 Annual,2012 Quarter1,2012 Quarter2,2012 Semester1,2012 Quarter3,2012 Quarter4,2012 Semester2,2012 Annual,2013 Quarter1,2013 Quarter2,2013 Semester1,2013 Quarter3,2013 Quarter4,2013 Semester2,2013 Annual,2014 Quarter1,2014 Quarter2,2014 Semester1,2014 Quarter3,2014 Quarter4,2014 Semester2,2014 Annual,2015 Quarter1,2015 Quarter2,2015 Semester1,2015 Quarter3,2015 Quarter4,2015 Semester2,2015 Annual,2016 Quarter1,2016 Quarter2,2016 Semester1,2016 Quarter3,2016 Quarter4,2016 Semester2,2016 Annual,2017 Quarter1,2017 Quarter2,2017 Semester1,2017 Quarter3,2017 Quarter4,2017 Semester2,2017 Annual,2018 Quarter1,2018 Quarter2,2018 Semester1,2018 Quarter3,2018 Quarter4,2018 Semester2,2018 Annual,2019 Quarter1,2019 Quarter2,2019 Semester1,2019 Quarter3,2019 Quarter4,2019 Semester2,2019 Annual,2020 Quarter1,2020 Quarter2,2020 Semester1,2020 Quarter3,2020 Quarter4,2020 Semester2,2020 Annual,2021 Quarter1,2021 Quarter2,2021 Semester1,2021 Quarter3,2021 Quarter4,2021 Semester2,2021 Annual,2022 Quarter1,2022 Quarter2,2022 Semester1,2022 Quarter3,2022 Quarter4,2022 Semester2,2022 Annual,2023 Quarter1,2023 Quarter2,2023 Semester1,2023 Quarter3,2023 Quarter4,2023 Semester2,2023 Annual,2024 Quarter1,2024 Quarter2,2024 Semester1,2024 Quarter3,2024 Quarter4,2024 Semester2,2024 Annual,2025 Quarter1,2025 Quarter2,2025 Semester1,2025 Quarter3,2025 Quarter4,2025 Semester2,2025 Annual,2026 Quarter1,2026 Quarter2,2026 Semester1,2026 Quarter3,2026 Quarter4,2026 Semester2,2026 Annual
Abaca (dried raw fiber),PHILIPPINES,..,..,132565.63,..,..,134971.83,135089.83,..,..,135523.36,..,..,138917.96,138990.96,..,..,136895.36,..,..,135423.09,138523.46,..,..,135930.25,..,..,132724.05,138369.35,..,..,132692.25,..,..,132984.10,134773.35,..,..,133463.73,..,..,132773.20,134194.30,..,..,133875.00,..,..,132997.74,134427.24,..,..,132178.97,..,..,131745.92,132462.92,..,..,131298.95,..,..,132222.61,132251.21,..,..,132264.45,..,..,131179.74,132369.85,..,..,132181.59,..,..,130685.58,132361.91,..,..,130684.65,..,..,130983.41,131510.25,..,..,127824.71,..,..,127063.33,128570.01,..,..,128673.97,..,..,126738.03,129356.91,..,..,127543.61,..,..,127273.34,127952.17,124438.73,124787.47,125464.30,125203.69,124268.82,125204.69,125784.99,126083.48,..,..,..,..,..,..
Abaca (dried raw fiber),..CORDILLERA ADMINISTRATIVE REGION (CAR),..,..,579.00,..,..,579.00,579.00,..,..,579.00,..,..,579.00,579.00,..,..,550.00,..,..,550.00,550.00,..,..,499.00,..,..,499.00,499.00,..,..,481.00,..,..,481.00,481.00,..,..,430.00,..,..,249.00,430.00,..,..,249.00,..,..,0.00,249.00,..,..,249.00,..,..,0.00,249.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,..
Abaca (dried raw fiber),..REGION I (ILOCOS REGION),..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,..
Abaca (dried raw fiber),..REGION II (CAGAYAN VALLEY),..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,..,..,0.00,..,..,0.00,0.00,70.00,70.00,70.00,297.22,297.22,297.22,297.22,297.22,..,..,..,..,..,..
Abaca (dried raw fiber),..REGION III (CENTRAL LUZON),..,..,512.00,..,..,520.00,520.00,..,..,522.00,..,..,529.00,529.00,..,..,531.00,..,..,534.00,534.00,..,..,538.00,..,..,543.00,543.00,..,..,548.00,..,..,600.00,600.00,..,..,605.00,..,..,605.00,605.00,..,..,625.00,..,..,625.00,625.00,..,..,628.00,..,..,694.00,694.00,..,..,694.00,..,..,694.00,694.00,..,..,697.00,..,..,697.00,697.00,..,..,697.00,..,..,697.00,697.00,..,..,697.00,..,..,697.00,697.00,..,..,697.00,..,..,697.00,697.00,..,..,697.00,..,..,697.00,697.00,..,..,697.00,..,..,679.00,697.00,255.53,255.53,255.53,255.53,255.53,255.53,255.53,255.53,..,..,..,..,..,..
Abaca (dried raw fiber),..REGION IV-A (CALABARZON),..,..,242.63,..,..,250.63,250.63,..,..,337.23,..,..,345.23,345.23,..,..,349.23,..,..,352.23,352.23,..,..,331.00,..,..,331.00,331.00,..,..,331.00,..,..,58.00,331.00,..,..,331.00,..,..,58.00,331.00,..,..,308.00,..,..,353.91,353.91,..,..,354.00,..,..,354.00,354.00,..,..,361.67,..,..,361.67,361.67,..,..,364.00,..,..,364.00,364.00,..,..,364.00,..,..,364.00,364.00,..,..,364.00,..,..,364.00,364.00,..,..,364.00,..,..,364.00,364.00,..,..,364.00,..,..,364.00,364.00,..,..,364.00,..,..,364.00,364.00,364.00,364.00,364.00,364.00,364.00,364.00,364.00,364.00,..,..,..,..,..,..
Abaca (dried raw fiber),..MIMAROPA REGION,..,..,1172.00,..,..,1182.00,1183.00,..,..,1194.00,..,..,1369.00,1369.00,..,..,1409.00,..,..,1409.00,1409.00,..,..,1434.00,..,..,1434.00,1434.00,..,..,1424.00,..,..,1413.00,1424.00,..,..,1422.00,..,..,1298.00,1422.00,..,..,1298.00,..,..,1104.75,1306.75,..,..,1312.00,..,..,1116.00,1312.00,..,..,1122.88,..,..,1123.00,1123.00,..,..,1123.00,..,..,1120.00,1123.00,..,..,1120.00,..,..,1109.65,1120.00,..,..,1105.77,..,..,980.87,1109.12,..,..,1109.12,..,..,969.47,1109.12,..,..,974.03,..,..,981.00,981.00,..,..,976.95,..,..,955.65,976.95,941.17,941.17,941.17,941.17,941.17,941.17,941.17,941.17,..,..,..,..,..,..
Abaca (dried raw fiber),..REGION V (BICOL REGION),..,..,41662.00,..,..,41725.00,41748.00,..,..,41735.00,..,..,42864.00,42864.00,..,..,41883.00,..,..,42116.00,42171.00,..,..,42271.00,..,..,44359.00,44509.00,..,..,43390.00,..,..,44569.00,45254.00,..,..,44544.00,..,..,44569.00,45254.00,..,..,45254.00,..,..,44569.00,45254.00,..,..,43224.55,..,..,43225.00,43225.00,..,..,43213.00,..,..,43280.04,43280.04,..,..,43084.57,..,..,42069.97,43159.97,..,..,43091.59,..,..,41999.02,43129.59,..,..,41846.63,..,..,41978.67,41978.73,..,..,42603.27,..,..,42003.45,42748.36,..,..,42784.05,..,..,42169.66,42921.04,..,..,41987.42,..,..,41704.58,41987.42,40514.65,41010.06,41010.06,41008.85,41008.85,41008.85,41010.06,41965.09,..,..,..,..,..,..
Abaca (dried raw fiber),..REGION VI (WESTERN VISAYAS),..,..,3890.00,..,..,3867.00,3903.00,..,..,6562.13,..,..,6540.13,6562.13,..,..,6552.13,..,..,6550.13,6567.13,..,..,6530.00,..,..,6293.00,6530.00,..,..,6254.00,..,..,6334.00,6334.00,..,..,6701.00,..,..,6676.00,6711.00,..,..,6741.00,..,..,6747.38,6782.38,..,..,6831.00,..,..,6795.00,6831.00,..,..,6802.00,..,..,6802.00,6802.00,..,..,6802.00,..,..,6802.00,6802.00,..,..,6802.00,..,..,6582.27,6802.00,..,..,6579.27,..,..,6579.27,6579.27,..,..,6579.27,..,..,6565.27,6579.27,..,..,6590.27,..,..,6562.77,6591.27,..,..,6271.59,..,..,6511.00,6521.27,6741.38,6741.38,6741.38,6741.38,6741.38,6741.38,6741.38,6741.38,..,..,..,..,..,..
Abaca (dried raw fiber),..NEGROS ISLAND REGION (NIR) 2/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2922.43,..,..,2907.43,2922.43,2907.43,2907.43,2907.43,2902.43,2902.43,2902.43,2907.43,2902.43,..,..,..,..,..,..
