Sector,Year,January,February,March,April,May,June,July,August,September,October,November,December
Rice: Total Stock,1980,1885300.00,1819000.00,1815600.00,1753400.00,1812900.00,1725200.00,1575200.00,1359100.00,1197600.00,1199800.00,1468600.00,1722700.00
Rice: Total Stock,1981,1646500.00,1452800.00,1427100.00,1543900.00,1573800.00,1428300.00,1330600.00,1103200.00,1037800.00,1050800.00,1390500.00,1657100.00
Rice: Total Stock,1982,1611200.00,1515900.00,1494200.00,1649300.00,1758600.00,1698900.00,1519700.00,1325100.00,1149800.00,1299100.00,1737600.00,1876400.00
Rice: Total Stock,1983,1866400.00,1712900.00,1706900.00,1825900.00,1872300.00,1754100.00,1478000.00,1172200.00,912900.00,763900.00,1063300.00,1543700.00
Rice: Total Stock,1984,1491300.00,1303900.00,1170900.00,1318000.00,1482200.00,1269200.00,990100.00,848500.00,692400.00,795300.00,1004500.00,1214400.00
Rice: Total Stock,1985,1144300.00,1004500.00,919000.00,1043000.00,1113100.00,1109300.00,999500.00,903500.00,864500.00,1045800.00,1597500.00,1853500.00
Rice: Total Stock,1986,1754500.00,1593800.00,1541900.00,1699600.00,1771000.00,1701100.00,1541200.00,1382900.00,1251900.00,1305000.00,1738500.00,1946200.00
Rice: Total Stock,1987,2017100.00,1724400.00,1636100.00,1741900.00,1728100.00,1669300.00,1417200.00,1135600.00,923000.00,927700.00,1366000.00,1617100.00
Rice: Total Stock,1988,1575000.00,1382400.00,1418900.00,1778000.00,1669800.00,1578700.00,1230800.00,1058800.00,1012300.00,1248200.00,1548000.00,1723900.00
Rice: Total Stock,1989,1517600.00,1292100.00,1186600.00,1320300.00,1394300.00,1192700.00,1079700.00,889800.00,920800.00,1213200.00,1415400.00,1517000.00
Rice: Total Stock,1990,1689500.00,1568000.00,1560500.00,1485200.00,1612900.00,1486400.00,1366600.00,1283400.00,1180000.00,1208200.00,1729600.00,2232900.00
Rice: Total Stock,1991,1899300.00,1739000.00,1692800.00,2011700.00,2004400.00,2125400.00,1821200.00,1560100.00,1344200.00,1445200.00,1776100.00,1970000.00
Rice: Total Stock,1992,2120400.00,1809700.00,1693200.00,1848800.00,1772300.00,1678100.00,1627200.00,1273300.00,1057400.00,948500.00,1356500.00,1550000.00
Rice: Total Stock,1993,1673100.00,1404600.00,1211600.00,1341700.00,1451400.00,1332300.00,1368900.00,1028100.00,868300.00,892800.00,1250000.00,1490400.00
Rice: Total Stock,1994,1444300.00,1157000.00,1092600.00,1362400.00,1408200.00,1353600.00,1258000.00,989900.00,888900.00,1076900.00,1580600.00,1706500.00
Rice: Total Stock,1995,1497800.00,1260800.00,1120100.00,1253000.00,1321500.00,1200400.00,940700.00,703600.00,524400.00,813300.00,1365100.00,1578000.00
Rice: Total Stock,1996,1422300.00,1309100.00,1196700.00,1522500.00,1796800.00,1726700.00,1602800.00,1269200.00,1132200.00,1327100.00,1708200.00,1968600.00
Rice: Total Stock,1997,1793000.00,1520800.00,1412000.00,1629400.00,1962000.00,1891800.00,1819400.00,1600200.00,1352600.00,1410300.00,2059900.00,2278100.00
Rice: Total Stock,1998,1979400.00,1871100.00,1848100.00,2221700.00,2270600.00,2119500.00,1944900.00,1723800.00,1654200.00,1710700.00,2071900.00,2413600.00
Rice: Total Stock,1999,2279300.00,2144600.00,2160700.00,2419800.00,2710900.00,2574100.00,2381100.00,2221200.00,1886100.00,2032900.00,2440900.00,2610000.00
Rice: Total Stock,2000,2364500.00,2042300.00,1765700.00,1874900.00,2067000.00,1835900.00,1628600.00,1373800.00,1195000.00,1485100.00,2010800.00,2277600.00
Rice: Total Stock,2001,2166100.00,1879400.00,1837800.00,2110700.00,2263300.00,2248000.00,2034900.00,1851300.00,1719300.00,1872600.00,2594400.00,2598000.00
Rice: Total Stock,2002,2270700.00,1975200.00,1808200.00,1997200.00,2113200.00,1788900.00,1534700.00,1313400.00,1193100.00,1508200.00,2575000.00,2676000.00
Rice: Total Stock,2003,2448100.00,2289500.00,2068500.00,2210300.00,2390800.00,2097600.00,1806100.00,1566500.00,1399600.00,1742400.00,2525000.00,2607000.00
