Crop,Geolocation,2010 Quarter1,2010 Quarter2,2010 Semester1,2010 Quarter3,2010 Quarter4,2010 Semester2,2010 Annual,2011 Quarter1,2011 Quarter2,2011 Semester1,2011 Quarter3,2011 Quarter4,2011 Semester2,2011 Annual,2012 Quarter1,2012 Quarter2,2012 Semester1,2012 Quarter3,2012 Quarter4,2012 Semester2,2012 Annual,2013 Quarter1,2013 Quarter2,2013 Semester1,2013 Quarter3,2013 Quarter4,2013 Semester2,2013 Annual,2014 Quarter1,2014 Quarter2,2014 Semester1,2014 Quarter3,2014 Quarter4,2014 Semester2,2014 Annual,2015 Quarter1,2015 Quarter2,2015 Semester1,2015 Quarter3,2015 Quarter4,2015 Semester2,2015 Annual,2016 Quarter1,2016 Quarter2,2016 Semester1,2016 Quarter3,2016 Quarter4,2016 Semester2,2016 Annual,2017 Quarter1,2017 Quarter2,2017 Semester1,2017 Quarter3,2017 Quarter4,2017 Semester2,2017 Annual,2018 Quarter1,2018 Quarter2,2018 Semester1,2018 Quarter3,2018 Quarter4,2018 Semester2,2018 Annual,2019 Quarter1,2019 Quarter2,2019 Semester1,2019 Quarter3,2019 Quarter4,2019 Semester2,2019 Annual,2020 Quarter1,2020 Quarter2,2020 Semester1,2020 Quarter3,2020 Quarter4,2020 Semester2,2020 Annual,2021 Quarter1,2021 Quarter2,2021 Semester1,2021 Quarter3,2021 Quarter4,2021 Semester2,2021 Annual,2022 Quarter1,2022 Quarter2,2022 Semester1,2022 Quarter3,2022 Quarter4,2022 Semester2,2022 Annual,2023 Quarter1,2023 Quarter2,2023 Semester1,2023 Quarter3,2023 Quarter4,2023 Semester2,2023 Annual,2024 Quarter1,2024 Quarter2,2024 Semester1,2024 Quarter3,2024 Quarter4,2024 Semester2,2024 Annual,2025 Quarter1,2025 Quarter2,2025 Semester1,2025 Quarter3,2025 Quarter4,2025 Semester2,2025 Annual,2026 Quarter1,2026 Quarter2,2026 Semester1,2026 Quarter3,2026 Quarter4,2026 Semester2,2026 Annual
Abaca (dried raw fiber),PHILIPPINES,16650.12,19079.26,35729.38,16184.62,14597.75,30782.37,66511.75,16599.00,19572.92,36171.91,17458.87,14981.90,32440.77,68612.68,17036.64,20083.57,37120.21,17378.70,14011.55,31390.25,68510.46,15663.17,19399.84,35063.01,16712.69,13175.90,29888.60,64951.60,15297.42,18950.27,34247.69,17184.38,16620.91,33805.28,68052.98,15767.45,19356.20,35123.65,18126.55,17106.20,35232.76,70356.41,16175.98,19632.09,35808.07,18410.94,17620.74,36031.68,71839.75,15114.68,18844.35,33959.03,17960.35,16922.09,34882.44,68841.47,15500.32,18889.81,34390.13,19092.61,18033.22,37125.83,71515.96,15851.75,18901.64,34753.39,20050.97,17404.24,37455.21,72208.60,14966.92,18278.12,33245.04,20087.96,17619.45,37707.40,70952.44,12770.62,18203.63,30974.26,15854.79,15575.01,31429.80,62404.06,14559.78,17967.66,32527.44,19266.55,16028.18,35294.73,67822.17,15025.29,17637.30,32662.58,17945.50,16493.11,34438.61,67101.19,14799.73,15442.45,30242.18,18008.61,16485.86,34494.46,64736.64,12516.12,12677.33,25193.45,15881.56,14741.09,30622.65,55816.10,12599.76,..,..,..,..,..,..
Abaca (dried raw fiber),..CORDILLERA ADMINISTRATIVE REGION (CAR),1.61,3.20,4.81,4.21,4.35,8.56,13.37,1.45,3.40,4.85,4.08,4.15,8.23,13.08,1.38,3.55,4.93,4.10,4.17,8.27,13.20,1.32,3.53,4.85,3.89,4.29,8.18,13.03,1.35,3.35,4.70,3.09,3.45,6.54,11.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,..
Abaca (dried raw fiber),..REGION I (ILOCOS REGION),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,..
Abaca (dried raw fiber),..REGION II (CAGAYAN VALLEY),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,1.15,61.15,70.30,10.00,80.30,141.45,70.00,..,..,..,..,..,..
Abaca (dried raw fiber),..REGION III (CENTRAL LUZON),24.00,28.00,52.00,32.00,25.00,57.00,109.00,23.40,28.50,51.90,24.69,34.00,58.69,110.59,23.50,31.60,55.10,36.20,34.70,70.90,126.00,24.00,32.45,56.45,34.80,22.00,56.80,113.25,19.70,28.50,48.20,27.00,20.00,47.00,95.20,26.00,29.20,55.20,31.50,15.00,46.50,101.70,13.00,12.50,25.50,23.63,5.00,28.63,54.13,10.00,20.00,30.00,20.00,5.63,25.63,55.63,8.90,26.00,34.90,17.40,3.94,21.34,56.24,3.80,13.36,17.16,17.05,2.36,19.42,36.58,6.52,11.01,17.53,16.20,1.18,17.38,34.91,6.33,19.25,25.58,16.50,0.56,17.06,42.64,3.28,20.90,24.18,14.19,0.84,15.03,39.21,2.42,14.79,17.21,5.01,0.65,5.66,22.87,2.29,13.44,15.73,1.30,0.53,1.83,17.56,10.55,9.91,20.45,9.17,10.58,19.75,40.21,8.93,..,..,..,..,..,..
Abaca (dried raw fiber),..REGION IV-A (CALABARZON),0.43,0.50,0.93,0.50,0.77,1.27,2.19,0.80,0.55,1.35,1.12,1.43,2.55,3.90,0.73,0.45,1.18,4.83,4.89,9.72,10.90,0.80,4.47,5.27,5.05,4.75,9.80,15.07,0.50,0.48,0.98,0.50,0.83,1.33,2.31,0.00,2.51,2.51,0.78,0.85,1.63,4.14,0.80,3.58,4.38,1.17,3.00,4.17,8.55,3.89,2.21,6.10,1.08,2.01,3.09,9.19,1.36,1.98,3.34,3.14,1.06,4.20,7.54,2.55,1.59,4.14,3.20,1.86,5.06,9.20,1.78,1.01,2.79,1.10,1.05,2.15,4.94,1.33,1.27,2.60,2.96,1.00,3.96,6.56,1.61,1.00,2.61,3.75,0.92,4.67,7.28,3.27,1.10,4.37,6.42,1.25,7.67,12.04,3.60,1.23,4.83,1.10,1.19,2.29,7.12,3.21,1.23,4.44,0.99,1.16,2.15,6.59,1.44,..,..,..,..,..,..
Abaca (dried raw fiber),..MIMAROPA REGION,13.23,27.42,40.65,24.04,11.96,36.00,76.65,17.22,28.88,46.10,26.47,16.13,42.60,88.70,25.14,26.39,51.53,30.55,24.17,54.72,106.24,27.18,28.83,56.01,34.00,30.97,64.97,120.98,34.87,47.64,82.51,25.02,41.74,66.76,149.26,37.35,37.92,75.27,22.38,15.20,37.58,112.85,28.96,26.42,55.38,24.42,26.13,50.55,105.93,25.27,29.35,54.62,31.92,30.04,61.96,116.58,28.74,34.92,63.66,32.17,25.91,58.08,121.75,29.97,32.86,62.83,34.19,24.24,58.43,121.26,13.50,26.13,39.63,34.54,27.62,62.16,101.79,13.50,26.80,40.30,36.81,30.33,67.14,107.44,12.25,25.78,38.03,38.02,40.46,78.48,116.51,9.54,33.64,43.18,36.90,40.40,77.30,120.48,5.72,39.71,45.43,21.29,39.25,60.54,105.97,5.92,36.43,42.35,62.05,35.75,97.80,140.15,8.16,..,..,..,..,..,..
Abaca (dried raw fiber),..REGION V (BICOL REGION),5519.17,6216.38,11735.55,4874.95,3653.62,8528.57,20264.12,5991.29,6946.03,12937.32,5671.26,4036.90,9708.16,22645.48,6337.84,7213.23,13551.07,5540.52,3994.52,9535.04,23086.11,6509.23,7428.32,13937.55,5824.36,4316.05,10140.41,24077.96,6813.09,8086.07,14899.16,6906.42,7145.01,14051.43,28950.59,7266.09,8192.51,15458.60,6933.27,7169.20,14102.47,29561.07,7635.46,8003.13,15638.59,7043.98,7333.88,14377.86,30016.45,6481.56,6885.60,13367.16,6442.36,6386.71,12829.06,26196.22,6834.42,6788.47,13622.89,7803.52,7385.23,15188.75,28811.64,7162.24,6706.07,13868.31,8576.87,6494.07,15070.94,28939.24,6461.49,6433.42,12894.91,8707.59,6486.29,15193.88,28088.79,4102.35,5349.97,9452.32,3163.28,4222.98,7386.26,16838.58,5967.46,6098.56,12066.02,6756.74,5389.34,12146.08,24212.10,6689.05,5987.74,12676.79,6241.90,5283.39,11525.28,24202.07,5903.69,4376.31,10280.00,6501.60,5602.71,12104.31,22384.30,3664.22,1500.56,5164.78,3921.30,3783.36,7704.65,12869.43,3425.00,..,..,..,..,..,..
Abaca (dried raw fiber),..REGION VI (WESTERN VISAYAS),280.26,340.65,620.91,500.03,371.48,871.51,1492.42,282.25,329.03,611.28,694.12,547.96,1242.08,1853.36,578.44,695.18,1273.62,660.93,301.91,962.84,2236.46,318.86,451.84,770.70,562.02,408.57,970.60,1741.29,417.27,384.25,801.52,363.85,433.74,797.59,1599.11,398.51,407.27,805.78,581.76,571.27,1153.03,1958.81,625.30,722.63,1347.93,789.42,832.35,1621.77,2969.70,783.65,882.33,1665.98,873.72,801.98,1675.70,3341.68,785.36,910.90,1696.26,807.68,763.40,1571.08,3267.34,731.69,774.30,1505.99,632.31,845.98,1478.29,2984.28,524.25,580.72,1104.97,732.28,786.65,1518.93,2623.90,607.08,933.69,1540.77,1236.16,728.25,1964.41,3505.18,748.25,806.40,1554.65,1180.41,801.83,1982.24,3536.89,441.48,669.67,1111.15,614.59,515.55,1130.14,2241.29,505.50,614.05,1119.55,582.12,430.15,1012.27,2131.82,357.87,432.19,790.06,553.35,539.42,1092.77,1882.83,514.32,..,..,..,..,..,..
Abaca (dried raw fiber),..NEGROS ISLAND REGION (NIR) 2/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.10,23.82,52.93,47.56,55.37,102.93,155.86,17.00,35.55,52.55,56.66,54.27,110.93,163.48,23.42,..,..,..,..,..,..
