Geolocation,Commodity,2010 January,2010 February,2010 March,2010 April,2010 May,2010 June,2010 July,2010 August,2010 September,2010 October,2010 November,2010 December,2010 Annual,2011 January,2011 February,2011 March,2011 April,2011 May,2011 June,2011 July,2011 August,2011 September,2011 October,2011 November,2011 December,2011 Annual,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December,2022 Annual,2023 January,2023 February,2023 March,2023 April,2023 May,2023 June,2023 July,2023 August,2023 September,2023 October,2023 November,2023 December,2023 Annual,2024 January,2024 February,2024 March,2024 April,2024 May,2024 June,2024 July,2024 August,2024 September,2024 October,2024 November,2024 December,2024 Annual,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December,2025 Annual,2026 January,2026 February,2026 March,2026 April,2026 May,2026 June,2026 July,2026 August,2026 September,2026 October,2026 November,2026 December,2026 Annual
PHILIPPINES,"Bush Sitao, Paayap [Cowpea]",19.67,20.52,26.00,25.14,21.38,0.00,14.44,13.03,17.20,30.74,35.76,28.23,22.92,25.98,18.23,17.43,16.73,20.19,17.72,19.07,16.74,20.03,28.21,33.33,22.23,21.32,22.49,21.50,16.34,19.18,15.38,16.65,18.99,26.00,23.05,22.67,22.02,22.46,20.56,20.88,18.64,19.10,22.90,23.21,24.56,24.39,20.89,21.95,24.38,29.52,27.88,23.19,26.89,26.27,22.29,29.23,28.44,28.84,27.18,24.73,26.26,32.46,33.00,29.62,27.93,23.85,22.47,23.84,24.50,24.70,22.70,24.62,24.07,27.64,28.04,25.61,27.97,25.00,24.44,27.49,22.64,24.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.72,24.36,23.44,23.24,20.19,21.74,23.47,22.20,21.92,21.31,22.92,23.92,21.73,22.54,24.59,20.23,23.64,20.32,24.88,22.27,22.60,25.39,29.84,30.20,31.47,28.04,25.29,30.27,21.01,20.15,24.77,32.33,23.91,32.30,25.64,24.44,26.42,25.94,24.83,26.00,26.31,25.56,26.15,26.59,23.45,22.64,21.39,21.06,21.93,26.89,28.63,45.34,26.33,39.13,29.21,25.91,26.27,21.93,32.04,30.85,27.21,25.02,31.60,25.44,25.59,28.35,23.56,23.57,22.97,24.87,23.64,30.44,28.44,28.83,25.55,30.60,35.84,28.26,27.21,38.66,39.31,32.39,35.74,37.14,33.01,34.11,33.85,36.02,33.45,35.49,39.12,35.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,Habitchuelas [Snap beans],15.80,15.97,20.76,20.28,17.19,16.94,14.77,11.94,13.66,20.75,21.74,18.41,17.35,20.77,19.50,18.12,17.41,23.66,23.84,17.50,19.84,19.88,29.14,22.00,21.05,21.06,21.77,20.84,16.40,17.74,17.03,19.47,18.89,25.43,19.29,20.19,22.27,24.19,20.29,22.65,20.39,17.79,19.37,21.66,17.95,14.50,20.05,25.04,23.66,24.04,19.23,20.53,22.96,26.42,22.25,20.25,19.56,19.74,25.31,21.57,17.64,18.44,19.34,26.65,21.68,26.16,20.63,21.17,24.46,24.81,21.93,21.53,21.71,21.48,28.91,34.96,27.14,24.57,20.83,24.40,23.55,27.91,30.70,22.38,14.57,20.58,28.56,32.20,27.75,28.30,25.14,31.23,31.80,25.63,20.23,19.88,22.55,22.64,23.96,24.92,24.78,28.89,35.36,25.99,36.82,30.37,26.89,23.78,25.88,30.78,26.19,25.53,35.50,30.95,27.26,25.58,28.79,30.78,29.98,30.84,35.54,31.82,25.56,24.10,26.62,28.83,26.83,22.89,27.43,28.44,31.98,30.35,31.17,27.30,28.45,20.62,12.90,21.63,31.29,36.07,42.92,48.24,30.24,33.75,28.14,27.84,25.81,28.27,30.45,24.33,31.07,25.81,38.47,35.04,34.64,30.30,38.30,31.01,25.84,27.34,34.68,39.70,28.71,29.01,32.59,38.89,47.32,39.52,34.41,47.83,46.83,38.09,38.15,39.89,35.99,30.31,53.09,33.97,30.14,35.12,39.03,39.04,37.13,37.73,36.87,54.20,57.02,58.20,36.45,50.76,65.22,65.64,61.21,61.14,51.80,59.84,53.90,52.45,63.52,65.10,74.33,53.10,57.63,50.93,91.63,105.13,106.66,69.52,40.16,55.55,68.16,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,"Kadios [Pigeon pea], dry",59.98,56.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,47.87,48.89,52.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,Kadios [Pigeon pea],68.92,67.47,63.02,61.94,67.60,0.00,0.00,0.00,0.00,90.46,79.35,68.78,70.94,68.58,71.59,71.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.31,69.10,70.79,67.57,67.24,69.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.03,82.21,76.11,79.62,76.37,90.17,99.00,0.00,0.00,0.00,0.00,0.00,0.00,94.37,80.00,86.59,71.40,59.00,62.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.47,63.67,64.21,50.41,54.87,62.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.00,87.20,67.83,83.06,103.21,96.25,95.33,0.00,0.00,0.00,0.00,0.00,0.00,77.91,95.06,91.80,72.52,98.54,85.46,100.74,106.15,83.05,0.00,0.00,0.00,0.00,78.10,86.97,88.94,86.73,92.56,93.81,0.00,93.69,0.00,0.00,0.00,0.00,0.00,159.38,160.00,114.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.05,67.37,78.56,118.27,64.46,87.18,56.91,41.02,89.82,54.53,64.45,77.31,72.83,93.01,102.77,79.18,59.15,60.99,44.03,59.79,60.26,59.53,82.48,95.05,98.37,74.55,101.35,122.30,142.42,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,"Mongo [Mungbean], green, labo",44.68,48.26,50.02,48.11,48.97,47.13,47.80,49.23,49.55,49.77,52.88,52.35,49.06,58.41,60.54,59.13,58.00,60.68,62.22,57.60,58.27,58.34,60.88,63.03,62.12,59.94,54.36,54.36,53.22,52.77,48.28,48.44,49.09,48.78,47.91,50.00,50.47,49.22,50.58,48.76,50.90,50.39,49.83,48.52,49.02,48.26,47.92,50.77,50.45,53.87,54.42,50.26,53.93,56.03,53.85,52.07,49.91,50.35,53.41,54.17,53.76,58.57,60.71,60.29,54.75,56.09,59.31,55.48,54.59,54.78,52.89,52.73,52.87,55.26,57.92,57.93,55.97,55.49,58.15,58.91,59.19,57.42,57.69,58.55,57.14,55.31,56.28,56.63,61.54,61.40,58.18,56.14,62.87,61.54,60.72,58.87,59.37,55.33,57.54,59.94,60.43,61.03,63.81,59.80,64.27,62.03,61.91,59.76,57.95,58.56,56.80,57.23,59.01,59.40,61.70,58.83,59.79,59.87,61.30,58.51,57.99,56.75,62.71,63.64,56.66,60.24,57.66,59.73,56.97,59.34,58.16,59.69,56.99,57.63,56.19,63.16,61.82,65.36,58.21,54.15,57.20,61.56,59.18,61.65,61.08,63.58,62.48,61.88,65.71,59.33,63.52,64.92,65.68,64.12,65.42,63.28,67.71,66.82,62.90,61.93,63.76,64.73,62.49,67.80,58.46,63.66,66.01,65.57,64.32,75.90,72.48,70.51,65.26,68.52,66.64,69.86,68.51,65.93,59.73,68.19,67.73,68.27,73.68,67.50,66.38,67.68,68.41,74.93,70.08,67.71,68.52,68.66,77.21,74.40,70.43,65.83,49.58,107.85,55.95,74.13,72.77,70.57,63.61,65.19,74.63,75.41,63.32,69.90,84.29,78.53,76.33,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,"Mongo [Mungbean], green, shiny",47.98,46.21,42.52,42.86,43.93,43.42,42.16,46.33,44.67,44.74,44.56,46.17,44.63,47.69,46.76,49.35,50.15,47.10,48.84,49.04,49.81,48.58,45.42,48.83,46.91,48.21,45.22,45.65,44.03,44.85,43.57,43.98,46.28,44.52,40.85,37.54,39.94,40.93,43.11,42.98,43.67,45.19,44.51,40.13,40.44,43.58,43.73,43.71,40.64,45.79,46.51,43.41,47.68,47.13,44.56,46.32,46.14,44.08,44.14,43.33,43.71,42.54,47.62,48.94,45.52,48.72,51.96,48.93,48.15,47.70,46.12,43.30,42.13,45.17,43.70,47.29,48.44,46.80,53.17,52.57,52.38,51.07,51.14,47.72,52.09,51.68,49.42,52.00,55.42,53.03,51.81,53.73,53.95,58.64,54.85,52.55,50.26,51.25,51.58,49.51,52.37,55.39,55.43,53.29,55.33,53.22,53.90,52.40,50.46,51.33,54.16,51.30,52.64,56.36,55.44,57.40,53.66,53.45,53.27,53.18,52.37,52.90,50.52,53.30,58.24,57.27,59.16,59.83,60.00,55.29,50.81,50.95,56.16,57.64,54.89,56.94,56.68,57.29,54.94,60.95,60.43,61.41,56.59,62.83,60.20,60.81,60.79,61.30,60.94,62.92,61.52,65.90,68.45,62.37,70.05,63.17,64.93,60.03,61.58,54.91,52.09,58.03,60.77,59.66,59.15,60.68,60.09,64.12,59.67,68.87,60.58,62.19,59.29,59.34,62.22,61.87,66.54,68.18,65.12,67.50,68.37,64.17,62.71,65.48,64.86,67.12,72.12,79.32,38.99,56.73,55.98,60.56,50.12,69.09,61.92,50.66,72.30,69.48,52.30,69.65,82.53,51.84,60.00,63.75,58.75,53.75,72.08,63.09,63.83,67.07,62.44,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,"Mongo [Mungbean] yellow, labo",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.69,61.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,"Mongo [Mungbean], yellow, shiny",58.99,55.82,41.66,52.33,52.95,57.13,52.17,67.32,65.10,70.86,59.11,58.99,57.70,69.05,68.92,62.00,61.05,61.19,63.52,64.24,72.59,71.90,67.29,67.78,69.22,66.56,63.99,61.88,48.87,53.66,55.53,56.86,60.56,61.70,64.34,63.04,62.33,61.53,59.52,60.80,56.99,56.44,52.70,49.56,49.75,51.00,54.15,57.79,57.76,67.46,69.38,56.98,73.08,64.99,61.63,53.11,51.67,53.48,53.99,55.53,60.09,66.09,62.20,66.84,60.23,66.82,65.49,56.44,53.07,56.12,52.43,54.17,54.41,61.16,60.81,65.94,68.49,59.61,64.66,63.77,59.29,55.88,55.32,57.35,64.23,62.19,64.13,67.29,73.88,68.93,63.08,65.12,66.30,61.48,58.85,62.15,67.27,67.94,65.18,79.81,61.18,70.35,70.97,66.38,73.59,69.23,64.51,61.42,59.21,57.25,59.02,59.21,69.66,64.24,63.85,69.10,64.19,66.80,68.55,61.30,60.83,62.10,74.34,74.71,79.07,81.52,83.75,84.21,74.13,72.61,72.27,68.94,74.94,65.44,64.71,60.34,65.50,62.84,70.46,67.14,57.98,72.26,66.90,72.97,76.56,70.68,62.52,65.24,62.92,73.27,71.74,74.94,70.69,72.68,75.72,70.83,76.70,81.60,74.90,64.42,62.49,66.86,74.15,73.91,75.60,75.94,79.44,77.31,73.61,87.95,91.88,78.87,72.75,66.94,72.07,77.59,80.74,80.37,80.65,90.39,85.57,80.48,85.00,87.42,86.13,63.09,120.00,120.00,70.00,70.00,70.00,59.46,72.11,0.00,82.11,95.00,90.00,72.71,87.50,87.25,84.67,100.00,100.00,80.00,84.66,77.50,83.75,86.92,73.88,80.47,90.00,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,Patani [Lima beans],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.60,58.77,64.69,44.54,42.39,49.71,45.31,56.00,50.00,92.71,140.74,119.04,69.96,63.03,48.15,71.77,55.34,61.57,43.50,78.01,66.65,51.57,81.91,86.92,74.33,65.23,95.34,84.52,68.27,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,"Peanut, with shell, dry",28.62,28.27,28.31,28.60,28.24,29.52,28.55,28.20,28.92,28.32,29.99,30.20,28.81,30.54,30.10,29.82,30.68,30.72,31.39,32.98,32.70,32.86,31.80,33.25,32.93,31.65,33.73,33.35,33.42,32.71,33.56,33.25,33.36,35.00,34.33,33.08,33.61,33.54,33.58,35.00,34.02,34.92,34.30,34.03,33.76,36.47,35.09,34.41,33.81,34.65,35.04,34.63,34.85,34.70,34.69,34.92,35.56,34.90,36.07,36.06,36.71,35.70,36.05,37.67,35.66,38.45,39.46,39.74,38.98,38.70,40.74,40.39,39.47,40.56,40.43,41.09,40.29,39.86,38.66,38.90,38.45,37.62,39.24,39.63,40.80,38.78,37.79,38.13,38.10,39.50,38.80,38.19,40.69,41.38,37.76,38.86,39.10,36.20,37.65,36.95,38.19,35.82,41.99,38.57,38.97,38.96,37.56,41.99,41.46,40.91,40.22,42.07,39.36,43.36,39.73,43.11,40.64,41.19,37.86,41.98,41.15,41.47,39.67,40.32,43.87,44.50,44.65,45.41,43.94,42.17,41.40,41.56,42.26,42.34,46.25,45.15,39.80,39.91,39.97,39.88,40.33,39.43,41.52,39.57,42.29,41.65,43.23,44.02,41.88,40.16,41.94,41.54,39.78,42.31,42.38,41.73,42.78,44.89,46.15,46.15,46.60,46.78,45.82,43.68,43.47,47.85,48.82,51.53,46.21,48.91,49.62,53.71,54.33,50.37,56.60,51.22,49.60,51.55,48.65,50.79,55.55,51.74,59.13,63.61,66.93,58.27,61.81,65.97,58.98,65.53,65.07,72.57,79.23,83.55,66.72,51.86,101.65,50.31,61.61,58.40,66.69,70.36,61.65,41.32,71.34,81.77,59.54,64.71,104.52,51.03,50.28,..,..,..,..,..,..,..,..,..,..
