Geolocation,Commodity,2010 January,2010 February,2010 March,2010 April,2010 May,2010 June,2010 July,2010 August,2010 September,2010 October,2010 November,2010 December,2010 Annual,2011 January,2011 February,2011 March,2011 April,2011 May,2011 June,2011 July,2011 August,2011 September,2011 October,2011 November,2011 December,2011 Annual,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December,2022 Annual,2023 January,2023 February,2023 March,2023 April,2023 May,2023 June,2023 July,2023 August,2023 September,2023 October,2023 November,2023 December,2023 Annual,2024 January,2024 February,2024 March,2024 April,2024 May,2024 June,2024 July,2024 August,2024 September,2024 October,2024 November,2024 December,2024 Annual,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December,2025 Annual,2026 January,2026 February,2026 March,2026 April,2026 May,2026 June,2026 July,2026 August,2026 September,2026 October,2026 November,2026 December,2026 Annual
PHILIPPINES,"Garlic, dried bulb",81.64,65.61,62.61,75.21,82.91,81.34,87.09,90.03,91.36,100.48,96.66,78.51,82.79,108.98,97.64,92.94,101.88,104.94,104.21,106.71,108.42,105.47,110.20,152.05,113.88,108.94,72.86,66.19,83.36,87.86,75.16,76.90,75.65,71.34,71.59,69.37,84.11,81.54,76.33,60.98,66.46,87.20,87.52,76.71,73.46,75.17,77.82,84.58,89.30,93.66,97.13,80.83,99.68,83.00,91.13,95.62,91.66,149.85,151.59,153.67,186.07,194.28,208.64,245.22,145.87,160.54,124.24,93.98,94.71,99.27,71.06,70.97,72.90,72.03,78.22,74.71,88.20,91.74,70.01,123.29,90.72,92.45,89.57,81.96,73.44,91.00,79.98,98.80,113.14,117.35,93.48,70.96,87.65,95.09,112.92,126.55,140.81,109.53,111.37,102.83,102.68,104.82,108.16,106.11,102.28,110.22,116.88,111.60,118.77,87.90,118.26,96.31,93.08,74.48,104.58,117.85,104.35,72.29,102.15,125.72,139.91,113.24,95.36,92.31,109.64,102.18,103.05,89.56,86.14,102.63,121.11,99.40,89.06,101.81,126.79,115.19,130.58,78.52,108.62,106.51,156.30,156.70,115.88,113.38,123.43,109.44,115.42,120.45,101.35,102.48,97.97,104.75,102.73,107.66,105.13,108.68,88.20,82.24,120.63,128.98,147.63,151.52,94.35,88.33,89.18,93.86,132.15,132.64,112.48,143.64,101.67,112.18,136.00,120.87,152.29,152.29,96.54,158.19,161.24,172.13,164.76,139.32,91.68,146.32,152.82,138.23,109.27,110.95,0.00,160.00,180.00,0.00,0.00,0.00,136.16,80.00,99.87,82.59,88.30,145.66,135.26,150.00,99.67,180.00,160.00,165.00,160.00,128.86,74.33,85.90,105.92,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,"Ginger, Hawaiian",27.21,26.68,29.22,35.04,42.33,48.19,43.68,41.47,37.20,33.30,28.28,28.38,35.08,31.60,28.39,25.66,27.22,25.97,26.71,23.87,22.94,22.72,20.84,19.73,19.31,24.58,16.56,14.88,15.41,14.54,14.69,14.53,16.77,17.15,18.22,19.21,19.18,18.46,16.63,19.31,18.84,20.00,22.10,27.64,29.10,31.67,33.76,34.77,34.53,30.66,31.55,27.83,32.81,34.77,43.57,63.56,77.48,83.04,80.77,77.93,70.89,59.85,59.14,56.76,61.71,49.48,49.85,56.11,69.12,84.72,88.93,88.14,71.50,65.39,57.91,58.55,50.36,65.84,40.77,38.37,40.91,42.94,45.37,45.65,42.68,42.99,40.87,40.82,36.84,35.11,41.11,31.97,27.50,27.69,25.25,24.24,25.95,25.28,25.47,25.91,26.58,25.84,25.90,26.47,25.58,23.54,23.86,23.39,24.97,26.37,28.55,29.45,31.10,31.23,31.27,30.91,27.52,32.24,33.02,34.15,45.11,55.61,54.28,59.37,60.36,59.37,56.27,53.42,53.73,49.74,53.24,50.45,63.73,87.84,84.11,88.48,84.34,79.11,74.84,70.84,62.35,61.58,71.74,60.25,54.11,55.81,55.86,56.91,60.74,63.79,59.13,58.77,55.27,52.99,51.02,57.05,48.32,43.43,40.41,40.84,40.75,41.97,42.31,40.16,41.70,41.26,38.36,40.50,41.67,36.94,33.70,32.41,33.19,35.66,35.65,35.30,40.06,39.49,40.79,42.36,43.30,37.40,46.52,40.06,45.49,70.63,80.77,101.53,63.84,75.72,74.39,85.70,88.44,94.24,72.28,70.18,70.64,76.68,89.31,83.20,92.28,66.44,90.96,71.16,58.59,79.14,59.41,75.67,51.55,49.17,49.99,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,"Ginger, Native",29.45,26.34,29.18,34.36,42.91,48.14,43.65,41.60,41.81,42.86,38.51,36.33,37.93,38.79,36.04,34.78,35.92,33.77,37.60,32.10,30.02,33.66,36.47,29.00,26.98,33.76,24.40,27.21,22.93,21.11,20.94,22.58,23.63,23.02,26.41,23.18,24.70,24.42,23.71,21.30,20.50,20.87,21.67,22.71,27.70,27.54,30.57,29.10,27.59,31.36,33.82,26.23,30.32,28.43,28.99,38.88,60.66,72.01,56.84,66.93,69.93,72.52,73.38,70.21,55.76,60.52,61.01,59.01,84.31,81.29,100.02,84.99,78.91,75.47,82.85,86.25,75.96,77.55,54.40,50.40,48.27,53.26,55.64,54.06,51.50,55.52,47.80,51.33,45.54,46.10,51.15,62.71,54.46,47.76,37.61,51.06,52.26,47.79,50.18,49.16,66.27,73.90,65.48,54.89,60.87,39.31,39.23,35.87,40.78,45.00,44.06,42.74,49.06,47.25,45.01,45.37,44.55,43.49,39.52,40.13,40.85,49.99,62.58,56.08,55.83,63.85,76.70,74.38,60.55,55.33,49.80,50.30,63.81,85.58,86.82,109.11,98.09,99.78,102.34,109.49,85.97,91.81,86.08,78.53,69.28,67.10,76.03,80.63,87.05,72.22,80.41,82.08,96.72,78.26,63.03,77.61,48.50,46.85,42.51,45.64,43.45,41.05,39.73,41.50,40.60,43.01,42.75,40.86,43.04,55.05,47.30,41.99,34.20,36.83,36.04,37.42,41.73,43.85,42.31,43.33,41.59,41.80,44.70,50.84,53.91,53.03,67.40,83.99,60.62,80.41,88.11,73.21,77.89,72.02,67.18,86.38,52.94,57.36,70.92,69.67,70.83,50.47,51.67,54.60,73.00,57.18,79.73,64.56,60.80,64.15,59.71,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,Spring onion,24.57,23.36,26.13,28.12,27.85,29.95,28.13,28.66,27.52,27.67,26.28,24.56,26.90,28.16,29.76,29.87,27.41,28.62,27.25,27.80,27.25,27.59,26.50,27.14,26.10,27.79,29.89,28.02,29.53,30.54,29.51,32.32,31.67,35.26,34.09,32.65,31.58,31.76,31.40,28.31,28.43,28.36,35.23,37.81,37.45,37.53,36.44,42.68,38.48,35.60,34.12,35.04,32.67,32.18,32.12,32.72,32.99,37.66,37.30,36.46,35.80,35.17,36.67,38.38,35.01,40.64,37.14,40.69,46.39,51.09,46.11,52.26,53.15,49.29,51.68,47.91,46.91,46.94,41.42,37.58,40.35,44.71,48.65,45.66,46.93,52.38,51.71,50.75,48.27,40.71,45.76,38.56,36.23,34.32,39.43,38.15,41.06,35.13,34.22,41.06,43.75,48.44,49.39,39.98,50.95,48.77,46.77,47.24,44.47,53.77,58.63,61.13,69.42,51.35,47.18,50.50,52.52,36.79,42.44,47.19,39.35,50.20,58.63,53.57,52.93,55.28,52.47,52.08,55.67,49.72,52.23,49.13,48.18,48.32,47.38,49.78,48.02,47.76,45.85,48.93,87.21,83.98,54.73,75.83,71.32,56.46,54.57,51.25,48.11,45.87,46.97,53.06,48.19,39.99,50.65,53.52,54.45,56.87,54.09,50.31,51.68,52.49,50.82,53.21,61.51,70.83,60.44,63.47,56.68,60.61,51.53,57.29,60.48,67.03,50.52,49.62,66.18,61.24,64.14,69.77,65.33,60.31,61.54,72.66,63.75,82.33,60.96,71.69,88.59,93.26,101.34,81.27,125.89,80.21,81.96,98.26,91.59,85.65,86.31,68.59,99.50,74.80,66.16,66.81,84.18,61.24,68.89,79.33,112.74,65.30,85.97,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,Onion Leeks,26.41,25.81,27.38,26.30,26.61,28.89,29.80,29.94,28.12,28.23,27.93,27.59,27.75,29.65,29.74,27.81,26.79,24.87,26.75,25.37,27.68,30.20,33.09,36.41,34.09,29.37,27.70,26.13,28.00,25.47,26.38,25.51,25.68,28.23,26.53,26.96,26.46,28.65,26.81,35.67,34.53,33.58,33.39,35.43,35.06,30.71,31.81,29.76,30.50,29.42,28.47,32.36,30.09,28.83,28.10,29.02,28.59,28.96,28.49,30.13,28.74,32.05,28.76,29.20,29.25,31.42,32.55,35.87,36.98,40.53,37.87,38.37,35.17,35.98,39.22,37.59,35.96,36.46,37.01,37.13,35.55,34.75,32.76,41.60,40.74,41.16,39.03,46.74,45.36,42.07,39.49,44.95,42.11,42.08,36.11,34.61,36.74,34.18,34.39,32.10,36.59,34.35,38.51,37.23,41.19,37.96,40.61,36.37,40.09,42.21,40.98,41.15,44.89,40.11,40.23,44.88,40.89,41.94,40.16,40.02,38.42,39.76,41.29,45.07,52.63,46.78,42.27,49.99,50.83,44.10,45.73,44.22,40.27,45.69,46.68,41.17,45.93,42.16,42.97,45.88,44.13,51.98,44.73,52.88,48.33,54.56,49.57,42.94,44.96,43.28,40.12,43.05,41.74,42.44,47.19,45.92,46.38,46.32,49.65,45.38,37.94,44.77,41.96,43.35,47.69,51.12,50.83,53.86,46.60,69.32,63.17,66.46,53.43,54.63,55.19,58.03,54.98,51.08,52.44,55.39,56.49,57.55,57.61,56.37,53.10,36.67,58.27,56.35,47.24,64.36,60.93,61.90,80.35,80.43,59.47,78.05,34.12,39.42,41.14,47.06,82.52,49.90,55.16,61.74,79.85,55.30,49.76,56.17,69.96,58.30,78.15,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,"Onion, red shallot (Sibuyas Tagalog)",17.45,15.58,20.86,25.85,26.35,29.47,35.57,38.65,39.99,57.74,48.90,27.81,32.02,29.29,25.53,24.40,31.90,31.94,32.56,35.08,34.52,35.09,39.20,45.68,33.92,33.26,16.14,15.22,19.91,14.59,18.93,19.03,24.91,30.19,32.67,33.58,42.93,30.73,24.90,21.80,17.10,19.91,22.42,27.15,28.46,32.19,33.14,53.72,49.68,56.70,39.89,33.51,26.77,27.40,24.07,22.56,24.08,25.30,26.87,28.15,29.92,33.95,34.71,32.95,28.06,27.96,21.72,19.04,27.70,41.20,13.18,21.90,23.04,24.57,24.47,51.54,34.82,27.60,39.24,28.76,33.32,34.01,27.01,26.22,21.21,32.42,32.33,0.00,40.96,39.98,32.31,41.67,37.34,42.24,41.98,54.98,31.95,45.09,63.57,65.20,0.00,47.01,42.51,46.69,35.22,28.92,43.17,48.96,58.01,31.45,47.69,56.67,67.50,57.08,47.88,28.20,45.90,52.79,27.00,63.52,40.83,42.24,29.95,42.50,0.00,54.95,47.33,57.55,59.41,47.10,47.65,38.64,69.86,70.32,98.20,32.39,43.37,40.00,45.35,59.13,72.95,76.26,57.84,40.67,43.54,66.76,79.45,88.22,31.84,40.00,46.70,41.12,40.00,82.76,53.43,54.54,51.89,46.98,60.50,40.47,38.89,35.00,41.42,39.29,50.00,86.68,101.02,116.80,59.08,110.98,90.43,64.22,84.62,72.60,70.00,70.00,77.36,82.57,80.37,92.18,72.54,80.66,59.79,61.43,60.09,41.16,49.73,53.29,55.88,48.26,58.02,40.01,72.74,46.68,53.92,43.23,43.97,45.28,49.09,59.13,167.38,67.23,98.94,60.00,50.61,41.74,43.73,64.19,42.11,50.23,39.15,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,"Onion, red creole (Bermuda red)",43.49,20.25,13.09,12.91,12.02,17.55,22.89,30.57,31.37,37.76,39.90,49.71,27.63,51.26,69.80,28.93,31.73,37.72,37.67,42.12,56.49,61.49,69.36,79.21,77.52,53.61,54.98,28.56,24.89,30.89,34.78,45.36,59.62,72.96,78.43,75.55,79.91,82.03,55.66,55.12,24.41,21.19,21.03,35.30,26.18,30.11,48.76,37.15,38.99,56.91,63.60,38.23,53.66,37.51,28.78,26.95,35.95,15.83,26.64,31.52,53.12,41.63,46.86,50.24,37.39,38.37,17.91,16.66,27.58,36.08,20.14,25.55,29.49,33.57,37.73,44.35,70.75,33.18,63.27,26.69,35.64,41.09,46.69,49.56,48.40,76.31,85.19,81.33,43.13,46.32,53.64,43.88,31.03,27.54,25.50,27.23,40.05,46.30,51.34,52.96,54.54,66.19,0.00,42.41,61.89,48.81,36.76,41.63,37.80,44.97,49.19,62.46,0.00,57.92,0.00,65.00,50.64,43.10,35.27,21.99,20.14,20.79,23.32,27.37,20.00,0.00,0.00,179.17,0.00,43.46,97.53,40.24,35.77,40.01,39.06,56.82,70.00,0.00,0.00,0.00,0.00,0.00,54.20,55.66,65.16,49.80,47.34,50.46,50.71,0.00,0.00,62.90,0.00,0.00,0.00,54.58,90.13,31.11,39.67,38.84,80.18,50.63,0.00,0.00,0.00,0.00,0.00,334.88,95.06,215.82,117.37,65.26,78.22,99.34,106.96,0.00,0.00,0.00,0.00,0.00,0.00,113.83,81.60,64.74,58.96,37.92,92.79,100.17,0.00,0.00,0.00,0.00,0.00,0.00,72.70,64.48,72.76,49.02,46.13,50.56,63.62,0.00,51.89,0.00,53.51,52.50,70.00,57.45,44.18,44.36,35.10,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,"Onion, yellow granex (Bermuda white)",19.05,14.08,10.00,10.00,8.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.37,31.08,20.77,16.80,36.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.40,26.67,22.09,21.85,21.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.94,41.22,18.37,21.25,18.53,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.87,39.55,11.51,38.53,46.14,60.36,0.00,0.00,0.00,0.00,0.00,0.00,40.00,39.35,23.28,13.52,35.57,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.09,23.28,13.52,35.57,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.09,0.00,0.00,30.00,22.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.12,0.00,0.00,31.67,31.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.45,0.00,0.00,25.00,28.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,62.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.76,0.00,0.00,20.00,50.00,50.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.19,0.00,20.00,14.00,20.00,25.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.50,35.34,36.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.07,118.89,51.37,32.04,50.00,57.50,40.00,0.00,0.00,0.00,0.00,0.00,0.00,58.30,37.50,40.00,28.00,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,"Pepper, bell",37.83,33.23,28.97,32.60,34.33,34.78,40.64,50.60,51.73,45.40,46.52,63.64,41.69,51.28,53.01,60.56,52.31,44.19,45.63,35.18,33.84,40.17,59.01,59.26,58.05,49.37,40.80,42.07,45.49,39.26,44.10,57.82,59.26,59.65,59.75,52.43,31.73,39.81,47.68,46.48,47.70,46.46,44.03,45.02,49.38,55.29,59.33,63.41,69.69,66.40,69.79,55.25,52.05,44.13,44.93,43.23,44.38,40.71,42.17,41.36,45.44,57.23,56.85,62.61,47.92,56.17,49.67,51.21,55.24,61.16,59.90,62.55,66.05,64.40,53.93,51.56,55.96,57.32,46.98,49.33,49.75,56.47,69.63,78.89,58.09,53.17,58.74,78.57,87.27,93.88,65.06,72.21,62.01,57.68,55.53,42.13,47.38,56.97,61.22,64.01,68.84,66.07,72.86,60.58,65.16,62.30,70.54,58.80,59.89,74.38,69.63,73.19,79.82,82.32,70.48,71.78,69.86,58.27,60.34,55.05,64.49,82.06,79.01,87.76,85.36,76.79,70.33,75.99,79.88,72.94,60.54,59.00,57.06,56.37,57.56,72.50,57.43,66.34,68.19,79.68,110.62,116.71,71.83,108.34,90.43,56.36,52.19,47.69,62.77,70.68,68.57,79.40,82.21,77.81,91.48,73.99,80.51,84.09,93.19,95.96,83.80,76.32,76.76,78.99,73.17,85.65,88.72,119.27,86.37,82.37,83.72,79.94,67.68,71.40,74.30,90.78,105.30,111.64,103.96,80.26,88.03,86.62,76.45,88.45,82.60,58.47,111.29,128.62,87.89,97.93,96.55,97.74,117.08,116.04,96.59,79.26,88.13,167.05,65.91,67.09,64.67,118.51,108.53,98.08,110.31,80.24,177.15,102.08,130.01,69.89,94.65,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,"Pepper, finger",23.59,22.65,22.11,26.88,28.77,23.36,17.89,17.12,20.45,27.46,34.32,37.88,25.21,40.10,38.28,28.44,24.93,27.69,27.12,25.21,35.10,36.07,63.14,45.67,35.92,35.64,27.69,22.72,21.82,19.59,21.41,21.10,26.57,35.03,38.25,36.31,27.98,34.18,27.72,34.20,30.48,28.12,24.00,23.85,21.38,22.82,29.78,34.01,45.04,56.55,41.44,32.64,33.60,29.24,26.83,25.20,21.78,21.99,30.93,37.79,31.26,35.67,32.92,38.93,30.51,42.17,31.13,28.58,30.50,31.62,26.55,46.34,38.43,34.79,46.28,46.69,40.93,37.00,39.85,32.79,32.51,32.92,45.70,34.75,33.88,38.72,37.62,48.76,69.60,60.58,42.31,53.40,40.27,30.64,31.23,28.07,26.50,40.11,39.22,47.68,57.07,52.84,59.55,42.22,52.17,40.40,36.22,35.79,38.57,41.11,49.22,59.32,62.46,63.06,54.72,38.64,47.64,35.55,32.91,35.39,36.66,35.96,32.69,41.05,44.10,43.61,51.86,54.92,56.49,41.77,51.35,38.77,39.87,34.26,35.79,33.70,29.86,37.55,34.06,47.27,104.75,116.13,50.28,75.17,56.43,45.14,35.29,32.33,35.30,34.51,54.23,63.92,64.66,55.52,58.36,50.91,58.55,53.43,49.05,48.50,48.10,58.01,51.35,49.26,51.87,71.88,105.34,77.56,60.24,65.55,62.46,49.38,42.94,42.78,40.69,51.86,83.62,77.76,59.80,54.69,58.70,57.52,49.91,49.95,59.69,45.63,75.72,79.78,45.22,65.72,68.44,67.16,70.74,80.29,63.19,38.51,36.54,31.78,49.87,59.38,62.47,60.45,72.19,66.29,84.42,130.08,105.09,66.42,51.95,51.09,39.65,..,..,..,..,..,..,..,..,..,..
