Geolocation,Type,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December,2025 Annual,2026 January,2026 February,2026 March,2026 April,2026 May,2026 June,2026 July,2026 August,2026 September,2026 October,2026 November,2026 December,2026 Annual
PHILIPPINES,Carabao for Slaughter,180.48,178.97,180.32,188.78,194.26,193.08,185.07,186.31,187.86,193.90,193.42,196.58,188.25,190.34,193.44,196.25,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Cattle for Slaughter,196.03,194.02,199.77,213.79,210.13,221.09,212.08,210.98,213.62,218.88,217.06,220.88,210.69,200.85,201.94,209.48,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Goat for Slaughter,230.77,231.01,228.69,243.51,237.48,245.24,246.86,249.53,255.66,244.94,250.30,255.69,243.31,247.03,243.12,250.81,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Hog for Slaughter,203.74,212.27,213.48,210.32,210.89,214.52,193.82,191.22,189.50,183.65,177.78,187.06,199.02,172.56,176.31,179.23,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Broiler Chicken,125.32,126.13,127.87,123.12,124.61,132.17,130.99,127.62,126.01,120.17,124.93,128.39,126.44,119.94,118.56,123.02,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Gamefowl for Other Purposes,2899.09,3350.15,3379.43,3731.22,3841.71,3871.41,5229.77,5285.51,4651.58,3581.59,3405.59,3530.97,3896.50,4110.48,4039.48,3899.70,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Gamefowl for Dressing,749.95,947.36,831.40,717.21,769.62,808.31,258.96,263.29,273.34,269.93,321.04,259.96,539.20,519.58,441.25,440.86,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Layer Chicken,86.76,90.09,91.89,90.22,90.03,92.95,93.91,94.11,92.44,83.44,83.75,88.47,89.84,92.25,83.26,86.68,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Native/Improved Chicken,221.80,220.73,219.96,217.32,210.75,214.10,208.19,211.56,209.48,212.53,212.84,218.49,214.81,224.11,225.29,228.47,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Duck,190.96,195.03,201.41,189.93,189.46,193.04,195.45,200.66,201.94,192.85,195.99,200.06,195.56,198.47,207.64,199.12,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,"Chicken egg, Layer",6.92,6.98,7.05,6.77,6.81,6.94,7.23,7.28,7.32,6.93,6.98,7.00,7.02,6.87,6.87,6.92,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,"Chicken egg, Native",9.03,9.16,9.16,8.88,8.93,8.99,8.99,9.04,9.07,8.93,8.97,9.13,9.03,8.86,8.83,8.88,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
