Geolocation,Type,2010 January,2010 February,2010 March,2010 April,2010 May,2010 June,2010 July,2010 August,2010 September,2010 October,2010 November,2010 December,2010 Annual,2011 January,2011 February,2011 March,2011 April,2011 May,2011 June,2011 July,2011 August,2011 September,2011 October,2011 November,2011 December,2011 Annual,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December,2022 Annual,2023 January,2023 February,2023 March,2023 April,2023 May,2023 June,2023 July,2023 August,2023 September,2023 October,2023 November,2023 December,2023 Annual,2024 January,2024 February,2024 March,2024 April,2024 May,2024 June,2024 July,2024 August,2024 September,2024 October,2024 November,2024 December,2024 Annual,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December,2025 Annual,2026 January,2026 February,2026 March,2026 April,2026 May,2026 June,2026 July,2026 August,2026 September,2026 October,2026 November,2026 December,2026 Annual
PHILIPPINES,Carabao for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85.22,101.64,100.91,91.62,93.60,93.70,92.66,75.70,87.10,100.93,84.83,107.67,92.97,85.14,85.26,106.06,97.59,98.71,96.10,102.44,99.01,98.42,100.26,91.39,103.66,97.00,105.72,108.97,96.76,82.46,90.45,94.81,79.58,101.20,115.13,74.41,97.02,110.34,96.40,92.21,108.95,122.62,113.64,98.07,93.34,101.69,120.28,113.43,95.28,119.86,110.69,107.51,115.25,115.24,121.20,105.37,101.93,108.01,116.66,114.72,108.71,118.43,106.08,112.22,111.99,111.25,96.50,125.38,109.48,82.35,104.28,134.15,135.90,115.45,117.01,105.30,93.85,110.91,129.14,125.26,123.94,129.99,125.17,122.50,133.28,124.83,122.95,123.30,111.76,141.65,126.15,120.27,87.88,124.69,176.58,139.63,171.60,155.62,179.57,130.56,188.33,150.38,177.08,150.18,87.11,92.00,91.67,157.48,134.09,134.35,121.42,99.22,106.33,109.75,106.67,118.00,113.17,141.22,139.00,137.93,137.12,123.01,136.74,129.33,131.69,141.67,139.07,142.45,161.85,138.42,151.39,166.72,150.92,110.20,130.91,132.83,153.86,166.13,165.25,151.12,152.51,156.20,149.00,134.48,143.32,144.34,153.55,154.93,162.32,138.63,123.87,126.42,139.58,150.56,159.11,144.26,162.12,146.98,162.22,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Cattle for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95.23,95.19,97.32,103.54,95.01,99.24,92.91,92.97,97.31,109.37,110.77,102.99,99.32,97.64,95.61,107.26,98.03,95.12,102.82,99.03,102.94,107.85,101.19,101.49,102.39,100.95,125.66,116.52,108.37,108.01,109.63,103.69,103.67,102.44,112.20,102.90,99.56,111.38,108.67,111.06,108.34,110.46,104.85,108.53,112.78,123.10,113.63,117.19,112.94,115.68,113.08,112.64,111.26,105.30,113.94,113.35,126.44,120.20,137.78,132.30,125.71,133.84,119.06,127.50,122.22,143.82,125.52,135.20,134.21,120.53,118.77,120.06,123.64,125.95,130.89,124.89,117.10,126.72,134.18,131.72,143.86,135.08,130.95,131.32,142.04,131.08,133.29,138.16,140.23,146.36,136.52,161.50,157.59,178.97,177.37,166.26,154.48,183.24,213.18,176.67,158.88,165.93,154.69,170.73,134.31,166.83,144.85,183.34,175.96,162.15,194.40,179.97,177.07,172.75,172.45,183.22,170.61,173.62,172.97,182.37,173.57,171.15,171.05,176.10,184.55,180.65,184.72,189.27,200.82,180.07,182.98,174.35,194.80,176.45,188.76,192.33,184.65,174.66,193.46,189.85,231.96,190.87,189.59,208.84,214.46,217.49,207.60,212.72,219.67,207.00,215.06,216.66,217.68,220.10,218.14,214.62,213.34,214.60,214.37,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Goat for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,127.05,130.66,121.35,124.21,123.56,123.51,137.88,135.13,126.99,126.82,121.06,124.06,126.86,133.89,129.53,123.45,125.93,130.82,120.48,124.73,124.29,122.44,125.38,120.65,125.41,125.58,133.90,127.22,122.83,126.74,130.80,121.44,138.15,141.70,132.90,125.71,125.32,136.45,130.26,125.99,126.72,127.16,126.82,130.57,129.32,146.41,158.84,143.32,141.48,135.08,129.41,135.09,139.43,145.20,145.39,145.99,146.94,144.04,141.09,145.91,133.22,139.30,152.83,144.27,143.63,155.15,153.83,145.15,153.24,162.76,153.49,165.86,161.70,146.68,170.86,171.12,162.65,158.54,155.13,149.61,153.58,180.12,172.83,170.20,156.78,155.85,162.08,165.54,168.48,169.80,163.33,166.05,171.03,187.23,178.99,184.00,210.24,219.76,230.69,214.31,205.86,178.47,204.38,195.92,294.54,188.30,221.17,193.77,230.96,244.45,211.92,227.61,253.38,203.23,213.26,229.09,225.97,239.74,218.09,244.41,254.16,244.39,230.85,264.11,242.84,262.67,238.31,244.87,232.89,243.11,237.61,258.49,256.57,261.01,236.70,251.84,238.69,246.65,249.28,261.90,215.59,231.47,245.48,281.17,291.03,261.94,255.10,257.03,258.25,302.44,302.00,301.31,269.33,269.69,270.33,276.64,289.39,291.56,292.14,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Hogs Upgraded for Fattening,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,209.55,215.73,231.80,210.26,211.49,214.66,215.69,216.02,212.90,207.96,206.53,204.56,213.10,218.96,217.58,231.08,219.38,224.83,216.80,214.03,217.66,223.58,215.39,203.30,206.15,217.40,214.13,209.93,197.59,229.13,221.21,205.28,208.38,216.00,216.70,197.41,217.92,207.65,211.78,218.82,209.37,207.24,213.18,207.70,208.96,208.89,207.84,231.84,209.23,202.66,193.31,209.92,219.13,224.83,221.45,208.66,216.91,219.58,234.38,229.17,235.04,226.20,238.76,234.39,225.71,245.76,234.04,206.06,238.62,245.84,231.16,210.92,201.90,218.40,217.11,227.24,215.47,224.38,265.49,268.33,271.23,217.20,213.48,223.00,245.51,238.55,231.87,243.68,239.36,297.24,246.25,330.70,334.84,303.09,331.00,368.34,313.24,196.49,384.62,310.10,207.64,195.73,212.75,290.71,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Hog for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,106.22,108.33,109.65,112.72,114.15,114.26,110.23,109.43,106.99,108.53,106.68,106.90,109.51,107.70,108.34,107.76,108.58,109.02,108.62,106.45,106.31,105.92,103.18,103.93,104.27,106.67,102.01,101.61,100.75,101.94,102.18,100.26,102.57,102.33,102.23,102.55,101.33,104.46,102.02,105.33,107.30,109.70,116.75,118.09,118.47,116.33,116.02,114.88,113.83,115.00,113.99,113.81,117.31,118.47,120.40,122.04,124.64,125.62,122.74,123.37,121.67,118.85,119.08,119.96,121.18,115.34,115.07,115.14,114.76,115.19,115.55,113.89,112.87,109.39,106.25,104.60,106.62,112.06,106.26,107.74,109.15,111.04,112.90,117.62,117.90,116.49,116.25,130.22,135.78,140.17,118.46,167.29,167.57,173.52,177.95,178.02,172.86,169.44,159.87,149.21,151.77,161.90,172.38,166.82,178.95,187.40,198.13,175.45,178.49,173.46,165.06,162.67,165.89,153.49,159.30,162.97,171.77,176.90,179.20,179.19,173.54,171.15,174.88,161.86,164.43,164.90,162.77,161.05,170.79,170.06,184.44,188.39,191.23,194.53,195.07,197.26,173.85,168.90,170.78,171.28,177.72,178.56,182.67,207.34,214.63,215.77,212.70,213.99,217.66,191.07,189.32,185.23,181.88,180.45,189.92,200.00,168.85,169.10,176.23,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Broiler Chicken,87.62,86.43,81.83,85.78,88.89,84.75,84.17,80.90,77.60,77.57,80.77,80.96,83.11,80.02,79.46,80.20,79.12,80.76,82.18,81.81,79.89,84.38,86.98,85.36,87.34,82.29,85.19,86.81,86.04,80.96,81.55,88.28,83.63,82.82,83.24,81.98,82.05,85.72,84.02,83.66,81.15,83.66,80.04,81.31,81.09,81.33,80.56,79.84,80.49,82.39,84.31,81.65,83.41,83.81,82.43,85.28,86.60,86.86,89.43,89.30,88.43,87.52,86.95,87.97,86.50,90.32,89.91,86.08,83.28,85.07,89.98,86.00,87.52,87.38,85.45,86.01,89.34,87.20,89.33,91.13,88.96,87.89,90.63,90.58,90.02,85.00,81.62,81.29,80.49,82.00,86.58,85.13,83.60,84.62,85.19,87.37,88.00,84.35,74.59,77.06,86.69,87.98,88.67,84.44,88.46,87.76,88.26,91.43,87.94,91.37,93.97,92.59,86.82,85.49,84.28,84.60,88.58,82.86,83.36,82.41,80.21,81.06,89.99,85.93,86.55,93.64,99.85,95.99,100.03,88.49,88.53,86.77,85.97,82.57,78.12,95.47,88.91,85.02,96.06,108.77,100.61,102.59,91.62,110.60,113.67,111.59,101.95,101.69,98.43,98.55,87.15,92.26,95.85,101.48,103.80,101.42,109.23,99.63,108.23,106.08,109.06,111.29,121.03,133.70,127.34,119.78,117.57,125.19,115.68,116.48,115.81,116.14,119.20,115.30,116.74,118.01,120.95,120.72,111.80,116.06,115.22,116.87,114.31,114.85,114.56,128.05,129.33,130.87,132.45,130.40,134.37,107.18,112.16,114.68,121.94,124.85,125.62,127.20,122.71,124.25,131.86,130.86,127.40,125.81,119.94,124.71,128.25,126.12,119.72,118.32,122.86,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Gamefowl for Other Purposes,2265.79,2640.30,2737.10,2525.40,2563.92,2580.55,2592.07,2628.36,2562.40,2933.59,2687.76,2750.99,2622.35,2793.59,2742.08,2900.55,2425.08,2499.54,2319.80,2970.45,3066.28,2846.93,2824.08,4012.71,3209.93,2884.25,3641.74,3608.46,3156.44,3082.50,3128.25,3020.77,2971.08,3132.35,2982.67,2904.67,2798.60,2885.42,3109.41,3165.79,3019.95,3218.69,3355.16,3067.59,2888.41,2924.95,2968.67,2966.13,2853.32,3055.74,2915.92,3033.36,2976.06,2842.01,3160.69,2795.43,2868.60,3125.79,2984.49,3129.65,3106.35,3248.99,3368.19,3230.48,3069.73,3501.95,3510.90,3706.60,3542.93,3678.88,4074.62,3824.60,4115.58,4332.25,4311.68,4091.50,4568.33,3938.32,4400.16,3224.71,3666.15,3541.20,3866.61,3705.30,3107.12,2758.58,2050.07,2130.95,2217.57,2507.45,3097.99,1735.09,1842.95,2092.74,2232.09,2565.60,1876.44,2480.10,2248.34,2284.87,1629.98,1900.32,2691.48,2131.67,2518.52,2698.11,3112.00,3047.62,3593.64,3102.86,2252.87,3048.39,3370.05,3071.15,3098.04,3142.00,3004.60,1230.77,1169.13,1161.29,1166.67,1223.13,1238.94,1280.00,1250.00,1125.83,1250.46,1159.09,1140.58,1199.66,1287.27,1159.09,1285.71,1230.19,1236.26,1122.81,1233.33,..,1253.57,1126.56,1076.51,1235.00,1204.21,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5645.59,7519.25,5685.22,6313.82,6128.94,6561.45,6860.64,5984.45,6149.74,6115.75,6159.92,6058.36,6265.26,7561.93,7165.97,7556.02,6808.04,6121.28,7294.57,6800.89,6883.04,7169.52,8475.55,7885.37,9289.97,7417.68,5776.00,5840.52,5744.95,5612.13,6330.96,6006.23,8461.96,7609.59,9972.33,7244.75,7217.77,8117.32,6994.54,8280.39,6995.24,7369.77,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Gamefowl for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1020.90,1011.94,1015.40,1346.10,1520.02,1708.36,352.54,359.42,364.64,306.71,308.36,309.41,801.98,332.17,331.31,343.79,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Layer Chicken,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69.49,72.35,71.36,67.89,65.84,67.08,70.72,73.23,71.55,71.71,71.82,70.45,70.29,68.65,69.76,70.72,71.01,68.81,69.54,66.02,66.52,68.55,68.11,67.32,70.14,68.76,69.58,71.19,71.96,72.19,73.04,70.31,71.03,70.26,69.81,71.90,69.66,67.19,70.68,66.82,70.26,69.79,65.77,65.32,66.16,65.14,65.90,61.57,69.13,69.30,69.86,67.09,71.35,74.27,70.90,67.81,70.31,65.01,66.18,65.32,66.73,67.60,71.05,73.45,69.17,68.47,71.64,69.72,69.98,71.12,68.62,68.11,71.51,70.78,74.10,76.11,76.34,71.38,71.24,72.12,73.30,70.09,68.99,69.50,71.74,69.88,67.91,70.00,73.89,74.81,71.12,81.65,79.48,84.04,80.06,72.74,77.24,75.48,77.46,77.89,80.70,81.72,80.57,79.09,100.55,92.40,100.60,84.70,90.43,94.15,108.04,109.81,112.07,100.96,104.32,95.26,99.44,110.11,110.59,103.60,101.44,102.05,97.45,94.11,93.52,93.16,102.18,105.97,104.51,101.56,92.50,90.33,91.83,94.59,94.99,99.41,101.07,98.99,107.54,98.59,97.16,99.97,97.25,85.54,89.08,90.59,88.73,90.03,91.86,93.38,93.55,91.88,82.86,83.27,88.08,89.07,91.62,82.27,85.78,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Native/Improved Chicken,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,218.99,215.62,229.74,211.26,210.36,209.27,209.67,221.58,216.19,209.27,203.24,209.94,213.76,228.10,218.42,224.45,241.15,219.69,225.63,230.82,230.86,239.47,219.68,224.51,224.74,227.29,235.92,236.00,233.25,238.60,240.22,248.40,268.64,268.33,267.74,231.42,226.88,229.77,243.76,221.91,222.50,223.12,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
