Geolocation,Type,2010 January,2010 February,2010 March,2010 April,2010 May,2010 June,2010 July,2010 August,2010 September,2010 October,2010 November,2010 December,2010 Annual,2011 January,2011 February,2011 March,2011 April,2011 May,2011 June,2011 July,2011 August,2011 September,2011 October,2011 November,2011 December,2011 Annual,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December,2022 Annual,2023 January,2023 February,2023 March,2023 April,2023 May,2023 June,2023 July,2023 August,2023 September,2023 October,2023 November,2023 December,2023 Annual,2024 January,2024 February,2024 March,2024 April,2024 May,2024 June,2024 July,2024 August,2024 September,2024 October,2024 November,2024 December,2024 Annual,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December,2025 Annual,2026 January,2026 February,2026 March,2026 April,2026 May,2026 June,2026 July,2026 August,2026 September,2026 October,2026 November,2026 December,2026 Annual
PHILIPPINES,Carabao for Breeding,64.64,65.19,65.04,65.24,65.27,70.11,66.46,65.09,65.58,65.52,68.32,65.62,66.01,66.25,65.65,65.72,65.31,66.57,65.76,66.04,65.56,65.86,66.55,66.05,66.76,66.01,67.34,68.47,67.53,67.83,68.70,66.90,67.16,68.04,68.23,68.75,67.28,67.87,67.84,66.15,68.42,68.78,74.10,72.00,71.93,73.05,77.13,76.86,76.59,76.52,77.40,73.24,75.95,76.69,76.09,75.19,77.16,75.41,77.38,77.74,77.79,78.11,79.60,81.88,77.42,80.01,79.03,79.85,81.94,81.25,81.93,80.23,81.86,78.59,83.71,84.27,82.20,81.24,84.74,85.18,83.93,85.38,82.33,86.04,101.87,99.50,111.40,103.03,105.00,88.97,93.11,87.82,94.53,87.82,99.83,89.37,93.35,90.00,84.41,89.80,87.68,89.29,82.95,89.74,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Carabao for Fattening,85.16,85.98,86.65,89.69,90.52,90.80,89.28,88.99,90.45,90.93,91.02,91.49,89.25,107.35,108.37,107.19,107.12,106.54,95.06,106.62,106.37,106.29,106.40,106.46,106.60,105.86,104.53,104.71,106.25,106.23,103.87,104.00,104.03,103.85,106.06,106.09,106.05,106.12,105.15,104.31,104.35,106.43,106.76,104.03,104.34,106.64,106.73,105.40,106.35,104.56,104.63,105.38,105.61,106.15,106.63,106.16,103.95,104.01,106.25,105.42,104.59,106.15,106.31,106.66,105.66,105.89,106.09,106.26,106.88,108.52,105.22,106.56,106.50,105.76,106.21,106.69,107.12,106.48,89.98,90.17,89.81,89.31,89.22,90.15,90.00,90.19,90.19,91.23,91.18,91.45,90.24,91.08,91.36,91.09,91.06,91.03,91.15,90.43,90.39,90.35,90.99,91.37,91.22,90.96,90.93,90.91,90.70,91.19,90.62,120.74,91.70,91.95,93.05,92.52,93.20,93.17,94.22,92.78,95.92,103.97,107.46,121.38,100.66,98.31,99.95,99.39,98.97,106.48,119.38,103.72,122.08,125.29,125.44,127.96,124.47,124.98,123.77,120.41,124.57,124.21,124.22,122.84,124.19,125.39,126.36,127.97,127.98,128.53,129.16,128.62,129.11,130.13,131.04,133.14,136.57,129.50,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Carabao for Slaughter,70.52,71.25,71.25,71.18,70.92,71.43,71.34,71.60,71.29,71.58,71.62,71.93,71.33,72.13,71.88,72.31,72.68,72.86,73.00,73.67,72.98,73.05,73.03,72.98,73.60,72.85,73.68,73.98,74.12,76.05,76.33,74.22,74.10,74.33,74.69,75.18,74.97,75.74,74.78,76.46,75.77,76.24,76.18,76.06,76.09,76.79,77.13,76.82,77.56,78.49,77.19,76.73,77.33,77.75,77.65,77.95,78.49,79.23,79.06,79.19,79.63,79.44,79.76,80.58,78.84,80.64,80.80,81.21,81.85,81.23,81.18,81.48,81.64,81.87,83.07,81.88,83.97,81.74,82.69,83.19,84.89,84.73,85.02,85.77,84.77,86.48,86.85,86.79,87.63,88.29,85.59,89.02,89.91,88.99,90.22,91.58,91.42,91.60,94.60,93.74,93.93,96.17,97.72,92.41,97.72,99.98,99.75,100.38,100.92,101.46,101.39,103.46,100.73,103.32,103.81,102.84,101.31,104.06,103.69,103.76,104.59,105.70,104.55,106.69,104.56,107.26,105.88,106.56,109.07,105.53,108.77,108.72,110.80,107.89,110.25,107.57,109.74,109.90,109.85,111.56,112.82,115.49,110.28,118.61,120.87,120.91,123.38,124.93,127.80,123.25,126.52,126.97,127.84,125.65,127.38,124.51,143.67,134.35,148.19,160.18,164.68,166.31,148.64,159.22,142.87,134.71,157.54,141.80,150.18,141.03,141.58,159.05,155.96,154.28,160.24,193.59,145.38,154.17,171.53,174.18,173.75,160.39,177.94,179.80,152.39,170.74,180.55,134.10,169.22,151.91,146.02,165.84,172.73,174.18,164.62,180.67,179.12,180.47,183.41,188.76,187.53,185.20,186.48,188.03,193.95,193.46,196.61,186.98,190.41,193.55,196.33,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Carabao for Work,71.11,76.79,74.23,77.26,76.75,77.57,77.51,80.27,78.55,75.11,79.88,81.58,77.22,81.66,76.26,75.34,75.97,75.35,75.31,74.24,73.04,71.72,72.07,71.57,70.87,74.45,71.93,75.11,74.39,71.23,70.64,70.30,70.53,70.73,71.72,71.49,70.98,72.32,71.78,71.73,72.35,73.12,73.84,73.81,74.00,76.03,75.98,75.84,75.79,76.05,76.89,74.62,76.79,77.65,78.16,78.59,79.02,78.89,79.10,79.16,78.67,78.25,77.77,78.10,78.35,78.17,77.40,75.91,75.76,74.92,75.26,73.64,74.06,74.01,75.52,75.19,75.62,75.46,77.09,76.80,77.38,80.43,80.70,79.27,84.59,86.96,88.56,80.72,84.75,79.99,81.44,83.11,84.32,83.37,84.66,85.79,90.45,92.00,88.89,90.43,89.35,90.92,91.09,87.87,92.06,91.07,90.60,91.90,89.77,98.91,90.23,92.62,89.40,91.86,93.26,96.53,92.35,98.77,97.15,99.51,100.65,101.05,99.25,101.47,102.72,102.07,101.96,104.56,104.76,101.16,107.50,106.26,104.34,103.54,108.90,108.22,107.37,107.65,110.03,109.51,110.67,108.89,107.74,106.18,110.86,111.02,111.84,112.81,114.47,114.93,115.60,116.53,117.21,118.31,111.45,113.43,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Cattle for Fattening,96.17,91.62,92.21,91.50,91.29,91.13,91.11,92.83,95.05,95.56,95.20,95.25,93.24,95.85,94.83,95.86,94.48,95.25,96.80,96.13,96.05,95.66,95.66,95.21,96.13,95.66,99.50,98.40,98.35,95.00,95.38,95.22,94.01,95.15,95.55,96.96,98.24,99.13,96.74,98.75,98.66,98.73,98.74,98.23,98.37,99.04,98.64,96.78,97.96,98.61,99.43,98.50,97.79,99.00,99.58,98.80,98.92,99.13,100.30,99.76,98.43,98.47,98.84,99.31,99.03,97.79,101.01,101.19,99.31,98.54,98.04,98.66,98.46,98.49,98.47,99.34,98.99,99.02,91.05,91.22,92.26,91.80,92.57,94.54,93.07,93.55,94.11,94.01,93.28,94.11,92.96,98.17,98.70,100.87,102.42,99.46,100.49,101.33,101.22,101.70,101.53,101.58,102.00,100.79,102.47,103.59,103.68,102.68,103.55,105.07,104.42,104.78,105.22,105.15,105.42,105.17,104.27,110.16,119.10,113.67,112.19,113.33,110.31,107.41,111.25,112.63,109.66,114.04,122.48,113.02,130.58,126.53,121.43,120.37,129.42,123.13,138.02,127.35,130.03,124.84,126.42,133.14,127.61,128.90,132.14,136.95,133.82,136.53,135.67,137.98,137.46,137.13,139.03,139.61,141.56,136.40,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Cattle for Slaughter,87.13,87.54,87.99,88.02,88.17,88.32,88.70,88.78,88.57,88.77,88.86,89.53,88.37,89.22,89.28,89.92,90.29,90.58,90.17,89.35,89.56,89.01,89.32,89.16,90.82,89.72,89.63,89.41,88.98,89.71,89.56,89.80,90.16,90.92,91.00,91.15,91.21,90.32,90.15,92.73,92.80,93.14,93.04,92.93,93.28,93.16,93.67,93.61,93.92,95.59,95.65,93.63,95.12,95.14,95.28,96.60,96.51,96.77,96.79,98.29,97.74,97.67,97.83,98.48,96.85,98.70,98.50,97.83,97.80,97.55,97.97,97.46,98.47,98.83,98.94,99.57,98.68,98.36,98.91,100.24,100.13,100.62,102.26,103.20,102.46,105.09,104.95,105.36,104.43,106.72,102.86,105.52,105.32,106.96,105.89,107.25,108.14,109.48,109.72,110.33,111.38,111.51,113.27,108.73,112.39,114.56,115.25,116.04,116.66,119.01,118.11,120.59,120.43,120.61,120.72,120.64,117.92,118.43,119.72,121.34,121.85,122.22,121.44,120.54,121.98,125.66,123.30,125.01,127.56,122.42,126.14,125.46,127.84,126.56,129.74,127.73,128.28,127.32,128.25,128.96,132.54,135.73,128.71,139.08,140.69,144.74,145.48,147.28,146.94,147.34,147.22,147.07,146.25,146.43,151.13,145.80,133.12,134.50,146.37,162.41,154.87,166.47,152.55,163.39,169.44,164.01,169.70,152.69,155.79,157.84,176.01,174.13,157.76,163.63,162.49,160.15,164.62,167.91,178.77,179.70,183.82,168.90,164.44,180.42,163.75,177.35,174.78,183.10,234.92,270.79,261.04,195.38,200.39,199.36,200.48,195.75,193.58,199.39,213.95,210.06,221.12,212.33,210.77,213.46,218.91,216.99,220.94,210.61,200.62,201.70,209.39,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Cattle for Work,84.69,83.24,83.27,84.43,84.01,84.31,82.16,85.59,85.06,86.22,87.58,87.23,84.82,92.66,93.71,94.73,94.64,92.36,93.66,94.21,93.46,93.32,93.22,93.75,94.35,93.67,94.80,94.47,93.95,92.28,94.11,94.37,94.42,94.09,94.69,93.59,93.95,94.34,94.09,94.76,95.63,95.66,95.57,96.74,97.69,99.10,98.88,98.64,98.03,97.63,93.02,96.78,95.57,97.90,97.98,99.26,99.84,99.81,101.97,101.32,100.18,99.45,99.03,98.10,99.20,95.42,94.40,94.70,94.86,93.68,92.48,90.78,91.11,97.70,97.63,98.32,99.05,95.01,98.14,96.70,96.71,97.30,98.22,100.38,99.43,99.16,99.73,99.35,99.82,99.73,98.72,99.28,99.09,100.59,100.68,101.36,101.61,102.34,102.02,102.68,102.88,103.24,103.17,101.58,103.38,103.53,104.53,104.12,104.59,105.33,105.44,106.06,106.41,106.71,106.82,106.98,105.33,107.19,108.13,108.75,109.40,109.60,110.76,102.38,118.08,113.33,110.37,113.52,111.16,110.22,112.63,110.99,..,..,..,123.34,..,122.78,..,123.68,124.05,123.37,120.12,123.53,126.33,126.06,128.20,115.45,121.56,121.73,123.52,122.92,123.87,124.40,122.82,123.37,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Cattle for Breeding,71.13,70.81,71.04,70.99,70.26,71.01,71.21,71.24,71.36,74.18,73.85,71.66,71.56,72.95,72.37,71.55,71.98,73.90,71.21,72.48,72.04,71.75,71.87,75.06,73.34,72.54,76.36,76.76,74.84,76.22,76.61,75.83,76.06,75.93,72.40,76.18,75.83,76.08,75.76,85.96,89.96,93.67,93.17,93.88,94.00,96.23,96.64,91.45,96.29,97.63,101.41,94.19,94.36,96.41,95.14,95.98,96.05,99.02,90.86,91.72,95.89,97.42,99.23,95.25,95.61,98.99,101.62,103.66,104.17,107.96,102.08,100.33,93.78,103.16,96.58,94.16,101.48,100.66,101.24,101.56,97.77,101.75,107.53,118.93,128.99,134.84,115.58,114.40,118.18,111.38,112.68,103.91,117.61,128.68,113.49,106.72,102.87,116.43,117.65,123.73,111.02,106.11,115.40,113.64,127.59,112.36,127.63,141.67,117.39,119.80,..,..,..,..,..,..,124.41,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Goat for Slaughter,91.56,92.30,94.77,95.89,96.40,96.93,95.85,95.86,95.76,95.69,96.51,97.31,95.40,98.73,98.91,99.95,99.59,99.81,100.71,100.03,99.99,99.77,100.76,101.11,101.55,100.08,99.70,101.60,101.97,102.74,102.89,103.05,102.97,103.29,103.32,103.28,104.45,105.65,102.91,105.30,105.27,106.11,106.27,107.23,107.50,108.62,108.72,107.93,108.63,109.65,111.26,107.71,111.50,111.53,112.65,112.73,111.78,113.50,113.59,113.89,113.80,114.12,114.21,115.10,113.20,113.29,112.72,113.91,114.65,114.80,113.92,114.51,114.94,116.22,116.75,116.13,118.81,115.05,118.12,117.26,117.38,118.26,120.71,118.61,120.68,120.03,119.76,120.38,120.28,119.79,119.27,122.12,122.68,122.98,123.36,126.42,126.24,125.00,129.76,128.97,127.45,128.48,130.73,126.18,131.98,132.78,135.49,135.95,137.34,136.47,135.02,137.85,139.60,142.34,141.86,142.73,137.45,143.64,142.53,143.52,146.14,147.11,146.63,144.71,144.73,146.03,148.61,146.81,147.05,145.63,148.04,147.62,147.24,145.70,149.06,150.37,148.55,150.10,149.54,151.57,154.43,157.05,149.94,161.67,163.76,165.68,169.83,168.81,170.09,168.21,167.87,170.00,172.32,173.14,176.21,168.97,165.90,172.31,210.51,225.68,184.71,210.62,201.90,217.22,218.79,202.36,205.44,230.66,203.84,213.46,199.89,231.05,213.22,226.67,214.63,236.34,236.56,233.58,224.69,220.00,232.22,223.53,252.62,239.61,268.15,235.40,236.41,241.86,234.59,245.03,261.48,213.44,254.65,244.20,243.95,230.57,230.78,228.56,243.33,237.18,245.05,246.14,248.85,255.07,244.73,250.14,255.56,243.00,246.86,242.93,250.64,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
PHILIPPINES,Goat for Breeding,88.58,92.68,92.91,92.64,92.74,96.01,94.68,94.96,95.91,94.81,95.51,99.46,94.24,92.38,94.21,100.93,98.68,107.42,109.42,95.30,89.11,87.66,88.71,88.81,86.63,94.94,81.05,81.03,83.64,80.79,79.39,79.12,81.43,79.08,81.88,78.68,77.43,82.69,80.52,80.79,79.73,87.36,81.15,80.47,85.47,81.45,84.60,83.37,83.32,88.99,90.72,83.95,87.81,87.14,88.20,91.30,88.16,88.06,88.89,86.72,88.16,86.31,84.78,86.46,87.67,83.86,82.92,86.85,88.29,89.24,85.50,86.89,82.88,84.19,85.57,85.91,86.98,85.76,85.39,86.14,86.79,100.31,108.15,99.07,96.76,137.50,115.00,105.93,111.38,100.06,102.71,89.11,103.20,113.40,102.34,102.39,113.66,133.94,127.49,123.12,131.47,121.52,129.01,115.89,120.58,117.48,129.88,114.06,..,127.00,..,..,..,..,..,..,121.80,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/,*/,*/,*/,*/,*/,*/
