Geolocation,Type,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2025 Annual,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2026 Annual
PHILIPPINES,Horse for Slaughter,134.97,167.31,151.17,133.43,146.72,158.00,*/,*/,*/,*/
PHILIPPINES,Rabbit for Slaughter,229.06,235.95,220.49,217.73,225.81,213.48,*/,*/,*/,*/
PHILIPPINES,Sheep for Slaughter,236.07,235.09,238.21,230.46,234.96,220.27,*/,*/,*/,*/
PHILIPPINES,Goose for Dressing,202.08,255.25,287.26,273.10,254.42,260.00,*/,*/,*/,*/
PHILIPPINES,Quail for Dressing,112.64,131.32,66.75,96.73,101.86,80.35,*/,*/,*/,*/
PHILIPPINES,Turkey for Dressing,325.50,304.43,297.92,302.14,307.50,296.40,*/,*/,*/,*/
PHILIPPINES,Quail Egg,1.70,1.57,1.63,1.59,1.62,1.87,*/,*/,*/,*/
..National Capital Region (NCR),Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
..National Capital Region (NCR),Rabbit for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
..National Capital Region (NCR),Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
..National Capital Region (NCR),Goose for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
..National Capital Region (NCR),Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
..National Capital Region (NCR),Turkey for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
..National Capital Region (NCR),Quail Egg,..,..,..,..,..,..,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Horse for Slaughter,250.00,250.00,..,..,250.00,250.00,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Rabbit for Slaughter,216.46,164.12,151.78,155.16,171.88,148.32,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Sheep for Slaughter,263.56,313.15,297.67,294.63,292.25,291.81,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Goose for Dressing,180.63,..,181.69,124.86,162.39,188.53,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Quail for Dressing,..,..,100.00,..,100.00,120.00,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Turkey for Dressing,202.61,..,338.89,329.71,290.40,332.02,*/,*/,*/,*/
..Cordillera Administrative Region (CAR),Quail Egg,1.50,..,1.50,1.50,1.50,..,*/,*/,*/,*/
....Abra,Horse for Slaughter,..,.,..,..,..,250.00,*/,*/,*/,*/
....Abra,Rabbit for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Abra,Sheep for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
....Abra,Goose for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Abra,Quail for Dressing,..,..,..,..,..,..,*/,*/,*/,*/
....Abra,Turkey for Dressing,..,..,300.00,300.00,300.00,300.00,*/,*/,*/,*/
....Abra,Quail Egg,..,..,..,..,..,..,*/,*/,*/,*/
....Apayao,Horse for Slaughter,..,..,..,..,..,..,*/,*/,*/,*/
