Geolocation,Type,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2023 Annual,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2024 Annual,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2025 Annual,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2026 Annual
PHILIPPINES,Horse for Slaughter,..,..,..,..,..,280.00,..,..,..,280.00,155.00,150.00,..,175.00,160.00,143.81,*/,*/,*/,*/
PHILIPPINES,Rabbit for Slaughter,..,..,181.67,279.76,230.71,307.29,248.00,235.70,300.00,272.75,185.19,276.77,161.72,204.55,207.06,172.63,*/,*/,*/,*/
PHILIPPINES,Sheep for Slaughter,..,215.56,225.79,234.28,225.21,244.77,269.22,268.91,238.03,255.23,231.04,224.80,222.79,226.12,226.19,232.27,*/,*/,*/,*/
PHILIPPINES,Goose for Dressing,..,..,175.00,..,175.00,300.00,..,175.00,170.00,215.00,170.00,241.68,271.05,231.43,228.54,249.07,*/,*/,*/,*/
PHILIPPINES,Quail for Dressing,61.50,63.00,107.00,71.13,75.66,113.75,76.79,109.27,109.17,102.24,145.93,132.59,63.68,83.60,106.45,71.27,*/,*/,*/,*/
PHILIPPINES,Turkey for Dressing,213.33,192.40,393.33,350.00,287.27,250.00,235.00,325.00,225.00,258.75,323.87,254.10,305.67,363.85,311.87,271.84,*/,*/,*/,*/
PHILIPPINES,Quail Egg,1.64,1.47,1.57,1.85,1.63,1.54,1.30,1.65,1.36,1.46,1.71,1.50,1.59,1.56,1.59,1.80,*/,*/,*/,*/
..National Capital Region (NCR),Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..National Capital Region (NCR),Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..National Capital Region (NCR),Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
