Geolocation,Type,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2023 Annual,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2024 Annual,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2025 Annual,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2026 Annual
PHILIPPINES,Horse for Slaughter,..,230.00,168.57,143.70,180.76,120.00,156.72,164.90,200.00,148.54,134.51,167.33,151.17,133.38,146.60,158.54,*/,*/,*/,*/
PHILIPPINES,Rabbit for Slaughter,244.07,341.47,294.16,257.45,284.29,209.98,247.16,230.06,289.60,244.20,230.39,235.35,222.02,218.43,226.55,216.05,*/,*/,*/,*/
PHILIPPINES,Sheep for Slaughter,254.81,239.52,250.00,240.00,246.08,270.83,245.83,246.00,263.80,256.62,236.40,242.21,240.70,230.98,237.57,218.88,*/,*/,*/,*/
PHILIPPINES,Goose for Dressing,285.36,246.63,223.25,..,251.75,360.27,249.27,301.56,315.38,306.62,234.16,255.21,287.14,273.11,262.41,260.01,*/,*/,*/,*/
PHILIPPINES,Quail for Dressing,..,..,94.33,70.00,82.17,100.69,94.17,118.00,103.65,104.13,79.36,128.46,62.81,106.80,94.36,88.21,*/,*/,*/,*/
PHILIPPINES,Turkey for Dressing,318.28,424.14,411.90,207.93,340.56,477.68,454.05,277.35,309.44,379.63,327.13,305.12,297.90,302.09,308.06,296.61,*/,*/,*/,*/
PHILIPPINES,Quail Egg,1.74,..,1.50,1.90,1.71,1.46,1.50,1.65,2.19,1.70,1.68,1.64,1.66,1.61,1.65,1.93,*/,*/,*/,*/
..National Capital Region (NCR),Horse for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..National Capital Region (NCR),Rabbit for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..National Capital Region (NCR),Sheep for Slaughter,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..National Capital Region (NCR),Goose for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..National Capital Region (NCR),Quail for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
..National Capital Region (NCR),Turkey for Dressing,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,*/,*/,*/,*/
