Geolocation,Commodity,2010 January,2010 February,2010 March,2010 April,2010 May,2010 June,2010 July,2010 August,2010 September,2010 October,2010 November,2010 December,2010 Annual,2011 January,2011 February,2011 March,2011 April,2011 May,2011 June,2011 July,2011 August,2011 September,2011 October,2011 November,2011 December,2011 Annual,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December,2022 Annual,2023 January,2023 February,2023 March,2023 April,2023 May,2023 June,2023 July,2023 August,2023 September,2023 October,2023 November,2023 December,2023 Annual,2024 January,2024 February,2024 March,2024 April,2024 May,2024 June,2024 July,2024 August,2024 September,2024 October,2024 November,2024 December,2024 Annual,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December,2025 Annual,2026 January,2026 February,2026 March,2026 April,2026 May,2026 June,2026 July,2026 August,2026 September,2026 October,2026 November,2026 December,2026 Annual
PHILIPPINES,Arrowroot,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,5.13,0.00,5.61,5.40,5.00,5.00,6.00,0.00,0.00,0.00,0.00,5.31,5.52,5.00,5.00,5.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.69,5.29,5.55,5.35,5.52,5.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.80,5.59,5.48,5.47,5.08,5.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.11,12.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.72,0.00,0.00,9.00,9.63,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.54,0.00,0.00,10.00,9.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.67,0.00,0.00,11.49,9.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.25,0.00,14.00,14.00,0.00,0.00,0.00,10.17,10.00,0.00,12.75,20.00,33.33,16.32,0.00,17.00,17.00,30.00,17.00,35.00,0.00,0.00,0.00,20.00,20.00,20.00,22.00,23.33,23.33,23.33,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,Carrot,15.71,13.08,14.79,19.05,22.53,32.61,31.46,30.39,22.36,22.43,22.76,22.40,22.46,22.92,26.89,27.14,24.02,19.15,20.73,20.66,23.17,24.62,31.52,34.75,37.99,26.13,31.50,26.58,24.47,25.22,24.94,29.77,33.64,33.71,33.01,30.35,25.35,25.23,28.65,22.65,22.28,23.08,26.86,32.82,32.33,30.42,28.17,27.79,32.81,34.52,31.64,28.78,31.27,26.80,24.94,25.95,30.22,36.04,33.61,30.17,27.10,27.54,31.42,35.37,30.04,28.84,25.78,28.59,26.91,26.71,25.79,30.95,30.20,33.99,38.31,33.52,34.03,30.30,24.42,22.19,29.53,29.15,49.78,48.37,46.60,25.63,23.09,30.56,33.25,39.54,33.51,48.43,42.74,36.29,32.38,21.03,27.99,30.93,30.07,50.24,51.94,46.27,39.91,38.19,35.35,34.04,32.57,32.79,26.92,29.58,35.54,43.99,59.63,43.37,35.65,33.33,36.90,25.61,22.57,36.78,36.16,35.17,46.02,51.86,38.44,31.73,29.65,30.24,29.03,34.44,25.40,26.60,26.44,29.45,28.86,39.24,49.18,31.29,26.69,31.84,44.17,55.35,34.54,53.06,48.35,38.41,28.69,24.57,30.24,43.55,44.61,41.04,40.19,50.38,45.90,40.75,37.35,40.11,35.16,32.89,30.14,37.17,36.71,53.75,56.89,53.90,53.59,50.29,43.16,31.76,29.93,31.76,31.38,37.28,58.81,82.47,59.57,58.21,59.67,55.48,45.57,48.49,38.50,35.27,33.20,19.06,44.28,48.61,57.31,59.80,53.92,47.64,53.67,56.70,45.66,41.28,44.61,15.08,13.22,37.07,25.78,53.90,73.61,67.52,56.84,55.60,45.55,44.17,39.73,167.51,42.13,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,"Cassava, dried chips",6.42,6.46,6.42,6.33,6.38,6.47,6.20,6.33,6.28,6.26,6.38,6.20,6.34,6.11,6.21,6.16,6.26,6.17,6.11,6.18,6.16,6.20,6.26,6.30,6.39,6.21,6.39,6.43,6.30,6.29,6.37,6.27,6.51,6.64,6.53,6.59,9.61,7.87,6.82,7.60,7.27,7.43,7.16,7.28,7.30,7.36,7.31,7.22,7.36,7.44,7.48,7.35,7.50,7.42,7.54,7.40,7.52,7.57,8.23,7.50,7.47,7.39,7.39,7.63,7.55,8.14,7.38,7.44,7.38,7.46,7.32,7.61,7.37,7.74,7.94,7.77,7.80,7.61,7.66,7.82,7.43,7.13,6.77,7.47,6.74,6.61,6.97,6.77,6.89,6.96,7.10,6.96,7.35,7.18,6.64,6.30,7.00,6.12,6.57,6.46,6.76,6.64,6.84,6.74,6.84,7.28,6.70,6.74,6.77,6.96,7.10,6.75,6.95,7.11,6.36,6.13,6.81,8.58,7.95,7.77,0.00,0.00,0.00,0.00,0.00,0.00,4.61,5.03,0.00,6.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,"Cassava for food, fresh tubers",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.71,8.27,8.55,9.00,8.76,8.87,8.45,8.85,8.86,9.54,9.71,9.02,8.88,9.62,9.28,9.16,9.35,9.93,9.66,9.88,9.45,10.20,10.31,9.91,10.11,9.74,10.54,10.48,10.48,10.58,11.47,10.67,11.36,11.61,11.51,11.61,11.90,11.53,11.15,12.70,12.31,12.97,13.22,13.18,12.90,11.90,12.03,12.58,12.91,12.68,13.66,12.75,13.64,13.06,13.44,13.10,12.15,12.63,12.24,11.88,12.13,11.94,11.48,12.18,12.49,12.78,12.29,12.94,13.43,12.79,13.25,13.22,12.98,13.31,12.94,13.47,13.24,13.05,14.62,14.08,13.93,14.96,15.73,14.76,14.92,14.99,15.98,16.32,15.57,16.43,15.19,16.76,17.33,18.28,15.81,19.88,19.39,22.53,20.13,21.65,19.68,21.37,21.16,19.50,16.78,17.31,17.40,16.21,15.88,20.57,14.07,20.24,16.33,16.80,16.41,18.50,17.21,16.86,17.41,16.35,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,"Cassava for industrial use, fresh tubers",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.24,4.41,3.38,4.82,4.63,4.17,4.05,4.30,4.43,3.86,4.13,4.28,4.23,4.84,5.22,4.42,4.59,4.95,4.77,4.76,4.73,5.15,5.27,5.65,5.37,4.98,3.97,4.27,5.75,6.07,5.87,5.95,5.63,5.55,5.81,6.30,6.27,6.07,5.63,5.62,5.60,6.13,6.53,6.69,6.51,5.85,5.22,6.59,6.09,6.06,6.60,6.12,5.13,5.27,6.27,5.82,5.29,5.39,5.24,5.48,4.71,6.04,5.59,5.70,5.49,4.34,4.77,4.51,4.93,5.20,5.01,5.85,5.33,5.09,5.70,6.41,6.12,5.27,5.99,5.51,6.01,6.24,6.06,5.81,6.49,7.00,5.44,5.64,6.67,6.21,6.09,8.14,7.56,9.30,5.75,9.48,10.17,4.43,10.00,9.24,11.52,12.37,9.32,8.94,6.87,4.83,4.32,4.70,6.37,12.82,14.85,7.37,13.62,4.12,7.16,14.66,8.47,4.71,4.57,8.87,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,"Gabi for ginataan, Cebu [Taro]",9.98,10.08,10.19,10.05,10.39,9.43,10.46,10.26,11.24,11.99,10.69,10.94,10.48,10.59,10.70,10.03,10.70,10.34,9.24,8.78,8.40,10.78,10.20,9.95,9.87,9.97,10.26,10.13,10.68,9.93,10.01,8.75,8.82,8.79,9.63,9.44,9.61,10.00,9.67,10.30,10.30,10.50,10.54,10.78,9.58,10.09,10.21,12.27,12.39,12.24,13.55,11.06,14.44,13.18,12.38,12.44,12.97,11.41,11.12,11.51,13.83,13.19,13.53,13.34,12.78,13.04,13.11,13.29,13.82,15.35,12.44,13.57,13.20,17.15,18.15,15.80,16.52,14.62,17.08,17.90,18.79,19.38,18.97,17.05,17.72,18.61,20.25,23.73,22.29,22.68,19.54,19.10,17.64,17.06,17.74,16.31,14.53,14.04,14.85,16.43,16.44,16.94,18.26,16.61,18.64,17.62,17.14,17.02,18.05,15.88,14.67,16.52,19.34,17.78,17.57,16.99,17.27,15.54,16.27,15.55,15.76,15.88,15.65,16.31,15.74,22.15,20.69,20.65,20.87,17.59,21.72,19.69,20.17,20.79,20.66,20.17,19.17,20.85,23.07,24.69,23.40,23.46,21.49,21.87,21.03,19.68,20.01,19.58,17.62,16.27,16.51,20.02,19.31,20.30,22.22,19.54,18.21,17.41,18.07,17.80,17.58,17.81,17.77,18.00,17.84,17.97,17.86,18.74,17.92,19.60,18.70,19.70,18.61,18.35,18.83,19.49,19.89,20.34,20.47,21.84,22.37,19.85,27.93,32.67,26.86,29.12,31.99,28.22,29.80,28.01,28.58,37.05,29.08,28.05,29.78,46.22,36.66,54.63,35.69,29.62,26.25,22.54,28.14,27.94,32.18,28.79,28.03,33.06,32.10,37.98,30.73,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,"Gabi for sinigang, Tagalog [Taro]",12.28,12.59,13.01,12.57,13.05,13.78,14.36,14.56,14.67,14.58,15.17,14.37,13.75,14.34,13.37,14.50,14.31,14.17,14.50,14.87,14.59,14.30,15.01,13.69,14.07,14.31,11.67,15.35,15.24,15.37,14.28,14.07,14.93,14.91,14.84,15.46,15.30,15.87,14.77,14.50,14.36,15.08,14.77,15.48,15.69,15.58,15.45,16.05,16.99,17.73,16.45,15.68,15.74,15.68,15.73,17.33,16.81,16.29,16.19,16.76,14.59,16.48,17.12,15.34,16.17,15.35,14.81,15.00,17.17,18.42,18.17,16.92,16.91,18.32,17.84,19.30,19.26,17.29,22.21,20.27,23.26,23.54,22.34,23.31,25.87,21.83,21.45,22.48,20.97,20.38,22.33,19.31,19.18,17.07,25.20,21.74,21.16,21.27,23.59,22.65,19.69,21.28,19.15,20.94,18.22,18.87,19.98,22.70,19.52,18.10,19.20,23.06,19.97,20.56,21.35,22.40,20.33,19.73,19.80,22.22,23.05,22.93,24.49,25.36,26.13,25.68,24.63,23.49,26.74,23.69,24.40,22.97,26.66,29.81,25.79,26.51,24.63,24.88,24.40,24.97,25.48,25.27,25.48,23.27,24.82,22.19,22.70,21.50,22.50,20.99,22.64,21.37,22.60,21.93,22.38,22.41,24.66,21.62,20.51,23.36,23.07,22.40,23.09,24.58,23.24,22.46,23.99,23.72,23.06,23.59,24.41,23.53,27.59,22.38,23.85,24.27,30.53,26.39,28.67,29.78,31.99,26.42,24.59,23.53,24.76,26.26,26.24,27.18,30.71,35.71,35.98,30.09,27.13,34.87,28.92,29.87,32.73,28.26,28.56,30.03,24.45,27.98,15.93,18.05,30.07,41.47,36.03,28.62,35.90,36.44,36.68,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,Pao Galiang,3.83,3.69,4.48,4.83,4.06,4.51,9.43,9.33,11.54,10.83,11.42,10.05,7.33,6.43,6.05,5.96,6.92,5.64,7.14,6.62,6.43,10.40,8.49,9.18,10.00,7.44,10.00,8.32,7.96,6.94,8.00,7.92,7.73,6.74,8.00,8.21,8.00,8.32,8.01,8.02,9.78,5.38,5.48,6.86,6.00,5.78,11.70,11.97,6.55,10.63,14.06,8.52,8.44,7.24,10.52,7.58,8.37,9.23,9.92,14.52,16.41,18.40,16.28,22.24,12.43,14.45,7.99,9.48,9.50,9.26,11.39,14.54,15.66,19.65,18.40,17.86,19.90,14.01,12.07,11.87,12.60,13.14,15.61,11.50,14.57,16.41,17.72,20.89,13.94,16.31,14.72,17.60,16.19,16.89,16.45,11.92,12.40,11.95,13.21,11.47,12.36,11.03,18.34,14.15,10.11,9.38,10.53,12.54,8.67,9.04,12.32,13.23,14.61,12.95,10.67,12.56,11.38,11.83,12.53,17.03,19.36,20.93,23.51,25.90,25.28,31.35,28.09,28.52,28.17,22.71,16.83,15.30,17.36,16.39,18.59,19.68,19.01,20.78,21.26,17.65,19.62,18.56,18.42,16.02,15.54,13.35,11.67,12.03,10.97,11.78,12.11,12.04,13.81,14.76,14.22,13.19,17.09,13.72,14.65,17.46,13.00,12.52,13.47,14.44,13.45,15.06,12.84,13.90,14.30,18.53,20.29,22.24,17.87,17.93,23.06,27.72,27.57,27.17,29.46,29.80,30.34,24.33,43.66,31.53,31.82,15.28,36.06,34.91,24.79,40.77,42.78,53.24,47.76,44.51,37.26,25.98,28.01,24.27,14.29,26.35,43.83,67.73,65.87,94.05,25.87,23.44,49.13,40.74,38.08,45.73,25.84,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,Gabi with stalk [Dasheen],11.58,11.73,11.50,11.27,12.01,11.72,11.40,11.84,12.32,11.87,11.79,11.39,11.70,11.93,11.61,11.17,10.92,10.90,11.25,11.01,11.39,11.62,11.12,11.13,10.85,11.24,11.95,12.01,11.83,11.68,11.69,11.85,11.54,11.63,11.94,11.61,12.23,12.65,11.88,10.79,11.15,11.33,12.02,10.98,11.05,11.02,12.88,12.06,12.69,12.80,13.41,11.85,14.25,12.98,13.44,13.82,13.85,13.35,13.84,13.59,13.38,13.51,13.77,14.53,13.69,14.95,15.49,15.26,15.46,15.08,14.35,15.22,14.57,14.74,15.98,15.79,17.78,15.39,17.35,18.35,17.58,14.01,17.24,14.55,14.78,18.79,20.80,18.76,20.31,19.43,17.66,18.22,19.73,18.35,17.79,17.16,17.99,15.95,16.80,17.95,17.79,17.22,19.07,17.84,19.13,19.34,18.66,18.01,18.09,17.44,17.49,18.61,19.11,19.88,19.21,19.38,18.70,18.00,16.81,17.44,18.47,17.82,18.73,17.91,17.32,19.00,18.97,21.54,19.20,18.43,19.11,19.01,20.96,19.53,20.61,20.00,18.99,20.50,20.34,20.48,22.64,23.51,20.47,23.75,21.77,21.60,19.05,19.86,19.49,20.07,19.29,18.86,20.25,18.22,20.03,20.19,19.67,18.79,17.69,19.62,19.46,19.37,18.57,19.69,18.51,19.48,17.94,19.21,19.00,24.30,20.41,20.95,22.04,21.55,20.86,21.99,21.78,22.12,21.10,21.75,20.73,21.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,Radish,12.11,12.73,12.62,13.85,14.13,13.47,12.87,13.29,15.79,13.65,14.85,14.73,13.67,14.97,15.90,13.15,12.98,13.50,14.15,14.81,17.09,12.60,16.84,16.83,16.75,14.96,14.72,14.16,14.13,13.54,14.80,15.69,14.98,14.98,14.74,15.46,16.41,15.90,14.96,17.25,16.52,15.82,16.09,17.35,18.23,15.96,18.26,19.61,18.09,19.72,17.73,17.55,18.37,17.90,15.49,16.34,16.55,17.94,16.81,18.53,19.71,16.90,17.79,19.37,17.64,20.81,16.23,15.47,18.38,18.90,16.53,17.72,17.85,20.35,17.72,19.96,19.58,18.29,17.72,18.28,19.81,20.08,23.57,22.45,17.68,20.24,18.38,21.96,21.53,23.01,20.39,20.06,18.22,14.68,14.75,16.34,18.90,19.52,19.13,22.74,22.28,22.78,23.12,19.38,22.91,19.96,17.98,17.46,19.95,21.13,18.81,27.10,30.08,23.04,21.61,21.10,21.76,23.26,24.82,22.34,27.88,24.29,23.05,21.63,25.79,25.38,22.98,22.36,21.71,23.79,20.72,20.06,22.25,23.77,29.24,22.75,20.60,22.22,23.56,27.00,31.43,35.48,24.92,26.14,22.65,21.06,21.24,21.83,24.11,22.52,29.65,30.49,24.96,26.48,27.08,24.85,26.50,22.17,21.30,21.46,25.30,27.21,27.19,27.07,27.12,29.28,34.95,32.10,26.80,26.66,27.82,21.69,20.10,23.86,27.22,26.02,35.01,34.79,26.21,21.94,24.96,26.36,32.87,36.97,37.52,21.89,36.99,41.39,25.43,48.29,46.06,33.18,46.93,48.43,38.00,61.35,40.00,34.27,41.38,32.95,44.03,48.35,50.60,36.41,33.57,53.38,38.36,42.89,36.06,36.98,28.22,..,..,..,..,..,..,..,..,..,..
