Geolocation,Commodity,2006 January,2006 February,2006 March,2006 April,2006 May,2006 June,2006 July,2006 August,2006 September,2006 October,2006 November,2006 December,2006 Annual,2007 January,2007 February,2007 March,2007 April,2007 May,2007 June,2007 July,2007 August,2007 September,2007 October,2007 November,2007 December,2007 Annual,2008 January,2008 February,2008 March,2008 April,2008 May,2008 June,2008 July,2008 August,2008 September,2008 October,2008 November,2008 December,2008 Annual,2009 January,2009 February,2009 March,2009 April,2009 May,2009 June,2009 July,2009 August,2009 September,2009 October,2009 November,2009 December,2009 Annual,2010 January,2010 February,2010 March,2010 April,2010 May,2010 June,2010 July,2010 August,2010 September,2010 October,2010 November,2010 December,2010 Annual,2011 January,2011 February,2011 March,2011 April,2011 May,2011 June,2011 July,2011 August,2011 September,2011 October,2011 November,2011 December,2011 Annual,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual
PHILIPPINES,Anthurium,95.93,89.48,91.58,80.08,100.13,100.09,89.60,75.05,75.34,90.68,71.88,67.61,85.62,37.98,43.95,103.53,45.46,46.07,44.50,40.45,40.42,40.70,49.58,29.78,30.77,46.10,35.40,38.26,38.30,33.52,32.48,33.18,35.64,35.50,58.16,69.71,71.66,84.88,47.22,41.39,41.95,44.99,45.54,44.24,40.22,40.22,37.54,38.30,51.84,45.32,34.91,42.20,20.51,39.45,37.52,43.55,29.54,33.52,37.46,36.61,34.70,35.23,36.10,43.11,35.61,42.05,42.10,42.08,46.84,34.20,39.19,35.15,42.97,75.69,101.76,80.99,99.14,56.85,81.90,82.26,62.02,60.85,61.13,46.29,66.41,66.77,80.62,105.80,98.56,96.06,75.72,63.87,80.19,72.82,60.83,60.29,69.50,66.65,71.66,70.17,101.31,96.12,94.13,75.63,129.92,135.69,46.84,55.00,52.50,62.32,65.80,67.48,64.94,121.70,98.61,87.99,82.40,54.44,75.68,55.55,55.11,57.74,54.66,49.86,46.91,52.77,95.31,91.06,71.94,63.42,68.12,110.04,54.02,63.38,106.40,98.77,46.18,34.31,65.48,94.55,72.24,76.19,74.14,17.64,70.95,26.37,20.98,44.15,18.30,20.39,22.75,24.59,32.44,26.80,42.93,30.69,32.67,62.05,73.72,52.92,76.66,66.99,51.21,74.31,64.15,82.71,74.63,79.42,65.95,108.84,84.75,97.40,110.13,104.65,113.70,100.03,111.10,126.47,98.21,83.83,80.87,101.66,83.53,112.59,55.35,38.56,83.83,44.07,56.94,74.26,62.69,59.72,62.16,72.70,67.20
PHILIPPINES,Chrysanthemum,68.58,63.00,58.50,31.44,35.86,28.07,39.69,27.87,30.16,50.32,36.91,34.30,42.06,35.75,37.63,40.61,42.37,42.88,41.79,39.63,39.03,37.41,125.60,34.72,35.87,46.11,36.67,35.91,35.76,37.30,35.70,37.70,42.96,33.44,45.68,57.59,54.95,53.47,42.26,52.35,53.27,49.30,43.86,38.71,37.64,40.16,36.77,38.40,81.92,53.19,43.90,47.46,31.85,49.60,41.74,46.11,41.72,41.49,41.72,37.26,35.70,40.60,38.54,44.79,40.93,44.92,44.13,43.86,42.28,43.50,42.04,37.04,34.63,53.19,121.11,73.59,95.11,56.28,92.92,93.99,71.21,45.85,51.52,53.37,53.81,58.30,73.41,156.74,33.21,39.73,68.67,120.82,101.86,40.63,45.51,49.68,97.95,50.27,59.23,53.21,77.60,67.27,53.70,68.15,108.82,130.83,48.13,63.11,58.10,64.87,65.28,53.72,64.90,115.74,66.17,59.99,74.97,78.89,89.71,65.25,73.85,75.56,74.21,63.28,68.06,79.83,100.39,69.14,65.57,75.31,78.93,98.55,64.73,70.69,74.83,75.99,64.63,59.48,65.28,78.64,72.12,76.54,73.37,75.35,47.38,51.88,60.77,40.98,88.32,64.33,60.45,54.91,97.26,55.90,78.94,64.71,38.68,63.34,112.47,86.80,85.14,65.55,38.04,52.70,66.70,98.02,77.65,82.96,72.34,68.51,85.05,84.87,91.04,109.96,88.44,121.90,125.70,117.11,113.61,123.32,109.85,103.28,50.37,77.76,67.10,126.72,132.31,124.86,154.79,147.50,144.61,114.68,109.46,115.24,113.78
PHILIPPINES,Daisy,22.45,7.70,..,..,..,..,..,..,..,..,..,..,15.08,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,Dendrobium,166.67,177.50,182.00,177.50,108.65,151.85,175.40,180.00,180.00,192.00,180.00,177.50,170.76,180.00,186.67,200.00,190.00,200.00,186.67,200.00,200.00,200.00,212.00,190.00,200.00,195.45,200.00,180.00,200.00,180.00,190.00,190.00,190.00,210.00,190.00,250.00,180.00,200.00,196.67,200.00,180.00,200.00,193.33,200.00,200.00,180.00,190.00,186.67,250.00,180.00,193.33,196.11,200.00,180.00,220.00,180.00,200.00,210.00,200.00,180.00,185.00,246.67,180.00,200.00,198.47,200.00,195.00,200.00,180.00,190.00,200.00,180.00,180.00,186.25,252.38,181.90,190.00,194.63,186.11,187.22,200.00,185.24,195.88,198.82,194.29,194.44,184.17,249.44,180.56,190.95,195.59,186.00,180.00,193.79,190.00,209.17,201.76,197.65,201.76,194.29,195.71,235.71,207.14,199.42,222.41,217.86,236.36,250.00,233.33,276.79,196.50,195.42,171.82,213.64,203.20,209.68,218.92,253.64,253.68,300.00,275.00,291.25,288.46,325.76,354.09,300.00,294.55,270.41,268.28,289.59,238.64,150.00,343.33,326.67,329.17,326.47,221.43,234.09,250.00,250.00,250.00,281.82,266.80,350.00,259.52,204.17,171.74,200.00,211.11,211.11,195.69,197.43,215.03,195.39,197.45,217.39,200.00,194.16,200.00,198.59,272.24,242.25,239.33,286.67,274.68,432.43,322.97,322.97,265.52,250.00,260.00,260.00,325.00,370.00,368.95,303.13,316.00,320.00,332.00,334.29,130.00,297.45,270.00,125.00,186.67,206.15,243.13,240.00,260.00,260.00,280.00,297.14,316.93,317.01,250.17
PHILIPPINES,Gladiola,30.66,32.28,34.77,31.13,53.11,49.62,42.16,25.95,8.47,14.01,10.91,10.80,28.65,9.58,8.87,8.82,9.08,13.95,16.14,17.15,15.47,13.52,29.49,10.03,9.78,13.49,28.78,16.21,13.41,13.17,11.66,12.80,20.88,21.58,20.90,17.53,20.41,13.33,17.55,13.43,13.68,14.97,15.15,14.01,15.04,27.61,20.89,20.31,36.00,18.21,17.34,18.89,11.18,14.81,10.52,12.24,9.41,10.91,18.28,17.32,18.13,10.80,10.39,11.55,12.96,10.49,10.48,10.46,16.83,21.73,20.98,26.13,28.94,35.50,51.52,31.41,27.55,24.34,17.28,34.57,35.63,29.60,31.41,32.89,51.38,53.77,48.45,60.60,32.80,31.62,38.33,20.08,35.17,31.31,33.64,33.15,35.24,69.09,59.17,49.71,61.10,36.41,36.38,41.70,18.13,34.55,34.09,33.90,34.37,32.62,55.31,53.55,55.90,40.79,38.62,33.48,38.78,35.88,54.68,50.67,36.56,34.67,37.94,60.06,40.91,28.67,38.30,38.44,37.44,41.19,31.52,37.81,42.55,41.16,113.21,35.68,63.91,67.21,67.63,67.00,67.22,96.10,60.92,150.00,93.42,59.33,50.43,86.61,77.43,70.83,74.02,71.50,104.34,66.54,67.67,81.01,75.95,58.68,72.66,104.69,95.83,84.24,94.71,80.00,95.70,150.59,133.53,133.53,98.34,80.00,80.00,80.00,133.00,144.00,147.78,136.45,150.00,144.71,145.10,145.00,149.74,127.98,158.89,..,..,..,170.00,170.00,175.93,170.00,180.00,187.62,190.95,198.80,178.02
PHILIPPINES,Roses,31.00,35.72,37.86,16.72,59.23,54.02,43.39,27.74,27.99,32.03,28.42,28.16,35.19,25.93,26.17,26.52,26.16,23.96,23.24,25.51,24.55,25.55,46.40,42.75,42.93,29.97,56.72,29.61,26.09,18.38,19.08,19.90,41.26,42.57,41.99,35.19,30.41,26.05,32.27,28.41,114.34,35.13,40.72,45.83,42.92,44.10,48.25,39.14,73.40,44.10,39.69,49.67,32.29,51.20,49.15,53.60,33.35,23.73,34.61,33.64,32.06,34.96,29.90,38.43,37.24,37.71,36.98,36.83,37.80,37.88,43.30,34.05,42.15,68.57,191.54,108.78,80.99,63.05,96.89,133.32,92.62,64.80,55.30,41.34,62.79,66.71,59.61,209.34,104.05,106.05,91.07,72.74,128.00,67.87,59.62,59.43,65.23,46.93,49.26,63.49,129.68,123.36,108.40,81.17,136.00,168.31,74.81,61.06,66.31,57.32,55.36,57.96,76.59,141.67,93.22,98.72,90.61,121.33,175.08,82.05,61.97,61.25,55.00,55.42,47.11,56.56,121.31,98.64,99.21,86.24,106.28,139.37,76.96,77.02,64.66,71.65,45.43,52.21,64.59,105.38,101.38,96.02,83.41,214.23,92.97,86.84,74.67,50.63,34.70,32.41,32.27,48.04,73.18,66.60,91.36,74.83,81.34,97.21,75.85,99.26,98.75,67.69,51.66,68.03,83.82,118.40,107.51,111.31,88.40,171.23,124.21,135.19,85.79,98.45,124.42,90.23,90.52,96.81,130.93,126.54,96.41,114.23,100.42,128.07,73.21,67.73,79.17,56.88,100.79,108.65,104.88,52.75,57.34,83.17,84.42
PHILIPPINES,Aster,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,Euphorbia,..,71.70,..,..,..,..,..,..,..,..,..,..,71.70,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,Oncidium (dancing Lady),50.00,..,..,53.00,52.00,37.12,51.57,48.50,52.22,73.06,55.00,57.27,52.97,..,..,..,..,..,..,..,..,..,..,..,..,..,65.00,60.00,67.86,51.67,57.50,65.00,50.00,35.08,60.00,60.00,54.29,60.00,57.20,60.00,58.57,58.13,47.14,52.14,61.67,50.00,50.00,45.00,63.00,51.00,53.00,54.14,55.00,55.00,65.00,42.50,53.00,65.00,50.00,40.00,42.50,62.00,60.00,60.00,54.17,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
PHILIPPINES,Sampaguita,189.29,100.00,135.87,17.81,16.44,46.05,105.54,131.64,63.24,140.00,250.70,268.57,122.10,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,330.06,329.21,312.28,308.42,305.83,255.23,260.48,297.05,256.53,250.42,246.68,248.14,283.36
