Geolocation,Subsector,1980 Quarter 1,1980 Quarter 2,1980 Quarter 3,1980 Quarter 4,1980 Annual,1981 Quarter 1,1981 Quarter 2,1981 Quarter 3,1981 Quarter 4,1981 Annual,1982 Quarter 1,1982 Quarter 2,1982 Quarter 3,1982 Quarter 4,1982 Annual,1983 Quarter 1,1983 Quarter 2,1983 Quarter 3,1983 Quarter 4,1983 Annual,1984 Quarter 1,1984 Quarter 2,1984 Quarter 3,1984 Quarter 4,1984 Annual,1985 Quarter 1,1985 Quarter 2,1985 Quarter 3,1985 Quarter 4,1985 Annual,1986 Quarter 1,1986 Quarter 2,1986 Quarter 3,1986 Quarter 4,1986 Annual,1987 Quarter 1,1987 Quarter 2,1987 Quarter 3,1987 Quarter 4,1987 Annual,1988 Quarter 1,1988 Quarter 2,1988 Quarter 3,1988 Quarter 4,1988 Annual,1989 Quarter 1,1989 Quarter 2,1989 Quarter 3,1989 Quarter 4,1989 Annual,1990 Quarter 1,1990 Quarter 2,1990 Quarter 3,1990 Quarter 4,1990 Annual,1991 Quarter 1,1991 Quarter 2,1991 Quarter 3,1991 Quarter 4,1991 Annual,1992 Quarter 1,1992 Quarter 2,1992 Quarter 3,1992 Quarter 4,1992 Annual,1993 Quarter 1,1993 Quarter 2,1993 Quarter 3,1993 Quarter 4,1993 Annual,1994 Quarter 1,1994 Quarter 2,1994 Quarter 3,1994 Quarter 4,1994 Annual,1995 Quarter 1,1995 Quarter 2,1995 Quarter 3,1995 Quarter 4,1995 Annual,1996 Quarter 1,1996 Quarter 2,1996 Quarter 3,1996 Quarter 4,1996 Annual,1997 Quarter 1,1997 Quarter 2,1997 Quarter 3,1997 Quarter 4,1997 Annual,1998 Quarter 1,1998 Quarter 2,1998 Quarter 3,1998 Quarter 4,1998 Annual,1999 Quarter 1,1999 Quarter 2,1999 Quarter 3,1999 Quarter 4,1999 Annual,2000 Quarter 1,2000 Quarter 2,2000 Quarter 3,2000 Quarter 4,2000 Annual,2001 Quarter 1,2001 Quarter 2,2001 Quarter 3,2001 Quarter 4,2001 Annual,2002 Quarter 1,2002 Quarter 2,2002 Quarter 3,2002 Quarter 4,2002 Annual,2003 Quarter 1,2003 Quarter 2,2003 Quarter 3,2003 Quarter 4,2003 Annual,2004 Quarter 1,2004 Quarter 2,2004 Quarter 3,2004 Quarter 4,2004 Annual,2005 Quarter 1,2005 Quarter 2,2005 Quarter 3,2005 Quarter 4,2005 Annual,2006 Quarter 1,2006 Quarter 2,2006 Quarter 3,2006 Quarter 4,2006 Annual,2007 Quarter 1,2007 Quarter 2,2007 Quarter 3,2007 Quarter 4,2007 Annual,2008 Quarter 1,2008 Quarter 2,2008 Quarter 3,2008 Quarter 4,2008 Annual,2009 Quarter 1,2009 Quarter 2,2009 Quarter 3,2009 Quarter 4,2009 Annual,2010 Quarter 1,2010 Quarter 2,2010 Quarter 3,2010 Quarter 4,2010 Annual,2011 Quarter 1,2011 Quarter 2,2011 Quarter 3,2011 Quarter 4,2011 Annual,2012 Quarter 1,2012 Quarter 2,2012 Quarter 3,2012 Quarter 4,2012 Annual,2013 Quarter 1,2013 Quarter 2,2013 Quarter 3,2013 Quarter 4,2013 Annual,2014 Quarter 1,2014 Quarter 2,2014 Quarter 3,2014 Quarter 4,2014 Annual,2015 Quarter 1,2015 Quarter 2,2015 Quarter 3,2015 Quarter 4,2015 Annual,2016 Quarter 1,2016 Quarter 2,2016 Quarter 3,2016 Quarter 4,2016 Annual,2017 Quarter 1,2017 Quarter 2,2017 Quarter 3,2017 Quarter 4,2017 Annual,2018 Quarter 1,2018 Quarter 2,2018 Quarter 3,2018 Quarter 4,2018 Annual,2019 Quarter 1,2019 Quarter 2,2019 Quarter 3,2019 Quarter 4,2019 Annual,2020 Quarter 1,2020 Quarter 2,2020 Quarter 3,2020 Quarter 4,2020 Annual,2021 Quarter 1,2021 Quarter 2,2021 Quarter 3,2021 Quarter 4,2021 Annual,2022 Quarter 1,2022 Quarter 2,2022 Quarter 3,2022 Quarter 4,2022 Annual,2023 Quarter 1,2023 Quarter 2,2023 Quarter 3,2023 Quarter 4,2023 Annual,2024 Quarter 1,2024 Quarter 2,2024 Quarter 3,2024 Quarter 4,2024 Annual,2025 Quarter 1,2025 Quarter 2,2025 Quarter 3,2025 Quarter 4,2025 Annual,2026 Quarter 1,2026 Quarter 2,2026 Quarter 3,2026 Quarter 4,2026 Annual
PHILIPPINES,FISHERIES,..,..,..,..,11712784.00,..,..,..,..,13953798.00,..,..,..,..,15063966.00,..,..,..,..,18981459.00,..,..,..,..,25649933.00,..,..,..,..,31297268.00,..,..,..,..,37331483.00,..,..,..,..,37349479.00,..,..,..,..,42118213.00,..,..,..,..,45093712.00,..,..,..,..,52177157.00,..,..,..,..,60033289.00,..,..,..,..,65443532.00,8595767.00,6952328.00,7338457.00,7276639.00,70215748.00,10922814.00,6647722.00,8406568.00,9025615.00,80192118.00,8858929.00,6940963.00,7518043.00,10314167.00,83186966.00,7413183.00,7972022.00,7351954.00,10609892.00,83275566.00,7227640.00,7541835.00,5073768.00,7445605.00,80617090.00,6535561.00,7087943.00,5132460.00,7673561.00,85133055.00,7425281.00,7805534.00,5549811.00,8265428.00,92322324.00,8238059.70,8711314.03,6570999.45,8663017.00,98657631.18,8685138.00,10443694.00,8011440.00,9494073.00,106944716.00,27115260.82,30022421.00,27359329.00,28761206.75,113258217.57,28624541.00,31950402.00,28118956.00,31172427.00,119866326.00,33883554.93,36699989.84,32776736.06,35486096.46,138846377.29,35428524.87,38081304.52,35553265.39,37329854.05,146392948.83,39584513.19,42164091.64,40010458.19,41615320.53,163374383.55,43817870.25,47953046.47,43181113.40,45593098.06,180545128.18,49725280.59,55014119.78,50947602.08,60126500.22,215813502.67,53803324.98,57633184.01,49271507.85,54874051.47,215582068.31,53249581.14,59105913.94,51695731.79,56999622.64,221050849.51,52622968.10,61262790.01,51456750.26,59352570.52,224695078.89,54544261.66,62873694.88,54852983.07,65440534.38,237711473.99,59351285.51,64978873.44,56752620.35,63468895.77,244551675.07,57837262.40,63659486.19,55376858.20,65070242.93,241943849.72,54850932.61,64699500.69,57311489.41,62840450.86,239702373.57,51620906.17,60835025.08,55006773.93,61471391.34,228934096.52,56241960.69,63919470.07,57065976.41,66674479.59,243901886.76,58908021.64,68266708.96,64358367.78,73815585.95,265348684.33,63238699.89,75009987.01,63952541.37,79450426.32,281651654.59,62606536.56,73208373.19,63368522.39,74305026.39,273488458.53,66882022.81,80205186.30,70685398.08,84671870.02,302444477.21,65293603.75,93670854.54,77449972.20,90337209.71,326751640.20,81903258.47,84393659.05,77028661.94,85414978.43,328740557.89,76421804.32,78276862.98,70136111.04,82115434.99,306950213.33,80623410.56,82230620.44,73408696.34,92388372.05,328651099.39,78584025.18,..,..,..,..
PHILIPPINES,..Commercial Fisheries,..,..,..,..,3784734.00,..,..,..,..,4124641.00,..,..,..,..,4355152.00,..,..,..,..,4642692.00,..,..,..,..,6521173.00,..,..,..,..,7857178.00,..,..,..,..,9247861.00,..,..,..,..,9820717.00,..,..,..,..,10272025.00,..,..,..,..,11033427.00,..,..,..,..,12410552.00,..,..,..,..,15244641.00,..,..,..,..,16800653.00,..,..,..,..,18021205.00,..,..,..,..,20714470.00,..,..,..,..,23065358.00,..,..,..,..,24555340.00,..,..,..,..,25935331.00,..,..,..,..,29737074.00,..,..,..,..,32242140.00,..,..,..,..,33878677.00,..,..,..,..,36088640.00,8477962.00,11363618.00,10179377.00,9660207.00,39681164.00,9766505.00,11775320.00,10350857.00,10110218.00,42002900.00,11563236.97,13082850.68,12216548.20,11486632.85,48349268.70,10917620.52,12855679.52,12873125.99,10626311.43,47272737.46,10764308.07,13404627.77,12471524.77,11915460.41,48555921.02,12462543.38,15556916.48,13431127.94,13286880.54,54737468.34,14544611.60,17526181.08,15526390.25,15572920.30,63170103.23,14929635.34,15747627.29,12883790.10,15143916.63,58704969.36,14532830.19,16407698.18,14901362.27,14615040.68,60456931.32,13360794.66,17143892.78,13690979.53,14427354.04,58623021.01,14459469.13,18180067.79,15210676.74,18043970.15,65894183.81,18041523.12,20120497.51,16001726.64,15758764.74,69922512.01,16749781.55,18699904.64,14695035.47,16045086.81,66189808.47,14351320.85,19288651.87,15891856.31,15343457.38,64875286.41,13464751.42,16891848.89,15177391.87,13332564.51,58866556.69,15161372.50,16218800.11,14125457.81,14210725.11,59716355.53,14918894.47,16320382.72,14955499.98,14850112.01,61044889.18,15698427.10,17956135.14,14774762.05,15045718.22,63475042.51,14484718.22,17813557.29,15348502.92,13446353.17,61093131.60,14760439.82,17893187.96,15813979.33,13352315.63,61819922.74,14282550.16,22769446.54,19691310.07,18201440.49,74944747.26,18540590.94,19232705.10,21145850.54,18256194.23,77175340.81,18630454.15,23064816.22,19055369.64,16454443.96,77205083.97,20470208.74,23798307.46,22023687.07,19630362.77,85922566.04,23236335.65,..,..,..,..
PHILIPPINES,..Municipal Fisheries,..,..,..,..,6086177.00,..,..,..,..,6963637.00,..,..,..,..,7315497.00,..,..,..,..,9539597.00,..,..,..,..,11862847.00,..,..,..,..,14715729.00,..,..,..,..,17251421.00,..,..,..,..,16107539.00,..,..,..,..,16633103.00,..,..,..,..,18387663.00,..,..,..,..,19300084.00,..,..,..,..,22132564.00,..,..,..,..,22656385.00,..,..,..,..,22031352.00,..,..,..,..,24474929.00,..,..,..,..,26463833.00,..,..,..,..,25373175.00,..,..,..,..,27392911.00,..,..,..,..,28966456.00,..,..,..,..,31034130.00,..,..,..,..,32595564.00,..,..,..,..,34221731.00,9606257.00,9690297.00,9169839.00,9692478.00,38158871.00,10065550.00,10677993.00,9329690.00,10591070.00,40664303.00,11541440.96,12131263.16,10779731.86,11222415.61,45674851.59,12584400.35,13315278.87,11650732.40,12400011.88,49950423.50,15091068.32,15412463.83,14306231.05,14336806.52,59146569.72,16099176.52,17621760.80,15608512.22,14880936.10,64210385.64,17552097.98,20016561.84,17181895.36,16223363.70,70973918.88,18458577.24,21058888.73,17446009.38,18420266.14,75383741.49,18547307.64,20921317.52,18812675.08,19455163.41,77736463.65,19008657.73,21537599.77,19482081.43,20047290.91,80075629.84,18864447.63,20556750.35,19769659.40,20336508.12,79527365.50,19615356.17,21359514.94,20229083.94,19694038.09,80897993.14,19090022.20,21339479.53,21045197.39,20330332.15,81805031.27,19061590.96,21372017.91,21170203.90,19882358.71,81486171.48,18597643.52,20493882.70,19809910.75,20024183.13,78925620.10,19869882.91,21998645.89,21018034.35,20592148.68,83478711.83,20306962.49,24152835.98,25488836.92,24025821.92,93974457.31,23370233.22,27665020.20,23679892.79,25626741.25,100341887.46,22861606.48,24350215.93,25619143.05,25180608.48,98011573.94,23837792.02,28225715.70,28602028.38,31394413.31,112059949.41,26735275.82,36993741.70,31718823.82,32356504.15,127804345.49,33340129.47,32913398.10,31344250.13,29944475.34,127542253.04,30011052.37,29996904.29,27257863.11,26891879.79,114157699.56,30069770.14,30029315.81,27408947.76,27410903.59,114918937.30,27708406.18,..,..,..,..
PHILIPPINES,....Marine Municipal Fisheries,..,..,..,..,5478819.00,..,..,..,..,6263374.00,..,..,..,..,6487795.00,..,..,..,..,7463081.00,..,..,..,..,10291202.00,..,..,..,..,12795450.00,..,..,..,..,14611055.00,..,..,..,..,14216432.00,..,..,..,..,14693413.00,..,..,..,..,16181769.00,..,..,..,..,16735825.00,..,..,..,..,19613733.00,..,..,..,..,19444008.00,..,..,..,..,20118443.00,..,..,..,..,22327442.00,..,..,..,..,24335973.00,..,..,..,..,23333331.00,..,..,..,..,25235558.00,..,..,..,..,26634610.00,..,..,..,..,28830648.00,..,..,..,..,29975760.00,..,..,..,..,31326841.00,8915270.00,8789298.00,8314752.00,8810433.00,34829753.00,9332570.00,9737195.00,8442870.00,9572910.00,37085545.00,10607965.00,11046903.03,9609059.56,9902958.75,41166886.34,11503363.69,12138018.74,10529021.82,11148218.43,45318622.68,13912578.18,14182497.24,12975744.66,12868954.39,53939774.47,14722600.26,16360868.99,14076954.68,13259778.11,58420202.04,15885959.33,18449111.47,15158399.72,14380735.46,63874205.98,16610356.52,19399194.39,15398413.34,16150810.02,67558774.27,16824527.46,19423038.59,16779215.11,17172175.53,70198956.69,17026092.50,19945319.70,17305034.33,17751652.66,72028099.19,16914118.96,18769381.93,17342650.51,17956583.81,70982735.21,17641356.50,19546427.62,17675488.00,17046005.75,71909277.87,16938535.13,19390271.44,18069989.79,17526299.23,71925095.59,16800863.95,19366847.54,18325593.54,17224671.24,71717976.27,16695122.00,18809091.40,17707115.06,17920261.93,71131590.39,17964833.73,20149059.77,18905760.86,18327061.79,75346716.15,18204152.33,22029865.33,23074635.44,21563157.56,84871810.66,21251529.75,25443532.37,21451388.72,22814516.85,90960967.69,20738817.74,22361693.63,23135388.72,22297395.57,88533295.66,20968534.18,24722760.82,23001405.69,26054264.93,94746965.62,23590067.35,34057913.82,27179646.01,28036895.84,112864523.02,30778281.17,30155587.57,27394030.58,25369904.49,113697803.81,26238063.70,26127326.02,23039050.30,22448106.60,97852546.62,25400215.51,26051359.07,23174368.81,23082602.35,97708545.74,22785833.97,..,..,..,..
PHILIPPINES,....Inland Municipal Fisheries,..,..,..,..,607358.00,..,..,..,..,700263.00,..,..,..,..,827702.00,..,..,..,..,2076516.00,..,..,..,..,1571645.00,..,..,..,..,1920279.00,..,..,..,..,2640366.00,..,..,..,..,1891107.00,..,..,..,..,1939690.00,..,..,..,..,2205894.00,..,..,..,..,2564259.00,..,..,..,..,2518831.00,..,..,..,..,3212377.00,..,..,..,..,1912909.00,..,..,..,..,2147487.00,..,..,..,..,2127860.00,..,..,..,..,2039844.00,..,..,..,..,2157353.00,..,..,..,..,2331846.00,..,..,..,..,2203482.00,..,..,..,..,2619804.00,..,..,..,..,2894890.00,690987.00,900999.00,855087.00,882045.00,3329118.00,732980.00,940798.00,886820.00,1018160.00,3578758.00,933475.96,1084360.13,1170672.30,1319456.86,4507965.25,1081036.66,1177260.13,1121710.58,1251793.45,4631800.82,1178490.14,1229966.59,1330486.39,1467852.13,5206795.25,1376576.26,1260891.81,1531557.54,1621157.99,5790183.60,1666138.65,1567450.37,2023495.64,1842628.24,7099712.90,1848220.72,1659694.34,2047596.04,2269456.12,7824967.22,1722780.18,1498278.93,2033459.97,2282987.88,7537506.96,1982565.23,1592280.07,2177047.10,2295638.25,8047530.65,1950328.67,1787368.42,2427008.89,2379924.31,8544630.29,1973999.67,1813087.32,2553595.94,2648032.34,8988715.27,2151487.07,1949208.09,2975207.60,2804032.92,9879935.68,2260727.01,2005170.37,2844610.36,2657687.47,9768195.21,1902521.52,1684791.30,2102795.69,2103921.20,7794029.71,1905049.18,1849586.12,2112273.49,2265086.89,8131995.68,2102810.16,2122970.65,2414201.48,2462664.36,9102646.65,2118703.47,2221487.83,2228504.07,2812224.40,9380919.77,2122788.74,1988522.30,2483754.33,2883212.91,9478278.28,2869257.84,3502954.88,5600622.69,5340148.38,17312983.79,3145208.47,2935827.88,4539177.81,4319608.31,14939822.47,2561848.30,2757810.53,3950219.55,4574570.85,13844449.23,3772988.67,3869578.27,4218812.81,4443773.19,16305152.94,4669554.63,3977956.74,4234578.95,4328301.24,17210391.56,4922572.21,..,..,..,..
PHILIPPINES,..Aquaculture,..,..,..,..,1841873.00,..,..,..,..,2865520.00,..,..,..,..,3393317.00,..,..,..,..,4799170.00,..,..,..,..,7265913.00,..,..,..,..,8724361.00,..,..,..,..,10832201.00,..,..,..,..,11421223.00,..,..,..,..,15213085.00,..,..,..,..,15672622.00,..,..,..,..,20466521.00,..,..,..,..,22656084.00,..,..,..,..,25986494.00,8595767.00,6952328.00,7338457.00,7276639.00,30163191.00,10922814.00,6647722.00,8406568.00,9025615.00,35002719.00,8858929.00,6940963.00,7518043.00,10314167.00,33657775.00,7413183.00,7972022.00,7351954.00,10609892.00,33347051.00,7227640.00,7541835.00,5073768.00,7445605.00,27288848.00,6535561.00,7087943.00,5132460.00,7673561.00,26429525.00,7425281.00,7805534.00,5549811.00,8265428.00,29046054.00,8238059.70,8711314.03,6570999.45,8663017.00,32183390.18,8685138.00,10443694.00,8011440.00,9494073.00,36634345.00,9031041.82,8968506.00,8010113.00,9408521.75,35418182.57,8792486.00,9497089.00,8438409.00,10471139.00,37199123.00,10778877.00,11485876.00,9780456.00,12777048.00,44822257.00,11926504.00,11910346.13,11029407.00,14303530.74,49169787.87,13729136.80,13347000.04,13232702.37,15363053.60,55671892.81,15256150.35,14774369.19,14141473.24,17425281.42,61597274.20,17628571.01,17471376.86,18239316.47,28330216.22,81669480.56,20415112.40,20826667.99,18941708.37,21309868.70,81493357.46,20169443.31,21776898.24,17981694.44,22929418.55,82857454.54,20253515.71,22581297.46,18283689.30,24877925.57,85996428.04,21220344.90,24136876.74,19872646.93,27060056.11,92289924.68,21694406.22,23498860.99,20521809.77,28016092.94,93731169.92,21997458.65,23620102.02,19636625.34,28694823.97,93949009.98,21438020.80,24038830.91,20249429.20,27614634.77,93340915.68,19558511.23,23449293.49,20019471.31,28114643.70,91141919.73,21210705.28,25702024.07,21922484.25,31871605.80,100706819.40,23682164.68,27793490.26,23914030.88,34939652.02,110329337.84,24170039.57,29388831.67,25497886.53,38777966.85,117834724.62,25260211.86,31044599.97,22400876.42,35678064.74,114383752.99,28283790.97,34086282.64,26269390.37,39925141.08,128564605.06,24275777.77,33907666.30,26039838.31,39779265.07,124002547.45,30022538.06,32247555.85,24538561.27,37214308.86,124022964.04,27780297.80,25215142.47,23822878.29,38769111.24,115587429.80,30083431.68,28402997.17,23976061.51,45347105.69,127809596.05,27639283.35,..,..,..,..
..National Capital Region (NCR),FISHERIES,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,231848.00,..,..,..,..,196139.00,..,..,..,..,3385032.00,..,..,..,..,3724546.00,..,..,..,..,4465657.00,..,..,..,..,5884171.00,..,..,..,..,6489529.00,149296.00,196203.00,74377.00,39987.00,8512171.00,160152.00,108046.00,77740.00,144709.00,9304248.00,43010.00,124850.00,39480.00,228863.00,11093229.00,21070.00,92667.00,29657.00,168406.00,11504517.00,16687.00,87136.00,31790.00,91900.00,10481602.00,11155.00,49980.00,24309.00,265220.00,11935350.00,5854.00,33162.00,4337.00,21745.00,9905215.00,2736.00,37760.00,4213.00,15728.00,9508100.00,1634.00,45770.00,3122.00,22871.00,9323096.00,2216361.00,3470763.00,2414409.00,1946845.00,10048378.00,1911239.00,3304403.00,2151127.00,1955981.00,9322750.00,2239311.81,3560399.00,2404249.67,1980634.07,10184594.55,1854638.81,3073399.76,2024840.07,1218799.74,8171678.38,916204.13,1265889.40,1041599.45,978217.91,4201910.89,1074012.55,1540468.27,1252850.75,961095.02,4828426.59,999067.32,1420521.14,1167532.37,1157009.78,4744130.61,1154857.46,883026.41,982832.99,1096157.74,4116874.60,1266411.87,1541856.08,1612532.54,1231937.11,5652737.60,1160461.78,1843007.10,1397372.98,1194743.59,5595585.45,1471357.32,1827516.15,1389581.91,1571697.93,6260153.31,2015261.27,2560321.37,1966993.88,1463024.31,8005600.83,1776958.99,1679268.92,1247487.41,995593.68,5699309.00,1235065.80,1549252.88,1190980.36,861330.99,4836630.03,1113899.69,1800229.18,1352073.56,1002448.12,5268650.55,1051242.19,1662048.57,1011262.78,1455022.14,5179575.68,922400.85,1375482.55,1266807.46,2170911.27,5735602.13,1525260.58,1589615.03,1298282.57,1561333.87,5974492.05,1463486.13,2559003.07,1915254.42,785732.11,6723475.73,1299501.17,2439935.55,1729146.43,783766.95,6252350.10,1457074.75,2181790.85,1820480.70,815668.61,6275014.91,1399975.71,2818394.23,1638057.91,852028.29,6708456.14,1607493.70,2727437.94,1885116.10,979651.35,7199699.09,1873822.23,4005217.82,2721249.31,870702.45,9470991.81,2589617.78,..,..,..,..
..National Capital Region (NCR),..Commercial Fisheries,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3238664.00,..,..,..,..,3561716.00,..,..,..,..,4283818.00,..,..,..,..,5683820.00,..,..,..,..,5731883.00,..,..,..,..,7631745.00,..,..,..,..,8403016.00,..,..,..,..,10318206.00,..,..,..,..,10911025.00,..,..,..,..,10078072.00,..,..,..,..,11346561.00,..,..,..,..,9591110.00,..,..,..,..,9211013.00,..,..,..,..,8993908.00,2162380.00,3401520.00,2331615.00,1787696.00,9683211.00,1858704.00,3251016.00,2093582.00,1814749.00,9018051.00,2178567.68,3501573.82,2334932.86,1750770.31,9765844.67,1742520.38,2958262.05,1902507.05,1041711.78,7645001.26,827720.76,1166321.63,920427.49,817749.45,3732219.33,974336.63,1433753.69,1129648.91,792468.58,4330207.81,901961.60,1332004.39,1041391.58,1000453.83,4275811.40,1054612.55,784691.29,803563.30,1007629.74,3650496.88,1192293.06,1454799.68,1438446.13,1025629.94,5111168.81,998079.79,1686587.63,1205582.40,953493.29,4843743.11,1289277.74,1643608.85,1224183.12,1421669.40,5578739.11,1884373.14,2433676.20,1814553.85,1301152.32,7433755.51,1623309.35,1523662.93,1048835.08,772136.61,4967943.97,1055649.99,1399052.58,961143.78,612966.31,4028812.66,928345.67,1610443.08,1121330.73,673736.78,4333856.26,832712.01,1312231.08,772349.03,484065.15,3401357.27,706823.04,1117404.12,1027152.10,793977.98,3645357.24,1239009.13,1192357.38,1070214.03,591833.98,4093414.52,1263595.79,2507586.31,1820513.52,710551.62,6302247.24,1180806.85,2311744.31,1608991.88,690418.75,5791961.79,1338156.22,1838491.80,1483832.94,549593.39,5210074.35,1128820.08,2529289.65,1459089.82,654769.60,5771969.15,1395776.58,2569386.09,1660382.59,755679.85,6381225.11,1145370.22,3283845.09,2025077.63,548380.59,7002673.53,1664675.05,..,..,..,..
..National Capital Region (NCR),..Municipal Fisheries,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,313282.00,..,..,..,..,420563.00,..,..,..,..,410585.00,..,..,..,..,338820.00,..,..,..,..,281692.00,..,..,..,..,176017.00,..,..,..,..,238125.00,..,..,..,..,249007.00,..,..,..,..,236650.00,..,..,..,..,255791.00,47473.00,32494.00,37304.00,69350.00,186621.00,34107.00,30904.00,26176.00,63582.00,154769.00,33916.13,36266.18,31535.81,131639.76,233357.88,94203.43,90132.71,80261.02,86345.96,350943.12,73942.37,77895.77,85963.96,106475.46,344277.56,89269.44,86503.56,88943.80,100758.70,365475.50,79976.48,65415.63,73150.94,86873.45,305416.50,82680.86,68864.11,108566.05,83122.05,343233.07,72139.38,62680.23,138605.09,157453.83,430878.53,143989.32,127899.70,144191.44,192958.94,609039.40,163700.42,138471.19,123919.49,100323.61,526414.71,115616.56,99832.56,102474.01,110940.10,428863.23,140223.47,129913.04,156806.32,171959.30,598902.13,171468.40,140915.45,187077.54,207585.24,707046.63,171428.42,175714.29,176688.90,264537.98,788369.59,212105.79,336119.15,182399.30,282123.45,1012747.69,203723.26,249830.68,204773.54,357620.51,1015947.99,269510.29,390957.10,186029.73,299792.82,1146289.94,189700.11,44309.60,63631.66,74489.88,372131.25,113081.69,115074.91,94511.31,90202.94,412870.85,88088.08,312630.51,311621.86,240369.83,952710.28,225975.06,206690.53,125430.45,176845.71,734941.75,194260.58,103043.60,196430.50,217248.54,710983.22,702188.48,702374.72,674339.24,304845.51,2383747.95,917216.59,..,..,..,..
..National Capital Region (NCR),....Marine Municipal Fisheries,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,313282.00,..,..,..,..,420563.00,..,..,..,..,410585.00,..,..,..,..,338820.00,..,..,..,..,281692.00,..,..,..,..,176017.00,..,..,..,..,238125.00,..,..,..,..,249007.00,..,..,..,..,236650.00,..,..,..,..,255791.00,47473.00,32494.00,37304.00,69350.00,186621.00,34107.00,30904.00,26176.00,63582.00,154769.00,33916.13,36266.18,31535.81,131639.76,233357.88,94203.43,90132.71,80261.02,86345.96,350943.12,73942.37,77895.77,85963.96,106475.46,344277.56,89269.44,86503.56,88943.80,100758.70,365475.50,79976.48,65415.63,73150.94,86873.45,305416.50,82680.86,68864.11,108566.05,83122.05,343233.07,72139.38,62680.23,138605.09,157453.83,430878.53,143989.32,127899.70,144191.44,192958.94,609039.40,163700.42,138471.19,123919.49,100323.61,526414.71,115616.56,99832.56,102474.01,110940.10,428863.23,140223.47,129913.04,156806.32,171959.30,598902.13,171468.40,140915.45,187077.54,207585.24,707046.63,171428.42,175714.29,176688.90,264537.98,788369.59,212105.79,336119.15,182399.30,282123.45,1012747.69,203723.26,249830.68,204773.54,357620.51,1015947.99,269510.29,390957.10,186029.73,299792.82,1146289.94,189700.11,44309.60,63631.66,74489.88,372131.25,87074.97,93123.40,70881.39,80808.47,331888.23,52548.20,289689.69,268492.01,195753.12,806483.02,187931.79,172189.69,102482.16,159997.22,622600.86,175167.90,90246.86,170432.77,178622.64,614470.17,686149.33,685897.37,659703.68,280780.09,2312530.47,902700.06,..,..,..,..
