Geolocation,Subsector,1980 Quarter 1,1980 Quarter 2,1980 Quarter 3,1980 Quarter 4,1980 Annual,1981 Quarter 1,1981 Quarter 2,1981 Quarter 3,1981 Quarter 4,1981 Annual,1982 Quarter 1,1982 Quarter 2,1982 Quarter 3,1982 Quarter 4,1982 Annual,1983 Quarter 1,1983 Quarter 2,1983 Quarter 3,1983 Quarter 4,1983 Annual,1984 Quarter 1,1984 Quarter 2,1984 Quarter 3,1984 Quarter 4,1984 Annual,1985 Quarter 1,1985 Quarter 2,1985 Quarter 3,1985 Quarter 4,1985 Annual,1986 Quarter 1,1986 Quarter 2,1986 Quarter 3,1986 Quarter 4,1986 Annual,1987 Quarter 1,1987 Quarter 2,1987 Quarter 3,1987 Quarter 4,1987 Annual,1988 Quarter 1,1988 Quarter 2,1988 Quarter 3,1988 Quarter 4,1988 Annual,1989 Quarter 1,1989 Quarter 2,1989 Quarter 3,1989 Quarter 4,1989 Annual,1990 Quarter 1,1990 Quarter 2,1990 Quarter 3,1990 Quarter 4,1990 Annual,1991 Quarter 1,1991 Quarter 2,1991 Quarter 3,1991 Quarter 4,1991 Annual,1992 Quarter 1,1992 Quarter 2,1992 Quarter 3,1992 Quarter 4,1992 Annual,1993 Quarter 1,1993 Quarter 2,1993 Quarter 3,1993 Quarter 4,1993 Annual,1994 Quarter 1,1994 Quarter 2,1994 Quarter 3,1994 Quarter 4,1994 Annual,1995 Quarter 1,1995 Quarter 2,1995 Quarter 3,1995 Quarter 4,1995 Annual,1996 Quarter 1,1996 Quarter 2,1996 Quarter 3,1996 Quarter 4,1996 Annual,1997 Quarter 1,1997 Quarter 2,1997 Quarter 3,1997 Quarter 4,1997 Annual,1998 Quarter 1,1998 Quarter 2,1998 Quarter 3,1998 Quarter 4,1998 Annual,1999 Quarter 1,1999 Quarter 2,1999 Quarter 3,1999 Quarter 4,1999 Annual,2000 Quarter 1,2000 Quarter 2,2000 Quarter 3,2000 Quarter 4,2000 Annual,2001 Quarter 1,2001 Quarter 2,2001 Quarter 3,2001 Quarter 4,2001 Annual,2002 Quarter 1,2002 Quarter 2,2002 Quarter 3,2002 Quarter 4,2002 Annual,2003 Quarter 1,2003 Quarter 2,2003 Quarter 3,2003 Quarter 4,2003 Annual,2004 Quarter 1,2004 Quarter 2,2004 Quarter 3,2004 Quarter 4,2004 Annual,2005 Quarter 1,2005 Quarter 2,2005 Quarter 3,2005 Quarter 4,2005 Annual,2006 Quarter 1,2006 Quarter 2,2006 Quarter 3,2006 Quarter 4,2006 Annual,2007 Quarter 1,2007 Quarter 2,2007 Quarter 3,2007 Quarter 4,2007 Annual,2008 Quarter 1,2008 Quarter 2,2008 Quarter 3,2008 Quarter 4,2008 Annual,2009 Quarter 1,2009 Quarter 2,2009 Quarter 3,2009 Quarter 4,2009 Annual,2010 Quarter 1,2010 Quarter 2,2010 Quarter 3,2010 Quarter 4,2010 Annual,2011 Quarter 1,2011 Quarter 2,2011 Quarter 3,2011 Quarter 4,2011 Annual,2012 Quarter 1,2012 Quarter 2,2012 Quarter 3,2012 Quarter 4,2012 Annual,2013 Quarter 1,2013 Quarter 2,2013 Quarter 3,2013 Quarter 4,2013 Annual,2014 Quarter 1,2014 Quarter 2,2014 Quarter 3,2014 Quarter 4,2014 Annual,2015 Quarter 1,2015 Quarter 2,2015 Quarter 3,2015 Quarter 4,2015 Annual,2016 Quarter 1,2016 Quarter 2,2016 Quarter 3,2016 Quarter 4,2016 Annual,2017 Quarter 1,2017 Quarter 2,2017 Quarter 3,2017 Quarter 4,2017 Annual,2018 Quarter 1,2018 Quarter 2,2018 Quarter 3,2018 Quarter 4,2018 Annual,2019 Quarter 1,2019 Quarter 2,2019 Quarter 3,2019 Quarter 4,2019 Annual,2020 Quarter 1,2020 Quarter 2,2020 Quarter 3,2020 Quarter 4,2020 Annual,2021 Quarter 1,2021 Quarter 2,2021 Quarter 3,2021 Quarter 4,2021 Annual,2022 Quarter 1,2022 Quarter 2,2022 Quarter 3,2022 Quarter 4,2022 Annual,2023 Quarter 1,2023 Quarter 2,2023 Quarter 3,2023 Quarter 4,2023 Annual,2024 Quarter 1,2024 Quarter 2,2024 Quarter 3,2024 Quarter 4,2024 Annual,2025 Quarter 1,2025 Quarter 2,2025 Quarter 3,2025 Quarter 4,2025 Annual,2026 Quarter 1,2026 Quarter 2,2026 Quarter 3,2026 Quarter 4,2026 Annual
PHILIPPINES,FISHERIES,..,..,..,..,1787375.00,..,..,..,..,1772897.00,..,..,..,..,1896983.00,..,..,..,..,2110230.00,..,..,..,..,2080439.00,..,..,..,..,2052111.00,..,..,..,..,2089484.00,..,..,..,..,2213040.00,..,..,..,..,2269744.00,..,..,..,..,2371109.00,..,..,..,..,2503546.00,..,..,..,..,2598981.00,..,..,..,..,2625607.00,725210.00,735901.00,555768.00,615066.00,2631945.00,737837.00,735622.00,577425.00,670105.00,2720989.00,740923.06,757936.30,599849.00,707156.00,2805864.36,709176.00,759611.00,578044.00,749166.00,2795997.00,710648.00,762264.00,584789.00,735855.00,2793556.00,716768.00,757056.00,638343.00,717353.00,2829520.00,737074.00,769226.00,680806.20,736666.00,2923772.20,748083.40,780619.40,711491.50,753138.00,2993332.30,770228.00,840300.00,735353.00,820649.00,3166530.00,812911.63,886413.05,774691.25,895508.07,3369524.00,816457.36,935893.60,810925.78,1056005.71,3619282.45,974016.08,991203.52,852378.25,1108575.55,3926173.40,1024883.10,1039822.49,902501.50,1194662.74,4161869.83,1075434.90,1156724.95,941199.26,1235113.17,4408472.28,1168444.59,1229337.43,1034449.16,1279021.25,4711252.43,1209997.83,1252913.14,1082663.43,1421314.78,4966889.18,1256220.63,1320484.36,1075885.57,1427386.42,5079976.97,1249509.70,1309511.39,1122656.95,1477780.65,5159458.68,1216841.24,1283967.50,1053975.09,1418803.92,4973587.75,1168543.88,1249578.40,1051391.29,1395618.72,4865132.30,1160137.18,1258780.71,1055087.68,1231407.74,4705413.30,1117655.27,1231295.10,1039457.20,1300677.13,4689084.70,1090634.98,1227319.84,1050569.22,1280788.43,4649312.48,1021023.23,1116055.81,1010678.39,1208034.99,4355792.42,1036443.67,1104195.61,973269.43,1198180.79,4312089.51,1005325.09,1134749.07,972709.33,1244091.28,4356874.77,1013041.13,1141646.29,987741.48,1272572.77,4415001.68,986408.32,1177213.07,1016464.89,1220286.73,4400373.01,973622.41,1149436.55,998925.56,1126276.88,4248261.40,971763.46,1219940.24,996317.25,1150177.65,4338198.60,992334.28,1084579.61,1017251.01,1166828.70,4260993.59,990713.14,1031592.55,970098.92,1079607.60,4072012.20,1010787.47,1006478.82,902867.82,1078735.15,3998869.27,856291.91,..,..,..,..
PHILIPPINES,..Commercial Fisheries,..,..,..,..,488478.00,..,..,..,..,494768.00,..,..,..,..,526273.00,..,..,..,..,519316.00,..,..,..,..,513335.00,..,..,..,..,511987.00,..,..,..,..,546230.00,..,..,..,..,591192.00,..,..,..,..,599995.00,..,..,..,..,637138.00,..,..,..,..,700564.00,..,..,..,..,759815.00,..,..,..,..,804866.00,206047.00,239052.00,203570.00,175687.00,824356.00,207458.00,247288.00,221234.00,183348.00,859328.00,207936.00,256513.00,240125.00,188658.00,893232.00,187502.00,254713.00,223829.00,213029.00,879073.00,195492.00,250631.00,226490.00,212038.00,884651.00,215587.00,231876.00,260008.00,233062.00,940533.00,219456.00,254261.00,255498.00,219539.00,948754.00,221179.00,246185.00,257214.00,221907.00,946485.00,231059.00,254881.00,258378.00,232221.00,976539.00,244957.00,295331.00,262718.00,239187.00,1042193.00,253884.00,299764.00,285332.00,270656.00,1109636.00,273492.81,291565.09,287000.34,276324.14,1128382.38,278851.46,304125.06,290358.54,260641.15,1133976.21,243551.81,320335.42,264549.40,252231.07,1080667.70,275322.97,348606.38,295099.97,273040.46,1192069.78,292834.63,343967.94,295141.97,294260.34,1226204.88,300560.62,396240.26,268194.96,288945.14,1253940.98,292080.90,370071.11,294138.49,285811.26,1242101.76,239238.06,322100.21,237268.54,234213.31,1032820.12,217431.41,320214.85,248379.01,256292.61,1042317.88,258962.72,345959.12,244556.15,218132.34,1067610.33,249202.83,345505.65,260496.20,252016.12,1107220.80,232447.08,351442.15,265592.94,235142.53,1084624.70,214892.38,315537.17,272277.60,214240.90,1016948.05,223799.10,281302.65,236596.02,206583.68,948281.45,216316.29,287682.04,232591.61,209847.68,946437.62,217811.32,283469.03,228786.34,201384.36,931451.05,201642.95,322233.87,255112.00,196216.26,975205.08,192672.43,272104.29,232132.11,173129.47,870038.30,177143.30,275194.16,229478.03,180870.84,862686.33,170602.32,235168.61,230194.42,186462.12,822427.47,193867.58,294949.87,214433.84,165072.96,868324.25,185929.23,270922.04,227102.65,184715.98,868669.89,205234.50,..,..,..,..
PHILIPPINES,..Municipal Fisheries,..,..,..,..,1009731.00,..,..,..,..,938628.00,..,..,..,..,978362.00,..,..,..,..,1145841.00,..,..,..,..,1089217.00,..,..,..,..,1045382.00,..,..,..,..,1072361.00,..,..,..,..,1060878.00,..,..,..,..,1070195.00,..,..,..,..,1104626.00,..,..,..,..,1131866.00,..,..,..,..,1146765.00,..,..,..,..,1084360.00,304493.00,271502.00,194130.00,243844.00,1013969.00,285509.00,262321.00,193935.00,250813.00,992578.00,273786.00,256859.00,188023.00,253375.00,972043.00,261269.00,241308.00,183284.00,223387.00,909248.00,242060.00,235112.00,203013.00,244281.00,924466.00,223927.00,232283.00,213112.00,221824.00,891146.00,230247.00,239429.00,226307.00,230356.00,926339.00,232504.00,244208.00,239932.00,229301.00,945945.00,243605.00,253350.00,237383.00,235197.00,969535.00,258060.00,257096.00,234051.00,239731.00,988938.00,260448.00,283076.00,244348.00,267271.00,1055143.00,276019.48,280797.85,254519.95,269427.04,1080764.32,279595.01,305833.80,260835.35,285782.15,1132046.31,298233.58,357747.48,274177.90,305369.82,1235528.78,325282.30,377900.58,303254.93,297918.66,1304356.47,318557.24,392910.58,314247.25,307271.31,1332986.38,333805.56,383497.74,310989.39,320351.28,1348643.97,333321.84,372859.84,328120.34,337087.77,1371389.79,322552.11,364943.36,318924.51,326227.81,1332647.79,312432.28,337466.99,314124.99,316824.77,1280849.03,311465.66,339108.40,314810.01,299032.41,1264416.48,296593.91,329967.03,318194.93,299503.08,1244258.95,291967.18,322931.03,313140.80,288487.71,1216526.72,271660.30,305185.81,283898.14,277186.78,1137931.03,273348.80,303091.36,280739.00,268838.14,1126017.30,254999.58,297052.93,273256.16,280763.17,1106071.84,269181.47,309784.39,264851.15,281400.46,1125217.47,259522.67,288039.50,280681.01,274019.18,1102262.36,257991.46,291848.66,288376.03,293691.17,1131907.32,258015.51,319026.10,275878.77,273339.88,1126260.25,275849.30,276354.75,259905.74,242432.96,1054542.74,250085.65,265224.34,236759.11,229710.61,981779.72,251575.61,251638.19,220908.87,224801.42,948924.09,218302.32,..,..,..,..
PHILIPPINES,....Marine Municipal Fisheries,..,..,..,..,762405.00,..,..,..,..,709989.00,..,..,..,..,708016.00,..,..,..,..,770988.00,..,..,..,..,789975.00,..,..,..,..,785132.00,..,..,..,..,807275.00,..,..,..,..,816247.00,..,..,..,..,838366.00,..,..,..,..,882369.00,..,..,..,..,895040.00,..,..,..,..,913524.00,..,..,..,..,854687.00,247461.00,216062.00,138068.00,201603.00,803194.00,234131.00,209243.00,143757.00,199716.00,786847.00,220651.00,208502.00,149076.00,207140.00,785369.00,211513.00,194342.00,143568.00,181885.00,731308.00,207469.00,196907.00,161794.00,198557.00,764727.00,195687.00,199599.00,172766.00,176623.00,744675.00,200737.00,202590.00,188249.00,188244.00,779820.00,202505.00,206724.00,201216.00,183379.00,793824.00,213638.00,217464.00,207822.00,194264.00,833188.00,228894.00,222231.00,197006.00,209163.00,857294.00,234096.00,252686.00,206471.00,228598.00,921851.00,247149.17,250169.17,211805.63,229621.74,938745.71,248663.67,276554.96,221622.74,241398.50,988239.87,256002.41,318622.44,236635.26,262874.26,1074134.37,283248.19,340261.40,257790.68,254778.92,1136079.19,275379.06,351624.99,264804.69,259499.99,1151308.73,288796.00,344346.87,260842.65,265936.51,1159922.03,290839.24,335027.13,276498.68,281772.10,1184137.15,277087.12,324348.04,265536.53,271977.77,1138949.46,265902.32,295875.25,258729.84,262919.14,1083426.55,265619.58,297156.71,256957.88,242413.46,1062147.63,248786.73,286846.15,252080.63,241680.94,1029394.45,243082.90,280982.34,252934.69,234792.80,1011792.73,233461.48,267825.13,241478.33,234176.25,976941.19,233921.14,264559.77,237989.79,225676.14,962146.84,215208.72,256858.21,230545.11,239258.82,941870.86,232151.67,270096.45,226868.40,239642.08,968758.60,222393.68,255501.93,241126.97,233166.04,952188.62,220678.52,246281.01,223596.20,235813.17,926368.90,218965.16,282411.80,224263.39,225268.34,950908.69,241370.05,238128.86,207213.67,193249.01,879961.58,209832.48,224354.24,190496.07,180157.11,804839.89,198945.64,208143.60,174916.61,178575.97,760581.81,168022.38,..,..,..,..
PHILIPPINES,....Inland Municipal Fisheries,..,..,..,..,247326.00,..,..,..,..,228639.00,..,..,..,..,270346.00,..,..,..,..,374853.00,..,..,..,..,299242.00,..,..,..,..,260250.00,..,..,..,..,265086.00,..,..,..,..,244631.00,..,..,..,..,231829.00,..,..,..,..,222257.00,..,..,..,..,236826.00,..,..,..,..,233241.00,..,..,..,..,229673.00,57032.00,55440.00,56062.00,42241.00,210775.00,51378.00,53078.00,50178.00,51097.00,205731.00,53135.00,48357.00,38947.00,46235.00,186674.00,49756.00,46966.00,39716.00,41502.00,177940.00,34591.00,38205.00,41219.00,45724.00,159739.00,28240.00,32684.00,40346.00,45201.00,146471.00,29510.00,36839.00,38058.00,42112.00,146519.00,29999.00,37484.00,38716.00,45922.00,152121.00,29967.00,35886.00,29561.00,40933.00,136347.00,29166.00,34865.00,37045.00,30568.00,131644.00,26352.00,30390.00,37877.00,38673.00,133292.00,28870.31,30628.68,42714.32,39805.30,142018.61,30931.34,29278.84,39212.61,44383.65,143806.44,42231.17,39125.04,37542.64,42495.56,161394.41,42034.11,37639.18,45464.25,43139.74,168277.28,43178.18,41285.59,49442.56,47771.32,181677.65,45009.56,39150.87,50146.74,54414.77,188721.94,42482.60,37832.71,51621.66,55315.67,187252.64,45464.99,40595.32,53387.98,54250.04,193698.33,46529.96,41591.74,55395.15,53905.63,197422.48,45846.08,41951.69,57852.13,56618.95,202268.85,47807.18,43120.88,66114.30,57822.14,214864.50,48884.28,41948.69,60206.11,53694.91,204733.99,38198.82,37360.68,42419.81,43010.53,160989.84,39427.66,38531.59,42749.21,43162.00,163870.46,39790.86,40194.72,42711.05,41504.35,164200.98,37029.80,39687.94,37982.75,41758.38,156458.87,37128.99,32537.57,39554.04,40853.14,150073.74,37312.94,45567.65,64779.83,57878.00,205538.42,39050.35,36614.29,51615.38,48071.54,175351.56,34479.24,38225.89,52692.07,49183.95,174581.16,40253.18,40870.10,46263.04,49553.51,176939.82,52629.97,43494.60,45992.26,46225.45,188342.28,50279.95,..,..,..,..
PHILIPPINES,..Aquaculture,..,..,..,..,289166.00,..,..,..,..,339501.00,..,..,..,..,392348.00,..,..,..,..,445073.00,..,..,..,..,477887.00,..,..,..,..,494742.00,..,..,..,..,470893.00,..,..,..,..,560970.00,..,..,..,..,599554.00,..,..,..,..,629345.00,..,..,..,..,671116.00,..,..,..,..,692401.00,..,..,..,..,736381.00,214670.00,225347.00,158068.00,195535.00,793620.00,244870.00,226013.00,162256.00,235944.00,869083.00,259201.06,244564.30,171701.00,265123.00,940589.36,260405.00,263590.00,170931.00,312750.00,1007676.00,273096.00,276521.00,155286.00,279536.00,984439.00,277254.00,292897.00,165223.00,262467.00,997841.00,287371.00,275536.00,199001.20,286771.00,1048679.20,294400.40,290226.40,214345.50,301930.00,1100902.30,295564.00,332069.00,239592.00,353231.00,1220456.00,309894.63,333986.05,277922.25,416590.07,1338393.00,302125.36,353053.60,281245.78,518078.71,1454503.45,424503.79,418840.58,310857.96,562824.37,1717026.70,466436.63,429863.63,351307.61,648239.44,1895847.31,533649.51,478642.05,402471.95,677512.28,2092275.80,567839.32,502830.47,436094.26,708062.14,2214826.18,598605.96,516034.62,473274.21,819783.13,2407697.92,621854.45,540746.36,496701.22,818090.00,2477392.03,624106.96,566580.44,500398.11,854881.63,2545967.13,655051.07,596923.93,497782.04,858362.80,2608119.84,638680.19,591896.56,488887.29,822501.34,2541965.39,589708.80,573713.19,495721.52,714242.99,2373386.49,571858.53,555822.42,460766.07,749157.93,2337604.96,566220.72,552946.66,471835.48,757158.19,2348161.06,534470.55,495332.83,454502.65,716607.31,2200913.34,539295.77,519801.60,455934.41,722758.97,2237790.76,534009.22,550014.10,466861.56,753480.43,2304365.31,526048.34,548392.87,494103.99,789787.95,2358333.16,525242.70,566939.70,480671.88,750051.29,2322905.57,522958.52,585483.59,478417.43,659456.24,2246315.78,536604.65,625719.98,490960.46,695966.92,2349252.01,545882.67,573056.25,527150.85,737933.62,2384023.39,546759.90,471418.34,518905.96,684824.03,2221908.23,573282.64,483918.59,454856.30,669217.76,2181275.29,432755.09,..,..,..,..
..National Capital Region (NCR),FISHERIES,..,..,..,..,158412.00,..,..,..,..,161500.00,..,..,..,..,181834.00,..,..,..,..,193587.00,..,..,..,..,157869.00,..,..,..,..,155531.00,..,..,..,..,185121.00,..,..,..,..,208312.00,..,..,..,..,198549.00,..,..,..,..,211600.00,..,..,..,..,225428.00,..,..,..,..,250810.00,..,..,..,..,242283.00,58226.00,75804.00,66262.00,49708.00,250000.00,44548.00,81659.00,69522.00,62470.00,258199.00,68865.00,92288.00,72291.00,55833.00,289277.00,45797.00,89784.00,62092.00,49928.00,247601.00,42518.00,68495.00,54693.00,49408.00,215114.00,50295.00,65869.00,63120.00,41111.00,220395.00,36894.00,47549.00,46260.00,34814.00,165517.00,34498.00,46365.00,35384.00,31712.00,147959.00,32768.00,44591.00,37966.00,31162.00,146487.00,40098.00,57649.00,38350.00,31946.00,168043.00,36559.00,57239.10,35512.70,29704.50,159015.30,37170.50,49432.70,33402.89,27205.84,147211.92,28059.58,45684.27,29530.37,23604.45,126878.67,17089.24,27164.34,18612.93,18120.30,80986.81,22031.49,30118.46,22275.99,16336.14,90762.08,16060.93,29617.19,21300.82,17848.85,84827.79,20112.20,16158.42,16840.31,15612.58,68723.50,20751.91,28038.99,26417.54,18357.04,93565.47,16597.81,30139.16,18331.99,14945.68,80014.64,20485.49,25885.17,19294.48,20541.89,86207.03,30724.13,44847.10,29146.44,19218.57,123936.23,31847.76,48149.88,27998.82,19761.00,127757.46,26153.93,38736.88,26215.26,16028.51,107134.58,23859.93,53937.50,31321.31,16784.02,125902.76,16798.41,32937.94,17342.10,19850.09,86928.53,17582.52,34925.37,21911.40,29463.58,103882.87,25927.66,31951.18,21007.21,19528.68,98414.72,24270.04,44058.96,28741.20,7562.21,104632.41,18130.57,35087.11,21582.88,8241.59,83042.16,16980.17,26108.81,21452.39,8587.53,73128.90,17863.07,42099.36,18227.48,8760.65,86950.56,21115.54,48051.36,24510.69,10425.75,104103.34,21534.85,57336.00,28356.63,10740.97,117968.44,28044.72,..,..,..,..
..National Capital Region (NCR),..Commercial Fisheries,..,..,..,..,151919.00,..,..,..,..,154422.00,..,..,..,..,165017.00,..,..,..,..,170160.00,..,..,..,..,134273.00,..,..,..,..,136836.00,..,..,..,..,167205.00,..,..,..,..,187183.00,..,..,..,..,183272.00,..,..,..,..,195814.00,..,..,..,..,208494.00,..,..,..,..,234256.00,..,..,..,..,223489.00,54046.00,70623.00,62940.00,46090.00,233699.00,40348.00,77827.00,66561.00,58696.00,243432.00,66962.00,88765.00,70528.00,50633.00,276888.00,44603.00,87520.00,60749.00,46132.00,239004.00,41563.00,66425.00,53206.00,46143.00,207337.00,48370.00,64135.00,61470.00,36735.00,210710.00,35997.00,46062.00,44874.00,33165.00,160098.00,33758.00,44988.00,33879.00,30224.00,142849.00,32052.00,42967.00,36339.00,29575.00,140933.00,39316.00,56692.00,35871.00,28672.00,160551.00,35565.00,56255.00,34334.00,27091.00,153245.00,36403.00,48656.00,32091.50,24291.49,141441.99,26410.00,44059.68,27461.53,20067.59,117998.80,15660.34,25350.75,16296.93,15145.77,72453.79,20353.26,28282.97,19780.18,13478.68,81895.09,14644.30,28278.26,19179.37,15322.49,77424.42,18783.64,14882.62,14236.65,14468.49,62371.40,19884.69,26887.81,23807.79,15462.11,86042.40,14782.56,28122.30,15817.23,11962.55,70684.64,18443.12,23581.09,17093.10,18120.30,77237.61,29088.27,43194.55,27068.36,16728.30,116079.48,30131.75,46336.72,25530.00,16692.74,118691.21,24415.48,37114.22,23612.94,13342.11,98484.75,22051.96,52024.96,28326.65,13012.54,115416.11,14680.35,29670.98,14280.53,7142.74,65774.60,15508.80,32651.26,19837.34,8955.17,76952.57,23327.87,29126.59,18672.46,7115.88,78242.80,22364.70,43347.34,27230.36,6517.89,99460.29,16411.98,33433.65,19819.90,7074.64,76740.17,14875.12,21022.32,15228.72,4749.07,55875.24,13469.75,37596.64,15626.39,5757.08,72449.86,18136.72,45556.61,20685.29,7091.55,91470.16,13230.50,48845.12,20614.88,4472.25,87162.76,20371.02,..,..,..,..
..National Capital Region (NCR),..Municipal Fisheries,..,..,..,..,5090.00,..,..,..,..,6401.00,..,..,..,..,7833.00,..,..,..,..,7255.00,..,..,..,..,7533.00,..,..,..,..,5811.00,..,..,..,..,6321.00,..,..,..,..,9575.00,..,..,..,..,8102.00,..,..,..,..,8554.00,..,..,..,..,9791.00,..,..,..,..,9599.00,..,..,..,..,9040.00,1826.00,2483.00,1550.00,1456.00,7315.00,1421.00,1396.00,1345.00,1259.00,5421.00,1176.00,1310.00,1035.00,1007.00,4528.00,913.00,987.00,859.00,906.00,3665.00,729.00,859.00,990.00,951.00,3529.00,1726.00,690.00,1200.00,989.00,4605.00,800.00,780.00,1300.00,1276.00,4156.00,700.00,652.00,1430.00,1200.00,3982.00,690.00,750.00,1550.00,1176.00,4166.00,645.00,431.00,658.00,1033.00,2767.00,541.00,477.00,477.00,846.00,2341.00,364.00,356.00,547.00,765.00,2032.00,1290.48,1160.60,1213.37,1607.05,5271.50,1106.16,1373.61,1557.26,1823.76,5860.79,1449.84,1412.13,1587.53,1567.08,6016.58,1086.73,864.11,1100.40,1299.20,4350.44,1021.84,766.66,1368.28,1058.58,4215.36,825.28,722.85,1817.56,1928.72,5294.41,1468.09,1419.87,1670.07,2062.95,6620.98,1618.16,1636.08,1454.65,1456.74,6165.63,1301.23,1176.04,1295.42,1467.14,5239.83,1377.93,1358.44,1710.53,2082.33,6529.23,1573.35,1392.10,1814.59,1959.18,6739.22,1590.24,1690.08,1848.47,2444.82,7573.61,1897.58,2988.99,1761.09,2403.84,9051.50,1797.76,2109.22,1457.57,2842.08,8206.63,2236.31,2706.36,1735.02,2847.39,9525.08,1654.50,538.49,806.68,1034.53,4034.20,1598.29,1450.70,1355.32,1113.70,5518.01,1531.92,4474.05,5806.13,3397.33,15209.43,3747.33,3432.44,1844.79,2660.66,11685.22,2660.50,1528.25,3303.37,3212.85,10704.97,7798.58,8240.20,7374.41,6027.54,29440.72,7594.98,..,..,..,..
..National Capital Region (NCR),....Marine Municipal Fisheries,..,..,..,..,5070.00,..,..,..,..,6401.00,..,..,..,..,7831.00,..,..,..,..,7252.00,..,..,..,..,7529.00,..,..,..,..,5806.00,..,..,..,..,6314.00,..,..,..,..,9569.00,..,..,..,..,8095.00,..,..,..,..,8554.00,..,..,..,..,9782.00,..,..,..,..,9592.00,..,..,..,..,9033.00,1826.00,2483.00,1550.00,1456.00,7315.00,1421.00,1396.00,1345.00,1259.00,5421.00,1176.00,1310.00,1035.00,1007.00,4528.00,913.00,987.00,859.00,906.00,3665.00,729.00,859.00,990.00,951.00,3529.00,1726.00,690.00,1200.00,989.00,4605.00,800.00,780.00,1300.00,1276.00,4156.00,700.00,652.00,1430.00,1200.00,3982.00,690.00,750.00,1550.00,1176.00,4166.00,645.00,431.00,658.00,1033.00,2767.00,541.00,477.00,477.00,846.00,2341.00,364.00,356.00,547.00,765.00,2032.00,1290.48,1160.60,1213.37,1607.05,5271.50,1106.16,1373.61,1557.26,1823.76,5860.79,1449.84,1412.13,1587.53,1567.08,6016.58,1086.73,864.11,1100.40,1299.20,4350.44,1021.84,766.66,1368.28,1058.58,4215.36,825.28,722.85,1817.56,1928.72,5294.41,1468.09,1419.87,1670.07,2062.95,6620.98,1618.16,1636.08,1454.65,1456.74,6165.63,1301.23,1176.04,1295.42,1467.14,5239.83,1377.93,1358.44,1710.53,2082.33,6529.23,1573.35,1392.10,1814.59,1959.18,6739.22,1590.24,1690.08,1848.47,2444.82,7573.61,1897.58,2988.99,1761.09,2403.84,9051.50,1797.76,2109.22,1457.57,2842.08,8206.63,2236.31,2706.36,1735.02,2847.39,9525.08,1654.50,538.49,806.68,1034.53,4034.20,1121.47,1022.89,924.33,986.52,4055.21,647.34,4080.06,4936.00,2829.78,12493.18,2932.39,2931.83,1557.30,2331.15,9752.67,2339.56,1359.69,2844.44,2554.35,9098.05,7499.14,7975.31,6899.79,5552.98,27927.21,7307.67,..,..,..,..
