Year,Carabao,Cattle,Goat,Swine,Chicken,Duck
1950,1903,698,355,3899,25235,709
1951,..,..,..,..,..,..
1952,..,..,..,..,..,..
1953,..,..,..,..,..,..
1954,..,..,..,..,..,..
1955,3279,806,459,5289,44584,1696
1956,..,..,..,..,..,..
1957,..,..,..,..,..,..
1958,..,..,..,..,..,..
1959,..,..,..,..,..,..
1960,3696,1110,617,6573,52335,2231
1961,..,..,..,..,..,..
1962,..,..,..,..,..,..
1963,..,..,..,..,..,..
1964,..,..,..,..,..,..
1965,3346,1560,606,6938,56929,1478
1966,..,..,..,..,..,..
1967,..,..,..,..,..,..
1968,..,..,..,..,..,..
1969,..,..,..,..,..,..
1970,4432,1679,772,6456,56999,2132
1971,4556,1795,924,7050,56512,2352
1972,4711,1933,1083,7742,50103,2600
1973,4937,2099,1248,8627,49965,2906
1974,..,..,..,..,..,..
1975,..,..,..,..,..,..
1976,2725,1737,785,6489,45671,4104
1977,2897,1723,1104,5696,45289,4228
1978,2959,1820,1290,6910,58892,5395
1979,2803,1833,1374,7445,49320,5338
1980,2870,1912,1691,7934,52568,4725
1981,2850,1940,1696,7758,57724,4783
1982,2908,1942,1783,7802,59718,4711
1983,2946,1938,1859,7984,62253,5267
1984,3021,1849,2362,7612,59161,5761
1985,2983,1786,2191,7304,52399,5221
1986,2984,1814,2177,7275,53007,5208
1987,2865,1747,2016,7038,53248,5252
1988,2890,1700,2120,7581,60321,5833
1989,2842,1682,2212,7909,70017,6501
1990,2765,1630,2136,8000,82302,7356
1991,2647,1677,2159,8079,78240,8268
1992,2577,1731,2306,8022,81525,8348
1993,2576,1915,2562,7954,87158,8707
1994,2560,1936,2633,8227,93201,8187
1995,2708,2021,2828,8941,96216,9072
1996,2841,2128,2982,9026,115782,9470
1997,2988,2266,3025,9752,134963,8923
1998,3013,2377,3085,10210,138521,8824
1999,3006,2426,3051,10397,113789,8614
2000,3024,2479,3151,10711,115187,9265
2001,3066,2496,3215,11063,115607,9987
2002,3122,2548,3294,11653,126831,9911
2003,3180,2557,3270,12364,128515,9807
2004,3270,2593,3358,12562,122010,10211
2005,3327,2548,3535,12140,136003,10439
2006,3361,2520,3736,13047,134333,11147
2007,3384,2566,4049,13459,135640,10162
2008,3339,2566,4174,13701,154272,10508
2009,3321,2586,4222,13596,158663,10577
2010,3270,2571,4178,13398,158984,10268
2011,3075,2518,3882,12303,162813,10126
2012,2964,2493,3715,11863,164192,10011
2013,2913,2498,3694,11843,166386,10135
2014,2847,2512,3696,11802,167671,9886
2015,2855,2534,3674,12000,176469,10067
2016,2877,2554,3663,12479,178793,10519
2017,2882,2548,3710,12428,175317,10842
2018,2883,2554,3725,12604,175772,11220
2019,2874,2535,3756,12709,186370,11577
2020,2866,2542,3813,12796,178265,11794
2021,2849,2605,3868,9943,176820,12512
2022,2774,2578,3908,9426,185102,12000
2023,2776,2581,3902,9766,191203,13519
2024,2706,2606,3824,9566,199831,14028
2025,2648,2547,3728,8747,206433,13931
2026,2604,2513,3558,8795,217233,14008
