Sector/Animal Type,1997 Q1,1997 Q2,1997 Q3,1997 Q4,1997 Annual,1998 Q1,1998 Q2,1998 Q3,1998 Q4,1998 Annual,1999 Q1,1999 Q2,1999 Q3,1999 Q4,1999 Annual,2000 Q1,2000 Q2,2000 Q3,2000 Q4,2000 Annual,2001 Q1,2001 Q2,2001 Q3,2001 Q4,2001 Annual,2002 Q1,2002 Q2,2002 Q3,2002 Q4,2002 Annual,2003 Q1,2003 Q2,2003 Q3,2003 Q4,2003 Annual,2004 Q1,2004 Q2,2004 Q3,2004 Q4,2004 Annual,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2005 Annual,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2006 Annual,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2007 Annual,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2008 Annual,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2009 Annual,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2010 Annual,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2011 Annual,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2012 Annual,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2013 Annual,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2014 Annual,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2015 Annual,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2016 Annual,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2017 Annual,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2018 Annual,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2019 Annual,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2020 Annual,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2021 Annual,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2022 Annual,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2023 Annual,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2024 Annual,2025 Q1,2025 Q2,2025 Q3,2025 Q4,2025 Annual,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2026 Annual
LIVESTOCK 1/,431442.000000,434826.000000,433780.000000,496599.000000,1796647.000000,440970.000000,451248.000000,452284.000000,517289.000000,1861791.000000,463635.000000,472365.000000,465951.000000,538822.000000,1940773.000000,478665.000000,477515.000000,481634.000000,561052.000000,1998866.000000,489008.000000,492229.000000,494838.000000,580325.000000,2056400.000000,506791.812109,514175.390000,516925.900000,609278.445455,2147171.547564,525368.654644,526657.977996,532355.246024,624780.724296,2209162.602961,543387.013251,531222.204709,511564.673682,603857.575537,2190031.467178,545423.600751,540289.761405,529237.940000,626225.192379,2241176.494536,557002.980860,557718.737895,539860.457288,637853.935288,2292436.111331,570138.177024,573456.231868,547703.116916,658529.631109,2349827.156916,551458.663088,557069.940000,550676.570000,667917.806200,2327122.979288,563459.070000,570597.550000,557456.635987,663485.207567,2354998.463554,567952.020000,591365.480000,554859.310000,678063.010469,2392239.820469,570280.190000,598097.320000,570097.950000,700301.493532,2438776.953532,588031.850000,585604.320000,578435.430000,712413.000000,2464484.600000,589799.340000,607684.210000,586251.180000,723312.690000,2507047.420000,597021.015000,611691.273900,594417.840000,729355.500000,2532485.628900,615860.780000,642458.320000,612733.210000,756085.820000,2627138.130000,642728.000000,683680.000000,637215.000000,781747.000000,2745370.000000,663489.795545,674628.214000,641905.248761,795795.000000,2775818.258305,676363.000000,686061.000000,655361.000000,809076.000000,2826861.000000,684131.269633,706833.457954,666138.979172,741569.736815,2798673.443574,683238.446756,644463.549580,616253.831249,646657.583383,2590613.410967,525385.243825,525657.425515,524381.588779,585512.550958,2160936.809077,521903.722159,537311.201005,545737.483465,599751.348532,2204703.755161,542677.130980,541486.334965,559791.866796,617154.321810,2261109.654551,526865.029368,541225.983559,523640.643700,581185.743378,2172917.400005,512095.561283,510659.125234,514476.133887,588957.959422,2126188.779826,537688.695213,...,...,...,...
..Carabao,23131.000000,26212.000000,26600.000000,30200.000000,106143.000000,24290.000000,28819.000000,28230.000000,31710.000000,113049.000000,25567.000000,30292.000000,29684.000000,33414.000000,118957.000000,27538.000000,31087.000000,31406.000000,33941.000000,123972.000000,27201.000000,31040.000000,31284.000000,35770.000000,125295.000000,28395.000000,33100.000000,33254.000000,37811.000000,132560.000000,28809.000000,32723.000000,32942.000000,38060.000000,132534.000000,30982.000000,35458.000000,33497.000000,38126.000000,138063.000000,30469.000000,34073.000000,30976.000000,38004.000000,133522.000000,29060.000000,33899.000000,30682.000000,36771.000000,130412.000000,29682.000000,36461.000000,31616.000000,39200.000000,136959.000000,30494.000000,38301.000000,31262.000000,40366.000000,140423.000000,31359.000000,38800.000000,31217.000000,39534.000000,140910.000000,31792.000000,42601.000000,31456.000000,42173.000000,148022.000000,31225.000000,41942.000000,31718.000000,42631.000000,147516.000000,31405.000000,39042.000000,30666.000000,41614.000000,142727.000000,30502.000000,38862.000000,30288.000000,41826.000000,141478.000000,30824.000000,39132.858900,30349.000000,42728.000000,143033.858900,30665.000000,38276.000000,30102.000000,42999.000000,142042.000000,30073.000000,40298.000000,30550.000000,43764.000000,144685.000000,30916.000000,39690.000000,30717.000000,43086.000000,144409.000000,31192.000000,38467.000000,30080.000000,43404.000000,143143.000000,30398.000000,37671.000000,30050.000000,42542.000000,140661.000000,29804.899200,27674.101504,27744.490000,35186.480884,120409.971589,27301.353193,34931.578583,29873.608530,37238.324730,129344.865036,28646.022530,33567.418901,30925.392107,37132.663707,130271.497244,28310.865458,33719.421389,30844.290860,36909.502210,129784.079917,28583.858620,32899.245680,30699.141260,37577.286870,129759.532430,28517.876341,31936.486390,27935.424728,36835.217810,125225.005269,27578.258819,...,...,...,...
..Cattle,62273.000000,59952.000000,67501.000000,61752.000000,251478.000000,64020.000000,61299.000000,70200.000000,65290.000000,260809.000000,65679.000000,65590.000000,71217.000000,68750.000000,271236.000000,66996.000000,65059.000000,71060.000000,68441.000000,271556.000000,63383.000000,61051.000000,68746.000000,68003.000000,261183.000000,62586.000000,62008.000000,67750.000000,68714.000000,261058.000000,62363.000000,61936.000000,65476.000000,68690.000000,258465.000000,61579.000000,62518.000000,61064.000000,70820.000000,255981.000000,58487.000000,60988.000000,58461.000000,68813.000000,246749.000000,56543.000000,59813.000000,55421.000000,66497.000000,238274.000000,56379.000000,58421.000000,55203.000000,66868.000000,236871.000000,55785.000000,59834.000000,55250.000000,68287.000000,239156.000000,55967.000000,61817.000000,56268.000000,71048.000000,245100.000000,57911.000000,64930.000000,55595.000000,73307.000000,251743.000000,57750.000000,65588.000000,57561.000000,75359.000000,256258.000000,58957.000000,63881.000000,58083.000000,73062.000000,253983.000000,59898.000000,65744.000000,58267.000000,74545.000000,258454.000000,60304.000000,66022.255000,58737.000000,76256.000000,261319.255000,60774.000000,69494.000000,58866.000000,77763.000000,266897.000000,61089.000000,70280.000000,59865.000000,79181.000000,270415.000000,61982.000000,68837.000000,59314.000000,76168.000000,266301.000000,61255.000000,66460.000000,59379.000000,76216.000000,263310.000000,61305.000000,65198.000000,59268.000000,74853.000000,260624.000000,60618.701502,45995.411140,53361.723540,69151.000000,229126.836182,53240.134747,60988.706044,51971.419792,69905.359873,236105.620457,52892.004569,61537.669132,52612.755284,69605.973837,236648.402822,53885.490329,60944.802509,51823.297834,67761.647389,234415.238061,54057.913423,61078.697998,52284.284479,65912.299479,233333.195379,54785.375270,62287.622393,50870.717124,64989.720151,232933.434939,55708.104551,...,...,...,...
..Hog,327413.000000,323721.000000,317649.000000,388998.000000,1357781.000000,333980.000000,336669.000000,331343.000000,404600.000000,1406592.000000,353219.000000,350973.000000,342270.000000,420220.000000,1466682.000000,364520.000000,354890.000000,356212.000000,442321.000000,1517943.000000,378598.000000,374080.000000,372383.000000,459455.000000,1584516.000000,396141.000000,392540.000000,394350.000000,484732.000000,1667763.000000,414609.000000,406450.000000,412427.000000,499601.000000,1733087.000000,431024.000000,407543.000000,395530.000000,475307.000000,1709404.000000,435529.000000,418529.000000,417914.000000,499310.000000,1771282.000000,450267.000000,439175.000000,432450.000000,514244.000000,1836136.000000,462081.000000,454575.000000,438973.000000,530375.000000,1886004.000000,442695.000000,434249.000000,441567.000000,537215.000000,1855726.000000,453889.000000,446548.000000,447302.000000,529600.000000,1877339.000000,455481.000000,459398.000000,444904.000000,538375.000000,1898158.000000,458391.000000,466009.000000,457647.000000,558300.000000,1940347.000000,474048.000000,460142.000000,466360.000000,573067.000000,1973617.000000,475746.000000,480501.000000,474534.000000,581392.000000,2012173.000000,481712.000000,484286.000000,481998.000000,584307.000000,2032303.000000,499889.000000,511422.000000,500112.000000,608910.000000,2120333.000000,527213.000000,549315.000000,522837.000000,632295.000000,2231660.000000,545670.000000,542065.000000,527602.000000,649678.000000,2265015.000000,558725.000000,557273.000000,541034.000000,662732.000000,2319764.000000,567419.000000,580110.000000,551616.000000,597505.806000,2296650.806000,568672.628816,550017.274362,508905.987709,515050.845449,2142646.736336,421793.690000,406065.950090,418073.791606,450216.187217,1696149.618914,416721.672303,418403.350382,436678.125814,465315.933251,1737119.081750,437993.025841,422718.733174,450901.516248,482316.652420,1793929.927682,419369.338269,422064.147983,414611.409620,447742.149055,1703787.044927,403193.074297,390487.768784,408940.314379,455661.879970,1658283.037431,428923.719858,...,...,...,...
..Goat,16085.000000,22201.000000,19640.000000,13099.000000,71025.000000,16320.000000,21941.000000,20371.000000,13469.000000,72101.000000,16690.000000,22740.000000,20550.000000,14068.000000,74048.000000,17091.000000,23649.000000,20616.000000,13829.000000,75185.000000,17006.000000,23058.000000,20035.000000,14507.000000,74606.000000,17110.000000,23587.000000,19033.000000,15063.000000,74793.000000,16901.000000,22526.000000,18889.000000,15510.000000,73826.000000,16961.000000,22605.000000,18774.000000,16636.000000,74976.000000,17918.000000,23379.000000,18966.000000,17018.000000,77281.000000,18104.000000,21537.000000,18149.000000,17034.000000,74824.000000,18824.000000,20568.000000,18724.000000,18442.000000,76558.000000,19193.000000,21076.000000,19209.000000,18531.000000,78009.000000,18934.000000,19847.000000,19148.000000,19450.000000,77379.000000,18799.000000,20302.000000,19064.000000,20286.000000,78451.000000,18960.000000,20419.000000,19070.000000,19751.000000,78200.000000,19012.000000,17778.000000,18951.000000,19924.000000,75665.000000,19004.000000,17626.000000,18305.000000,20481.000000,75416.000000,19237.000000,17285.000000,18494.000000,21086.000000,76102.000000,19413.000000,18090.000000,18649.000000,21328.000000,77480.000000,19191.000000,18410.000000,18772.000000,21081.000000,77454.000000,19192.000000,18067.000000,18844.000000,21235.000000,77338.000000,19137.000000,17692.000000,19223.000000,20901.000000,76953.000000,18868.000000,17589.000000,19194.000000,20707.000000,76358.000000,17702.407237,14200.382573,19266.790000,20548.407049,71717.986860,16429.409465,17530.207231,17741.840000,21335.377745,73036.834441,15495.566814,16356.450166,17720.400538,20810.855037,70383.272555,14935.057033,16321.628617,17746.094787,21084.427009,70087.207445,14319.290929,15879.790372,17012.406350,20223.119995,67434.607646,14522.572454,16088.351600,15698.527302,19375.990519,65685.441875,13685.239270,...,...,...,...
..Dairy,2540.000000,2740.000000,2390.000000,2550.000000,10220.000000,2360.000000,2520.000000,2140.000000,2220.000000,9240.000000,2480.000000,2770.000000,2230.000000,2370.000000,9850.000000,2520.000000,2830.000000,2340.000000,2520.000000,10210.000000,2820.000000,3000.000000,2390.000000,2590.000000,10800.000000,2559.812109,2940.390000,2538.900000,2958.445455,10997.547564,2686.654644,3022.977996,2621.246024,2919.724296,11250.602961,2841.013251,3098.204709,2699.673682,2968.575537,11607.467178,3020.600751,3320.761405,2920.940000,3080.192379,12342.494536,3028.980860,3294.737895,3158.457288,3307.935288,12790.111331,3172.177024,3431.231868,3187.116916,3644.631109,13435.156916,3291.663088,3609.940000,3388.570000,3518.806200,13808.979288,3310.070000,3585.550000,3521.635987,3853.207567,14270.463554,3969.020000,4134.480000,3840.310000,3922.010469,15865.820469,3954.190000,4139.320000,4101.950000,4260.493532,16455.953532,4609.850000,4761.320000,4375.430000,4746.000000,18492.600000,4649.340000,4951.210000,4857.180000,5068.690000,19526.420000,4944.015000,4965.160000,4839.840000,4978.500000,19727.515000,5119.780000,5176.320000,5004.210000,5085.820000,20386.130000,5162.000000,5377.000000,5191.000000,5426.000000,21156.000000,5729.795545,5969.214000,5428.248761,5628.000000,22755.258305,6054.000000,6169.000000,5645.000000,5823.000000,23691.000000,6141.269633,6265.457954,6010.979172,5961.930815,24379.637574,6439.810000,6576.380000,6974.840000,6720.850000,26711.880000,6620.656420,6140.983567,6720.928850,6817.301393,26299.870230,8148.455944,7446.312425,7800.809723,6885.922699,30281.500789,7552.692319,7781.749276,8476.667068,9082.092783,32893.201446,10534.628127,9304.101526,9033.401991,9730.887980,38603.019624,11076.662921,9858.896067,11031.150354,12095.150971,44061.860313,11793.372715,...,...,...,...
..Other Livestock 2/,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,555.799217,1761.774973,1830.845365,2042.558975,6190.978531,680.923487,782.787268,728.430752,996.098544,3188.240052,595.922000,619.536850,647.316968,777.584440,2640.360258,651.511606,670.685270,571.383480,645.491270,2539.071626,667.494490,598.298650,714.619780,738.640585,2719.053505,661.363028,...,...,...,...
POULTRY 3/,323458.000000,267332.000000,278257.000000,386981.000000,1256028.000000,338742.000000,275601.000000,270060.000000,366490.000000,1250893.000000,324375.000000,272170.000000,274931.000000,391440.000000,1262916.000000,346359.000000,287707.000000,297923.000000,415663.000000,1347652.000000,364894.000000,299327.000000,325555.000000,463150.000000,1452926.000000,376497.000000,312418.000000,353592.000000,501601.000000,1544108.000000,395342.000000,322144.000000,363368.000000,490644.000000,1571498.000000,408779.000000,324534.000000,384792.000000,520203.000000,1638308.000000,436026.000000,332182.000000,367980.000000,502570.000000,1638758.000000,419446.000000,336848.000000,376186.000000,499773.000000,1632253.000000,405148.000000,392728.000000,395783.000000,442512.000000,1636171.000000,419700.000000,412179.000000,416217.000000,465951.000000,1714047.000000,436976.000000,430507.000000,422132.000000,455292.000000,1744907.000000,445233.000000,443626.000000,441980.000000,479277.000000,1810116.000000,462502.680383,458223.350937,463003.033903,504823.815139,1888552.880363,495305.810321,476275.818400,476371.464125,526132.900353,1974085.993199,511092.000000,504874.000000,495628.000000,546688.000000,2058282.000000,518122.000000,505333.000000,477019.000000,563063.000000,2063537.000000,545763.337449,530594.904473,518484.687622,586863.700404,2181706.629947,550883.608255,537274.931937,531778.731845,592662.316704,2212599.588741,561545.556158,582025.891174,550165.368578,621080.610594,2314817.426504,590653.882433,612285.101932,580491.591085,664555.023690,2447985.599140,621858.592186,637785.542514,629192.282272,701484.554469,2590320.971440,622294.182814,607123.848226,604986.506294,661266.259469,2495670.796802,574321.697056,621847.474831,612264.643703,677307.532611,2485741.355994,645139.665676,670593.479317,651653.076730,689651.320446,2657037.542170,665541.346934,680499.264719,670476.241112,743265.152168,2759782.004934,705295.733618,739965.711488,709434.769693,788174.565994,2942870.780793,773997.972588,791812.998716,785098.146181,858358.748518,3209267.866002,827994.703032,...,...,...,...
..Chicken,245231.000000,187150.000000,200001.000000,297301.000000,929683.000000,259101.000000,194088.000000,190920.000000,275340.000000,919449.000000,246140.000000,190289.000000,193441.000000,299290.000000,929160.000000,263531.000000,201315.000000,212490.000000,321980.000000,999316.000000,281106.000000,210759.000000,238270.000000,368658.000000,1098793.000000,290841.000000,219849.000000,261588.000000,402960.000000,1175238.000000,303735.000000,229169.000000,269155.000000,386679.000000,1188738.000000,311562.000000,226469.000000,283330.000000,410433.000000,1231794.000000,332544.000000,228140.000000,265000.000000,389990.000000,1215674.000000,316121.000000,230294.000000,272916.000000,386620.000000,1205951.000000,300092.000000,289553.000000,292086.000000,329891.000000,1211622.000000,312537.000000,307367.000000,310977.000000,350462.000000,1281343.000000,326184.000000,319449.000000,314715.000000,340550.000000,1300898.000000,332090.000000,328207.000000,330252.000000,362578.000000,1353127.000000,344594.680383,340768.194132,347895.169241,381031.146813,1414289.190568,370023.000000,352194.000000,355593.000000,401625.395087,1479435.395087,383717.000000,376536.000000,372691.000000,422126.000000,1555070.000000,393412.000000,383893.000000,361782.000000,432675.000000,1571762.000000,414179.337449,404933.904473,393522.622875,448176.700404,1660812.565201,412990.608255,404830.931937,400950.731845,455732.316704,1674504.588741,419302.556158,442566.891174,411057.368578,472961.610594,1745888.426504,439955.882433,462704.101932,428767.591085,505236.023690,1836663.599140,459059.592186,477112.542514,465147.282272,526094.554469,1927413.971440,453723.022814,439995.870712,431769.634129,484364.023060,1809852.550715,402769.796903,433110.314923,425892.218285,483028.034055,1744800.364166,455036.257927,463116.207489,454379.760802,494120.133023,1866652.359241,470207.836525,477757.027578,464966.537243,534002.474795,1946933.876142,506277.226767,520476.447670,492759.211362,560741.577454,2080254.463253,553445.318083,563038.618447,553649.906867,613555.724433,2283689.567829,585469.682601,...,...,...,...
..Duck,12702.000000,10500.000000,11749.000000,15820.000000,50771.000000,12888.000000,10500.000000,11780.000000,16120.000000,51288.000000,12992.000000,10702.000000,12060.000000,15480.000000,51234.000000,13671.000000,11224.000000,12216.000000,14379.000000,51490.000000,14103.000000,11559.000000,12540.000000,15318.000000,53520.000000,13748.000000,12104.000000,12379.000000,15876.000000,54107.000000,13875.000000,12044.000000,12222.000000,15762.000000,53903.000000,13633.000000,11886.000000,12110.000000,15566.000000,53195.000000,13773.000000,12202.000000,10214.000000,13341.000000,49530.000000,12278.000000,11381.000000,9331.000000,12997.000000,45987.000000,11598.000000,10769.000000,8997.000000,11091.000000,42455.000000,11029.000000,8936.000000,8867.000000,10374.000000,39206.000000,10365.000000,8257.000000,8048.000000,9258.000000,35928.000000,9431.000000,6993.000000,7427.000000,9127.000000,32978.000000,9358.000000,6674.000000,7395.000000,9726.000000,33153.000000,9511.000000,6485.000000,7670.000000,10181.000000,33847.000000,9661.000000,6229.000000,7392.000000,11173.000000,34455.000000,9677.000000,6268.000000,7359.000000,11309.000000,34613.000000,9749.000000,6597.000000,7365.000000,10229.000000,33940.000000,9779.000000,6278.000000,7478.000000,8681.000000,32216.000000,9793.000000,5696.000000,7357.000000,8245.000000,31091.000000,9592.000000,5583.000000,7305.000000,8326.000000,30806.000000,9617.000000,5334.000000,7520.000000,7633.000000,30104.000000,9025.160000,4919.580000,7690.382339,7913.133928,29548.256267,7978.720259,6806.330000,7525.422776,6790.002811,29100.483640,6263.652874,6293.393046,6613.286907,7080.185409,26250.518236,6244.691082,6743.067367,6853.935696,7125.658399,26967.352543,6347.698459,6828.746739,6631.591257,7148.461106,26956.497561,6444.459423,6752.304676,6673.164290,7247.569978,27117.498368,6631.539963,...,...,...,...
