Region/Province,Commodity,2010 January,2010 February,2010 March,2010 April,2010 May,2010 June,2010 July,2010 August,2010 September,2010 October,2010 November,2010 December,2010 Annual,2011 January,2011 February,2011 March,2011 April,2011 May,2011 June,2011 July,2011 August,2011 September,2011 October,2011 November,2011 December,2011 Annual,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual
PHILIPPINES,"Bush Sitao, Paayap [Cowpea]",19.67,20.52,26.00,25.14,21.38,..,14.44,13.03,17.20,30.74,35.76,28.23,22.92,25.98,18.23,17.43,16.73,20.19,17.72,19.07,16.74,20.03,28.21,33.33,22.23,21.32,22.49,21.50,16.34,19.18,15.38,16.65,18.99,26.00,23.05,22.67,22.02,22.46,20.56,20.88,18.64,19.10,22.90,23.21,24.56,24.39,20.89,21.95,24.38,29.52,27.88,23.19,26.89,26.27,22.29,29.23,28.44,28.84,27.18,24.73,26.26,32.46,33.00,29.62,27.93,23.85,22.47,23.84,24.50,24.70,22.70,24.62,24.07,27.64,28.04,25.61,27.97,25.00,24.44,27.49,22.64,24.29,..,..,..,..,..,..,..,..,24.72,24.36,23.44,23.24,20.19,21.74,23.47,22.20,21.92,21.31,22.92,23.92,21.73,22.54,24.59,20.23,23.64,20.32,24.88,22.27,22.60,25.39,29.84,30.20,31.47,28.04,25.29,30.27,21.01,20.15,24.77,32.33,23.91,32.30,25.64,24.44,26.42,25.94,24.83,26.00,26.31,25.56,26.15,26.59,23.45,22.64,21.39,21.06,21.93,26.89,28.63,45.34,26.33,39.13,29.21,25.91,26.27,21.93,32.04,30.85,27.21,..,..,..,..,..
..NATIONAL CAPITAL REGION (NCR),"Bush Sitao, Paayap [Cowpea]",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),"Bush Sitao, Paayap [Cowpea]",19.67,20.52,26.00,25.14,21.38,..,14.44,13.03,17.20,30.74,35.76,28.23,22.92,25.98,18.23,17.43,16.73,20.19,17.72,19.07,16.74,20.03,28.21,33.33,22.23,21.32,22.49,21.50,16.34,19.18,15.38,16.65,18.99,26.00,23.05,22.67,22.02,22.46,20.56,20.88,18.64,19.10,22.90,23.21,24.56,24.39,20.89,21.95,24.38,29.52,27.88,23.19,26.89,26.27,22.29,29.23,28.44,28.84,27.18,24.73,26.26,32.46,33.00,29.62,27.93,23.85,22.47,23.84,24.50,24.70,22.70,24.62,24.07,27.64,28.04,25.61,27.97,25.00,24.44,27.49,22.64,24.29,..,..,..,..,..,..,..,..,24.72,24.36,23.44,23.24,20.19,21.74,23.47,22.20,21.92,21.31,22.92,23.92,21.73,22.54,24.59,20.23,23.64,20.32,24.88,22.27,22.60,25.39,29.84,30.20,31.47,28.04,25.29,30.27,21.01,20.15,24.77,32.33,23.91,32.30,25.64,24.44,26.42,25.94,24.83,26.00,26.31,25.56,26.15,26.59,23.45,22.64,21.39,21.06,21.93,26.89,28.63,45.34,26.33,39.13,29.21,25.91,26.27,21.93,32.04,30.85,27.21,..,..,..,..,..
....Abra,"Bush Sitao, Paayap [Cowpea]",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Apayao,"Bush Sitao, Paayap [Cowpea]",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Benguet,"Bush Sitao, Paayap [Cowpea]",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Ifugao,"Bush Sitao, Paayap [Cowpea]",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Kalinga,"Bush Sitao, Paayap [Cowpea]",19.67,20.52,26.00,25.14,21.38,..,14.44,13.03,17.20,30.74,35.76,28.23,22.92,25.98,18.23,17.43,16.73,20.19,17.72,19.07,16.74,20.03,28.21,33.33,22.23,21.32,22.49,21.50,16.34,19.18,15.38,16.65,18.99,26.00,23.05,22.67,22.02,22.46,20.56,20.88,18.64,19.10,22.90,23.21,24.56,24.39,20.89,21.95,24.38,29.52,27.88,23.19,26.89,26.27,22.29,29.23,28.44,28.84,27.18,24.73,26.26,32.46,33.00,29.62,27.93,23.85,22.47,23.84,24.50,24.70,22.70,24.62,24.07,27.64,28.04,25.61,27.97,25.00,24.44,27.49,22.64,24.29,..,..,..,..,..,..,..,..,24.72,24.36,23.44,23.24,20.19,21.74,23.47,22.20,21.92,21.31,22.92,23.92,21.73,22.54,24.59,20.23,23.64,20.32,24.88,22.27,22.60,25.39,29.84,30.20,31.47,28.04,25.29,30.27,21.01,20.15,24.77,32.33,23.91,32.30,25.64,24.44,26.42,25.94,24.83,26.00,26.31,25.56,26.15,26.59,23.45,22.64,21.39,21.06,21.93,26.89,28.63,45.34,26.33,39.13,29.21,25.91,26.27,21.93,32.04,30.85,27.21,..,..,..,..,..
....Mountain Province,"Bush Sitao, Paayap [Cowpea]",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION I (ILOCOS REGION),"Bush Sitao, Paayap [Cowpea]",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Ilocos Norte,"Bush Sitao, Paayap [Cowpea]",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Ilocos Sur,"Bush Sitao, Paayap [Cowpea]",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
