Region/Province,Commodity,2010 January,2010 February,2010 March,2010 April,2010 May,2010 June,2010 July,2010 August,2010 September,2010 October,2010 November,2010 December,2010 Annual,2011 January,2011 February,2011 March,2011 April,2011 May,2011 June,2011 July,2011 August,2011 September,2011 October,2011 November,2011 December,2011 Annual,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual
PHILIPPINES,Garlic,81.64,65.61,62.61,75.21,82.91,81.34,87.09,90.03,91.36,100.48,96.66,78.51,82.79,108.98,97.64,92.94,101.88,104.94,104.21,106.71,108.42,105.47,110.20,152.05,113.88,108.94,72.86,66.19,83.36,87.86,75.16,76.90,75.65,71.34,71.59,69.37,84.11,81.54,76.33,60.98,66.46,87.20,87.52,76.71,73.46,75.17,77.82,84.58,89.30,93.66,97.13,80.83,99.68,83.00,91.13,95.62,91.66,149.85,151.59,153.67,186.07,194.28,208.64,245.22,145.87,160.54,124.24,93.98,94.71,99.27,71.06,70.97,72.90,72.03,78.22,74.71,88.20,91.74,70.01,123.29,90.72,92.45,89.57,81.96,73.44,91.00,79.98,98.80,113.14,117.35,93.48,70.96,87.65,95.09,112.92,126.55,140.81,109.53,111.37,102.83,102.68,104.82,108.16,106.11,102.28,110.22,116.88,111.60,118.77,87.90,118.26,96.31,93.08,74.48,104.58,117.85,104.35,72.29,102.15,125.72,139.91,113.24,95.36,92.31,109.64,102.18,103.05,89.56,86.14,102.63,121.11,99.40,89.06,101.81,126.79,115.19,130.58,78.52,108.62,106.51,156.30,156.70,115.88,113.38,123.43,109.44,115.42,120.45,101.35,102.48,97.97,..,..,..,..,..
..NATIONAL CAPITAL REGION (NCR),Garlic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..CORDILLERA ADMINISTRATIVE REGION (CAR),Garlic,..,..,..,109.17,123.06,..,..,..,..,..,..,..,116.12,..,..,79.11,150.10,149.20,..,..,..,..,..,..,..,126.14,46.79,38.25,89.17,112.07,..,..,..,..,..,..,..,..,71.57,..,..,137.80,130.90,..,..,..,..,..,..,..,..,134.35,..,..,112.09,124.29,..,..,..,..,..,..,..,..,118.19,..,..,141.50,113.65,..,..,..,..,..,..,..,..,127.58,..,..,67.50,99.86,..,..,..,..,..,..,..,..,83.68,..,..,..,155.28,154.62,..,..,..,..,..,..,..,154.95,..,..,..,145.24,146.77,..,..,..,..,..,..,..,146.01,..,..,142.83,175.29,196.41,..,..,..,..,..,..,..,171.51,..,..,59.57,..,87.50,..,..,..,..,..,..,..,73.54,..,..,..,103.86,..,..,..,..,..,..,..,..,..
....Abra,Garlic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Apayao,Garlic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Benguet,Garlic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Ifugao,Garlic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.11,..,..,..,..,..,..,..,..,..,79.11,46.79,38.25,55.19,..,..,..,..,..,..,..,..,..,46.74,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Kalinga,Garlic,..,..,..,109.17,123.06,..,..,..,..,..,..,..,116.12,..,..,..,150.10,149.20,..,..,..,..,..,..,..,149.65,..,..,123.14,112.07,..,..,..,..,..,..,..,..,117.61,..,..,137.80,130.90,..,..,..,..,..,..,..,..,134.35,..,..,112.09,124.29,..,..,..,..,..,..,..,..,118.19,..,..,141.50,113.65,..,..,..,..,..,..,..,..,127.58,..,..,67.50,99.86,..,..,..,..,..,..,..,..,83.68,..,..,..,155.28,154.62,..,..,..,..,..,..,..,154.95,..,..,..,145.24,146.77,..,..,..,..,..,..,..,146.01,..,..,142.83,175.29,196.41,..,..,..,..,..,..,..,171.51,..,..,59.57,..,87.50,..,..,..,..,..,..,..,73.54,..,..,..,103.86,..,..,..,..,..,..,..,..,..
....Mountain Province,Garlic,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..REGION I (ILOCOS REGION),Garlic,72.31,56.96,58.29,61.29,69.23,71.61,76.27,76.91,77.92,83.85,76.03,74.47,71.26,85.74,82.83,79.39,80.64,80.91,81.68,82.50,81.39,81.16,82.27,..,85.98,82.23,59.23,57.55,64.40,68.54,68.44,69.82,62.90,62.57,59.97,58.81,86.76,87.00,67.17,55.38,56.12,57.01,76.75,75.73,81.16,82.82,84.02,94.23,101.87,104.74,107.85,81.47,110.11,98.10,95.18,95.24,107.54,121.88,132.23,151.14,210.73,225.37,250.01,319.52,159.75,154.04,86.36,67.55,64.82,73.40,64.75,61.53,60.54,57.27,68.09,59.48,80.17,74.83,55.61,48.98,60.85,87.38,87.96,94.52,88.89,95.82,79.01,94.66,125.19,124.17,86.92,102.30,109.59,95.60,99.12,115.41,117.08,100.11,112.11,108.23,100.83,112.49,108.16,106.75,123.76,104.90,93.56,90.06,76.50,77.81,91.51,96.31,93.08,86.80,104.58,117.85,96.39,72.29,72.12,75.70,68.01,71.42,79.04,92.31,109.64,102.18,98.09,89.56,86.14,84.71,121.11,108.80,115.19,105.13,112.12,112.87,81.15,78.52,82.24,106.51,156.30,156.70,111.39,113.38,123.43,123.63,103.55,107.02,102.69,102.48,97.97,..,..,..,..,..
