Commodity,Year,SU Production,SU Imports,SU Gross Supply,UT Exports,UT Net Disposable Supply,UT Seeds,UT Feeds and Waste,UT Processing Food Use,UT Processing Non-food Use,UT Processing,UT Total Net Food Disposable,UT Per Capita (kg/yr),UT Per Capita (gm/day)
Cacao,1990,9848,11000,20848,8000,12848,0,0,0,0,128,12720,0.21,0.57
Cacao,1991,9584,12056,21640,4819,16821,0,0,0,0,168,16653,0.18,0.49
Cacao,1992,7537,9072,16609,5861,10748,0,0,0,0,107,10641,0.17,0.45
Cacao,1993,7707,11894,19601,6714,12887,0,0,0,0,129,12758,0.19,0.53
Cacao,1994,7945,14100,22045,7450,14595,0,0,0,0,146,14449,0.21,0.58
Cacao,1995,7927,17610,25537,7260,18277,0,0,0,0,183,18094,0.26,0.73
Cacao,1996,7895,10780,18675,8070,10605,0,0,0,0,106,10499,0.15,0.41
Cacao,1997,7844,7870,15714,120,15594,0,0,0,0,156,15438,0.22,0.59
Cacao,1998,7387,6734,14121,1408,12713,0,0,0,0,127,12586,0.17,0.47
Cacao,1999,7667,5056,12723,121,12602,0,0,0,0,126,12476,0.17,0.46
Cacao,2000,6628,6281,12909,1,12908,0,0,0,0,129,12779,0.17,0.46
Cacao,2001,6531,8822,15353,0,15353,0,0,0,0,154,15199,0.19,0.53
Cacao,2002,5803,6979,12782,6,12776,0,0,0,0,128,12648,0.16,0.43
Cacao,2003,5693,4890,10583,b/,10583,0,0,0,0,106,10477,0.13,0.35
Cacao,2004,5648,1295,6943,95,6848,0,0,0,0,68,6780,0.08,0.22
Cacao,2005,5679,106,5785,52,5733,0,0,0,0,57,5676,0.07,0.18
Cacao,2006,5415,118,5533,126,5407,0,0,0,0,54,5353,0.06,0.17
Cacao,2007,5237,77,5314,75,5239,0,0,0,0,52,5187,0.06,0.16
Cacao,2008,5149,141,5290,103,5187,0,0,0,0,52,5135,0.06,0.16
Cacao,2009,5134,13,5147,2122,3025,0,0,0,0,30,2995,0.03,0.09
Cacao,2010,5019,2723,7742,181,7561,0,0,0,0,76,7485,0.08,0.22
Cacao,2011,4856,302,5158,124,5034,0,0,0,0,50,4984,0.05,0.14
Cacao,2012,4831,148,4979,298,4681,0,0,0,0,47,4634,0.05,0.13
Cacao,2013,4876,2832,7708,498,7210,0,0,0,0,72,7138,0.07,0.2
Cacao,2014,5428,2838,8266,1770,6496,0,0,0,0,65,6431,0.06,0.18
Cacao,2015,6023,1960,7984,1804,6180,0,0,0,0,62,6118,0.06,0.17
Cacao,2016,6263,1941,8204,2233,5971,0,0,0,0,60,5911,0.06,0.16
Cacao,2017,7009,3107,10116,3094,7022,0,0,0,0,70,6952,0.07,0.18
Cacao,2018,7983,2236,10220,2733,7487,0,0,0,0,75,7412,0.07,0.19
Cacao,2019,8489,1123,9611,3049,6563,0,0,0,0,66,6497,0.06,0.17
Coconut,1990,11941960,0,11941960,1220,11940740,119420,0,4776296,6448000,0,597025,9.71,26.61
Coconut,1991,11292500,0,11292500,3000,11289500,112925,0,4515800,6096330,0,564445,6.08,16.65
Coconut,1992,11580400,0,11580400,5650,11574750,115804,0,4629900,6250365,0,578681,9.01,24.67
Coconut,1993,11669480,0,11669480,2790,11666690,116695,0,4666676,6300013,0,583307,8.91,24.42
Coconut,1994,11837160,0,11837160,3720,11833440,118372,0,4733376,6390058,0,591635,8.62,23.62
Coconut,1995,12790840,0,12790840,2590,12788250,127908,0,5115300,6905655,0,639387,9.35,25.63
Coconut,1996,11936720,0,11936720,4190,11932530,119367,0,4773012,6443566,0,596585,8.53,23.37
Coconut,1997,13707837,0,13707837,3750,13704087,137078,0,5481635,7400207,0,685167,9.58,26.24
