Commodity,Year,SU Production,SU Imports,SU Gross Supply,UT Exports,UT Feeds and Waste,UT Processing,UT Total Net Food Disposable,UT Per Capita kg/yr,UT Per Capita gm/day
Milkfish,1990,213757,0,213757,805,6413,68402,138137,2.25,6.16
Milkfish,1991,237122,0,237122,357,7114,75879,153772,1.66,4.54
Milkfish,1992,174529,0,174529,582,5236,55849,112862,1.76,4.81
Milkfish,1993,152212,0,152212,648,4566,48708,98290,1.5,4.12
Milkfish,1994,166153,0,166153,217,4985,53169,107782,1.57,4.3
Milkfish,1995,158357,0,158357,114,4751,50674,102818,1.5,4.12
Milkfish,1996,153822,0,153822,122,4615,49223,99862,1.43,3.91
Milkfish,1997,161823,0,161823,110,4855,51783,105075,1.47,4.02
Milkfish,1998,165458,0,165458,162,4964,52947,107386,1.47,4.02
Milkfish,1999,180854,282,181136,87,5426,57873,117750,1.58,4.32
Milkfish,2000,210157,b/,210157,9,6305,67250,136593,1.79,4.89
Milkfish,2001,225538,23,225561,373,6766,72172,146250,1.86,5.1
Milkfish,2002,232491,33,232524,275,6975,74397,150877,1.88,5.15
Milkfish,2003,247619,b/,247619,267,7429,79238,160685,1.96,5.38
Milkfish,2004,274151,25,274176,523,8225,87728,177700,2.13,5.83
Milkfish,2005,289789,12,289801,611,8694,92732,187764,2.2,6.03
Milkfish,2006,318664,63,318727,1189,9560,101972,206006,2.37,6.49
Milkfish,2007,352002,33,352035,1531,10560,112641,227303,2.57,7.03
Milkfish,2008,354551,7,354558,1678,10637,113456,228787,2.53,6.93
Milkfish,2009,356935,26,356961,2909,10708,114219,229125,2.52,6.9
Milkfish,2010,357919,42,357961,2984,10738,114534,229705,2.47,6.76
Milkfish,2011,378299,160,378459,3465,11349,121056,242589,2.56,7.01
Milkfish,2012,391330,741,392071,2297,11740,125226,252809,2.62,7.18
Milkfish,2013,405783,458,406241,4121,12173,129851,260096,2.65,7.26
Milkfish,2014,401979,112,402091,3419,12059,128633,257979,2.58,7.08
Milkfish,2015,392738,105,392843,3219,11782,125676,252166,2.48,6.8
Milkfish,2016,402655,6,402661,3306,12080,128850,258426,2.5,6.86
Milkfish,2017,416363,450,416813,3040,12491,133236,268046,2.57,7.05
Milkfish,2018,400119,0,400119,3879,12004,128038,256198,2.42,6.64
Milkfish,2019,414944,319,415263,5870,12448,132782,264162,2.46,6.75
Roundscad,1990,249300,0,249300,0,7479,79776,162045,2.64,7.22
Roundscad,1991,277330,0,277330,2228,8320,88746,178037,1.92,5.25
Roundscad,1992,296979,0,296979,1525,8909,95033,191511,2.98,8.17
Roundscad,1993,272049,0,272049,886,8161,87056,175946,2.69,7.37
Roundscad,1994,233177,0,233177,984,6995,74617,150581,2.19,6.01
Roundscad,1995,259768,0,259768,1032,7793,83126,167817,2.46,6.73
Roundscad,1996,223924,0,223924,1689,6718,71656,143862,2.06,5.63
Roundscad,1997,228878,0,228878,1943,6866,73241,146828,2.05,5.62
Roundscad,1998,245143,0,245143,1431,7354,78446,157912,2.16,5.91
Roundscad,1999,248462,0,248462,1249,7454,79508,160251,2.14,5.87
Roundscad,2000,255976,0,255976,4546,7679,81912,161838,2.12,5.8
Roundscad,2001,286204,98,286302,3712,8586,91585,182419,2.32,6.36
Roundscad,2002,277503,800,278303,2471,8325,88801,178706,2.23,6.1
Roundscad,2003,310639,1564,312203,2552,9319,99404,200927,2.45,6.72
Roundscad,2004,293876,1453,295329,787,8816,94040,191685,2.29,6.28
Roundscad,2005,280776,77,280853,269,8423,89848,182312,2.14,5.86
Roundscad,2006,260058,191,260249,283,7802,83219,168946,1.94,5.32
Roundscad,2007,320215,0,320215,819,9606,102469,207321,2.34,6.41
Roundscad,2008,294137,633,294770,845,8824,94124,190977,2.11,5.78
Roundscad,2009,243665,527,244192,787,7310,77973,158122,1.74,4.76
Roundscad,2010,268227,246,268473,909,8047,85833,173685,1.86,5.11
Roundscad,2011,239571,55,239626,635,7187,76663,155141,1.64,4.48
Roundscad,2012,233481,24,233505,357,7004,74714,151430,1.57,4.3
Roundscad,2013,270809,183,270992,170,8124,86659,176039,1.79,4.91
Roundscad,2014,260598,191,260789,169,7818,83391,169411,1.7,4.65
Roundscad,2015,225102,346,225448,198,6753,72033,146464,1.44,3.95
Roundscad,2016,211777,835,212612,79,6353,67768,138411,1.34,3.67
Roundscad,2017,183078,2751,185829,103,5492,58585,121649,1.17,3.2
Roundscad,2018,171306,5455,176761,53,5139,54818,116751,1.1,3.02
Roundscad,2019,189003,53072,242075,59,5670,60481,175865,1.64,4.49
Tilapia,1990,97424,0,97424,0,2923,0,94501,1.54,4.21
Tilapia,1991,96330,0,96330,0,2890,0,93440,1.01,2.76
Tilapia,1992,110631,0,110631,0,3319,0,107312,1.67,4.58
Tilapia,1993,120297,0,120297,0,3609,0,116688,1.78,4.89
Tilapia,1994,107990,0,107990,0,3240,0,104750,1.53,4.18
Tilapia,1995,102427,0,102427,0,3073,0,99354,1.45,3.98
Tilapia,1996,97172,0,97172,0,2915,0,94257,1.35,3.69
Tilapia,1997,112766,0,112766,0,3383,0,109383,1.53,4.19
Tilapia,1998,95500,0,95500,0,2865,0,92635,1.27,3.47
Tilapia,1999,109110,0,109110,0,3273,0,105837,1.42,3.88
Tilapia,2000,121453,0,121453,0,3644,0,117809,1.54,4.22
Tilapia,2001,135627,0,135627,0,4069,0,131558,1.67,4.59
Tilapia,2002,152985,0,152985,0,4590,0,148395,1.85,5.07
Tilapia,2003,168132,0,168132,0,5044,0,163088,1.99,5.46
Tilapia,2004,177790,0,177790,0,5334,0,172457,2.06,5.65
