Commodity,Year,SU Production,SU Imports,SU Gross Supply,UT Exports,UT Seeds,UT Feeds and Waste,UT Processing,UT Total Net Food Disposable,UT Per Capita (kg/yr),UT Per Capita (gm/day)
Atis,1990,9042,0,9042,0,0,543,0,8499,0.14,0.38
Atis,1991,9283,0,9283,0,0,557,0,8726,0.14,0.38
Atis,1992,9367,0,9367,0,0,562,0,8805,0.14,0.38
Atis,1993,10022,0,10022,0,0,601,0,9421,0.14,0.39
Atis,1994,10073,0,10073,0,0,604,0,9469,0.14,0.38
Atis,1995,9987,0,9987,0,0,599,0,9388,0.14,0.38
Atis,1996,9923,0,9923,0,0,595,0,9328,0.13,0.37
Atis,1997,10216,0,10216,0,0,613,0,9603,0.13,0.37
Atis,1998,7547,0,7547,0,0,453,0,7094,0.1,0.27
Atis,1999,5192,0,5192,0,0,312,0,4880,0.07,0.18
Atis,2000,5340,0,5340,0,0,320,0,5020,0.07,0.18
Atis,2001,5341,0,5341,0,0,320,0,5021,0.06,0.18
Atis,2002,5328,0,5328,0,0,320,0,5008,0.06,0.17
Atis,2003,5363,0,5363,0,0,322,0,5041,0.06,0.17
Atis,2004,4716,0,4716,0,0,283,0,4433,0.05,0.15
Atis,2005,4563,0,4563,0,0,274,0,4289,0.05,0.14
Atis,2006,4302,0,4302,0,0,258,0,4044,0.05,0.13
Atis,2007,4218,0,4218,0,0,253,0,3965,0.04,0.12
Atis,2008,3631,0,3631,0,0,218,0,3413,0.04,0.1
Atis,2009,3068,0,3068,0,0,184,0,2884,0.03,0.09
Atis,2010,2960,0,2960,0,0,178,0,2782,0.03,0.08
Atis,2011,2843,0,2843,0,0,171,0,2672,0.03,0.08
Atis,2012,2781,0,2781,0,0,167,0,2614,0.03,0.07
Atis,2013,2761,0,2761,0,0,166,0,2595,0.03,0.07
Atis,2014,2635,0,2635,0,0,158,0,2477,0.02,0.07
Atis,2015,2450,0,2450,0,0,147,0,2303,0.02,0.06
Atis,2016,2367,0,2367,0,0,142,0,2225,0.02,0.06
Atis,2017,2293,0,2293,0,0,138,0,2155,0.02,0.06
Atis,2018,2265,0,2265,0,0,136,0,2129,0.02,0.06
Atis,2019,2205,0,2205,0,0,132,0,2073,0.02,0.05
Avocado,1990,46372,9,46381,0,0,2783,0,43598,0.71,1.94
Avocado,1991,46123,4,46127,0,0,2768,0,43359,0.69,1.89
Avocado,1992,46936,6,46942,0,0,2817,0,44125,0.69,1.88
Avocado,1993,47105,9,47114,0,0,2827,0,44287,0.68,1.85
Avocado,1994,47001,13,47014,0,0,2821,0,44193,0.64,1.76
Avocado,1995,47023,6,47029,1,0,2822,0,44206,0.65,1.77
Avocado,1996,46303,2,46305,1,0,2778,0,43526,0.62,1.7
Avocado,1997,43700,1,43701,1,0,2622,0,41078,0.57,1.57
Avocado,1998,37548,1,37549,3,0,2253,0,35293,0.48,1.32
Avocado,1999,38820,b/,38820,2,0,2329,0,36489,0.49,1.34
Avocado,2000,38086,b/,38086,231,0,2271,0,35584,0.47,1.27
Avocado,2001,37404,0,37404,118,0,2237,0,35049,0.45,1.23
Avocado,2002,37957,0,37957,2,0,2277,0,35678,0.45,1.23
Avocado,2003,35125,0,35125,1,0,2107,0,33017,0.41,1.12
Avocado,2004,30797,0,30797,145,0,1839,0,28813,0.35,0.95
Avocado,2005,27755,0,27755,1,0,1665,0,26089,0.31,0.84
Avocado,2006,25617,0,25617,1,0,1537,0,24079,0.28,0.76
Avocado,2007,24975,1,24976,35,0,1496,0,23445,0.26,0.73
Avocado,2008,24180,0,24180,6,0,1450,0,22724,0.25,0.69
Avocado,2009,22763,0,22763,1,0,1366,0,21396,0.24,0.64
Avocado,2010,22029,1,22030,b/,0,1322,0,20708,0.22,0.61
Avocado,2011,20993,0,20993,b/,0,1260,0,19733,0.21,0.57
Avocado,2012,20909,0,20909,16,0,1254,0,19639,0.2,0.56
Avocado,2013,20397,b/,20397,37,0,1222,0,19138,0.19,0.53
Avocado,2014,20061,2,20063,36,0,1202,0,18825,0.19,0.52
Avocado,2015,19995,1,19996,57,0,1196,0,18743,0.18,0.51
Avocado,2016,19572,0,19572,11,0,1174,0,18387,0.18,0.49
Avocado,2017,19440,6,19446,88,0,1161,0,18197,0.17,0.48
Avocado,2018,19443,15,19458,462,0,1140,0,17857,0.17,0.46
Avocado,2019,19597,36,19633,940,0,1122,0,17572,0.16,0.45
Banana,1990,3539616,0,3539616,781828,0,165467,689447,1902874,30.95,84.8
Banana,1991,3662305,0,3662305,955414,0,162413,676723,1867755,29.71,81.39
Banana,1992,3723887,0,3723887,820770,0,174187,725779,2003151,31.17,85.41
Banana,1993,3809372,0,3809372,1153471,0,159354,663975,1832572,28.01,76.73
Banana,1994,3916386,0,3916386,1155182,0,165672,690301,1905231,27.76,76.06
Banana,1995,4236253,b/,4236253,1213411,0,181371,755711,2085761,30.52,83.61
Banana,1996,4229142,6,4229148,1253169,0,178559,743995,2053426,29.35,80.42
Banana,1997,4407665,0,4407665,1143336,0,195860,816082,2252387,31.48,86.25
Banana,1998,4106698,37,4106735,1149552,0,177431,739296,2040456,27.89,76.42
Banana,1999,4570640,0,4570640,1319632,0,195060,812752,2243196,30.01,82.22
Banana,2000,4929570,0,4929570,1599352,0,199813,832555,2297850,30.04,82.29
Banana,2001,5059360,0,5059360,1600707,0,207519,864663,2386471,30.62,83.9
Banana,2002,5274826,0,5274826,1684986,0,215390,897460,2476990,31.16,85.36
Banana,2003,5368977,0,5368977,1829384,0,212376,884898,2442319,30.12,82.53
Banana,2004,5631250,0,5631250,1785458,0,230748,961448,2653596,32.1,87.95
Banana,2005,6298225,0,6298225,2024321,0,256434,1068476,2948994,34.6,94.79
Banana,2006,6794564,0,6794564,2311540,0,268981,1120756,3093287,35.57,97.44
Banana,2007,7484073,0,7484073,2217741,0,315980,1316583,3633769,41.02,112.4
Banana,2008,8687624,0,8687624,2192553,0,389704,1623768,4481599,49.54,135.74
Banana,2009,9013186,0,9013186,1664055,0,440948,1837283,5070900,55.71,152.64
Banana,2010,9101341,0,9101341,1590066,0,450677,1877819,5182780,55.65,152.46
Banana,2011,9165046,0,9165046,2055510,0,426572,1777384,4905580,51.73,141.74
Banana,2012,9226768,0,9226768,2646118,0,394839,1645163,4540649,47.05,128.9
Banana,2013,8646417,0,8646417,3266548,0,322792,1344967,3712110,37.8,103.57
Banana,2014,8884857,1,8884858,3630976,0,315233,1313471,3625179,36.3,99.44
Banana,2015,9083929,0,9083929,1795219,0,437323,1822178,5029210,49.52,135.67
Banana,2016,8903684,14,8903698,1733836,0,430192,1792466,4947205,47.92,131.28
Banana,2017,9166334,2,9166336,2855635,0,378642,1577675,4354384,41.8,114.52
Banana,2018,9358785,2,9358787,3126203,0,373955,1558146,4300483,40.66,111.41
Banana,2019,9157676,1,9157677,4403496,0,285251,1188545,3280385,30.58,83.77
Caimito,1990,28825,0,28825,0,0,1730,0,27096,0.44,1.21
Caimito,1991,28118,0,28118,0,0,1687,0,26431,0.42,1.15
Caimito,1992,28688,0,28688,0,0,1721,0,26967,0.42,1.15
Caimito,1993,27852,0,27852,0,0,1671,0,26181,0.4,1.1
Caimito,1994,26453,0,26453,0,0,1587,0,24866,0.36,0.99
Caimito,1995,27979,0,27979,0,0,1679,0,26300,0.38,1.05
Caimito,1996,28607,0,28607,0,0,1716,0,26891,0.38,1.05
Caimito,1997,29018,0,29018,0,0,1741,0,27277,0.38,1.04
Caimito,1998,26154,0,26154,0,0,1569,0,24585,0.34,0.92
Caimito,1999,26371,0,26371,0,0,1582,0,24789,0.33,0.91
Caimito,2000,27317,0,27317,0,0,1639,0,25678,0.34,0.92
Caimito,2001,26097,0,26097,0,0,1566,0,24531,0.31,0.86
Caimito,2002,26555,0,26555,0,0,1593,0,24962,0.31,0.86
Caimito,2003,24295,0,24295,0,0,1458,0,22837,0.28,0.77
Caimito,2004,23136,0,23136,0,0,1388,0,21748,0.26,0.72
Caimito,2005,21545,0,21545,0,0,1293,0,20252,0.24,0.65
Caimito,2006,21607,0,21607,0,0,1296,0,20311,0.23,0.64
Caimito,2007,22102,0,22102,0,0,1326,0,20776,0.23,0.64
Caimito,2008,22291,0,22291,0,0,1337,0,20954,0.23,0.63
Caimito,2009,20744,0,20744,0,0,1245,0,19499,0.21,0.59
Caimito,2010,19687,0,19687,0,0,1181,0,18506,0.2,0.54
Caimito,2011,18009,0,18009,0,0,1081,0,16928,0.18,0.49
Caimito,2012,16332,0,16332,0,0,980,0,15352,0.16,0.44
Caimito,2013,15636,0,15636,0,0,938,0,14698,0.15,0.41
Caimito,2014,14757,0,14757,0,0,885,0,13872,0.14,0.38
Caimito,2015,14275,0,14275,0,0,857,0,13419,0.13,0.36
Caimito,2016,12724,0,12724,0,0,763,0,11961,0.12,0.32
Caimito,2017,12764,0,12764,0,0,766,0,11998,0.12,0.32
Caimito,2018,12121,0,12121,0,0,727,0,11394,0.11,0.3
Caimito,2019,12080,0,12080,0,0,725,0,11356,0.11,0.29
Calamansi,1990,154728,0,154728,b/,0,9284,0,145444,2.37,6.48
Calamansi,1991,148996,0,148996,1,0,8940,0,140055,2.23,6.1
Calamansi,1992,158252,0,158252,b/,0,9495,0,148757,2.31,6.34
Calamansi,1993,151650,0,151650,b/,0,9099,0,142551,2.18,5.97
Calamansi,1994,155805,0,155805,1,0,9348,0,146456,2.13,5.85
Calamansi,1995,161454,0,161454,1,0,9687,0,151766,2.22,6.08
Calamansi,1996,164996,0,164996,1,0,9900,0,155095,2.22,6.07
Calamansi,1997,155479,0,155479,2,0,9329,0,146148,2.04,5.6
Calamansi,1998,169387,0,169387,4,0,10163,0,159220,2.18,5.96
