Commodity,Year,SU Production,SU Imports,SU Gross Supply,UT Exports,UT Processing,UT Total Carcass Net Food Disposable,UT Carcass Per Capita (kg/yr),UT Carcass Per Capita (gm/day),UT Total Offals Net Food Disposable,UT Offals Per Capita (kg/yr),UT Offals Per Capita (gm/day)
Beef,1990,99051,10881,109932,0,9905,86931,1.41,3.87,13096,0.21,0.58
Beef,1991,94983,10685,105668,0,9498,83179,1.32,3.62,12991,0.21,0.57
Beef,1992,97826,14859,112685,0,9783,89505,1.39,3.82,13398,0.21,0.57
Beef,1993,106500,17218,123718,0,10650,98641,1.51,4.13,14428,0.22,0.6
Beef,1994,114612,26977,141589,0,11461,114383,1.67,4.57,15745,0.23,0.63
Beef,1995,124886,26195,151081,0,12489,121547,1.78,4.87,17046,0.25,0.68
Beef,1996,136174,32663,168837,0,13617,136169,1.95,5.33,19051,0.27,0.75
Beef,1997,147391,39609,187000,0,14739,151507,2.12,5.8,20754,0.29,0.79
Beef,1998,152860,29783,182643,0,15286,146689,2.01,5.49,20668,0.28,0.77
Beef,1999,158971,36371,195342,0,15897,157766,2.11,5.78,21679,0.29,0.79
Beef,2000,159159,43883,203042,0,15916,164652,2.15,5.9,22474,0.29,0.8
Beef,2001,153079,29569,182648,20,15308,146279,1.88,5.14,21041,0.27,0.74
Beef,2002,153006,32549,185555,0,15301,149182,1.88,5.14,21072,0.27,0.73
Beef,2003,151486,34355,185841,0,15149,149077,1.84,5.04,21615,0.27,0.73
Beef,2004,150030,46768,196798,0,15003,159858,1.93,5.3,21937,0.27,0.73
Beef,2005,144620,30829,175449,0,14462,140777,1.65,4.52,20210,0.24,0.65
Beef,2006,139652,33696,173348,0,13965,138825,1.6,4.37,20558,0.24,0.65
Beef,2007,138830,44821,183651,53,13883,148957,1.68,4.61,20758,0.23,0.64
Beef,2008,140169,49837,190006,b/,14017,153457,1.7,4.65,22532,0.25,0.68
Beef,2009,143653,41541,185194,0,14365,148455,1.63,4.47,22374,0.25,0.67
Beef,2010,147547,50062,197609,1,14755,158314,1.7,4.66,24540,0.26,0.72
Beef,2011,150193,48642,198835,0,15019,160060,1.69,4.62,23755,0.25,0.69
Beef,2012,148859,49333,198192,2,14886,160534,1.66,4.56,22770,0.24,0.65
Beef,2013,151480,50452,201932,49,15148,164083,1.67,4.58,22652,0.23,0.63
Beef,2014,153159,65692,218851,45,15316,179038,1.79,4.91,24452,0.24,0.67
Beef,2015,156428,64446,220874,10,15643,181167,1.78,4.89,24054,0.24,0.65
Beef,2016,158490,77112,235602,0,15849,195785,1.9,5.2,23968,0.23,0.64
Beef,2017,156079,86643,242722,0,15608,198942,1.91,5.23,28172,0.27,0.74
Beef,2018,154326,98751,253077,25,15433,205336,1.94,5.32,32283,0.31,0.84
Beef,2019,152752,103134,255885,27,15275,209850,1.96,5.36,30733,0.29,0.78
Carabeef,1990,62437,0,62437,0,62,53212,0.87,2.37,9163,0.15,0.41
Carabeef,1991,59313,0,59313,0,59,50549,0.8,2.2,8705,0.14,0.38
Carabeef,1992,63650,0,63650,0,64,54246,0.84,2.31,9341,0.15,0.4
Carabeef,1993,63498,424,63922,0,63,54540,0.83,2.28,9319,0.14,0.39
Carabeef,1994,63703,9165,72868,0,64,63456,0.92,2.53,9349,0.14,0.37
Carabeef,1995,60931,16681,77612,0,61,68609,1,2.75,8942,0.13,0.36
