Commodity,Year,SU Production,SU Imports,SU Gross Supply,UT Exports,UT Egg Hatched,UT Processing,UT Total Net Food Disposable,UT Per Capita kg/yr,UT Per Capita gm/day
Chicken (Dressed),1990,430931,190,431121,0,.,.,431121,7.01,19.21
Chicken (Dressed),1991,444968,34,445002,82,.,.,444920,7.08,19.39
Chicken (Dressed),1992,502032,41,502074,0,.,.,502074,7.81,21.41
Chicken (Dressed),1993,522645,113,522758,0,.,.,522758,7.99,21.89
Chicken (Dressed),1994,546284,199,546483,0,.,.,546483,7.96,21.82
Chicken (Dressed),1995,575844,191,576036,0,.,.,576036,8.43,23.09
Chicken (Dressed),1996,655894,200,656094,0,.,.,656094,9.38,25.7
Chicken (Dressed),1997,715856,966,716822,0,.,.,716822,10.02,27.45
Chicken (Dressed),1998,707976,2417,710393,0,.,.,710393,9.71,26.61
Chicken (Dressed),1999,715453,29388,744841,0,.,.,744841,9.96,27.3
Chicken (Dressed),2000,769473,16790,786263,6,.,.,786258,10.28,28.16
Chicken (Dressed),2001,846071,11154,857225,25,.,.,857200,11,30.14
Chicken (Dressed),2002,904933,12176,917109,25,.,.,917084,11.54,31.6
Chicken (Dressed),2003,915328,13640,928968,22,.,.,928947,11.46,31.39
Chicken (Dressed),2004,948481,20546,969027,1244,.,.,967783,11.71,32.08
Chicken (Dressed),2005,936069,26210,962279,3599,.,.,958680,11.25,30.81
Chicken (Dressed),2006,928582,33629,962211,419,.,.,961792,11.06,30.3
Chicken (Dressed),2007,932949,38336,971284,3585,.,.,967699,10.93,29.93
Chicken (Dressed),2008,986634,43758,1030392,3267,.,.,1027125,11.35,31.11
Chicken (Dressed),2009,1001691,61444,1063135,4548,.,.,1058587,11.63,31.86
Chicken (Dressed),2010,1041908,98004,1139912,5505,.,.,1134407,12.18,33.37
Chicken (Dressed),2011,1089003,112109,1201112,9902,.,.,1191210,12.56,34.42
Chicken (Dressed),2012,1139165,107258,1246423,5800,.,.,1240623,12.85,35.22
Chicken (Dressed),2013,1197404,98727,1296131,6084,.,.,1290047,13.14,35.99
Chicken (Dressed),2014,1210257,166605,1376862,8405,.,.,1368457,13.7,37.54
Chicken (Dressed),2015,1278826,190529,1469355,3700,.,.,1465655,14.43,39.54
Chicken (Dressed),2016,1289369,235770,1525139,2399,.,.,1522740,14.75,40.41
Chicken (Dressed),2017,1344334,55419,1399753,356,.,.,1399397,13.43,36.81
Chicken (Dressed),2018,1414231,96327,1510558,363,.,.,1510195,14.28,39.12
Chicken (Dressed),2019,1484109,114741,1598850,1169,.,.,1597680,14.89,40.8
Duck (Dressed),1990,26880,53,26933,0,.,.,26933,0.44,1.2
Duck (Dressed),1991,26873,6,26879,0,.,.,26879,0.43,1.17
Duck (Dressed),1992,29318,9,29326,0,.,.,29326,0.46,1.25
Duck (Dressed),1993,31245,61,31306,0,.,.,31306,0.48,1.31
Duck (Dressed),1994,33000,151,33151,0,.,.,33151,0.48,1.32
Duck (Dressed),1995,35528,189,35717,b/,.,.,35716,0.52,1.43
Duck (Dressed),1996,38213,261,38473,1,.,.,38472,0.55,1.51
Duck (Dressed),1997,38078,422,38500,1,.,.,38499,0.54,1.47
Duck (Dressed),1998,38466,330,38796,0,.,.,38796,0.53,1.45
Duck (Dressed),1999,38426,302,38728,0,.,.,38728,0.52,1.42
Duck (Dressed),2000,38618,190,38807,0,.,.,38807,0.51,1.39
Duck (Dressed),2001,40140,118,40258,0,.,.,40258,0.52,1.42
Duck (Dressed),2002,40580,490,41071,0,.,.,41071,0.52,1.42
Duck (Dressed),2003,40427,324,40751,b/,.,.,40751,0.5,1.38
Duck (Dressed),2004,39896,139,40035,0,.,.,40035,0.48,1.33
Duck (Dressed),2005,37148,40,37187,0,.,.,37187,0.44,1.2
Duck (Dressed),2006,34490,70,34560,0,.,.,34560,0.4,1.09
