Commodity,Year,SU Production,SU Imports,SU Gross Supply,UT Exports,UT Seeds,UT Feeds and Waste,UT Processing,UT Total Net Food Disposable,UT Per Capita kg/yr,UT Per Capita gm/day
Ampalaya,1990,32491,0,32491,0,15,2599,0,29877,0.49,1.33
Ampalaya,1991,29337,0,29337,0,14,2347,0,26977,0.43,1.18
Ampalaya,1992,27809,0,27809,0,13,2225,0,25571,0.4,1.09
Ampalaya,1993,30451,0,30451,0,13,2436,0,28002,0.43,1.17
Ampalaya,1994,31891,0,31891,0,13,2551,0,29327,0.43,1.17
Ampalaya,1995,36198,0,36198,0,15,2896,0,33287,0.49,1.33
Ampalaya,1996,39754,0,39754,0,17,3180,0,36557,0.52,1.43
Ampalaya,1997,42201,0,42201,0,18,3376,0,38807,0.54,1.49
Ampalaya,1998,35367,0,35367,0,16,2829,0,32522,0.44,1.22
Ampalaya,1999,43489,0,43489,0,18,3479,0,39992,0.54,1.47
Ampalaya,2000,44366,0,44366,0,17,3549,0,40799,0.53,1.46
Ampalaya,2001,47124,0,47124,0,18,3770,0,43336,0.56,1.52
Ampalaya,2002,74512,0,74512,0,23,5961,0,68528,0.86,2.36
Ampalaya,2003,74256,0,74256,0,23,5940,0,68292,0.84,2.31
Ampalaya,2004,78640,0,78640,0,24,6291,0,72324,0.87,2.4
Ampalaya,2005,79794,0,79794,0,25,6384,0,73386,0.86,2.36
Ampalaya,2006,77894,0,77894,0,23,6232,0,71639,0.82,2.26
Ampalaya,2007,83144,0,83144,0,24,6652,0,76468,0.86,2.37
Ampalaya,2008,85385,0,85385,0,24,6831,0,78530,0.87,2.38
Ampalaya,2009,86498,0,86498,0,24,6920,0,79554,0.87,2.39
Ampalaya,2010,88437,0,88437,0,24,7075,0,81338,0.87,2.39
Ampalaya,2011,86599,0,86599,0,24,6928,0,79647,0.84,2.3
Ampalaya,2012,87090,0,87090,0,24,6967,0,80099,0.83,2.27
Ampalaya,2013,89887,0,89887,0,24,7191,0,82672,0.84,2.31
Ampalaya,2014,90111,0,90111,0,23,7209,0,82879,0.83,2.27
Ampalaya,2015,89918,0,89918,0,23,7193,0,82701,0.81,2.23
Ampalaya,2016,87460,0,87460,0,23,6997,0,80440,0.78,2.13
Ampalaya,2017,89460,0,89460,0,23,7157,0,82279,0.79,2.16
Ampalaya,2018,87395,0,87395,0,23,6992,0,80380,0.76,2.08
Ampalaya,2019,89341,0,89341,0,23,7147,0,82170,0.77,2.1
Asparagus,1990,1908,0,1908,205,0,136,0,1567,0.03,0.07
Asparagus,1991,2351,1,2352,933,0,114,0,1305,0.02,0.06
Asparagus,1992,4269,4,4273,1874,0,192,0,2207,0.03,0.09
Asparagus,1993,5875,6,5881,3257,0,210,0,2414,0.04,0.1
Asparagus,1994,9821,45,9866,3883,0,479,0,5504,0.08,0.22
Asparagus,1995,10842,3,10845,4919,0,474,0,5452,0.08,0.22
Asparagus,1996,11761,0,11761,5660,0,488,0,5613,0.08,0.22
Asparagus,1997,11017,2,11019,5105,0,473,0,5441,0.08,0.21
Asparagus,1998,6254,6,6260,3236,0,242,0,2782,0.04,0.1
Asparagus,1999,6332,4,6336,4175,0,173,0,1988,0.03,0.07
Asparagus,2000,6429,4,6433,3974,0,197,0,2262,0.03,0.08
Asparagus,2001,8577,8,8585,4148,0,355,0,4082,0.05,0.14
Asparagus,2002,12566,3,12569,4663,0,632,0,7274,0.09,0.25
Asparagus,2003,15211,13,15224,3644,0,926,0,10654,0.13,0.36
Asparagus,2004,22367,22,22389,2623,0,1581,0,18185,0.22,0.6
Asparagus,2005,25231,b/,25231,3118,0,1769,0,20344,0.24,0.65
Asparagus,2006,21938,2,21940,3620,0,1466,0,16854,0.19,0.53
Asparagus,2007,14845,1,14846,2022,0,1026,0,11798,0.13,0.36
Asparagus,2008,11891,0,11891,795,0,888,0,10208,0.11,0.31
Asparagus,2009,7121,28,7149,303,0,548,0,6298,0.07,0.19
Asparagus,2010,4637,0,4637,216,0,354,0,4067,0.04,0.12
Asparagus,2011,3443,7,3450,484,0,237,0,2729,0.03,0.08
Asparagus,2012,4106,6,4112,520,0,287,0,3305,0.03,0.09
Asparagus,2013,3213,4,3217,603,0,209,0,2405,0.02,0.07
Asparagus,2014,2939,1,2940,365,0,206,0,2369,0.02,0.06
Asparagus,2015,2742,b/,2742,222,0,202,0,2318,0.02,0.06
Asparagus,2016,2172,b/,2172,0,0,174,0,1998,0.02,0.05
