Species,Geolocation,2002 Quarter 1,2002 Quarter 2,2002 Quarter 3,2002 Quarter 4,2002 Annual,2003 Quarter 1,2003 Quarter 2,2003 Quarter 3,2003 Quarter 4,2003 Annual,2004 Quarter 1,2004 Quarter 2,2004 Quarter 3,2004 Quarter 4,2004 Annual,2005 Quarter 1,2005 Quarter 2,2005 Quarter 3,2005 Quarter 4,2005 Annual,2006 Quarter 1,2006 Quarter 2,2006 Quarter 3,2006 Quarter 4,2006 Annual,2007 Quarter 1,2007 Quarter 2,2007 Quarter 3,2007 Quarter 4,2007 Annual,2008 Quarter 1,2008 Quarter 2,2008 Quarter 3,2008 Quarter 4,2008 Annual,2009 Quarter 1,2009 Quarter 2,2009 Quarter 3,2009 Quarter 4,2009 Annual,2010 Quarter 1,2010 Quarter 2,2010 Quarter 3,2010 Quarter 4,2010 Annual,2011 Quarter 1,2011 Quarter 2,2011 Quarter 3,2011 Quarter 4,2011 Annual,2012 Quarter 1,2012 Quarter 2,2012 Quarter 3,2012 Quarter 4,2012 Annual,2013 Quarter 1,2013 Quarter 2,2013 Quarter 3,2013 Quarter 4,2013 Annual,2014 Quarter 1,2014 Quarter 2,2014 Quarter 3,2014 Quarter 4,2014 Annual,2015 Quarter 1,2015 Quarter 2,2015 Quarter 3,2015 Quarter 4,2015 Annual,2016 Quarter 1,2016 Quarter 2,2016 Quarter 3,2016 Quarter 4,2016 Annual,2017 Quarter 1,2017 Quarter 2,2017 Quarter 3,2017 Quarter 4,2017 Annual,2018 Quarter 1,2018 Quarter 2,2018 Quarter 3,2018 Quarter 4,2018 Annual,2019 Quarter 1,2019 Quarter 2,2019 Quarter 3,2019 Quarter 4,2019 Annual,2020 Quarter 1,2020 Quarter 2,2020 Quarter 3,2020 Quarter 4,2020 Annual,2021 Quarter 1,2021 Quarter 2,2021 Quarter 3,2021 Quarter 4,2021 Annual
All species,Philippines,812911.63,886413.05,774691.25,895508.07,3369524.00,816457.36,935893.60,810925.78,1056005.71,3619282.45,974016.08,991203.52,852378.25,1108575.55,3926173.40,1024883.10,1039822.49,902501.50,1194662.74,4161869.83,1075434.90,1156724.95,941199.26,1235113.17,4408472.28,1168444.59,1229337.43,1034449.16,1279021.25,4711252.43,1209997.83,1252913.14,1082663.43,1421314.78,4966889.18,1256220.63,1320484.36,1075885.57,1427386.42,5079976.98,1249509.70,1309511.39,1122656.95,1477780.65,5159458.68,1216841.24,1283967.50,1053975.09,1418803.92,4973587.75,1168543.88,1249578.40,1051391.29,1395618.72,4865132.30,1160137.18,1258780.71,1055087.68,1231407.74,4705413.30,1117655.27,1231295.10,1039457.20,1300677.13,4689084.70,1090635.13,1227319.84,1050569.22,1280788.43,4649312.63,1021023.23,1116055.81,1010678.39,1208034.99,4355792.42,1036443.67,1104195.61,973269.43,1198180.79,4312089.51,1005325.09,1134749.07,972709.33,1244091.28,4356874.77,1013041.13,1141646.29,987741.48,1272572.77,4415001.68,986408.32,1177213.07,1016464.89,1220286.73,4400373.01,973622.41,1149351.79,..,..,..
All species,..National Capital Region (NCR),40098.00,57649.00,38350.00,31946.00,168043.00,36559.00,57239.10,35512.70,29704.50,159015.30,37170.50,49432.70,33402.89,27205.84,147211.92,28059.58,45684.27,29530.37,23604.45,126878.67,17089.24,27164.34,18612.93,18120.30,80986.81,22031.49,30118.46,22275.99,16336.14,90762.08,16060.93,29617.19,21300.82,17848.85,84827.79,20112.20,16158.42,16840.31,15612.58,68723.50,20751.91,28038.99,26417.54,18357.04,93565.47,16597.81,30139.16,18331.99,14945.68,80014.64,20485.49,25885.17,19294.48,20541.89,86207.03,30724.13,44847.10,29146.44,19218.57,123936.23,31847.76,48149.88,27998.82,19761.00,127757.46,26153.93,38736.88,26215.26,16028.51,107134.58,23859.93,53937.50,31321.31,16784.02,125902.76,16798.41,32937.94,17342.10,19850.09,86928.53,17582.52,34925.37,21911.40,29463.58,103882.87,25927.66,31951.18,21007.21,19528.68,98414.72,24270.04,44058.96,28741.2,7562.21,104632.41,18130.57,35087.13,..,..,..
All species,..Cordillera Administrative Region (CAR),1100.00,646.00,646.30,1123.70,3516.00,994.20,581.20,560.80,955.65,3091.85,941.95,567.19,523.94,934.95,2968.03,915.90,552.92,544.30,973.68,2986.80,1116.14,720.97,643.90,1062.21,3543.23,1179.80,816.48,696.38,1188.54,3881.21,1233.77,871.93,798.51,1225.73,4129.94,1274.29,907.79,812.26,1234.39,4228.72,1050.35,740.42,706.67,1036.77,3534.22,1061.47,851.82,773.86,972.46,3659.60,1069.86,875.11,825.27,1007.42,3777.65,1106.01,906.19,850.75,1044.46,3907.41,1117.73,934.19,875.05,1049.75,3976.72,1193.81,908.34,790.46,974.10,3866.71,1229.34,958.76,841.19,1172.92,4202.21,1168.34,985.69,809.86,1184.12,4148.00,1312.31,1106.98,819.35,1180.16,4418.80,1309.19,856.1,805.64,1206.03,4176.96,962.93,852.36,835.63,1050.7,3701.62,882.59,939.36,..,..,..
All species,....Abra,113.00,92.00,82.00,93.00,380.00,112.00,94.90,85.50,74.45,366.85,122.00,101.70,86.14,88.88,398.72,120.50,120.83,87.55,96.30,425.18,137.92,141.73,98.52,117.58,495.75,145.25,172.59,114.17,196.88,628.89,159.50,193.80,162.33,202.03,717.66,165.32,203.51,170.79,204.95,744.57,154.54,202.73,172.98,209.39,739.65,168.43,206.28,169.91,205.45,750.07,178.01,207.78,186.15,217.45,789.39,182.94,210.19,170.55,219.27,782.94,181.31,213.73,171.44,207.93,774.41,175.82,198.31,175.27,193.35,742.75,173.74,210.96,152.01,182.58,719.29,155.85,162.81,133.58,150.61,602.85,170.54,163.37,125.07,160.67,619.65,133.25,172.15,129.43,168.15,602.98,143.19,189.16,152.7,186.99,672.03,114.32,176.47,..,..,..
All species,....Apayao,54.00,32.00,43.00,57.00,186.00,40.30,36.40,52.20,55.00,183.90,44.79,37.89,31.47,41.65,155.80,53.58,34.30,49.82,52.08,189.78,102.17,51.86,54.13,55.10,263.26,113.08,62.42,60.55,51.11,287.17,103.40,63.51,73.65,56.82,297.38,110.87,65.11,74.48,54.58,305.04,113.19,53.90,64.69,50.11,281.89,113.47,55.06,66.27,52.37,287.18,118.78,58.25,77.47,59.60,314.10,136.26,77.91,103.52,74.45,392.14,138.49,81.90,105.39,75.20,400.99,121.38,66.05,104.03,80.01,371.47,102.58,98.16,97.42,59.98,358.15,55.54,58.90,81.91,52.52,248.87,35.77,126.35,88.45,63.46,314.04,38.2,99.59,109.77,76.21,323.78,64,43.68,93.44,39.94,241.05,4.42,11.48,..,..,..
All species,....Benguet,61.00,77.00,73.00,83.00,294.00,70.40,80.30,77.60,75.00,303.30,62.41,83.06,51.49,78.50,275.46,65.14,71.11,55.63,85.86,277.74,95.22,84.73,58.06,93.06,331.07,99.00,94.68,63.66,102.63,359.97,102.78,97.62,66.69,107.98,375.07,108.62,99.23,74.15,114.43,396.43,113.56,88.92,77.85,108.71,389.04,120.23,94.96,82.09,110.40,407.69,124.82,97.42,84.88,105.29,412.41,127.59,100.40,88.03,110.89,426.92,130.10,107.69,94.13,113.91,445.84,133.79,114.75,92.50,113.10,454.15,138.67,78.70,77.19,99.18,393.75,121.90,108.16,72.55,121.46,424.08,159.41,109.83,56.51,83.35,409.11,122.01,102.31,54.85,73.2,352.37,69.58,53.44,53.12,74.5,250.63,40.01,12.61,..,..,..
All species,....Ifugao,822.00,375.00,382.30,820.70,2400.00,724.00,294.60,275.10,675.26,1968.96,654.66,261.15,275.62,646.00,1837.43,608.00,242.25,266.39,654.30,1770.94,688.55,319.06,346.36,689.42,2043.39,710.90,352.36,368.18,728.67,2160.11,739.65,373.57,397.89,745.05,2256.16,760.04,387.71,389.63,749.55,2286.94,533.57,249.84,292.10,559.41,1634.93,518.54,345.87,353.40,492.15,1709.97,514.11,355.47,373.92,510.59,1754.09,522.54,364.45,384.33,520.65,1791.96,532.74,367.42,395.11,529.45,1824.72,631.36,372.38,319.44,480.69,1803.87,702.99,407.09,411.19,721.46,2242.73,717.74,519.06,437.78,750.40,2424.97,834.30,590.86,455.86,776.48,2657.50,886.24,317.34,408.61,764.83,2377.01,557.23,377.61,413.65,611.87,1960.35,666.71,572.48,..,..,..
All species,....Kalinga,44.00,68.00,64.00,67.00,243.00,44.50,73.00,66.50,70.99,254.99,52.10,79.00,75.00,76.00,282.10,63.22,79.25,80.50,80.67,303.64,86.87,117.49,82.13,102.78,389.27,105.70,127.32,84.45,104.53,422.00,122.58,136.54,91.66,108.47,459.24,123.68,144.84,96.53,105.36,470.41,130.07,138.46,93.55,103.87,465.95,134.39,143.19,95.18,106.88,479.63,128.63,150.31,96.30,108.82,484.06,131.71,146.97,97.75,113.71,490.14,130.02,157.62,102.27,117.60,507.51,126.10,150.91,93.64,101.88,472.53,107.33,156.75,97.46,105.21,466.74,114.75,130.27,79.19,104.68,428.89,109.68,112.08,89.86,93.02,404.63,126.91,160.55,98.86,119.12,505.44,125.73,182.92,117.69,131.79,558.13,54.46,158.66,..,..,..
All species,....Mountain Province,6.00,2.00,2.00,3.00,13.00,3.00,2.00,3.90,4.95,13.85,5.99,4.39,4.22,3.92,18.52,5.46,5.18,4.41,4.47,19.52,5.41,6.10,4.70,4.27,20.48,5.87,7.11,5.36,4.72,23.07,5.86,6.91,6.30,5.36,24.43,5.76,7.38,6.68,5.51,25.33,5.43,6.57,5.50,5.27,22.76,6.41,6.46,6.99,5.21,25.07,5.50,5.87,6.55,5.67,23.60,4.97,6.27,6.57,5.50,23.31,5.06,5.83,6.69,5.66,23.24,5.36,5.94,5.59,5.07,21.95,4.04,7.10,5.91,4.52,21.56,2.55,6.48,4.86,4.44,18.34,2.60,4.48,3.60,3.18,13.87,2.58,4.16,4.13,4.52,15.39,3.2,5.55,5.04,5.62,19.42,2.67,7.64,..,..,..
All species,..Region I (Ilocos Region),14632.07,18975.51,15405.50,24355.99,73369.07,15788.45,20193.10,15956.00,27994.81,79932.36,18052.39,22172.14,16807.72,33218.98,90251.23,20480.19,25562.58,21111.10,39077.61,106231.48,24885.11,32588.81,24997.28,45679.36,128150.55,27256.98,35760.48,26920.09,56817.29,146754.84,30927.32,36684.12,24666.50,57093.34,149371.27,32899.41,34255.66,21562.88,48973.95,137691.90,29995.22,37919.11,22836.40,46757.90,137508.63,31786.47,35113.15,22091.15,61274.15,150264.92,28101.68,35139.42,20687.58,61615.69,145544.38,30697.62,38916.31,22807.96,63248.53,155670.42,31662.97,45351.15,25243.98,71938.32,174196.42,31479.25,42465.80,25444.29,62502.35,161891.68,30309.74,39734.90,24599.07,62631.01,157274.73,28630.38,44479.33,24799.51,63427.64,161336.86,30020.66,36803.92,23364.71,64988.97,155178.25,34299.33,38172.76,25252.93,71943.64,169668.66,35714,35946.62,27995.94,80026.79,179683.35,35523.54,40351.93,..,..,..
