Animal Type,Geolocation,2000 Q1,2000 Q2,2000 Q3,2000 Q4,2000 Annual,2001 Q1,2001 Q2,2001 Q3,2001 Q4,2001 Annual,2002 Q1,2002 Q2,2002 Q3,2002 Q4,2002 Annual,2003 Q1,2003 Q2,2003 Q3,2003 Q4,2003 Annual,2004 Q1,2004 Q2,2004 Q3,2004 Q4,2004 Annual,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2005 Annual,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2006 Annual,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2007 Annual,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2008 Annual,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2009 Annual,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2010 Annual,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2011 Annual,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2012 Annual,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2013 Annual,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2014 Annual,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2015 Annual,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2016 Annual,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2017 Annual,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2018 Annual,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2019 Annual,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2020 Annual,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2021 Annual
Carabao,PHILIPPINES,27538.00,31087.00,31406.00,33941.00,123972.00,27201.00,31040.00,31284.00,35770.00,125295.00,28395.00,33100.00,33254.00,37811.00,132560.00,28809.00,32723.00,32942.00,38060.00,132534.00,30982.00,35458.00,33497.00,38126.00,138063.00,30469.00,34073.00,30976.00,38004.00,133522.00,29060.00,33899.00,30682.00,36771.00,130412.00,29682.00,36461.00,31616.00,39200.00,136959.00,30494.00,38301.00,31262.00,40366.00,140423.00,31359.00,38800.00,31217.00,39534.00,140910.00,31792.00,42601.00,31456.00,42173.00,148022.00,31225.00,41942.00,31718.00,42631.00,147516.00,31405.00,39042.00,30666.00,41614.00,142727.00,30502.00,38862.00,30288.00,41826.00,141478.00,30824.00,39132.86,30349.00,42728.00,143033.86,30665.00,38276.00,30102.00,42999.00,142042.00,30073.00,40298.00,30550.00,43764.00,144685.00,30916.00,39690.00,30717.00,43086.00,144409.00,31192.00,38467.00,30080.00,43404.00,143143.00,30398.00,37671.00,30050.00,42542.00,140661.00,29804.90,27674.10,27744.49,35186.48,120409.97,27301.35,34931.58,..,..,..
Carabao,..NCR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Carabao,..CAR,1123.00,1234.00,934.00,1022.00,4313.00,1135.00,1296.00,841.00,1012.00,4284.00,965.00,1555.00,1009.00,1107.00,4636.00,1013.00,1481.00,959.00,1038.00,4491.00,1064.00,1649.00,1039.00,1014.00,4766.00,958.00,1333.00,937.00,963.00,4191.00,862.00,1102.00,890.00,1102.00,3956.00,875.00,1333.00,934.00,1100.00,4242.00,953.00,1145.00,861.00,1050.00,4009.00,1001.00,992.00,904.00,970.00,3867.00,1101.00,626.00,897.00,1035.00,3659.00,973.00,519.00,784.00,1013.00,3289.00,1022.00,353.00,745.00,1114.00,3234.00,1098.00,398.00,700.00,1163.00,3359.00,1072.00,391.00,665.00,1145.00,3273.00,1029.00,375.00,640.00,1101.00,3145.00,1013.00,405.00,621.00,1067.00,3106.00,992.00,404.00,590.00,1005.00,2991.00,962.00,412.00,592.00,905.00,2871.00,943.00,389.00,574.00,944.00,2850.00,961.00,180.56,558.60,941.18,2641.34,848.71,457.00,..,..,..
Carabao,..I - Ilocos Region,2158.00,2317.00,2655.00,2721.00,9851.00,2367.00,2240.00,2490.00,2828.00,9925.00,2275.00,2262.00,2426.00,2767.00,9730.00,2175.00,2077.00,2388.00,2690.00,9330.00,2062.00,2232.00,2206.00,2562.00,9062.00,1935.00,2081.00,2112.00,3087.00,9215.00,1963.00,2546.00,2130.00,3016.00,9655.00,1927.00,2482.00,2058.00,3197.00,9664.00,2257.00,2850.00,1996.00,2399.00,9502.00,2395.00,2840.00,2105.00,2155.00,9495.00,2296.00,3426.00,2032.00,2372.00,10126.00,2455.00,3073.00,2123.00,2346.00,9997.00,2509.00,3074.00,2164.00,2403.00,10150.00,2375.00,3422.00,2093.00,2811.00,10701.00,2504.00,2898.00,2100.00,2659.00,10161.00,2554.00,3134.00,2167.00,2819.00,10674.00,2625.00,2848.00,2213.00,2612.00,10298.00,2663.00,2476.00,2257.00,2418.00,9814.00,2623.00,2144.00,2138.00,2668.00,9573.00,2605.00,1860.00,2103.00,2019.00,8587.00,2590.42,924.48,1723.83,2239.99,7478.72,2127.76,1972.94,..,..,..
Carabao,..II - Cagayan Valley,2440.00,3402.00,2850.00,3746.00,12438.00,2475.00,3454.00,2932.00,4308.00,13169.00,2487.00,3661.00,3020.00,4290.00,13458.00,2537.00,3663.00,3106.00,4404.00,13710.00,2676.00,3665.00,3012.00,4536.00,13889.00,2658.00,3016.00,3040.00,5204.00,13918.00,2481.00,3508.00,2639.00,4457.00,13085.00,2502.00,3837.00,2526.00,4727.00,13592.00,2504.00,3402.00,2390.00,4753.00,13049.00,2364.00,3501.00,2380.00,4098.00,12343.00,2246.00,4697.00,2355.00,4288.00,13586.00,2132.00,4329.00,2350.00,3877.00,12688.00,2119.00,3817.00,2121.00,3492.00,11549.00,1971.00,3463.00,1941.00,3150.00,10525.00,1928.00,3350.00,2000.00,3271.00,10549.00,1916.00,3062.00,1804.00,3142.00,9924.00,1939.00,3448.00,1882.00,3429.00,10698.00,1964.00,3274.00,1863.00,3271.00,10372.00,1933.00,3020.00,1773.00,3166.00,9892.00,1859.00,2767.00,1722.00,2933.00,9281.00,1776.00,2633.76,1598.00,2717.16,8724.92,1918.69,2114.45,..,..,..
Carabao,..III - Central Luzon,1779.00,1459.00,2047.00,1455.00,6740.00,1281.00,1230.00,1618.00,1530.00,5659.00,1351.00,1270.00,1379.00,1598.00,5598.00,1264.00,1283.00,1391.00,1540.00,5478.00,1339.00,1218.00,1298.00,1361.00,5216.00,1098.00,1225.00,1095.00,1500.00,4918.00,971.00,1124.00,1143.00,1473.00,4711.00,889.00,1400.00,1041.00,1605.00,4935.00,899.00,1444.00,987.00,1575.00,4905.00,881.00,1682.00,1010.00,1795.00,5368.00,969.00,1536.00,1081.00,2013.00,5599.00,1030.00,1669.00,1159.00,2287.00,6145.00,1070.00,2034.00,1173.00,2319.00,6596.00,1113.00,2297.00,1035.00,2092.00,6537.00,1183.00,2445.00,1105.00,2181.00,6914.00,1118.00,2311.00,1160.00,2297.00,6886.00,1150.00,2210.00,1144.00,2263.00,6767.00,1180.00,2020.00,1155.00,1488.00,5843.00,1174.00,2123.00,1052.00,1582.00,5931.00,1095.00,2291.00,1048.00,1412.00,5846.00,1068.75,1976.38,866.00,1170.44,5081.57,1098.20,1750.25,..,..,..
Carabao,..IVA - CALABARZON,1208.00,1262.00,1360.00,1361.00,5191.00,1166.00,1347.00,1290.00,1300.00,5103.00,1141.00,1264.00,1285.00,1244.00,4934.00,1118.00,1241.00,1345.00,1281.00,4985.00,1094.00,1383.00,1237.00,1305.00,5019.00,1127.00,1462.00,1280.00,1457.00,5326.00,1375.00,1502.00,1384.00,1570.00,5831.00,1401.00,1570.00,1398.00,1712.00,6081.00,1480.00,1654.00,1335.00,1609.00,6078.00,1560.00,1812.00,1300.00,1858.00,6530.00,1475.00,2005.00,1250.00,1804.00,6534.00,1388.00,2009.00,1259.00,1787.00,6443.00,1380.00,1847.00,1300.00,1879.00,6406.00,1272.00,1685.00,1427.00,2085.00,6469.00,1384.00,1873.00,1354.00,2406.00,7017.00,1461.00,1911.00,1483.00,2636.00,7491.00,1286.00,1740.00,1432.00,2819.00,7277.00,1331.00,1757.00,1442.00,2997.00,7527.00,1335.00,1888.00,1400.00,3002.00,7625.00,1343.00,2099.00,1408.00,3095.00,7945.00,1351.20,1991.52,1101.00,3318.72,7762.44,1497.99,2822.87,..,..,..
Carabao,..MIMAROPA Region,1640.00,1713.00,1863.00,1862.00,7078.00,1730.00,1773.00,1955.00,1970.00,7428.00,1713.00,1968.00,1890.00,1880.00,7451.00,1795.00,2066.00,1966.00,1944.00,7771.00,1878.00,2315.00,2041.00,1847.00,8081.00,1946.00,2610.00,1735.00,2145.00,8436.00,1520.00,2790.00,1725.00,1508.00,7543.00,1538.00,2716.00,1709.00,1233.00,7196.00,1524.00,2613.00,1827.00,1394.00,7358.00,1753.00,2425.00,1664.00,1323.00,7165.00,1828.00,2481.00,1699.00,1342.00,7350.00,1737.00,2441.00,1623.00,1295.00,7096.00,1735.00,2349.00,1664.00,1167.00,6915.00,1772.00,2264.00,1647.00,1136.00,6819.00,1654.00,2106.00,1750.00,1191.00,6701.00,1524.00,1941.00,1555.00,1066.00,6086.00,1513.00,1991.00,1565.00,1100.00,6169.00,1550.00,2088.00,1550.00,1035.00,6223.00,1556.00,1829.00,1470.00,797.00,5652.00,1554.00,1154.00,1581.00,627.00,4916.00,1486.31,1121.25,1588.00,582.29,4777.85,1462.16,2149.50,..,..,..
Carabao,..V - Bicol Region,2986.00,2825.00,2650.00,2158.00,10619.00,3038.00,2677.00,2608.00,2050.00,10373.00,2997.00,2678.00,2731.00,2009.00,10415.00,2607.00,2451.00,2591.00,2126.00,9775.00,2820.00,2574.00,2513.00,2061.00,9968.00,2709.00,3080.00,2418.00,2102.00,10309.00,2649.00,3060.00,2525.00,1896.00,10130.00,2690.00,2601.00,2449.00,2175.00,9915.00,2824.00,2392.00,2492.00,2006.00,9714.00,3078.00,2117.00,2342.00,1869.00,9406.00,2918.00,2566.00,2219.00,1764.00,9467.00,2768.00,2240.00,2125.00,1855.00,8988.00,2516.00,2034.00,1794.00,1844.00,8188.00,2315.00,1937.00,1750.00,1899.00,7901.00,2298.00,2039.00,1751.00,1901.00,7989.00,2340.00,2076.00,1754.00,2033.00,8203.00,2304.00,2054.00,1812.00,2066.00,8236.00,2432.00,1920.00,1872.00,2136.00,8360.00,2425.00,2005.00,1899.00,2168.00,8497.00,2490.00,1906.00,1927.00,2188.00,8511.00,2486.00,1284.29,1899.00,2084.40,7753.69,1866.02,2042.46,..,..,..
Carabao,..VI - Western Visayas,2338.00,2432.00,3106.00,3006.00,10882.00,2053.00,2380.00,3168.00,3156.00,10757.00,2300.00,2856.00,3900.00,4086.00,13142.00,2875.00,3142.00,4500.00,4752.00,15269.00,3669.00,4183.00,4532.00,4942.00,17326.00,4600.00,4490.00,4087.00,4105.00,17282.00,4565.00,4425.00,4320.00,4835.00,18145.00,4770.00,4799.00,4453.00,5223.00,19245.00,4785.00,5064.00,4740.00,5334.00,19923.00,5506.00,5107.00,4879.00,4579.00,20071.00,5734.00,5818.00,4612.00,5103.00,21267.00,5335.00,5417.00,4529.00,5243.00,20524.00,5442.00,4542.00,4464.00,5471.00,19919.00,5140.00,4378.00,4493.00,5847.00,19858.00,5629.00,4656.00,4710.00,6198.00,21193.00,5667.00,4766.00,4720.00,6292.00,21445.00,5349.00,5623.00,4893.00,6702.00,22567.00,5596.00,5706.00,4897.00,6584.00,22783.00,6009.00,5216.00,4798.00,6072.00,22095.00,5707.00,5134.00,4722.00,5682.00,21245.00,5582.63,2910.55,4688.88,3716.96,16899.02,4069.61,4435.77,..,..,..
Carabao,..VII - Central Visayas,1244.00,1370.00,1492.00,1672.00,5778.00,1223.00,1334.00,1268.00,1665.00,5490.00,1345.00,1463.00,1420.00,1582.00,5810.00,1135.00,1475.00,1317.00,1186.00,5113.00,1500.00,1179.00,1381.00,1245.00,5305.00,1480.00,1258.00,1202.00,1405.00,5345.00,1092.00,1461.00,1228.00,1365.00,5146.00,1147.00,1542.00,1188.00,1391.00,5268.00,1160.00,1949.00,1291.00,1518.00,5918.00,1174.00,2012.00,1310.00,1650.00,6146.00,1120.00,2161.00,1425.00,1787.00,6493.00,1140.00,2204.00,1450.00,1823.00,6617.00,1170.00,2268.00,1325.00,1697.00,6460.00,1225.00,2461.00,1307.00,1825.00,6818.00,1250.00,2336.00,1316.00,1834.00,6736.00,1240.00,2431.00,1344.00,1879.00,6894.00,1481.00,2352.00,1508.00,2131.00,7472.00,1574.00,2579.00,1582.00,2240.00,7975.00,1607.00,2762.00,1624.00,2284.00,8277.00,1554.00,2548.00,1625.00,2091.00,7818.00,1578.00,871.45,1225.00,1127.51,4801.95,1415.00,1408.95,..,..,..
Carabao,..VIII - Eastern Visayas,1493.00,2161.00,1841.00,2143.00,7638.00,1500.00,2200.00,1913.00,1950.00,7563.00,1492.00,2318.00,1817.00,2148.00,7775.00,1466.00,2277.00,1544.00,2341.00,7628.00,1459.00,2350.00,1618.00,2485.00,7912.00,1267.00,2230.00,1474.00,2408.00,7379.00,1262.00,2083.00,1590.00,2414.00,7349.00,1386.00,2393.00,1570.00,2611.00,7960.00,1385.00,2941.00,1556.00,3218.00,9100.00,1371.00,3329.00,1520.00,3449.00,9669.00,1365.00,3208.00,1632.00,3821.00,10026.00,1360.00,3538.00,1765.00,4175.00,10838.00,1427.00,3830.00,1850.00,4103.00,11210.00,1420.00,3796.00,1879.00,4162.00,11257.00,1474.00,3977.00,1917.00,4000.00,11368.00,1402.00,3784.00,1983.00,4011.00,11180.00,1156.00,3761.00,1934.00,4073.00,10924.00,1130.00,3419.00,1989.00,3919.00,10457.00,1063.00,3415.00,2020.00,4104.00,10602.00,1097.00,3780.00,2002.00,4725.00,11604.00,1052.00,2837.57,1452.00,3867.42,9208.99,1381.20,2923.17,..,..,..
Carabao,..IX - Zamboanga Peninsula,1661.00,2000.00,1830.00,1999.00,7490.00,1734.00,2009.00,1909.00,1993.00,7645.00,1740.00,2229.00,2291.00,2292.00,8552.00,1887.00,2340.00,2320.00,2343.00,8890.00,2345.00,2702.00,2503.00,2397.00,9947.00,2337.00,2460.00,2215.00,2288.00,9300.00,1745.00,2045.00,1838.00,1377.00,7005.00,1535.00,2270.00,1755.00,1480.00,7040.00,1522.00,2267.00,1748.00,1312.00,6849.00,1501.00,2203.00,1744.00,1371.00,6819.00,1569.00,2173.00,1765.00,1451.00,6958.00,1969.00,2414.00,1811.00,1526.00,7720.00,2073.00,2074.00,1865.00,1474.00,7486.00,2110.00,2214.00,1644.00,1333.00,7301.00,2068.00,2288.00,1665.00,1212.00,7233.00,2113.00,2346.00,1690.00,1234.00,7383.00,2098.00,2409.00,1770.00,1337.00,7614.00,2262.00,2381.00,1912.00,1445.00,8000.00,2325.00,2459.00,1963.00,1487.00,8234.00,2294.00,2475.00,2012.00,1323.00,8104.00,2327.26,2027.87,2045.00,1227.54,7627.67,2387.52,2165.32,..,..,..
