Region/Province,Commodity,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual
PHILIPPINES,"RAW PEANUT, SHELLED, 1 KG",85.41,85.54,84.55,85.80,86.24,87.65,87.50,87.76,87.70,87.82,87.91,88.08,86.83,87.87,88.30,88.02,88.00,88.37,88.25,87.62,88.02,88.27,88.34,88.87,89.79,88.31,90.22,90.88,90.37,90.35,90.11,90.24,90.48,90.36,90.67,91.15,91.32,92.16,90.69,93.34,93.37,93.62,93.53,94.00,94.28,94.45,94.30,94.66,95.17,95.40,95.71,94.32,96.84,95.79,96.05,95.82,94.78,95.60,96.34,96.75,96.99,97.94,97.87,98.37,96.60,98.53,98.34,97.16,96.48,97.00,97.08,97.75,98.20,97.86,99.89,99.57,100.04,98.16,99.51,99.39,99.31,98.87,98.33,99.16,98.85,99.19,99.45,99.28,99.08,99.24,99.14,97.28,97.55,96.70,96.93,97.13,97.60,99.01,99.80,100.06,100.23,100.56,101.36,98.68,100.33,100.13,99.90,99.98,99.65,99.34,100.34,101.14,101.24,101.40,101.70,101.90,100.59,101.91,101.50,99.95,99.54,99.39,99.41,100.11,100.20,100.22,100.41,101.08,101.51,100.44
PHILIPPINES,"RAW PEANUT, UNSHELLED, 1 KG",70.69,71.58,70.28,70.18,70.39,70.63,70.42,70.47,71.47,71.66,72.80,73.32,71.16,72.60,72.34,72.35,70.68,69.55,72.25,72.37,72.31,71.77,71.56,72.67,73.70,72.01,73.80,74.37,73.81,74.83,74.69,74.62,75.11,74.59,76.43,76.37,76.02,76.33,75.08,76.50,77.22,77.46,76.26,75.19,75.26,74.66,74.65,73.40,73.30,73.92,76.90,75.39,75.82,76.51,76.07,77.86,78.94,79.28,77.18,78.17,78.41,76.63,75.70,75.04,77.13,75.36,76.30,74.95,75.05,74.44,74.00,72.12,73.53,77.75,77.83,78.65,80.42,75.87,79.47,78.47,79.44,80.48,80.16,80.54,79.40,79.61,79.96,79.39,81.04,80.78,79.90,81.06,80.52,80.17,81.27,81.44,81.79,82.04,82.20,82.42,82.64,82.82,83.27,81.80,83.83,84.79,82.19,83.66,84.27,83.74,83.25,85.02,84.27,83.51,85.05,84.52,84.01,84.97,84.52,82.71,81.14,82.79,83.42,83.31,84.47,85.07,84.73,85.76,86.67,84.13
PHILIPPINES,"BAGUIO BEANS, 1 KG",57.01,55.35,55.31,54.11,50.28,51.30,50.74,58.11,60.31,55.00,54.84,54.53,54.74,57.78,52.26,51.60,51.91,54.21,55.82,53.73,50.09,59.51,67.59,59.52,60.11,56.18,57.67,60.19,55.96,56.94,55.03,55.70,56.90,64.29,60.32,57.23,55.33,55.18,57.56,59.99,58.05,54.53,55.69,59.77,60.66,63.02,65.61,64.18,61.13,82.58,73.28,63.21,66.30,63.34,61.87,62.38,73.22,74.84,66.33,62.16,68.24,71.79,83.39,74.26,69.01,67.89,68.38,64.59,62.92,62.93,66.65,66.82,66.13,71.04,73.23,73.01,76.84,68.37,80.76,77.45,72.03,68.55,69.61,72.87,77.20,76.38,79.89,93.26,83.86,77.57,77.45,77.75,76.26,73.33,77.76,86.35,81.44,76.01,77.37,83.33,82.50,79.81,78.99,79.24,76.33,73.84,74.44,79.40,81.28,86.10,70.21,67.21,75.37,89.39,105.02,111.35,82.50,109.71,91.03,82.63,79.28,77.38,93.80,85.02,87.10,84.88,85.17,97.80,90.14,88.66
PHILIPPINES,"MONGGO, GREEN, 1 KG",79.88,79.20,78.78,78.41,76.29,73.58,75.69,75.85,77.09,75.96,74.98,74.14,76.65,73.59,73.34,73.16,73.23,73.89,72.61,73.54,73.35,74.10,74.95,76.29,77.35,74.12,78.46,79.12,77.09,77.63,78.12,78.45,78.60,80.85,82.31,83.89,84.54,87.67,80.56,88.35,88.67,88.95,88.73,88.61,88.71,88.30,88.14,88.31,88.24,89.33,89.88,88.69,89.73,89.59,88.89,89.16,88.44,88.55,88.71,88.53,88.65,88.75,90.17,90.94,89.18,91.45,92.07,91.66,91.90,92.58,92.29,91.22,90.93,91.35,91.97,91.37,91.29,91.67,91.03,91.32,90.48,90.29,90.39,90.61,88.47,88.35,88.18,88.46,88.22,87.96,89.48,88.42,88.67,88.98,89.67,87.79,87.43,87.20,87.43,88.01,89.07,89.21,89.29,88.43,89.91,89.56,89.68,92.52,94.18,93.20,93.14,93.08,92.63,92.68,92.56,93.83,92.25,94.74,96.02,98.31,98.30,97.91,96.50,97.16,98.01,98.64,99.81,99.64,100.11,97.93
PHILIPPINES,"STRING BEANS, 1 KG",33.52,32.10,32.46,30.65,29.81,30.06,31.02,32.00,33.73,33.50,31.71,31.09,31.80,32.17,32.08,31.85,31.03,30.90,31.48,31.78,31.28,32.72,33.81,34.54,34.40,32.34,34.58,36.17,35.33,35.53,34.63,34.13,34.22,34.82,34.79,35.06,35.54,35.97,35.06,39.81,39.12,37.94,38.18,38.08,36.52,37.57,38.38,36.27,34.36,37.51,38.21,37.66,39.91,37.04,37.48,37.36,38.73,39.72,39.45,35.51,36.50,37.67,40.98,40.23,38.38,43.36,42.93,40.78,39.07,37.41,37.93,37.40,37.21,37.37,38.83,39.71,40.59,39.38,45.31,47.73,46.27,43.90,43.41,44.09,45.06,46.41,48.06,51.49,52.81,51.92,47.21,52.89,54.56,54.81,56.76,56.02,53.93,53.34,52.05,53.00,52.78,54.83,56.95,54.33,55.66,56.57,56.62,59.25,58.76,58.66,52.11,47.65,48.76,53.76,62.59,67.91,56.53,72.75,68.36,60.40,56.98,54.19,56.90,53.94,59.12,59.63,57.75,57.81,62.78,60.05
..NATIONAL CAPITAL REGION (NCR),"RAW PEANUT, SHELLED, 1 KG",86.36,86.36,86.36,86.36,86.36,85.97,85.34,85.34,85.34,85.34,85.34,85.34,85.82,85.34,85.34,85.34,85.34,85.34,85.34,85.34,85.39,85.55,85.80,84.06,83.65,85.15,83.65,83.65,83.65,83.65,83.65,83.98,84.30,84.30,84.30,84.30,84.30,84.30,84.00,84.16,81.17,79.35,80.05,81.70,82.61,83.58,87.75,86.88,87.04,85.10,85.10,83.71,85.10,78.99,73.86,72.70,70.59,79.49,79.75,86.61,90.09,91.00,91.40,91.19,82.56,87.95,85.95,81.89,77.29,77.19,76.25,76.50,76.50,77.20,80.00,85.25,88.80,80.90,88.45,83.41,82.73,80.45,79.43,82.27,80.96,81.41,82.04,80.56,79.07,80.56,81.78,81.07,80.14,81.03,81.28,82.17,84.46,84.50,83.13,84.46,85.06,88.64,92.03,84.00,88.31,87.57,90.07,90.06,89.45,89.26,88.60,89.12,90.12,95.22,94.63,94.32,90.56,95.50,94.93,90.39,90.16,87.18,85.77,87.10,87.10,87.98,88.93,92.44,93.46,90.08
..NATIONAL CAPITAL REGION (NCR),"RAW PEANUT, UNSHELLED, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..NATIONAL CAPITAL REGION (NCR),"BAGUIO BEANS, 1 KG",55.83,61.00,58.93,49.82,51.57,55.56,52.34,81.18,61.50,48.11,58.79,58.93,57.80,65.92,44.85,51.88,49.80,62.17,58.96,48.30,56.83,83.05,89.21,65.43,57.50,61.16,54.09,53.77,54.65,64.43,61.49,63.31,63.19,72.01,60.52,60.38,53.41,60.48,60.14,61.62,53.42,53.47,56.38,67.55,71.62,83.38,68.39,71.63,78.99,131.00,77.00,72.87,61.64,62.22,60.55,64.35,71.73,74.84,61.38,65.27,85.14,92.00,108.18,80.46,73.98,65.92,68.69,63.22,66.40,70.48,75.94,72.53,68.13,79.29,82.03,75.18,91.53,73.28,90.62,75.08,71.42,62.25,69.26,93.36,88.89,74.47,104.00,110.69,84.67,75.89,83.38,82.42,71.94,68.53,89.93,100.31,74.56,75.38,81.58,94.25,90.02,83.31,85.44,83.14,76.36,73.28,77.55,90.00,104.67,83.69,66.89,74.67,92.27,109.61,144.44,157.67,95.93,100.58,79.25,74.49,74.33,76.64,124.24,93.19,93.98,82.51,100.06,105.36,81.28,90.49
..NATIONAL CAPITAL REGION (NCR),"MONGGO, GREEN, 1 KG",88.79,87.09,86.56,85.52,84.84,84.84,83.01,81.83,81.14,79.65,77.79,78.05,83.26,77.24,76.54,77.06,77.06,76.12,75.76,76.31,78.01,82.01,89.01,92.77,93.11,80.92,92.64,92.69,90.60,88.68,89.20,90.27,91.47,91.64,91.52,92.10,91.79,91.83,91.20,91.78,90.88,89.64,90.01,90.09,90.89,93.87,94.28,93.16,92.43,93.85,93.55,92.04,92.68,91.11,91.07,90.74,89.80,89.09,88.94,88.36,87.94,88.00,89.13,89.45,89.69,88.75,89.52,91.16,91.43,91.50,90.72,90.13,90.98,91.36,90.57,88.89,88.62,90.30,88.60,88.28,88.07,87.63,87.19,88.90,90.52,90.86,88.86,89.09,90.22,88.82,88.92,88.60,88.12,88.14,87.41,87.44,88.66,89.31,90.19,90.52,91.01,91.86,91.64,89.41,92.50,92.56,92.24,101.70,107.72,107.42,104.89,104.67,105.87,103.36,102.47,101.49,101.41,102.17,102.87,102.35,102.49,102.20,102.44,101.33,101.31,100.08,107.35,106.13,105.46,103.02
..NATIONAL CAPITAL REGION (NCR),"STRING BEANS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
