Region/Province,Commodity,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual
PHILIPPINES,"MATURED COCONUT, MEDIUM, 1 PC",16.41,16.60,16.54,17.14,17.52,17.44,17.32,17.15,17.14,16.99,17.09,17.07,17.03,17.05,16.93,16.91,16.85,16.75,16.64,16.69,16.66,16.61,16.63,16.70,16.76,16.77,16.90,17.10,17.22,17.45,17.58,17.74,17.96,17.97,18.00,17.98,18.24,18.29,17.70,18.43,18.60,18.85,18.96,18.95,19.04,19.04,19.05,19.10,19.03,19.05,19.10,18.93,19.10,19.23,19.38,19.61,20.02,20.44,20.47,20.44,20.51,20.60,20.70,20.92,20.12,21.26,21.40,21.59,21.73,21.61,21.69,21.82,21.96,22.04,22.05,22.13,22.15,21.79,22.47,22.62,22.61,22.66,22.83,22.99,22.39,22.41,22.37,22.20,22.09,21.98,22.47,22.10,22.10,22.05,21.91,21.92,21.98,22.05,22.17,22.10,22.07,21.96,21.93,22.03,22.06,22.17,22.34,22.51,22.84,22.81,23.03,22.91,22.82,22.89,22.95,23.11,22.70,23.51,23.70,23.83,24.02,24.02,24.09,23.98,23.87,23.77,23.80,23.91,24.05,23.88
PHILIPPINES,"YOUNG COCONUT, MEDIUM, 1 PC",16.61,16.68,16.66,16.92,17.01,17.01,16.94,16.93,16.95,16.96,16.94,16.82,16.87,17.03,17.00,16.89,16.88,16.86,16.87,16.96,16.97,17.03,17.03,17.02,17.13,16.97,17.38,17.49,17.49,17.59,17.82,17.97,18.33,18.24,18.26,18.37,18.53,18.64,18.01,18.73,18.74,18.97,19.04,19.02,19.00,18.89,18.98,19.08,19.05,19.10,19.20,18.98,19.62,19.65,19.60,19.76,20.05,20.07,20.00,20.21,20.28,20.28,20.49,20.58,20.05,21.02,21.17,21.55,21.39,21.29,21.42,21.43,21.53,21.59,21.65,21.68,21.78,21.46,22.15,22.19,22.26,22.45,22.70,22.93,22.83,23.01,22.90,22.78,22.88,22.87,22.66,22.97,23.03,23.00,23.02,23.07,23.25,23.14,23.17,23.18,23.17,23.19,23.04,23.10,23.37,23.45,23.55,23.64,23.94,24.04,24.20,24.12,24.18,24.19,24.23,24.51,23.95,24.82,24.95,25.09,25.15,25.08,25.19,24.99,25.12,25.11,25.19,25.23,25.32,25.10
..NATIONAL CAPITAL REGION (NCR),"MATURED COCONUT, MEDIUM, 1 PC",20.56,20.33,20.28,20.31,20.06,19.53,19.23,18.79,18.89,18.96,19.07,19.03,19.59,18.82,18.65,18.65,18.15,18.16,18.19,18.30,18.65,18.19,18.24,18.23,18.37,18.38,18.13,18.18,18.06,18.06,18.06,18.15,18.67,19.25,18.94,18.95,22.14,20.70,18.94,19.31,19.77,20.53,21.11,21.18,21.12,21.33,21.46,21.63,21.58,21.80,21.84,21.06,21.36,21.86,21.51,21.51,22.95,23.89,24.44,23.99,24.16,24.00,24.98,27.45,23.51,27.79,27.79,27.25,27.25,27.12,27.12,27.12,27.12,26.84,27.12,27.12,27.12,27.23,27.21,27.23,27.23,27.47,27.32,27.23,26.68,26.81,27.22,27.40,27.40,27.42,27.22,27.59,27.76,27.91,27.96,28.17,28.35,28.68,28.74,28.79,28.74,28.30,27.79,28.23,27.82,27.85,28.51,30.26,30.28,30.05,30.12,30.12,29.77,28.64,28.41,28.27,29.18,28.40,28.35,28.47,28.37,28.69,28.48,28.43,28.37,28.82,29.07,29.05,29.57,28.67
..NATIONAL CAPITAL REGION (NCR),"YOUNG COCONUT, MEDIUM, 1 PC",18.86,18.54,18.31,18.28,18.20,18.20,17.97,17.70,17.73,17.70,17.54,17.64,18.06,17.88,17.48,16.99,16.69,16.61,16.58,16.65,16.89,16.89,17.06,17.12,17.28,17.01,17.46,17.42,17.37,17.02,17.06,17.18,17.90,18.68,18.69,19.07,19.14,19.25,18.02,19.59,19.79,19.67,20.03,20.02,19.88,19.99,20.39,20.70,20.77,20.67,20.74,20.19,22.00,22.18,21.93,21.62,22.10,22.17,21.77,21.67,21.67,22.00,22.03,22.53,21.97,23.41,25.01,24.50,24.28,23.42,24.29,24.32,24.50,24.55,24.58,24.58,24.88,24.36,25.06,24.79,24.81,25.13,28.63,28.46,28.33,28.78,28.76,29.64,29.69,30.24,27.69,30.59,30.80,30.82,30.62,30.46,30.31,30.68,30.92,30.92,30.82,30.76,28.78,30.54,29.69,29.41,29.31,29.57,30.89,30.40,30.57,30.71,30.71,30.56,30.50,30.37,30.22,30.63,31.09,30.97,30.62,30.47,30.55,30.56,30.53,30.64,31.22,31.58,32.02,30.91
..CORDILLERA ADMINISTRATIVE REGION (CAR),"MATURED COCONUT, MEDIUM, 1 PC",21.63,22.43,22.43,23.62,24.12,24.28,24.47,24.19,24.35,24.35,24.03,23.82,23.64,23.76,24.05,24.14,23.90,23.77,23.99,24.25,23.99,23.93,23.85,24.01,24.07,23.98,23.99,24.37,24.18,24.44,24.44,24.60,24.84,24.59,24.87,25.00,25.27,25.27,24.66,25.69,25.74,25.79,26.20,26.31,26.45,26.71,27.03,27.03,27.03,27.03,27.03,26.50,27.23,27.13,27.26,27.56,27.31,27.17,27.18,26.93,27.10,27.33,27.33,27.37,27.24,27.49,27.49,27.66,27.47,27.47,27.87,27.75,28.51,28.87,28.86,28.97,29.53,28.16,29.72,29.99,29.97,30.46,30.52,30.64,30.72,30.93,30.99,31.11,31.36,31.36,30.65,31.62,31.92,32.01,31.82,31.87,32.19,31.93,32.21,32.24,32.51,32.63,32.18,32.09,32.21,32.09,32.14,32.68,32.80,32.91,33.19,33.28,33.28,33.40,34.47,34.72,33.10,35.30,34.23,34.25,34.54,33.95,33.80,34.50,34.30,35.04,35.00,34.70,34.83,34.54
..CORDILLERA ADMINISTRATIVE REGION (CAR),"YOUNG COCONUT, MEDIUM, 1 PC",23.96,23.96,23.96,26.01,26.01,26.25,26.25,26.25,26.25,26.25,26.25,25.35,25.56,25.35,25.59,25.59,25.59,25.59,25.83,25.83,25.83,25.83,25.83,25.83,25.83,25.71,25.83,25.83,25.83,25.95,25.95,25.95,25.95,25.95,25.84,25.84,25.95,26.24,25.93,25.95,25.91,26.08,25.91,26.41,26.83,26.64,26.29,26.73,26.56,26.73,26.99,26.42,26.99,26.83,26.93,27.57,27.57,27.91,27.91,27.91,28.01,28.07,28.21,28.21,27.68,28.21,28.21,28.21,28.05,27.88,27.88,28.05,27.71,28.21,28.21,28.43,28.76,28.15,28.91,28.96,28.81,28.96,28.96,29.54,30.36,30.36,30.36,30.36,30.36,30.36,29.69,30.50,30.84,30.84,30.81,30.81,30.93,30.93,31.29,31.29,31.29,31.29,31.23,31.00,31.66,31.92,32.20,32.76,33.30,34.02,33.68,33.84,33.70,34.02,34.79,35.50,33.45,35.91,35.21,35.36,35.29,34.76,34.74,35.20,35.20,35.35,35.63,35.43,35.81,35.32
....Abra,"MATURED COCONUT, MEDIUM, 1 PC",23.57,23.57,23.57,23.57,23.57,25.00,25.00,25.00,25.00,25.00,25.00,25.00,24.40,25.00,25.71,25.71,25.71,25.71,27.14,27.14,27.14,27.14,27.14,27.14,27.14,26.49,27.14,27.14,27.14,27.50,27.50,27.50,27.50,27.50,29.17,29.17,29.17,29.17,27.97,30.00,30.00,30.00,30.00,30.00,30.00,30.33,30.33,30.33,30.33,30.33,30.33,30.17,31.33,30.83,30.83,30.83,30.83,30.83,31.17,31.17,32.00,33.17,33.17,33.33,31.62,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,35.00,35.00,35.83,35.83,35.83,35.83,35.83,34.65,35.71,35.71,35.71,35.71,35.71,35.71,35.71,37.14,37.14,37.14,37.14,37.50,36.34,37.50,37.50,37.50,38.33,39.38,40.00,40.00,40.00,40.00,40.00,40.63,40.63,39.29,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63,40.63
....Abra,"YOUNG COCONUT, MEDIUM, 1 PC",29.09,29.09,29.09,29.09,29.09,30.30,30.30,30.30,30.30,30.30,30.30,30.30,29.80,30.30,31.52,31.52,31.52,31.52,32.73,32.73,32.73,32.73,32.73,32.73,32.73,32.12,32.73,32.73,32.73,33.33,33.33,33.33,33.33,33.33,33.33,33.33,34.17,35.00,33.39,34.17,33.33,34.17,34.17,35.83,35.00,35.33,32.33,34.50,34.50,34.50,34.50,34.36,34.50,34.50,34.17,34.17,34.17,34.17,34.17,34.17,34.17,34.17,34.17,34.17,34.23,34.17,34.17,34.17,33.33,32.50,32.50,33.33,33.33,33.33,33.33,33.33,35.00,33.54,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,35.00,36.67,36.67,36.67,36.67,37.14,35.74,37.14,37.14,37.14,38.00,38.57,39.29,38.57,38.57,38.57,38.57,39.29,40.00,38.40,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,39.29,39.29,39.29,39.29,39.76
....Apayao,"MATURED COCONUT, MEDIUM, 1 PC",11.65,11.93,11.93,11.91,12.07,12.07,12.42,12.24,12.42,12.42,12.07,12.00,12.09,11.93,12.07,11.91,11.60,11.38,11.32,11.60,11.32,11.25,11.14,11.32,11.38,11.52,11.32,11.73,11.38,11.73,11.73,11.73,11.56,11.25,11.25,11.25,11.25,11.25,11.45,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,11.25,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.63,10.73,10.63,10.63,10.83,10.63,10.63,10.63,10.63,10.63,10.63,10.88,11.63,11.63,10.83,11.88,12.13,12.13,12.63,12.63,12.75,13.13,13.38,13.38,13.38,13.38,13.38,12.85,13.38,13.38,13.38,13.38,13.63,14.63,14.63,14.63,14.75,14.88,14.75,15.00,14.20,15.00,15.00,15.25,15.33,15.25,15.25,15.25,15.25,15.25,15.75,17.88,18.25,15.73,18.25,18.75,18.75,18.75,18.75,18.75,19.38,19.38,19.38,19.38,17.88,18.50,18.83
....Apayao,"YOUNG COCONUT, MEDIUM, 1 PC",9.23,9.23,9.23,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.77,10.00,10.32,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.25,10.25,10.04,10.25,10.50,10.50,11.25,11.25,11.75,14.38,14.38,14.38,14.38,14.38,14.38,12.65,14.38,14.38,14.38,14.38,14.38,15.00,15.00,15.13,15.13,15.13,15.13,15.13,14.80,15.13,15.13,15.25,15.33,15.25,15.25,15.25,15.25,15.25,15.63,15.63,15.88,15.35,15.88,15.88,16.13,16.13,16.13,18.13,18.75,18.75,18.75,18.50,17.50,18.75,17.44
