Region/Province,Commodity,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual
PHILIPPINES,"GARLIC, NATIVE, 1 KG",133.73,126.71,128.51,123.16,121.51,126.98,133.51,135.34,134.72,132.79,131.93,130.24,129.93,130.23,129.95,130.53,129.88,130.16,131.81,129.90,127.55,128.98,130.62,133.26,139.18,131.00,143.57,145.01,143.58,150.76,167.70,226.73,259.10,199.57,193.10,187.66,181.53,180.89,181.60,182.15,182.00,169.99,165.19,161.40,157.23,155.84,152.33,150.71,148.86,148.67,150.11,160.37,157.28,153.75,151.96,158.01,163.40,175.82,175.84,175.04,173.06,177.63,181.96,181.50,168.77,187.26,185.99,185.81,182.32,192.54,195.87,186.01,178.09,178.45,178.02,174.99,173.71,183.26,174.42,170.21,167.54,163.68,159.65,156.99,153.97,155.47,155.81,155.02,152.63,151.77,159.76,152.31,150.57,150.89,153.16,151.04,157.70,160.24,160.75,159.72,158.92,159.15,163.97,156.54,167.85,187.38,186.03,186.72,187.64,177.43,168.06,163.24,164.66,166.54,167.47,169.45,174.37,170.80,170.84,168.29,163.44,162.29,159.37,159.34,159.28,160.94,161.49,165.37,167.14,164.05
PHILIPPINES,"ONION RED CREOLE (BERMUDA RED), 1 KG",87.85,82.22,77.07,74.71,74.15,78.73,81.79,84.16,89.48,91.24,90.60,88.08,83.34,86.87,84.15,77.91,73.51,71.71,73.65,74.14,74.37,76.17,77.25,79.68,89.93,78.28,93.85,95.08,83.83,76.68,69.69,65.84,68.90,71.74,74.19,73.74,73.36,73.72,76.72,75.03,72.93,65.33,63.42,64.00,66.54,68.61,71.21,73.00,78.53,88.52,95.01,73.51,101.76,94.16,81.73,83.51,89.32,98.02,101.25,109.06,113.18,114.55,106.93,97.41,99.24,93.74,92.93,87.80,82.51,78.79,80.57,80.42,81.12,85.61,88.88,91.53,109.14,87.75,123.86,108.69,96.12,92.55,92.69,97.31,103.22,106.64,111.35,104.16,99.86,98.43,102.91,97.12,94.42,87.91,80.85,76.93,76.95,78.81,80.76,81.39,84.41,98.93,147.07,90.46,189.75,152.40,122.00,118.35,115.99,113.27,111.65,113.08,129.71,156.90,177.33,176.29,139.73,147.89,130.37,137.14,121.01,116.08,114.63,120.02,121.45,125.56,132.66,145.85,169.50,131.85
PHILIPPINES,"ONION WHITE (YELLOW GRANEX), 1 KG",81.38,77.85,75.20,76.24,75.78,76.31,79.28,81.63,86.36,88.70,86.68,83.36,80.73,81.89,79.08,74.83,72.51,75.43,75.92,74.76,75.24,78.06,78.18,78.68,83.66,77.35,87.01,86.47,79.66,70.83,66.21,62.99,66.73,70.51,77.66,83.44,78.34,77.90,75.65,76.00,72.21,65.02,62.59,63.45,66.06,68.62,70.26,70.76,74.09,80.41,81.87,70.95,86.78,83.75,76.86,78.70,85.10,95.08,92.48,94.96,97.37,98.65,92.35,87.47,89.13,85.84,85.43,81.38,79.44,79.93,80.46,79.81,81.02,87.32,94.10,89.43,90.71,84.57,93.80,91.39,85.70,85.35,82.51,85.99,91.30,99.40,102.41,96.36,92.07,90.25,91.38,91.73,89.96,82.96,79.06,78.97,79.24,78.14,84.68,91.70,100.44,99.31,110.51,88.89,114.92,108.25,95.25,96.87,94.79,92.62,93.00,97.03,107.14,120.40,123.39,118.64,105.19,116.29,106.28,102.94,97.23,94.57,93.40,95.14,95.68,98.51,99.49,103.06,105.40,100.67
PHILIPPINES,"GINGER, 1 KG",71.27,69.26,71.05,68.03,67.99,66.85,66.02,66.53,66.38,66.79,66.45,66.57,67.77,66.72,65.56,65.27,65.46,68.17,71.46,74.60,75.10,78.03,79.11,80.71,78.72,72.41,79.53,80.02,82.85,92.61,109.63,132.29,135.96,132.10,133.03,124.38,119.72,112.33,111.20,109.61,103.21,100.16,115.77,130.38,150.62,152.40,148.26,139.05,127.49,123.13,115.93,126.33,106.26,100.32,94.68,93.79,94.22,95.36,93.96,92.43,89.61,91.37,90.87,87.16,94.17,86.64,83.57,79.51,76.48,74.94,73.63,72.44,71.83,72.66,74.93,75.28,74.50,76.37,71.90,71.01,68.68,66.95,68.17,69.38,69.83,71.18,74.45,76.31,77.73,77.03,71.89,77.99,78.00,77.54,82.46,96.04,108.09,109.22,115.25,114.73,113.27,110.96,110.10,99.47,112.18,109.96,112.77,150.49,155.45,163.74,159.41,155.64,150.05,148.33,144.32,138.96,141.78,134.26,125.25,119.97,118.55,119.34,120.40,124.90,124.34,123.28,120.03,118.08,113.86,121.86
PHILIPPINES,"GARLIC, IMPORTED, 1 KG",80.59,77.39,78.40,74.53,74.97,81.69,88.86,90.33,90.50,89.39,86.12,86.42,83.27,87.01,86.96,89.18,88.98,88.12,88.75,87.38,84.73,85.24,85.10,86.12,89.82,87.28,90.00,89.62,89.81,97.62,113.33,177.61,201.06,136.72,126.54,116.77,113.24,109.51,121.82,113.98,110.77,105.60,105.19,106.51,107.30,108.48,108.54,107.52,109.99,106.75,108.99,108.30,111.18,115.06,118.43,128.23,135.18,146.87,150.41,148.31,142.15,148.65,148.31,152.20,137.08,154.53,153.75,155.36,157.43,170.24,172.25,155.44,143.42,136.44,132.46,130.21,131.09,149.39,128.87,126.34,122.24,116.37,113.37,112.75,108.24,104.73,105.98,107.14,105.18,102.56,112.81,101.45,99.44,101.71,107.18,113.99,128.57,133.69,134.57,133.77,132.11,129.96,135.34,120.98,136.49,165.95,165.79,166.21,163.94,143.53,128.60,120.91,121.33,122.87,121.21,124.73,140.13,125.51,121.92,124.23,122.27,121.46,117.33,119.37,123.11,125.12,127.04,129.83,131.65,124.07
..NATIONAL CAPITAL REGION (NCR),"GARLIC, NATIVE, 1 KG",233.35,231.71,230.15,228.71,227.74,227.19,227.01,225.86,226.47,227.83,231.01,227.92,228.75,228.74,228.46,222.44,215.44,216.57,217.29,216.74,216.05,215.55,215.37,215.18,217.24,218.76,217.24,222.76,228.95,232.78,300.93,339.33,320.19,303.73,315.74,328.10,317.31,321.23,287.36,326.53,375.53,375.37,364.29,358.14,332.22,310.99,290.24,284.11,271.88,256.16,252.10,316.46,252.86,242.42,223.31,232.93,250.42,256.67,209.37,246.29,247.93,286.00,285.66,285.66,251.63,286.69,287.46,308.10,272.39,275.83,271.83,272.00,264.67,269.60,270.00,269.20,276.40,277.01,285.18,288.53,281.62,272.65,228.33,221.39,230.48,227.59,226.12,231.20,236.42,238.47,247.33,246.90,242.98,241.13,238.13,253.26,254.77,258.12,263.75,265.96,268.47,268.20,292.18,257.82,293.35,289.73,300.67,302.41,307.69,305.11,302.04,300.65,303.85,308.70,309.54,308.37,302.68,301.67,297.50,290.83,287.08,287.08,285.75,294.48,285.42,277.23,302.64,343.51,345.97,299.93
..NATIONAL CAPITAL REGION (NCR),"ONION RED CREOLE (BERMUDA RED), 1 KG",55.95,48.71,42.05,42.50,50.88,54.44,56.37,64.00,71.30,72.53,65.72,63.52,57.33,62.31,46.21,35.44,34.23,37.89,40.45,41.10,41.05,44.73,45.31,50.25,62.23,45.10,60.39,53.07,37.52,32.64,30.17,34.68,38.02,39.04,39.63,40.19,40.78,41.30,40.62,45.76,39.12,29.85,32.22,36.19,39.46,44.50,44.35,45.10,53.45,63.68,65.60,44.94,65.37,56.07,48.04,51.99,63.90,70.40,75.20,81.56,81.00,81.00,80.50,80.50,69.63,73.87,76.26,66.70,63.71,60.85,64.62,63.86,64.93,75.64,73.54,84.58,110.16,73.23,106.64,81.72,74.94,78.31,82.00,92.08,97.04,105.13,100.16,82.83,86.88,84.44,89.35,84.04,74.08,65.75,57.44,56.64,63.47,63.24,64.94,67.56,79.60,101.22,164.58,78.55,192.83,108.28,81.58,88.17,98.22,98.88,99.33,109.58,138.10,175.39,222.86,211.98,135.43,124.00,113.53,102.82,100.40,99.33,106.62,109.28,110.27,114.25,125.82,147.22,163.02,118.05
..NATIONAL CAPITAL REGION (NCR),"ONION WHITE (YELLOW GRANEX), 1 KG",57.63,50.04,47.11,48.75,55.42,60.02,70.69,72.67,69.88,66.43,61.55,60.35,60.05,60.60,53.36,43.71,44.59,49.93,52.77,52.81,57.89,64.66,63.84,64.78,65.24,56.18,60.27,45.45,37.53,34.29,35.95,41.01,44.11,48.15,63.73,101.30,54.58,52.94,51.61,52.83,40.77,37.76,43.08,48.85,53.09,63.45,64.54,62.51,62.77,63.52,64.50,54.81,69.09,63.85,56.85,65.52,80.03,79.71,74.72,70.17,66.79,63.00,63.27,63.27,68.02,60.72,62.49,59.41,58.06,55.97,57.76,57.75,63.60,92.67,87.66,63.78,61.62,65.12,60.62,57.58,54.61,57.33,58.55,68.72,79.44,106.38,85.56,67.13,67.83,65.36,69.09,66.67,59.92,54.67,57.09,61.19,61.50,62.04,73.03,95.58,100.76,69.08,81.31,70.24,87.89,81.83,70.25,74.63,77.11,74.93,73.50,78.28,94.38,97.42,99.00,94.62,83.65,85.92,79.42,71.82,74.40,74.78,77.64,77.22,76.00,76.74,79.36,83.46,78.59,77.95
..NATIONAL CAPITAL REGION (NCR),"GINGER, 1 KG",46.88,43.71,41.25,41.04,38.81,37.76,37.13,37.19,37.72,39.25,40.60,41.54,40.24,42.60,40.83,39.12,39.12,47.93,54.19,56.09,62.08,69.31,77.33,73.89,70.43,56.08,69.13,65.00,70.17,104.63,165.20,159.09,135.93,146.14,160.17,130.95,113.03,105.96,118.78,104.41,98.22,99.71,148.41,156.88,160.76,137.82,125.20,122.52,104.94,104.12,92.21,121.27,91.67,85.18,85.74,86.65,82.16,78.22,74.13,71.83,72.98,79.00,78.93,83.26,80.81,84.19,82.22,77.79,77.73,77.97,76.72,77.88,75.58,76.38,82.41,80.20,76.88,78.83,76.80,75.94,74.44,73.03,82.02,85.83,85.36,85.58,93.11,97.73,92.28,87.08,84.10,102.44,94.03,93.00,114.27,149.28,148.67,140.18,135.33,144.94,134.67,127.61,134.53,126.58,134.06,129.33,158.28,207.78,198.55,192.00,182.85,179.88,188.47,202.03,203.09,186.60,180.24,167.82,151.86,151.35,157.85,156.57,154.42,156.40,156.00,155.24,148.63,146.87,137.18,153.35
..NATIONAL CAPITAL REGION (NCR),"GARLIC, IMPORTED, 1 KG",47.97,47.51,48.64,49.37,50.61,72.02,79.76,84.53,79.52,75.62,73.20,73.66,65.20,74.77,75.88,76.31,76.31,77.26,76.79,70.25,64.60,63.37,63.18,68.07,71.01,71.48,69.71,68.79,74.87,94.78,147.92,239.85,200.26,98.42,89.62,84.70,80.05,79.04,110.67,81.03,77.86,75.96,75.27,75.54,75.86,79.29,77.62,79.19,81.69,84.38,88.54,79.35,100.54,101.36,114.55,113.57,128.10,136.16,131.06,128.66,125.54,127.00,128.89,126.52,121.83,131.42,139.75,140.80,159.63,176.45,161.72,122.44,105.91,108.42,105.44,101.67,100.47,129.51,99.29,95.44,92.44,90.78,89.36,89.11,85.40,80.53,81.59,80.60,82.53,82.06,87.43,83.47,85.50,95.25,101.62,124.22,133.44,129.91,129.06,127.56,124.71,121.50,127.20,115.29,127.97,158.44,155.98,162.47,148.83,121.33,104.39,98.33,98.71,97.64,101.06,104.22,123.28,104.08,104.22,104.36,105.61,105.17,105.78,105.33,108.31,110.41,107.43,107.12,105.60,106.12
