Region/Province,Commodity,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual
PHILIPPINES,"FRESH FISH, CAESIO, DALAGANG-BUKID, MEDIUM, 1 KG",149.33,150.70,148.16,148.94,146.38,147.42,147.92,150.91,149.98,150.75,152.14,153.34,149.66,154.43,154.49,156.39,154.88,154.03,152.24,153.41,153.75,153.07,153.46,154.36,154.89,154.12,157.46,157.88,156.95,155.48,158.60,156.78,157.38,159.49,158.82,164.00,162.58,162.44,158.99,172.33,175.81,173.37,172.24,172.64,172.81,171.57,171.81,171.98,166.58,171.01,168.10,171.69,173.78,175.45,173.99,175.99,175.20,174.14,175.53,173.46,173.67,173.85,175.22,174.59,174.57,179.28,182.56,183.59,183.97,186.77,185.55,187.03,186.89,188.51,188.44,186.91,189.98,185.79,203.95,208.73,210.20,210.20,207.84,209.18,205.42,206.28,212.61,211.10,210.16,213.56,209.10,222.38,229.04,224.19,223.75,218.72,225.05,224.14,222.64,222.13,224.38,229.70,236.56,225.22,241.01,248.32,245.72,245.05,243.87,242.38,232.58,229.95,234.87,236.91,244.18,249.60,241.20,267.37,271.36,268.73,271.57,265.97,266.39,261.12,263.07,260.15,261.43,264.70,268.42,265.86
PHILIPPINES,"FRESH FISH, DALAG, MEDIUM, 1 KG",133.17,129.98,131.42,134.25,132.78,131.15,131.33,134.48,134.29,136.54,136.90,137.77,133.67,138.78,138.87,138.58,140.45,141.77,141.72,141.16,140.73,141.16,142.14,143.33,143.25,141.00,144.31,145.41,145.46,145.59,145.37,145.96,146.93,147.61,148.84,149.59,148.90,148.00,146.83,151.01,150.51,150.35,149.92,149.10,152.84,159.66,160.87,163.68,167.46,170.51,170.84,158.06,170.79,170.99,170.56,169.33,173.11,169.86,174.08,174.43,171.30,176.00,179.51,172.45,172.70,174.83,174.72,174.36,176.92,180.90,181.29,182.05,183.50,188.33,191.13,183.65,182.63,181.19,184.19,183.67,185.28,187.28,184.98,186.82,182.67,180.24,181.31,179.82,184.54,184.72,183.79,188.34,190.92,190.87,190.17,192.58,194.11,194.01,197.23,196.66,196.70,197.66,198.43,193.97,202.00,199.84,199.96,202.55,201.52,202.11,201.82,202.95,201.63,204.61,201.50,200.16,201.72,202.30,204.52,204.77,206.51,208.85,207.17,204.73,206.39,206.94,209.68,211.23,210.46,206.96
PHILIPPINES,"FRESH FISH, DILIS (ANCHOVIES), 1 KG",93.48,93.27,93.01,95.51,94.37,95.93,97.24,98.21,98.26,98.92,98.80,99.56,96.38,99.93,99.81,99.06,98.04,96.61,96.59,97.42,97.47,97.50,98.19,99.29,98.44,98.20,100.22,102.27,100.90,100.13,101.35,100.80,100.97,103.04,102.76,104.44,105.44,105.68,102.33,106.07,105.40,105.00,104.83,101.72,101.80,103.76,103.14,102.60,102.82,104.99,106.56,104.06,106.58,106.25,103.29,102.00,102.84,102.54,102.63,102.79,103.74,104.05,105.40,106.22,104.03,108.83,109.39,109.04,110.58,109.50,108.65,107.48,107.43,107.04,107.51,109.47,111.53,108.87,116.33,116.79,117.67,117.82,117.91,117.90,118.30,119.73,122.44,118.60,118.06,119.10,118.39,123.82,121.37,117.00,116.66,117.23,118.31,118.70,120.40,122.41,121.79,123.33,128.19,120.77,133.71,133.12,133.36,130.27,129.37,129.27,127.12,125.55,125.34,128.24,132.42,135.28,130.25,140.53,141.56,141.17,142.31,144.09,144.16,144.54,145.90,145.22,145.38,147.04,149.67,144.30
PHILIPPINES,"FRESH FISH, DILIS (ANCHOVIES), BOLINAO, 1 KG",110.99,121.08,105.94,105.94,84.50,97.11,105.94,102.16,100.90,100.90,100.27,114.77,104.21,113.51,113.51,118.55,109.73,97.11,99.89,100.90,100.90,76.68,82.74,90.81,96.86,100.10,110.99,110.99,95.85,85.76,98.88,82.74,78.70,66.59,68.61,70.63,58.52,68.61,83.07,80.72,80.72,103.42,103.42,98.37,100.90,105.94,118.55,116.03,108.46,125.11,119.82,105.12,121.08,121.08,116.03,113.51,116.03,116.03,114.77,122.34,126.12,131.17,121.08,112.25,119.29,93.33,100.00,85.00,80.00,76.67,105.00,90.00,80.00,83.33,78.33,93.33,100.00,88.75,108.33,111.67,118.33,118.33,120.00,116.67,118.33,120.00,145.00,146.67,146.67,138.33,125.69,150.00,158.75,171.25,168.75,163.75,166.25,177.50,185.00,185.00,185.00,177.50,172.50,171.77,192.50,175.00,182.50,178.33,175.00,172.50,185.00,157.50,155.00,177.50,182.50,165.00,174.86,188.75,202.50,195.00,215.00,225.00,208.75,207.50,190.66,191.72,180.94,186.57,181.41,197.82
PHILIPPINES,"FRESH FISH, GROUPER, LAPU-LAPU, MEDIUM, 1 KG",219.65,216.62,220.71,228.04,225.64,221.57,222.77,226.22,225.06,221.21,223.63,224.74,222.99,230.16,227.85,229.64,229.09,231.23,232.15,231.36,228.77,227.03,228.06,232.18,237.86,230.45,240.47,244.27,240.83,240.57,244.00,245.86,246.84,248.55,247.18,247.13,254.92,254.67,246.27,256.22,261.14,262.41,262.41,252.99,246.15,250.13,242.56,244.97,243.22,247.07,255.30,252.05,253.34,248.33,255.97,249.61,252.40,263.15,263.79,255.42,262.74,255.08,268.74,271.19,258.31,279.20,286.93,293.76,283.98,270.23,281.30,277.80,276.69,283.61,280.57,288.04,286.55,282.39,307.91,311.17,304.76,308.56,309.39,302.60,294.93,308.39,316.18,311.85,317.73,312.63,308.84,329.07,333.04,313.70,313.35,313.73,312.32,308.03,307.40,306.55,302.24,305.05,317.50,313.50,329.90,331.90,325.30,323.27,310.17,304.75,305.99,299.50,300.18,302.55,312.06,318.29,313.66,340.97,346.23,335.73,341.53,344.85,330.65,324.77,336.91,337.63,334.08,341.77,346.67,338.48
PHILIPPINES,"FRESH FISH, MACKEREL, ALUMAHAN, MEDIUM, 1 KG",125.74,122.68,110.89,118.75,109.38,112.50,113.13,114.38,113.75,127.50,140.00,122.50,119.27,130.00,120.00,113.75,118.75,111.88,112.50,117.50,120.63,120.00,134.38,130.63,131.25,121.77,132.50,130.63,115.00,120.63,116.25,118.13,121.88,124.38,120.63,113.75,125.63,133.13,122.71,140.63,138.13,121.88,129.38,120.00,106.88,109.38,117.50,123.75,123.75,123.75,131.25,123.86,136.25,133.75,145.00,131.50,120.63,114.38,121.25,121.88,120.00,118.13,132.50,132.50,127.31,136.25,136.50,133.33,136.00,136.00,120.00,136.00,140.00,136.00,128.00,120.00,184.00,136.84,176.00,168.00,164.00,152.00,152.00,164.00,148.00,140.00,156.00,166.25,166.25,195.00,162.29,190.00,175.00,158.75,172.50,162.50,172.50,162.50,158.75,156.25,161.25,161.25,160.00,165.94,173.75,163.75,178.75,175.00,152.50,143.75,148.75,155.00,158.75,160.00,163.13,170.00,161.93,202.50,207.50,215.00,215.00,205.00,200.00,186.25,188.80,183.70,188.80,204.11,214.32,200.92
PHILIPPINES,"FRESH FISH, MACKEREL, HASA-HASA, MEDIUM, 1 KG",126.49,127.88,125.07,129.21,123.69,127.76,125.27,133.55,129.85,129.95,130.26,131.74,128.39,132.90,136.30,132.68,132.37,127.89,130.26,127.88,129.42,129.20,131.90,132.96,134.38,131.51,133.39,136.90,133.13,130.00,130.08,129.74,130.49,131.93,131.10,132.70,131.32,133.02,131.98,139.98,142.58,142.75,145.67,140.07,141.87,141.99,141.52,141.64,141.33,143.50,139.90,141.90,142.95,146.35,140.94,136.49,137.89,140.20,137.48,142.12,137.36,140.83,143.09,147.43,141.09,152.72,157.95,156.14,156.61,155.05,155.18,153.61,155.50,156.52,153.18,164.23,169.60,157.19,179.30,187.09,185.67,198.90,190.41,192.86,186.40,191.28,188.38,189.24,186.30,184.35,188.35,196.39,195.62,195.09,190.92,188.99,190.73,184.72,189.25,188.81,186.36,193.27,207.98,192.34,223.71,229.83,227.55,221.92,216.96,209.84,201.88,202.07,202.13,199.11,209.46,214.51,213.25,232.06,241.52,237.70,228.24,225.21,215.58,210.15,219.51,221.38,221.03,225.11,230.58,225.67
PHILIPPINES,"FRESH FISH, MILKFISH, BANGUS, DAGUPAN, MEDIUM, 1 KG",147.60,140.49,140.49,145.38,138.04,137.37,134.04,135.37,136.71,137.37,136.71,136.04,138.80,137.37,140.71,138.71,137.37,134.04,130.04,128.71,124.70,120.70,123.37,131.37,125.37,131.04,132.04,130.71,128.04,130.71,130.71,127.37,127.37,126.04,124.38,123.12,123.12,124.36,127.33,126.23,126.23,124.97,124.97,128.71,130.00,133.13,130.63,127.50,122.50,124.38,120.00,126.60,131.88,131.88,130.00,127.50,128.75,127.50,123.13,120.00,127.50,125.00,123.75,125.00,126.82,132.50,127.50,126.25,133.75,127.50,127.50,127.50,125.00,127.50,122.50,127.50,128.75,127.81,137.50,142.50,142.50,151.25,136.25,135.00,148.75,156.88,160.00,183.75,191.25,182.50,155.68,173.13,170.00,162.50,151.25,153.75,151.25,148.75,145.63,147.50,155.00,168.75,168.75,158.02,168.75,166.25,170.00,173.33,165.00,155.00,153.75,147.50,150.00,147.50,151.88,157.50,158.87,175.00,172.50,162.50,165.00,155.00,157.50,152.50,169.71,155.35,154.78,161.62,161.62,161.92
PHILIPPINES,"FRESH FISH, MILKFISH, BANGUS, MEDIUM, 1 KG",126.93,127.44,128.29,129.96,129.23,129.31,128.73,130.74,129.86,130.30,130.59,130.36,129.31,131.56,131.93,131.48,130.91,130.65,129.47,128.57,128.33,127.83,128.54,129.53,130.13,129.91,131.57,132.13,130.63,130.34,130.00,129.49,129.61,130.38,130.22,131.39,131.16,132.09,130.75,135.03,134.27,133.89,135.78,134.93,134.75,136.84,136.26,135.42,134.71,134.70,134.68,135.11,135.21,134.74,135.46,135.36,134.82,134.65,133.14,133.71,132.54,133.11,133.98,134.58,134.28,138.43,137.90,136.87,138.42,139.55,139.45,139.53,140.95,141.36,142.08,143.10,144.98,140.22,154.07,155.15,155.07,157.20,156.53,158.71,157.97,160.86,165.02,169.67,171.12,170.55,160.99,173.94,174.32,171.24,170.42,170.50,169.97,166.72,164.74,166.18,168.62,170.65,173.38,170.06,179.05,178.41,177.56,177.73,176.08,172.71,168.70,164.41,164.47,165.05,167.06,169.77,171.75,178.12,182.20,181.85,183.65,183.51,183.50,178.70,183.75,181.59,182.37,183.18,185.03,182.29
PHILIPPINES,"FRESH FISH, NEMIMTERID, BISUGO, MEDIUM, 1 KG",142.40,141.16,141.79,143.42,143.70,145.03,144.71,149.08,148.17,148.90,147.80,149.10,145.44,154.42,152.60,149.26,149.57,144.74,143.33,144.04,141.29,144.23,148.50,148.22,146.38,147.22,150.16,152.55,152.55,150.15,150.78,151.95,152.02,149.10,147.87,150.37,151.59,150.46,150.80,160.50,163.18,156.57,158.00,159.32,156.82,156.25,157.75,156.57,157.83,161.38,156.91,158.42,168.58,162.55,155.70,158.12,155.82,162.09,160.59,161.46,164.86,166.38,170.17,170.22,163.05,177.68,183.65,180.10,181.32,183.50,188.51,188.72,188.66,190.60,189.37,186.53,194.59,186.10,206.89,211.18,211.43,215.87,210.99,217.94,213.82,220.23,221.67,226.26,231.55,226.40,217.85,236.44,237.53,231.04,237.80,234.91,235.29,235.79,235.79,237.65,239.60,241.46,249.68,237.75,260.60,258.87,251.56,246.62,245.02,238.44,237.66,237.06,239.29,233.69,236.40,246.65,244.32,269.58,278.69,271.68,267.39,265.71,268.63,262.52,269.01,264.03,263.14,271.03,277.94,269.11
