Region/Province,Commodity,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual
PHILIPPINES,"FRESH FRUIT, BANANA, LAKATAN, MEDIUM, 1 KG",37.92,38.10,38.01,37.90,38.06,38.59,38.80,39.31,39.07,39.21,39.27,39.71,38.66,40.81,41.15,41.35,41.10,41.63,42.28,42.46,42.14,42.65,43.03,43.40,44.40,42.20,45.30,45.82,46.91,47.18,47.35,47.71,48.33,48.92,50.00,50.65,50.98,51.24,48.37,52.18,52.18,51.73,51.54,51.71,51.24,51.04,50.97,51.68,52.55,52.60,52.22,51.80,53.21,53.41,53.29,53.57,53.27,53.68,53.53,54.32,54.14,54.23,53.91,54.03,53.72,54.31,53.61,54.04,54.01,54.10,53.46,52.69,52.52,52.67,52.25,52.84,51.98,53.21,52.82,52.79,53.18,53.52,53.46,53.54,52.05,51.81,52.03,52.17,52.78,52.87,52.75,53.45,53.95,54.76,55.72,57.30,57.55,58.22,58.79,58.80,59.59,60.19,60.66,57.42,61.49,61.88,64.51,71.93,75.44,74.19,73.11,73.49,72.81,72.06,72.20,72.15,70.44,72.00,70.30,69.89,69.84,69.23,67.77,66.40,65.80,64.82,63.95,63.25,61.98,67.10
PHILIPPINES,"FRESH FRUIT, BANANA, LATUNDAN, MEDIUM, 1 KG",28.14,28.01,28.04,27.66,27.59,27.80,27.87,28.00,27.78,27.88,27.86,27.79,27.87,28.40,28.42,28.54,29.05,29.16,29.22,28.95,29.24,29.45,29.65,29.68,29.95,29.14,30.55,31.05,31.77,32.83,33.09,33.12,33.24,33.95,34.32,34.50,34.86,35.27,33.21,35.67,35.47,35.42,35.58,35.52,35.53,35.18,35.06,34.70,35.05,35.27,35.46,35.33,36.28,36.41,36.51,36.35,36.95,37.32,37.16,36.99,36.50,36.41,36.65,36.46,36.67,36.85,37.15,37.24,37.24,37.48,37.77,37.31,36.78,37.00,36.27,36.29,36.48,36.99,37.14,37.05,37.57,37.56,37.47,37.13,35.74,35.54,35.69,35.53,35.76,35.31,36.46,35.64,35.77,36.58,36.72,37.73,38.49,38.47,38.95,38.80,38.85,38.83,39.01,37.82,39.91,40.55,42.46,46.56,48.64,47.59,45.23,45.11,45.16,44.69,44.59,44.55,44.59,45.05,45.17,44.95,45.52,44.88,44.59,43.78,43.52,43.66,43.45,42.87,42.53,44.16
PHILIPPINES,"FRESH FRUIT, BANANA, SABA, MEDIUM, 1 KG",22.50,22.52,23.08,22.06,22.00,22.55,23.10,23.05,22.74,22.88,22.94,23.10,22.71,23.14,23.06,23.20,23.42,23.86,24.34,24.40,24.47,24.69,24.74,24.55,25.01,24.07,24.90,25.72,26.92,27.04,27.81,27.58,27.86,27.88,28.56,28.96,29.46,29.65,27.70,29.36,28.63,28.70,29.58,29.77,29.19,28.88,28.87,28.95,28.62,28.96,28.71,29.02,29.15,28.72,28.54,28.82,28.61,28.70,29.19,29.68,30.12,28.86,28.71,28.81,28.99,28.65,28.22,28.38,28.91,28.64,28.20,48.96,48.88,47.99,45.58,44.75,45.27,37.70,45.42,45.23,45.01,46.47,44.57,43.35,43.15,42.69,43.82,43.43,43.57,45.81,44.38,47.21,48.19,48.42,49.73,49.72,50.13,50.68,49.15,50.83,49.41,48.99,49.12,49.30,29.98,30.77,31.20,36.05,35.49,36.44,36.49,36.86,35.82,35.77,36.17,36.04,34.76,36.46,35.92,36.17,36.50,36.54,35.70,34.76,35.38,34.64,33.47,35.12,35.49,35.51
PHILIPPINES,"FRESH FRUIT, MANDARIN, DALANGHITA, MEDIUM, 1 KG",34.28,34.01,34.31,35.17,35.55,36.51,36.83,38.12,37.54,36.46,34.91,34.99,35.72,36.33,35.82,35.56,37.19,36.73,37.90,37.65,37.65,36.77,35.89,36.27,35.42,36.60,35.53,35.05,35.53,35.44,35.52,36.31,36.65,37.78,38.75,38.99,38.44,38.90,36.91,38.12,36.94,37.92,38.35,38.74,38.89,39.32,39.68,39.32,37.36,36.29,35.85,38.07,36.06,35.28,36.24,36.78,37.18,38.45,38.61,38.83,39.47,39.62,41.69,40.52,38.23,38.07,34.99,34.66,34.68,34.74,34.76,35.29,36.35,37.40,37.98,38.07,37.61,36.22,37.51,38.65,39.67,39.87,39.01,39.67,41.82,43.56,44.69,44.39,44.38,46.53,41.65,44.52,40.08,40.32,40.71,41.13,41.48,43.01,44.48,45.44,45.15,46.65,45.68,43.22,45.21,45.30,46.75,47.97,56.75,58.06,58.92,62.02,62.12,58.10,55.15,54.52,54.24,54.21,54.58,54.56,54.15,53.89,54.18,54.57,58.15,61.61,59.33,55.85,56.51,55.97
PHILIPPINES,"FRESH FRUIT, MANGO, CEBU, RIPE, MEDIUM, 1 KG",70.32,68.67,69.82,73.98,69.12,66.07,67.16,66.53,67.25,69.07,68.77,69.72,68.87,70.72,68.86,70.13,71.36,71.56,68.21,66.50,68.35,69.25,70.76,71.59,70.59,69.82,68.87,69.04,69.83,70.22,68.13,59.80,58.94,62.83,67.97,72.73,71.07,72.20,67.64,71.08,67.35,66.79,68.77,66.50,62.55,59.97,61.00,64.94,72.48,76.46,75.66,67.80,77.31,76.33,79.55,80.76,78.44,76.44,73.96,76.09,84.07,94.05,90.95,89.27,81.44,95.33,95.00,96.25,99.15,100.83,99.23,99.03,100.66,105.80,110.47,106.33,105.40,101.12,115.66,117.01,113.75,116.96,108.90,99.37,86.87,87.47,93.10,91.37,88.62,88.73,100.65,87.71,87.10,90.61,95.00,94.47,83.22,83.25,105.49,112.69,122.11,105.27,105.79,97.73,104.95,103.94,106.95,108.28,101.89,97.51,92.92,94.05,107.48,108.68,107.60,104.80,103.25,135.29,122.58,115.92,121.84,105.16,97.74,102.49,102.07,105.65,103.60,103.50,108.43,110.36
PHILIPPINES,"FRESH FRUIT, MANGO, KALABAW, RIPE, MEDIUM, 1 KG",75.43,69.96,67.87,68.66,66.57,65.17,67.11,71.11,71.97,73.02,75.48,76.11,70.71,75.74,70.35,67.10,68.87,67.48,65.02,66.82,70.62,72.02,75.25,77.50,79.62,71.37,78.36,77.37,74.71,75.10,73.93,62.27,67.57,75.20,79.27,82.62,83.44,84.11,76.16,86.63,84.32,82.28,80.67,73.23,62.36,63.65,71.43,76.81,85.00,91.06,93.74,79.27,97.71,97.63,92.15,91.48,88.05,82.66,81.07,83.99,93.82,102.48,107.50,110.17,94.06,118.52,113.00,107.35,111.60,108.84,99.88,99.51,102.43,106.63,109.52,112.52,115.39,108.77,124.09,126.02,123.43,121.30,111.27,97.10,97.74,101.32,108.52,108.03,111.04,115.74,112.13,112.86,110.20,110.53,109.81,105.68,89.91,90.64,111.80,119.21,136.65,133.28,130.13,113.39,130.00,131.59,135.52,127.78,115.65,104.58,105.25,108.35,118.59,126.87,131.16,134.70,122.50,163.75,160.00,143.97,140.09,126.81,115.71,116.69,121.20,126.85,127.25,129.66,135.56,133.96
PHILIPPINES,"FRESH FRUIT, MANGO, PIKO, RIPE, MEDIUM, 1 KG",56.04,58.37,56.49,57.05,54.87,53.82,54.77,56.93,58.12,59.42,62.93,63.44,57.69,67.57,61.96,56.75,60.60,59.38,56.57,57.96,58.45,58.20,59.76,60.25,59.77,59.77,62.09,62.94,58.88,57.20,57.14,41.04,47.68,53.48,55.59,56.14,56.27,58.17,55.55,63.36,65.19,66.29,67.33,59.46,44.11,44.05,46.49,53.60,59.75,66.73,71.90,59.02,76.81,85.58,80.05,81.68,72.84,67.11,65.52,73.08,81.19,89.41,96.69,104.79,81.23,111.85,112.00,105.74,104.69,97.93,90.40,93.64,93.65,99.69,98.07,98.89,97.97,100.38,107.22,112.72,112.90,108.62,95.18,89.77,79.68,79.68,87.98,88.71,93.39,87.14,95.25,91.02,95.68,97.30,93.18,91.79,74.66,71.50,88.29,109.09,115.13,117.48,111.23,96.36,111.89,114.68,116.33,114.38,103.59,94.50,97.02,102.55,104.68,106.13,104.07,106.50,106.36,117.16,123.82,125.11,119.55,106.91,95.29,106.77,108.82,109.04,110.60,115.03,124.54,113.55
PHILIPPINES,"FRESH FRUIT, PAPAYA, SOLO, NATIVE, MEDIUM, 1 KG",58.42,58.15,57.34,57.34,57.34,57.27,57.10,57.27,57.84,57.68,57.48,57.48,57.56,57.48,57.48,57.48,57.63,57.45,56.78,56.83,57.22,57.80,57.80,57.80,57.99,57.48,58.06,57.77,57.82,57.82,57.82,57.82,57.32,57.24,57.24,57.24,57.24,57.87,57.61,58.28,56.58,50.54,52.13,53.24,51.93,52.24,52.37,52.06,51.41,51.00,50.24,52.67,49.81,46.26,44.40,45.72,45.54,46.59,47.33,53.60,56.13,56.00,55.65,50.97,49.83,49.95,51.40,51.76,47.56,47.35,47.59,47.82,47.70,46.96,46.53,47.44,47.56,48.30,46.07,46.50,47.83,47.58,46.82,46.67,48.19,48.47,48.89,47.50,46.04,44.31,47.07,44.67,47.01,46.91,48.61,49.38,48.89,48.78,49.93,50.87,48.78,48.28,47.23,48.28,48.36,48.22,48.51,46.68,47.40,47.21,48.09,48.29,50.18,50.33,50.89,50.42,48.72,50.76,49.21,48.47,53.22,52.04,51.37,50.20,49.29,48.25,49.76,50.56,50.14,50.27
PHILIPPINES,"FRESH FRUIT, PINEAPPLE, PINYA, HAWAIIAN, MEDIUM, 1 KG",32.00,31.66,31.93,32.90,33.09,33.60,33.98,33.98,34.49,35.62,34.55,34.27,33.51,34.35,35.05,34.02,36.38,35.30,34.68,34.67,33.58,34.55,34.69,35.54,36.79,34.97,37.02,36.64,38.13,38.37,37.19,37.19,36.58,36.80,37.03,38.31,38.52,40.32,37.68,40.66,40.61,40.82,41.75,42.75,42.76,41.10,40.04,39.70,39.76,40.31,40.82,40.92,39.76,40.50,41.86,41.37,41.48,44.39,44.01,43.02,43.63,43.84,44.08,44.46,42.70,44.92,44.86,44.88,45.14,45.73,46.36,46.19,44.56,44.39,44.51,44.51,44.67,45.06,45.95,47.09,46.94,46.81,46.99,47.34,45.26,44.89,44.58,45.67,45.21,45.15,45.99,46.12,46.98,47.02,48.25,46.87,46.46,46.72,45.84,44.65,45.15,46.41,47.46,46.49,48.52,50.15,50.42,53.28,53.75,53.71,52.03,53.07,53.74,54.17,53.48,54.33,52.55,54.93,54.88,55.99,56.09,56.23,54.45,55.08,54.34,54.94,55.78,55.71,55.12,55.30
PHILIPPINES,"FRESH FRUIT, PINEAPPLE, PINYA, MEDIUM, 1 KG",37.27,36.84,37.10,36.95,36.50,37.82,37.50,37.95,37.62,37.88,38.18,38.76,37.53,39.04,38.90,38.03,38.05,38.20,38.54,38.78,38.67,38.69,39.51,39.91,40.30,38.89,40.34,39.67,40.11,40.55,40.39,40.22,40.48,39.48,39.58,40.10,40.27,40.24,40.12,41.08,41.20,40.84,41.60,41.48,41.08,40.31,40.02,40.74,40.72,41.27,41.21,40.96,41.58,42.40,42.60,42.83,43.95,44.09,43.27,43.34,43.83,44.59,45.20,45.34,43.59,45.66,45.90,45.58,45.89,46.17,46.40,45.37,44.00,45.31,45.75,46.57,46.81,45.78,47.32,47.79,48.92,49.10,49.21,48.48,48.96,49.41,49.56,50.04,50.87,51.12,49.23,51.25,51.57,51.89,51.94,51.90,51.91,51.32,49.92,50.19,52.08,52.72,52.99,51.64,54.17,54.46,54.90,55.72,56.81,55.48,54.49,54.19,54.37,54.01,54.31,55.15,54.84,57.62,57.10,56.77,56.28,56.64,56.13,55.25,54.91,55.59,57.29,57.45,57.55,56.55
