Region/Province,Commodity,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual
PHILIPPINES,"CABBAGE, 1 KG",52.46,47.68,44.32,43.30,42.65,44.10,46.85,51.28,59.71,54.18,52.53,47.76,48.90,46.54,47.26,48.26,50.67,53.97,55.05,52.18,49.09,50.00,55.78,55.90,52.01,51.39,53.97,54.92,51.46,48.14,48.26,51.06,55.43,55.07,56.67,55.27,56.57,53.99,53.40,53.41,50.08,48.41,49.67,52.57,57.11,56.35,68.80,67.77,70.44,72.39,66.60,59.47,67.89,59.93,56.52,59.39,60.98,64.22,65.05,58.14,57.93,59.29,69.31,68.71,62.28,73.28,66.82,58.40,55.59,53.99,56.81,64.82,68.11,73.58,71.37,72.80,69.17,65.40,70.32,65.61,63.66,63.99,63.25,71.61,75.39,79.68,101.87,98.30,90.90,76.57,76.76,71.98,65.96,64.13,64.55,77.77,79.84,72.49,68.54,70.75,78.70,75.00,69.65,71.61,65.92,61.26,59.90,69.10,78.73,80.09,72.89,65.15,61.70,63.31,78.56,102.58,71.60,119.63,109.84,81.66,67.16,62.12,60.76,74.90,94.09,103.35,100.02,96.19,83.38,87.76
PHILIPPINES,"CAMOTE TOPS, 1 KG",23.47,24.64,24.73,22.50,22.32,21.74,21.74,21.74,23.50,22.92,23.75,23.40,23.04,25.48,25.84,25.96,26.02,25.44,25.44,24.86,22.84,22.31,25.71,26.80,25.86,25.21,26.32,25.26,25.56,25.57,25.56,25.56,24.97,25.23,24.39,24.34,24.34,23.53,25.05,23.40,23.37,24.26,24.45,25.88,25.28,24.34,24.13,24.19,25.10,23.99,25.73,24.51,25.14,27.58,28.77,28.33,25.83,24.96,22.98,23.45,23.15,23.40,23.79,24.15,25.13,24.50,25.31,23.78,24.15,23.83,23.40,23.35,22.73,22.85,22.95,23.33,24.68,23.74,24.26,23.05,23.83,25.94,22.90,22.46,22.47,22.43,23.12,23.55,23.24,23.24,23.37,22.68,23.49,23.08,23.37,23.37,22.68,23.27,22.83,22.99,23.43,23.86,23.95,23.25,24.74,24.24,26.37,26.71,25.08,26.87,26.74,26.72,26.33,26.08,25.20,34.28,26.61,34.65,34.64,32.63,30.75,30.81,32.73,34.10,33.39,33.11,34.10,40.52,37.86,34.11
PHILIPPINES,"KANGKONG, 1 KG",24.34,21.42,20.36,19.95,19.89,20.13,20.40,21.78,22.69,22.11,22.14,21.53,21.40,21.39,21.40,21.36,21.67,22.61,24.11,24.41,24.30,25.27,25.39,24.56,24.28,23.40,24.58,25.29,25.23,27.00,26.23,24.68,25.31,25.83,24.85,25.51,25.58,24.81,25.41,25.07,26.23,25.74,25.49,24.05,22.89,23.20,22.64,25.21,24.29,24.26,25.09,24.51,25.62,25.95,25.40,25.26,24.94,24.20,24.47,24.07,24.28,24.13,25.67,24.91,24.91,25.18,25.86,25.27,24.97,24.70,27.12,26.63,26.83,27.73,26.79,26.43,26.78,26.19,26.51,26.75,27.14,27.14,27.61,27.74,29.48,29.66,30.11,30.03,29.43,30.14,28.48,31.46,31.40,30.14,29.40,30.49,30.22,30.18,30.00,30.45,30.70,30.38,31.06,30.49,31.07,31.84,32.76,33.00,33.43,33.58,36.27,35.28,35.28,34.43,37.43,44.62,34.92,44.89,44.72,43.93,43.05,41.34,42.34,43.43,44.52,45.70,44.46,47.25,46.68,44.36
PHILIPPINES,"PECHAY, 1 KG",57.34,57.91,54.76,55.21,50.95,51.09,50.89,53.10,52.87,53.49,54.09,54.46,53.85,55.10,57.76,57.40,57.59,57.06,56.53,57.68,56.63,58.46,60.88,62.26,64.23,58.47,64.11,70.00,72.04,75.28,74.07,76.57,75.19,74.34,71.41,71.94,66.36,71.82,71.93,73.97,72.72,62.31,65.39,68.60,77.20,75.02,72.46,71.04,70.13,71.88,73.17,71.16,67.61,71.44,71.52,72.63,77.14,80.56,68.18,62.71,61.46,65.00,71.72,67.71,69.81,61.04,66.25,56.25,54.17,53.13,63.75,71.92,69.50,65.96,65.13,68.25,76.04,64.28,75.21,73.33,62.29,60.63,64.38,68.54,70.63,73.13,63.75,67.71,64.17,67.92,67.64,67.71,70.83,66.88,61.88,71.25,70.88,67.50,64.71,59.04,55.92,59.88,63.96,65.04,64.79,62.09,62.92,65.14,65.00,68.13,64.67,60.50,62.17,60.08,62.38,63.95,63.49,66.54,70.63,64.38,60.42,61.88,69.79,73.75,68.63,66.12,67.85,64.29,68.81,66.92
PHILIPPINES,"PECHAY, NATIVE, 1 KG",51.83,48.89,47.53,47.02,45.00,44.76,44.85,52.56,47.92,47.04,45.62,45.86,47.41,46.84,48.51,48.88,50.19,49.87,50.12,50.60,50.88,52.16,53.26,49.49,48.45,49.94,48.37,50.47,49.34,48.82,40.80,44.26,45.81,45.99,44.70,45.13,46.39,46.01,46.34,50.70,45.83,43.54,44.19,46.36,49.03,50.33,49.76,50.13,49.95,51.09,49.58,48.37,52.37,50.83,49.23,51.66,56.05,57.76,56.47,55.12,55.03,55.87,60.88,58.39,54.97,59.42,60.04,54.73,51.84,52.83,57.22,56.78,57.63,57.75,56.95,57.52,59.85,56.88,61.75,61.98,55.47,53.35,56.02,60.84,64.65,64.31,63.50,64.75,63.51,61.38,60.96,65.76,63.09,60.32,63.34,65.44,67.20,67.16,66.32,63.41,61.21,62.72,66.30,64.36,65.00,63.24,61.55,65.15,67.39,67.99,63.77,63.84,62.97,69.39,81.40,76.81,67.38,73.97,77.42,66.23,64.07,62.77,69.65,71.33,71.81,71.71,73.59,72.35,73.15,70.67
PHILIPPINES,"CAULIFLOWER, 1 KG",108.78,107.11,105.02,98.34,95.72,87.18,91.45,93.13,94.96,94.04,94.08,91.93,96.81,91.02,91.69,91.32,94.13,93.97,90.79,91.41,89.20,92.45,96.82,106.89,99.50,94.10,93.29,93.40,81.32,90.73,98.12,92.73,103.85,107.46,115.54,109.72,109.66,93.97,99.15,83.70,84.48,82.17,82.92,84.84,87.34,87.30,93.24,109.92,109.04,111.62,111.01,93.97,98.74,80.92,79.84,79.88,78.36,87.21,99.58,101.92,94.44,96.16,121.65,119.67,94.86,110.39,102.41,94.18,95.43,96.91,99.18,91.68,101.81,124.62,124.36,122.89,119.81,106.97,100.40,89.60,91.81,96.81,93.75,100.07,101.81,113.62,154.03,160.39,154.23,115.48,114.33,107.60,103.78,102.92,106.06,122.73,117.52,114.78,117.78,119.42,129.94,135.31,119.13,116.41,100.47,90.70,84.36,93.68,98.11,105.61,102.50,105.00,117.32,114.15,125.20,120.55,104.80,131.88,103.44,86.02,88.78,93.96,99.64,140.68,157.30,176.84,179.57,172.12,165.47,132.98
..NATIONAL CAPITAL REGION (NCR),"CABBAGE, 1 KG",23.93,18.88,21.82,21.88,24.03,24.90,28.25,52.28,55.97,35.89,29.94,25.20,30.25,24.86,26.41,29.03,39.81,41.73,35.87,25.01,23.57,28.86,49.26,33.92,26.03,32.03,39.61,30.27,24.34,23.00,34.36,38.44,39.69,42.34,38.36,33.55,40.57,30.98,34.63,28.51,27.64,30.30,28.55,33.11,34.70,50.66,63.70,56.32,63.64,57.18,50.75,43.76,46.19,41.88,37.10,34.10,35.62,39.93,36.50,32.11,38.96,45.00,51.02,59.95,41.53,58.53,56.66,48.14,47.56,46.98,53.39,63.94,66.22,96.09,68.25,60.11,54.82,60.06,56.13,58.44,60.81,61.97,68.25,79.83,80.47,102.60,182.39,109.27,104.46,68.98,86.13,66.31,61.78,59.61,67.51,96.03,75.92,62.36,62.28,82.44,106.13,71.94,61.51,72.82,58.42,56.56,60.36,74.45,97.11,82.60,67.39,60.58,55.80,54.03,98.94,152.42,76.56,174.69,126.39,70.02,60.89,55.92,65.07,85.08,117.47,95.83,77.36,76.70,56.86,88.52
..NATIONAL CAPITAL REGION (NCR),"CAMOTE TOPS, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..NATIONAL CAPITAL REGION (NCR),"KANGKONG, 1 KG",31.62,29.10,28.13,27.67,27.48,27.27,27.17,34.89,39.86,35.68,34.65,34.65,31.51,33.50,34.15,33.87,33.47,32.20,31.32,31.71,34.70,41.75,42.40,40.20,40.18,35.79,39.71,39.33,38.33,38.00,37.66,37.72,38.24,41.87,41.44,41.44,41.16,42.36,39.77,45.48,46.44,47.16,44.27,38.98,39.08,43.11,42.87,45.89,42.34,40.91,43.98,43.38,51.15,47.14,45.78,45.78,41.94,40.47,40.79,39.94,41.17,43.00,43.03,46.76,43.91,44.53,45.78,45.57,41.73,40.50,45.41,45.72,47.10,52.45,52.09,52.73,54.28,47.32,53.96,53.78,52.33,47.77,49.86,52.75,53.24,55.03,54.28,57.11,60.19,68.31,54.88,79.49,80.72,71.47,68.40,69.00,66.58,66.76,64.36,65.89,68.51,67.22,70.64,69.92,68.67,68.22,68.96,67.78,61.16,60.63,57.70,56.74,56.93,57.18,77.30,91.23,66.04,99.07,94.71,83.09,78.11,73.49,66.72,66.63,69.28,61.90,59.56,60.29,62.20,72.92
..NATIONAL CAPITAL REGION (NCR),"PECHAY, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
