Region/Province,Commodity,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual
PHILIPPINES,"CARROTS, 1 KG",74.53,69.19,61.55,59.86,58.64,59.88,67.07,71.06,71.54,68.26,64.17,60.51,65.52,58.22,55.37,54.96,56.71,59.38,64.19,64.86,62.25,61.83,63.47,67.70,69.08,61.50,72.01,68.61,64.14,62.22,62.23,69.81,84.37,74.85,70.20,68.23,69.80,68.59,69.59,68.60,62.89,60.19,62.33,61.58,62.26,67.85,72.15,73.79,76.97,84.06,76.07,69.06,71.69,64.66,62.54,65.22,73.94,86.63,91.52,80.96,70.91,69.38,78.27,86.73,75.20,86.75,85.79,80.46,75.44,70.67,69.94,69.96,73.14,84.11,99.44,96.73,89.42,81.82,83.55,76.58,74.49,73.57,71.61,72.11,75.26,85.81,116.61,113.38,96.29,86.30,85.46,81.46,71.82,68.48,75.56,80.28,81.15,90.39,89.35,84.18,84.47,80.73,79.79,80.64,79.69,72.82,71.86,77.01,76.82,76.43,85.87,81.44,77.46,77.96,90.36,106.34,81.17,115.72,107.88,95.08,81.77,75.31,72.44,74.76,89.43,100.37,92.43,103.20,102.58,92.58
PHILIPPINES,"CASSAVA, 1 KG",19.15,19.15,19.21,19.22,19.31,19.19,19.07,19.12,19.21,19.47,19.65,19.64,19.28,19.60,19.66,19.60,19.64,19.65,19.91,20.15,20.16,20.14,19.92,20.14,20.35,19.91,20.73,20.89,20.84,20.65,20.60,20.79,21.04,20.95,20.81,20.79,20.97,21.05,20.84,21.29,20.89,20.90,20.93,21.28,21.46,21.48,21.75,21.87,21.77,21.75,22.00,21.45,22.15,22.29,22.00,21.52,22.08,22.14,21.98,21.79,22.12,22.17,21.91,22.07,22.02,22.55,22.44,22.39,22.43,22.38,22.59,22.34,22.40,22.33,22.80,23.09,23.59,22.61,24.03,24.17,24.28,25.07,25.68,26.47,27.46,27.72,27.88,28.11,27.82,27.61,26.36,27.68,27.86,26.95,27.43,27.69,27.98,27.90,27.81,27.85,27.99,27.96,28.47,27.80,28.50,28.60,28.36,28.89,28.93,28.87,29.17,29.79,29.47,29.83,30.21,30.24,29.24,30.34,29.88,30.23,29.71,29.62,29.28,29.18,29.45,29.89,29.43,29.90,29.92,29.74
PHILIPPINES,"GABI TUBERS, CEBU, 1 KG",24.94,24.96,24.69,24.08,24.33,24.54,24.31,24.31,24.74,24.87,25.37,25.40,24.71,25.52,25.60,25.52,25.71,25.85,26.36,26.61,26.83,27.38,27.90,27.61,27.66,26.55,28.23,28.38,30.82,30.75,31.21,31.64,31.83,32.56,30.65,31.14,30.72,30.98,30.74,31.36,31.39,30.89,30.24,30.18,30.76,31.91,32.68,32.68,33.86,34.87,34.64,32.12,36.32,35.74,35.88,35.64,36.00,36.74,37.77,37.86,39.39,40.94,42.39,42.53,38.10,41.81,42.08,42.56,41.77,41.11,40.88,39.64,39.26,39.70,39.97,41.69,41.01,40.96,41.34,40.79,41.23,41.33,41.09,42.18,41.89,43.52,44.27,45.60,43.90,43.02,42.51,44.16,44.68,45.92,47.31,50.03,51.66,54.94,56.81,57.34,57.83,53.64,54.43,51.56,56.11,55.28,54.45,56.72,56.46,57.73,58.25,59.25,60.08,60.15,61.10,60.48,58.01,59.76,57.70,56.01,55.79,53.89,52.71,53.31,54.79,56.14,55.22,56.86,55.92,55.68
PHILIPPINES,"GABI TUBERS, TAGALOG, 1 KG",36.11,35.58,35.31,34.03,35.87,36.77,36.68,36.50,36.64,35.92,37.13,36.28,36.07,36.80,37.28,36.64,36.74,37.27,37.77,38.26,37.35,37.61,37.96,39.50,40.39,37.80,40.89,40.38,39.48,39.89,39.41,40.61,40.68,40.92,42.24,41.53,42.64,41.03,40.81,42.06,41.19,41.52,40.38,41.30,42.90,43.40,43.71,43.46,43.17,43.46,43.46,42.50,43.78,42.71,41.04,41.09,41.89,41.36,41.78,42.38,44.99,45.11,46.87,45.51,43.21,46.53,46.25,43.49,43.58,43.43,44.97,43.51,44.62,45.99,45.21,44.82,45.94,44.86,46.64,47.19,46.65,47.41,45.98,45.75,46.90,48.68,49.00,46.70,47.38,47.19,47.12,48.08,48.01,48.03,50.12,52.09,54.80,54.68,58.88,59.66,61.42,60.25,61.07,54.76,61.50,61.31,60.96,60.38,61.55,62.21,61.24,62.02,62.05,62.94,64.60,64.75,62.13,66.32,63.80,60.98,60.16,58.89,57.64,57.67,59.97,59.29,59.19,60.04,58.03,60.17
PHILIPPINES,"POTATO, 1 KG",63.04,59.29,56.04,56.55,56.35,56.14,58.34,62.59,64.24,66.13,64.64,61.57,60.41,60.07,58.04,58.40,62.03,65.00,65.26,64.45,63.00,63.15,64.72,68.05,74.67,63.90,82.17,81.89,76.67,72.55,68.06,66.60,65.96,65.49,67.67,67.79,68.21,67.02,70.84,66.03,62.71,60.86,60.39,60.64,60.32,61.40,61.88,62.04,62.97,66.00,69.59,62.90,73.68,75.59,73.97,73.49,73.96,76.19,76.32,74.13,76.20,81.33,90.07,91.20,78.01,87.20,83.48,77.94,74.82,73.70,73.59,72.91,74.56,76.35,78.60,79.86,78.75,77.65,82.34,80.07,78.40,77.21,76.51,76.11,76.69,76.09,78.65,81.65,88.41,85.71,79.82,84.42,79.49,74.74,74.93,76.75,78.41,79.96,80.62,84.97,88.03,90.11,87.63,81.67,86.85,85.31,87.60,96.09,92.61,90.50,86.73,83.14,80.69,79.77,84.46,93.29,87.25,104.62,102.66,91.90,82.84,77.29,72.88,73.24,79.23,81.21,86.01,92.94,93.29,86.51
PHILIPPINES,"POTATO, IRISH (WHITE), 1 KG",62.68,45.48,43.22,48.25,45.30,45.89,50.79,65.00,67.74,73.79,73.22,61.15,56.88,53.82,49.22,47.77,55.75,62.60,64.30,62.02,58.13,64.98,65.54,69.34,74.43,60.66,88.39,86.53,76.89,63.08,55.95,56.79,53.11,55.65,60.20,64.27,63.95,60.49,65.44,56.21,52.17,49.90,48.74,51.29,47.20,46.11,48.41,53.44,52.07,62.19,71.44,53.26,77.82,70.11,66.95,63.38,58.31,60.90,61.80,62.51,67.60,80.91,91.35,97.67,71.61,83.92,67.91,62.04,59.59,60.15,65.04,64.40,69.81,68.53,68.31,69.10,64.58,66.95,76.83,75.49,67.85,69.17,61.12,57.98,66.74,65.24,70.12,74.81,109.77,91.15,73.86,84.19,72.05,66.57,68.22,67.21,70.86,71.16,72.41,84.05,95.64,97.78,79.68,77.49,75.76,78.99,80.84,87.01,82.64,80.13,76.88,73.05,70.47,71.25,78.05,97.19,79.36,109.85,93.68,77.25,70.29,59.30,55.36,52.12,61.44,60.45,67.78,71.08,71.80,70.87
PHILIPPINES,"SWEET POTATO (CAMOTE), 1 KG",24.43,24.27,24.31,24.18,23.47,23.69,23.38,24.33,24.49,24.56,24.76,24.80,24.22,24.91,24.35,23.52,23.71,24.24,24.68,24.98,25.58,26.38,26.84,26.96,26.63,25.23,26.35,26.41,26.73,26.75,26.97,27.19,27.80,29.36,30.43,30.27,30.34,30.31,28.24,31.00,30.98,30.08,30.34,30.72,31.10,32.42,33.56,33.28,33.51,33.35,33.97,32.03,34.40,33.15,32.41,33.34,32.51,32.18,34.28,34.92,35.60,37.05,38.18,38.53,34.71,37.64,37.05,35.63,34.85,34.36,35.62,36.54,37.48,38.27,38.95,39.32,39.61,37.11,41.06,42.24,40.96,39.05,39.93,41.75,42.27,44.20,44.34,45.05,43.85,43.33,42.34,42.70,41.96,40.43,39.99,39.99,40.32,41.51,43.41,44.63,43.80,43.34,43.85,42.16,43.08,42.56,42.42,44.64,44.53,44.25,45.07,44.90,45.37,44.16,43.70,43.41,44.01,43.83,42.91,41.28,40.30,39.69,39.31,40.12,43.63,44.44,44.97,45.10,45.84,42.62
PHILIPPINES,"SWEET POTATO (CAMOTE), NATIVE, 1 KG",39.51,38.57,38.09,37.74,37.10,37.10,37.33,38.37,38.62,38.94,39.73,39.36,38.37,39.68,39.28,39.02,39.13,39.55,40.16,40.47,41.23,41.35,41.38,41.86,42.18,40.44,42.13,42.90,42.13,42.19,41.76,42.47,43.41,44.94,46.16,45.87,46.07,45.58,43.80,45.76,44.94,43.75,44.93,44.08,44.13,45.34,47.17,47.27,47.46,47.83,47.28,45.83,47.71,47.90,47.24,47.52,48.15,48.49,49.62,50.56,51.87,52.21,53.55,53.41,49.85,53.74,53.50,50.87,50.74,50.87,51.13,51.54,53.73,54.68,56.31,57.44,57.08,53.47,57.81,57.68,55.96,56.71,57.49,58.51,56.92,60.88,61.60,61.95,59.35,57.38,58.52,57.45,57.25,55.71,55.61,58.23,58.68,60.43,61.55,62.27,63.27,60.56,60.80,59.32,60.89,59.69,56.46,59.79,60.85,48.01,47.13,46.77,46.68,45.91,46.71,45.65,52.05,45.12,44.25,42.70,41.26,40.87,40.69,41.40,43.37,44.99,46.36,48.71,48.52,44.02
PHILIPPINES,"RADDISH (LABANOS), 1 KG",34.51,33.39,34.11,34.05,34.22,34.91,35.01,39.14,40.29,38.90,37.29,35.94,35.98,36.32,36.32,36.38,37.35,37.41,38.91,38.29,38.08,39.35,41.25,41.94,41.15,38.56,40.04,38.58,37.10,38.27,40.31,43.45,42.71,42.88,42.07,42.43,40.69,40.34,40.74,41.77,40.16,39.02,39.86,42.06,41.49,43.71,44.04,45.22,43.41,43.96,43.19,42.32,44.48,43.99,43.85,44.52,49.40,52.99,52.30,50.38,50.24,50.64,54.34,52.73,49.16,52.32,50.93,47.84,46.28,46.68,48.54,50.58,54.14,53.37,53.63,54.21,55.78,51.19,56.06,51.93,50.18,50.47,51.77,55.36,60.46,63.51,67.95,65.49,60.31,56.34,57.49,56.78,57.38,56.32,61.56,66.79,62.75,60.55,61.06,62.79,62.68,60.39,58.65,60.64,58.57,57.15,56.25,58.82,62.67,64.69,57.98,57.40,59.19,65.28,68.84,73.28,61.68,72.59,63.47,59.91,60.43,59.43,62.46,65.83,75.26,75.70,77.12,68.26,65.34,67.15
PHILIPPINES,"GABI TUBERS, NATIVE, 1 KG",29.84,29.47,29.42,29.55,28.88,28.37,28.48,28.75,28.98,29.03,29.75,29.42,29.16,29.22,29.75,30.19,30.16,30.03,30.33,30.69,30.81,31.95,31.49,32.43,32.63,30.81,32.87,32.83,32.91,33.19,33.75,33.31,34.15,35.40,35.11,35.17,35.63,35.73,34.17,36.64,35.46,34.60,34.80,35.15,35.16,36.23,36.37,36.69,36.92,38.36,38.28,36.22,37.99,38.10,38.15,38.36,39.02,40.35,40.67,41.57,42.21,43.28,45.76,45.04,40.88,43.79,43.13,41.88,41.01,40.57,40.14,39.42,40.89,41.04,40.78,41.15,41.16,41.25,40.88,41.18,40.99,40.26,40.28,40.64,39.88,40.59,41.51,42.43,42.54,42.55,41.14,43.07,42.86,42.50,43.58,44.75,45.85,46.08,48.40,49.20,52.56,51.63,52.06,46.88,53.17,52.46,52.01,53.34,53.79,53.68,52.93,54.40,54.36,55.07,56.23,56.38,53.99,56.02,54.06,51.84,51.68,49.29,48.07,48.57,49.34,49.80,47.96,48.71,47.68,50.25
