Geolocation,Commodity,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December,2022 Annual,2023 January,2023 February,2023 March,2023 April,2023 May,2023 June,2023 July,2023 August,2023 September,2023 October,2023 November,2023 December,2023 Annual,2024 January,2024 February,2024 March,2024 April,2024 May,2024 June,2024 July,2024 August,2024 September,2024 October,2024 November,2024 December,2024 Annual,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December,2025 Annual,2026 January,2026 February,2026 March,2026 April,2026 May,2026 June,2026 July,2026 August,2026 September,2026 October,2026 November,2026 December,2026 Annual
PHILIPPINES,"RAW PEANUT, SHELLED, 1 KG",99.35,99.73,99.88,99.32,99.76,100.82,100.05,100.69,101.75,101.37,101.15,101.07,100.41,100.73,101.52,100.71,101.06,101.31,101.76,102.32,102.80,102.64,102.99,103.15,103.56,102.05,103.46,104.51,103.89,103.96,103.94,103.97,104.04,104.94,104.60,104.17,104.43,103.97,104.16,104.53,104.14,102.19,100.67,101.52,101.69,102.00,102.88,103.33,103.44,103.65,104.33,102.86,104.59,103.68,104.42,104.22,104.97,105.82,107.73,108.60,108.91,109.12,110.04,111.07,106.93,113.18,112.46,113.17,111.97,112.09,112.03,113.55,113.66,114.31,114.49,115.58,116.01,113.54,116.43,117.21,116.84,117.10,117.34,117.95,118.27,119.13,118.19,119.05,119.96,120.86,118.19,121.73,123.84,124.31,122.20,122.24,122.18,122.58,124.11,124.98,124.80,124.63,125.14,123.56,124.41,125.14,126.14,127.55,127.54,.,.,.,.,.,.,.,.
PHILIPPINES,"RAW PEANUT, SHELLED, RED COLOR, NATIVE, 1 KG",107.15,103.91,103.08,104.57,104.44,106.41,109.83,109.79,110.15,109.81,108.54,108.70,107.20,104.97,105.45,104.32,105.45,105.93,105.93,109.40,109.88,111.20,110.32,115.17,114.73,108.56,113.40,114.29,113.80,111.97,111.88,109.24,115.87,117.90,117.02,117.02,116.58,116.58,114.63,116.58,120.57,120.57,120.57,120.13,121.89,117.02,115.91,113.68,113.68,118.13,118.25,118.08,118.25,118.25,119.08,119.08,125.83,132.50,131.83,132.00,132.78,137.75,139.08,138.46,128.74,136.79,136.79,138.13,141.13,141.79,145.63,145.63,145.83,145.83,154.00,157.33,157.54,145.53,157.79,159.04,159.04,160.38,152.79,151.46,151.46,153.46,155.96,156.38,156.38,158.04,156.02,160.04,155.04,155.04,160.04,152.96,152.96,152.96,151.29,152.13,152.13,151.29,150.46,153.86,149.21,149.21,150.46,150.88,149.42,.,.,.,.,.,.,.,.
PHILIPPINES,"RAW PEANUT, UNSHELLED, 1 KG",79.01,78.21,79.07,79.29,79.64,79.98,77.77,79.18,81.61,82.57,83.31,83.03,80.22,82.82,82.75,82.21,83.24,83.78,84.40,85.13,85.20,85.63,85.70,85.30,85.93,84.34,86.94,87.74,85.70,85.83,87.68,87.37,86.13,88.33,87.31,88.92,89.24,89.11,87.53,89.64,89.55,88.23,85.47,87.24,89.25,88.36,89.32,90.59,88.97,90.05,91.71,89.03,90.84,92.39,91.32,91.71,91.07,92.45,94.00,94.92,95.24,95.38,97.12,97.04,93.62,96.87,96.65,98.03,97.99,98.33,98.85,98.80,99.58,99.87,100.18,102.05,102.60,99.15,102.26,104.10,103.51,103.11,103.27,104.18,104.88,106.92,108.31,109.02,110.42,110.97,105.91,111.43,112.11,112.63,112.70,112.80,112.87,112.69,113.68,114.37,114.38,114.97,115.77,113.37,115.86,113.95,114.24,112.80,113.34,.,.,.,.,.,.,.,.
PHILIPPINES,"RAW PEANUT, WITHOUT SHELL, 1 KG",94.88,94.88,95.96,96.62,90.80,92.73,93.42,90.89,91.41,92.59,91.52,99.56,93.77,95.52,97.26,97.06,92.27,92.42,93.79,95.99,95.40,96.80,95.84,95.58,96.92,95.41,95.59,94.02,94.00,93.45,93.04,91.98,91.22,92.15,93.20,92.71,92.22,90.81,92.87,90.17,90.42,92.19,92.35,92.72,93.41,92.81,90.11,92.53,94.70,94.70,95.54,92.64,96.44,105.96,104.33,104.56,105.72,109.31,107.46,107.38,108.21,109.29,106.29,112.75,106.47,114.21,118.63,117.29,113.75,111.83,110.42,113.04,114.54,115.92,116.75,119.58,114.82,115.07,114.88,118.00,121.00,121.42,121.42,121.42,121.75,121.75,122.58,122.25,121.71,121.29,120.79,121.71,120.88,121.50,120.75,121.08,122.42,118.75,118.33,124.33,122.33,119.33,119.00,120.87,117.02,116.46,116.74,118.13,117.50,.,.,.,.,.,.,.,.
PHILIPPINES,"STRING BEANS, 1 KG",53.04,56.13,54.72,52.06,51.45,53.21,52.48,53.07,54.16,56.14,57.86,57.30,54.30,60.24,62.66,61.48,64.41,62.81,60.24,59.42,58.11,59.52,58.21,60.88,62.86,60.90,61.38,62.24,62.94,63.78,63.45,62.18,55.78,51.51,51.72,54.28,65.32,70.18,60.40,75.26,73.42,66.91,61.89,58.71,61.03,58.26,62.32,62.27,61.82,60.74,65.42,64.00,80.84,77.49,73.66,67.36,65.11,69.72,68.67,63.70,61.36,64.14,74.66,87.78,82.91,89.88,102.21,97.60,86.90,83.36,79.76,77.39,85.49,89.83,85.39,78.37,80.78,86.42,87.52,90.33,91.30,88.61,93.37,100.26,96.06,82.77,76.25,83.26,96.09,99.35,90.43,101.25,90.94,93.46,85.18,86.96,90.49,91.37,98.97,95.75,91.58,95.11,117.21,94.86,114.21,111.15,117.16,102.17,101.96,.,.,.,.,.,.,.,.
PHILIPPINES,"BAGUIO BEANS, 1 KG",81.60,78.07,71.70,69.65,70.40,73.06,77.39,77.76,81.61,97.37,86.85,79.51,78.75,78.42,76.16,74.21,78.19,86.98,82.84,76.77,78.64,86.16,85.37,82.34,80.84,80.58,78.76,75.76,76.01,80.86,80.49,86.33,71.60,67.80,73.04,87.36,101.06,112.17,82.60,111.76,93.41,82.91,79.60,77.37,91.33,85.47,88.92,87.84,87.93,100.78,93.80,90.09,102.49,93.53,89.68,86.20,86.57,101.32,106.54,95.78,95.45,103.97,114.28,117.38,101.63,114.57,118.57,112.58,101.44,102.00,106.39,103.18,123.75,142.56,110.39,105.66,107.16,112.36,113.85,106.81,104.26,101.61,123.92,139.97,126.25,111.12,120.67,144.23,145.96,157.86,124.71,137.90,111.38,121.11,110.64,108.94,114.26,115.51,137.29,133.33,128.68,146.89,220.86,132.23,158.68,122.14,130.32,121.23,124.21,.,.,.,.,.,.,.,.
PHILIPPINES,"MONGGO, GREEN, 1 KG",91.96,92.49,91.17,90.72,90.82,91.09,90.21,90.06,89.53,89.95,89.52,89.05,90.55,89.62,89.33,89.99,90.70,89.89,88.59,87.47,87.92,88.76,89.36,89.65,90.03,89.28,90.96,90.52,90.64,93.84,95.17,94.13,94.55,94.99,93.66,93.89,94.30,95.84,93.54,96.75,97.56,99.52,99.26,98.38,97.18,98.05,99.74,100.66,100.82,101.16,101.88,99.25,103.41,102.92,101.90,101.54,101.73,101.28,102.30,102.52,102.70,103.67,104.69,105.23,102.83,105.56,104.45,103.84,103.98,103.54,103.69,104.11,105.06,105.26,105.39,105.30,105.06,104.60,104.90,105.47,104.86,104.16,104.38,104.16,104.73,104.66,104.57,104.59,105.48,105.17,104.76,105.70,105.57,107.81,107.70,107.67,108.81,108.65,110.08,111.21,112.58,114.26,116.65,109.73,117.38,120.30,121.28,123.16,123.83,.,.,.,.,.,.,.,.
..NCR - National Capital Region,"RAW PEANUT, SHELLED, 1 KG",91.19,85.99,85.29,82.94,81.89,84.82,83.47,83.93,84.58,83.05,81.51,83.05,84.31,83.58,82.62,83.54,83.80,84.72,87.08,87.12,85.71,87.08,87.70,91.39,94.89,86.60,91.05,90.29,92.87,92.86,92.23,92.03,91.35,91.89,92.92,98.18,97.57,97.25,93.37,98.47,97.88,93.20,92.96,89.89,88.44,89.81,93.78,89.81,96.14,100.18,101.04,94.30,100.35,99.88,99.78,98.43,94.88,95.16,97.48,99.66,99.78,104.25,107.43,108.65,100.48,111.22,113.49,114.20,114.10,115.43,116.71,116.86,117.54,118.73,119.70,121.12,125.57,117.06,125.86,127.23,125.34,124.68,122.31,122.79,123.76,125.01,124.94,125.59,128.13,128.69,125.36,130.60,130.51,123.05,121.35,120.98,121.96,123.70,129.19,131.27,131.69,134.08,136.04,127.87,128.93,130.38,132.40,131.31,129.76,.,.,.,.,.,.,.,.
..NCR - National Capital Region,"RAW PEANUT, SHELLED, RED COLOR, NATIVE, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.
..NCR - National Capital Region,"RAW PEANUT, UNSHELLED, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.
