Geolocation,Commodity,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December,2022 Annual,2023 January,2023 February,2023 March,2023 April,2023 May,2023 June,2023 July,2023 August,2023 September,2023 October,2023 November,2023 December,2023 Annual,2024 January,2024 February,2024 March,2024 April,2024 May,2024 June,2024 July,2024 August,2024 September,2024 October,2024 November,2024 December,2024 Annual,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December,2025 Annual,2026 January,2026 February,2026 March,2026 April,2026 May,2026 June,2026 July,2026 August,2026 September,2026 October,2026 November,2026 December,2026 Annual
PHILIPPINES,"FRESH FRUIT, AVOCADO, 1 KG",63.90,64.39,64.76,65.90,61.50,57.90,56.70,59.06,60.13,61.46,64.58,64.32,62.05,65.91,66.69,65.55,66.02,68.24,67.59,64.45,62.46,66.04,69.49,71.25,71.34,67.09,73.62,76.44,74.82,77.47,81.86,78.74,72.84,71.26,75.26,78.15,79.35,80.56,76.70,87.91,89.93,87.12,85.64,80.24,77.67,74.76,70.64,74.92,78.39,81.12,85.53,81.16,91.57,93.09,93.19,92.53,94.21,93.97,87.31,84.05,88.94,92.66,98.53,101.89,92.66,112.74,111.70,108.67,113.04,106.33,99.13,94.19,89.93,95.73,103.63,113.02,118.29,105.53,118.95,117.84,114.71,116.55,117.87,115.13,107.27,102.63,114.32,123.82,128.70,135.60,117.78,137.09,137.27,143.26,137.81,132.84,129.08,116.78,114.71,127.01,136.74,144.23,152.42,134.10,154.40,156.86,151.54,147.42,139.56,.,.,.,.,.,.,.,.
PHILIPPINES,"FRESH FRUIT, BANANA, CARDAVA, MEDIUM, 1 KG",25.86,25.68,23.81,25.15,23.92,21.98,23.32,24.79,23.61,23.65,23.76,23.48,24.08,23.85,23.85,25.92,26.96,27.08,29.17,27.60,28.41,28.25,28.46,28.33,30.02,27.33,31.09,29.26,28.50,31.95,32.20,33.41,35.31,35.59,35.38,34.43,33.57,29.93,32.55,29.26,28.71,27.90,27.48,27.32,27.25,27.67,27.82,26.37,27.18,25.94,26.02,27.41,26.46,28.57,28.35,27.69,30.09,27.32,25.59,25.90,26.78,26.11,26.58,25.76,27.10,25.44,24.49,23.99,26.32,27.49,28.14,28.06,28.14,28.29,32.14,31.06,31.90,27.96,31.77,29.85,29.79,30.21,30.50,31.63,32.23,31.44,30.52,30.88,28.95,29.41,30.60,28.73,28.37,28.63,29.75,29.79,29.24,29.22,28.40,28.90,28.18,27.88,28.12,28.77,27.38,27.35,31.06,33.00,34.09,.,.,.,.,.,.,.,.
PHILIPPINES,"FRESH FRUIT, BANANA, LAKATAN, MEDIUM, 1 KG",52.06,51.80,52.50,52.73,52.67,52.72,51.21,51.25,51.59,51.48,52.23,52.69,52.08,53.23,53.58,54.66,55.60,57.02,57.12,57.78,58.46,58.25,59.20,59.55,60.22,57.06,61.15,61.44,63.83,70.68,73.66,73.04,72.32,72.53,71.99,71.20,71.23,71.21,69.52,71.27,69.69,69.23,69.18,68.17,66.99,65.88,65.25,64.01,63.55,62.84,61.82,66.49,63.63,63.58,63.39,62.93,62.74,62.26,61.61,61.30,60.92,60.76,61.07,63.53,62.52,69.08,72.30,73.67,75.48,75.52,74.85,74.09,74.35,74.18,75.48,78.17,80.09,74.77,83.62,84.39,85.45,86.44,85.55,84.72,84.47,86.02,86.86,87.69,88.19,88.59,86.00,91.02,91.91,93.14,93.48,94.35,93.14,90.86,89.63,88.56,87.14,86.65,88.50,90.70,89.80,90.36,90.75,92.10,91.33,.,.,.,.,.,.,.,.
PHILIPPINES,"FRESH FRUIT, BANANA, LATUNDAN, MEDIUM, 1 KG",36.55,36.49,36.77,36.66,36.71,36.47,35.92,35.67,35.28,35.53,35.62,35.48,36.10,35.87,36.01,37.09,37.70,38.37,39.30,39.44,39.89,39.25,39.72,39.63,39.68,38.50,40.58,41.57,43.15,47.62,48.56,47.85,46.51,46.55,46.93,46.10,46.08,45.92,45.62,46.15,46.26,46.07,46.37,45.51,45.14,44.82,44.45,43.86,43.90,43.40,43.22,44.93,44.37,44.07,44.36,43.71,44.07,43.87,43.97,43.39,42.91,42.80,43.17,43.63,43.34,45.23,45.50,46.52,46.50,47.02,46.79,46.18,46.49,46.71,46.83,47.57,47.70,46.59,48.90,48.99,49.59,50.40,50.01,49.75,49.85,50.59,51.08,50.90,50.47,51.18,50.14,51.75,52.94,54.17,54.61,55.20,54.96,54.92,54.49,53.69,54.04,53.98,55.13,54.16,56.15,56.43,58.35,59.80,59.74,.,.,.,.,.,.,.,.
PHILIPPINES,"FRESH FRUIT, BANANA, SABA, MEDIUM, 1 KG",32.33,32.20,32.13,32.53,32.35,32.18,31.11,30.42,30.64,30.25,29.62,29.54,31.28,29.60,30.49,31.34,32.12,32.17,32.36,32.74,32.73,33.13,32.96,32.48,32.51,32.05,33.39,34.84,35.26,40.34,39.43,38.99,39.34,40.04,39.53,39.46,39.90,39.88,38.37,40.26,39.99,40.20,40.33,39.98,39.54,38.99,38.67,38.97,39.04,39.27,38.81,39.51,38.82,38.81,38.46,38.32,38.39,37.28,37.48,36.57,36.27,35.29,35.11,35.26,37.17,36.72,35.71,36.47,37.64,37.44,36.82,36.22,36.23,36.21,36.76,37.03,36.55,36.65,36.84,36.92,36.87,37.60,37.18,37.38,36.94,37.39,37.38,37.69,37.73,37.94,37.32,38.43,39.55,40.83,41.32,41.97,42.36,42.72,43.27,42.56,41.77,41.92,42.63,41.61,45.20,46.02,47.23,49.94,51.32,.,.,.,.,.,.,.,.
PHILIPPINES,"FRESH FRUIT, GUAVA, BAYABAS, 1 KG",58.24,58.83,57.14,56.95,56.32,63.74,63.02,62.65,64.79,65.51,59.45,59.50,60.51,59.82,61.07,61.71,59.85,57.70,58.76,56.93,60.09,57.38,55.66,56.20,57.62,58.57,61.62,62.34,64.90,64.41,65.02,63.62,62.81,61.57,62.58,61.71,61.04,61.08,62.73,61.07,61.02,60.96,61.21,61.30,62.33,60.70,61.02,61.26,60.07,59.98,62.74,61.14,65.87,65.30,65.54,66.65,66.99,64.91,64.27,62.58,64.10,65.92,70.17,74.28,66.38,78.85,78.11,78.49,78.06,79.08,79.56,76.92,75.21,76.31,78.34,80.58,83.69,78.60,92.47,89.41,85.28,87.70,85.00,85.41,86.69,85.49,85.46,84.77,80.17,83.77,85.97,93.25,97.78,97.73,94.62,94.85,93.17,89.20,87.84,88.90,88.82,90.86,91.92,92.41,96.17,98.26,100.83,101.06,98.51,.,.,.,.,.,.,.,.
PHILIPPINES,"FRESH FRUIT, MANGO, CEBU, RIPE, MEDIUM, 1 KG",111.76,113.00,109.86,112.21,101.44,92.46,81.17,87.57,93.16,88.50,84.08,84.72,96.66,83.61,83.57,88.72,93.82,92.64,78.76,81.16,102.04,112.70,124.47,102.38,101.49,95.45,99.22,99.39,103.84,103.28,95.70,92.56,90.41,93.00,108.04,108.29,103.31,100.51,99.80,128.18,116.33,110.52,118.85,99.50,92.63,101.08,101.84,106.03,101.86,103.08,109.33,107.44,107.42,108.01,107.48,105.47,102.73,108.97,114.34,120.45,119.43,118.08,121.28,118.48,112.68,120.96,121.68,118.24,120.76,115.25,108.77,110.29,117.38,129.56,135.51,123.37,126.11,120.66,128.94,122.97,129.75,128.81,121.22,109.46,106.03,121.82,156.31,164.59,133.40,139.60,130.24,140.32,133.94,133.66,132.23,128.98,126.19,122.35,129.01,128.11,127.23,127.81,131.93,130.15,131.92,135.51,132.70,128.09,118.26,.,.,.,.,.,.,.,.
PHILIPPINES,"FRESH FRUIT, MANGO, INDIAN, MEDIUM, 1 KG",67.71,73.76,75.53,75.63,70.80,66.17,64.06,61.72,63.83,62.32,63.15,64.15,67.40,62.90,62.20,64.07,62.93,61.24,57.57,57.54,59.30,60.26,62.80,61.93,61.19,61.16,50.98,52.20,56.29,58.43,52.01,45.57,42.44,44.14,46.58,46.82,48.05,48.33,49.32,49.48,54.53,52.18,52.13,45.27,40.73,38.20,39.59,40.63,42.24,41.55,45.36,45.16,49.13,50.23,49.14,43.15,42.20,42.72,44.09,44.17,47.24,48.56,51.20,52.05,46.99,52.72,53.52,55.79,55.18,53.61,48.26,45.23,46.94,48.69,51.91,56.90,59.55,52.36,59.63,61.39,60.21,59.21,51.26,44.12,41.30,44.78,50.64,51.16,58.40,60.70,53.57,65.36,65.93,63.11,61.99,59.26,59.59,59.90,59.34,62.75,66.13,68.32,71.84,63.63,81.03,80.84,74.30,73.11,66.11,.,.,.,.,.,.,.,.
PHILIPPINES,"FRESH FRUIT, MANGO, KALABAW, RIPE, MEDIUM, 1 KG",140.22,143.42,141.94,139.72,128.68,110.37,112.10,113.99,118.02,117.96,122.21,126.61,126.27,125.31,123.16,123.77,124.22,119.50,103.53,105.08,127.35,134.16,151.97,151.35,146.47,127.99,146.93,146.72,150.43,144.00,131.28,117.25,119.03,121.22,132.57,142.23,145.45,146.44,136.96,175.91,171.98,156.40,152.54,136.33,123.03,123.15,128.99,131.28,130.60,133.95,140.65,142.07,148.74,147.12,139.46,129.04,120.44,130.85,142.82,151.18,154.59,157.09,163.40,162.23,145.58,165.86,162.39,157.46,152.60,143.10,132.34,131.29,146.62,163.07,173.65,171.14,170.08,155.80,173.84,163.71,158.84,148.36,134.23,117.34,126.46,144.79,183.75,207.68,179.27,181.90,160.01,189.94,175.47,164.97,152.75,144.98,143.38,151.12,158.29,166.15,168.15,169.80,175.09,163.34,180.87,176.84,172.44,160.79,152.15,.,.,.,.,.,.,.,.
PHILIPPINES,"FRESH FRUIT, MANGO, NATIVE, MEDIUM, 1 KG",75.91,78.99,74.99,72.07,70.02,61.45,63.70,63.78,68.47,74.25,77.06,98.61,73.27,102.35,91.52,82.43,79.12,75.81,63.95,64.80,71.97,78.12,78.57,83.77,89.36,80.15,84.15,78.57,84.73,81.96,74.54,57.50,57.32,82.64,89.05,80.86,84.19,89.28,78.73,103.61,95.41,92.55,92.27,74.03,70.80,91.92,94.31,94.03,99.44,106.53,108.75,93.64,106.81,99.72,94.58,83.47,74.44,78.75,96.39,114.44,114.31,122.78,126.39,135.56,103.97,128.61,114.44,118.06,112.64,89.93,64.24,67.43,92.43,113.27,126.60,133.54,133.54,107.90,146.88,130.90,119.86,100.14,83.27,61.46,66.11,85.42,110.97,143.61,152.15,150.77,112.63,169.65,151.60,125.69,105.83,102.64,99.72,105.00,120.56,125.83,127.36,130.28,136.25,125.04,144.86,130.69,120.28,99.03,79.86,.,.,.,.,.,.,.,.
