Geolocation,Commodity,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December,2022 Annual,2023 January,2023 February,2023 March,2023 April,2023 May,2023 June,2023 July,2023 August,2023 September,2023 October,2023 November,2023 December,2023 Annual,2024 January,2024 February,2024 March,2024 April,2024 May,2024 June,2024 July,2024 August,2024 September,2024 October,2024 November,2024 December,2024 Annual,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December,2025 Annual,2026 January,2026 February,2026 March,2026 April,2026 May,2026 June,2026 July,2026 August,2026 September,2026 October,2026 November,2026 December,2026 Annual
PHILIPPINES,"CABBAGE, 1 KG",73.71,69.06,67.27,66.78,65.81,75.30,80.03,83.46,103.20,105.43,95.46,82.60,80.68,77.11,70.60,68.74,69.63,80.49,83.03,76.89,72.17,73.89,81.05,79.81,74.60,75.67,70.69,65.80,63.87,73.51,82.84,85.10,78.14,69.50,65.10,65.41,76.97,102.11,74.92,124.53,116.00,87.71,71.78,65.64,63.84,76.79,94.69,105.94,102.95,98.07,85.50,91.12,86.81,75.58,67.05,68.87,73.52,75.57,76.77,75.79,77.56,82.11,91.88,105.84,81.76,98.95,88.91,80.53,75.74,74.35,75.76,96.24,110.46,107.74,111.82,102.48,86.63,92.47,78.69,73.88,74.26,76.04,86.89,90.87,92.54,83.10,76.37,84.88,111.18,107.79,86.37,100.61,90.58,81.23,80.18,90.90,90.56,97.98,120.64,110.64,102.21,98.73,106.27,97.54,104.14,96.09,89.83,86.40,82.91,.,.,.,.,.,.,.,.
PHILIPPINES,"CAULIFLOWER, 1 KG",93.57,86.96,89.85,93.31,93.26,96.74,99.72,110.44,157.13,157.48,153.86,131.27,113.63,121.10,116.84,118.90,117.14,126.43,120.48,120.77,113.77,110.52,122.53,125.09,118.20,119.31,97.64,89.33,78.92,90.06,94.17,102.71,100.89,97.05,108.96,110.77,123.47,111.58,100.46,117.24,93.28,79.99,82.24,87.27,106.36,149.64,160.63,189.16,190.92,185.45,179.83,135.17,141.26,115.34,129.47,128.89,133.58,155.11,162.72,174.63,205.21,202.59,211.25,193.54,162.80,172.71,139.50,137.58,129.08,139.30,150.01,184.28,209.44,240.74,256.55,239.60,194.54,182.78,160.83,132.11,115.23,118.54,124.07,144.56,163.21,180.87,197.74,246.04,256.70,260.56,175.04,211.22,151.93,139.37,141.09,147.51,164.37,182.11,228.06,239.30,257.09,233.31,235.70,194.25,200.71,156.12,152.47,155.29,145.50,.,.,.,.,.,.,.,.
PHILIPPINES,"BANANA BLOSSOM (PUSO NG SAGING), 1 KG",24.16,23.44,25.75,28.16,26.85,28.51,28.41,30.64,32.74,30.55,30.80,32.98,28.58,32.12,33.14,33.22,33.83,33.78,33.03,33.49,29.67,30.16,28.07,28.44,30.95,31.66,31.63,32.27,32.78,33.09,32.30,33.17,31.79,30.38,28.68,28.19,28.71,35.22,31.52,37.59,37.91,35.90,35.44,33.63,37.88,37.00,36.79,33.98,31.64,33.98,38.01,35.81,35.19,36.02,38.13,38.36,38.44,39.06,37.74,38.54,30.56,38.24,38.71,39.02,37.34,38.87,35.71,34.62,36.27,39.09,39.33,39.22,40.55,40.15,31.30,30.07,28.62,36.15,28.94,32.12,33.16,37.82,36.19,36.41,35.14,35.10,35.11,34.42,34.74,35.83,34.58,37.56,36.51,38.08,38.50,35.92,35.71,33.52,35.71,38.20,38.73,36.00,46.67,37.59,46.56,45.63,44.38,47.50,50.00,.,.,.,.,.,.,.,.
PHILIPPINES,"ALUGBATI, 1 KG",49.79,49.44,50.38,49.00,50.14,50.41,52.74,52.07,51.88,51.54,52.95,53.23,51.13,53.38,55.44,54.49,55.30,53.93,52.82,50.92,50.77,50.76,51.12,50.79,52.11,52.65,54.97,54.38,55.51,56.99,58.26,57.40,55.85,54.14,52.71,53.08,55.92,58.21,55.62,60.31,68.69,68.94,66.42,60.66,59.60,56.07,52.97,51.49,52.72,51.98,54.53,58.70,71.29,61.11,59.38,56.09,54.86,53.94,54.64,53.72,54.40,55.07,59.14,59.15,57.73,59.83,75.98,72.70,66.03,64.03,60.39,54.29,54.35,55.20,53.45,55.69,61.08,61.09,62.50,65.91,59.89,65.03,73.89,72.52,65.19,63.02,57.95,58.78,60.59,62.65,63.99,67.17,72.49,72.98,66.97,66.95,65.44,68.36,74.88,72.08,71.49,82.51,91.74,72.76,90.08,94.23,95.20,88.17,88.20,.,.,.,.,.,.,.,.
PHILIPPINES,"CAMOTE TOPS, 1 KG",32.01,31.99,32.27,33.70,32.43,32.41,35.58,34.82,35.34,35.67,35.93,35.93,34.01,35.58,36.04,35.50,35.48,35.45,34.64,34.59,34.34,34.04,34.24,34.36,33.86,34.84,35.77,34.57,35.80,34.85,34.30,36.14,37.30,37.28,37.13,37.01,36.74,37.55,36.20,37.94,36.99,35.06,33.92,35.29,37.32,39.29,36.30,38.45,38.22,41.31,38.92,37.42,43.05,41.28,40.04,41.25,39.30,39.03,38.97,40.58,39.88,40.24,42.01,41.72,40.61,42.22,43.42,42.35,40.99,43.82,43.15,42.82,43.27,45.89,46.00,45.65,45.79,43.78,44.85,44.99,45.43,47.00,58.36,60.33,50.32,51.19,48.49,48.63,49.59,47.86,49.75,48.65,48.47,48.39,46.79,47.95,48.18,50.11,53.34,54.70,57.15,58.95,63.33,52.17,63.53,64.18,62.13,61.83,63.75,.,.,.,.,.,.,.,.
PHILIPPINES,"CHAYOTE LEAVES, 1 KG",34.99,33.12,32.38,31.47,33.31,30.81,29.22,32.10,38.65,37.90,39.33,32.68,33.83,33.56,33.56,35.15,37.02,37.46,35.40,34.47,34.00,37.74,34.93,31.66,30.01,34.58,29.79,32.13,32.79,33.51,32.63,32.79,32.35,32.35,32.57,32.32,32.54,38.06,32.82,37.32,36.82,34.87,31.60,31.82,33.25,36.31,36.16,41.66,44.32,39.88,39.13,36.93,39.51,42.00,41.97,41.95,42.34,42.07,41.45,41.91,42.09,42.21,44.13,45.77,42.28,45.65,48.11,49.92,48.94,46.61,45.92,45.64,47.68,49.07,49.14,47.42,48.65,47.73,44.27,46.14,44.95,48.96,48.27,47.49,48.04,46.42,46.53,47.43,50.10,49.07,47.31,48.78,48.09,48.67,48.75,47.91,47.39,47.96,50.39,50.75,49.57,49.47,50.51,49.02,45.69,46.81,48.19,47.06,48.22,.,.,.,.,.,.,.,.
PHILIPPINES,"GABI LEAVES, 1 KG",76.57,77.64,73.82,73.69,72.99,73.34,74.01,73.41,72.54,70.84,70.19,70.02,73.26,70.77,68.57,66.24,67.06,68.69,71.17,72.24,71.96,71.34,71.06,68.60,72.57,70.02,74.90,73.47,72.41,74.14,73.60,73.80,76.57,76.62,78.20,75.82,77.20,80.12,75.57,81.98,83.14,81.17,79.29,79.24,79.81,79.24,78.70,81.15,80.82,81.01,82.44,80.67,87.10,87.46,87.59,86.48,87.11,87.65,86.97,87.81,82.76,85.59,87.50,87.45,86.79,90.90,92.09,89.04,87.85,88.97,83.38,83.98,84.22,84.05,83.52,84.01,85.83,86.49,87.75,89.42,88.32,87.90,89.05,91.73,91.43,93.03,94.58,95.37,94.83,96.44,91.65,99.98,99.96,98.58,97.89,96.40,96.65,97.01,97.83,98.06,98.28,98.27,98.94,98.16,100.96,101.58,101.21,101.90,100.81,.,.,.,.,.,.,.,.
PHILIPPINES,"KANGKONG, 1 KG",29.16,29.47,29.76,31.63,31.90,31.92,33.35,33.86,34.11,33.93,33.76,34.15,32.25,34.75,34.99,33.42,32.79,33.28,33.71,34.06,33.89,33.71,33.57,33.41,33.77,33.78,33.55,34.30,34.75,35.07,35.44,35.91,36.31,35.78,35.62,35.39,36.87,37.36,35.53,37.74,38.03,39.56,38.56,36.78,38.10,40.04,39.47,40.18,39.18,41.18,42.03,39.24,47.13,45.24,42.45,42.29,42.61,42.53,42.88,42.87,43.08,43.50,48.03,49.16,44.32,47.88,53.82,51.41,49.48,46.89,48.25,45.10,46.34,46.08,45.26,47.21,50.99,48.23,49.80,51.23,50.45,51.89,62.07,61.75,50.89,53.40,51.59,50.15,50.68,53.46,53.12,56.89,59.83,57.79,54.36,53.85,54.10,57.53,62.18,60.53,60.13,65.93,75.23,59.86,68.91,69.50,69.96,69.31,70.97,.,.,.,.,.,.,.,.
PHILIPPINES,"MALUNGGAY, 1 KG",49.91,49.91,50.28,54.11,53.73,53.54,51.30,48.98,50.52,47.55,49.97,51.83,50.97,52.02,52.23,53.02,53.58,52.30,53.01,51.53,50.97,43.59,42.70,43.81,44.49,49.44,46.24,46.05,46.78,44.57,47.56,47.66,46.94,44.73,40.22,41.69,42.81,42.90,44.85,44.79,47.59,46.88,45.57,45.99,45.10,42.63,42.79,43.85,44.83,47.08,48.16,45.44,51.04,50.38,48.92,47.54,47.96,46.29,47.75,48.98,49.27,48.23,52.28,52.44,49.26,55.84,60.26,59.78,60.76,59.05,58.45,58.85,58.02,58.75,58.65,59.90,61.25,59.13,59.13,55.34,53.94,54.88,57.43,55.92,56.62,61.06,59.27,58.63,56.20,59.41,57.32,57.23,56.72,55.21,58.69,56.81,56.81,56.23,58.26,59.02,62.31,61.60,62.44,58.45,63.81,63.10,65.40,67.63,65.79,.,.,.,.,.,.,.,.
PHILIPPINES,"PECHAY, CHINESE, 1 KG",63.01,61.24,58.19,54.46,57.26,64.38,64.17,66.97,75.29,75.70,68.90,69.87,64.95,64.89,66.41,66.79,67.56,71.54,74.99,65.12,67.66,66.87,72.64,66.81,64.47,67.98,59.15,58.11,62.38,68.97,68.59,64.06,58.43,52.69,54.25,56.75,66.56,78.05,62.33,83.45,76.42,67.26,57.52,57.43,52.86,57.32,67.39,78.65,68.76,65.73,66.59,66.62,71.95,66.95,62.69,59.43,65.65,66.41,66.21,63.66,64.18,67.10,72.13,79.89,67.19,77.31,74.86,70.93,68.53,66.80,66.86,75.20,84.26,88.73,89.14,81.23,72.14,76.33,68.00,66.29,64.10,64.93,76.62,87.35,86.28,76.95,72.29,80.06,98.64,91.69,77.77,82.21,78.82,76.43,73.95,72.42,76.64,80.35,93.67,87.78,81.78,83.25,93.79,81.76,95.44,90.16,91.91,84.37,82.95,.,.,.,.,.,.,.,.
