Geolocation,Commodity,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December,2022 Annual,2023 January,2023 February,2023 March,2023 April,2023 May,2023 June,2023 July,2023 August,2023 September,2023 October,2023 November,2023 December,2023 Annual,2024 January,2024 February,2024 March,2024 April,2024 May,2024 June,2024 July,2024 August,2024 September,2024 October,2024 November,2024 December,2024 Annual,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December,2025 Annual
PHILIPPINES,"GARLIC, IMPORTED, 1 KG",128.67,124.13,122.75,115.82,113.30,112.02,108.79,105.96,107.40,105.86,103.05,99.94,112.31,99.87,99.08,101.12,108.20,115.45,131.24,135.78,137.80,136.66,134.97,132.73,138.65,122.63,138.59,167.25,171.36,175.04,172.51,151.40,133.89,124.10,126.22,125.40,124.30,128.47,144.88,127.64,125.29,127.90,125.54,122.77,119.21,122.03,124.01,127.14,127.99,129.85,131.35,125.89,135.06,129.29,125.14,122.04,121.94,121.51,121.07,122.87,124.96,126.03,127.56,129.60,127.51,126.51,124.52,122.86,119.73,128.80,138.79,147.80,154.05,154.48,153.08,153.95,156.42,140.08,157.44,156.36,155.84,157.32,160.41,163.25,162.03,159.30,156.26,157.68,161.54,162.96,159.20,166.49,166.36,165.38,162.53,163.21,162.43,161.80,162.88,162.46,159.59,161.30,167.12,163.46
PHILIPPINES,"GARLIC, LOCAL, 1 KG",142.90,140.83,141.16,136.56,138.73,136.87,120.28,121.60,110.83,112.60,111.00,111.40,127.07,109.27,110.93,114.79,121.37,117.88,118.11,126.87,133.11,126.39,118.34,123.33,128.26,120.72,130.57,165.61,155.03,154.24,153.63,138.54,123.39,120.92,124.58,124.12,128.44,126.45,137.13,123.97,127.70,127.16,125.87,119.23,115.02,112.34,112.10,120.34,119.92,123.36,125.28,121.02,130.27,131.95,126.04,124.14,120.84,119.73,118.43,122.48,124.62,125.09,129.11,131.26,125.93,128.97,120.13,118.55,116.06,123.32,131.26,140.19,145.86,144.44,143.42,146.57,149.09,133.99,149.49,153.64,151.12,147.48,149.69,155.78,153.52,153.53,150.78,149.53,155.01,159.58,152.43,160.23,158.30,161.08,157.51,156.94,158.96,155.51,157.69,157.13,154.75,152.07,158.83,157.42
PHILIPPINES,"GARLIC, NATIVE, 1 KG",160.14,150.44,150.65,148.84,146.02,141.99,141.60,143.43,143.82,144.01,138.81,137.56,145.61,139.67,136.66,136.97,134.67,135.73,142.29,143.76,143.33,142.95,141.78,141.48,146.53,140.49,151.87,169.32,172.38,173.08,173.49,163.28,153.21,148.53,147.42,149.09,149.74,154.20,158.80,159.04,158.04,153.43,150.09,147.71,146.21,146.92,148.93,151.69,149.39,151.02,153.39,151.32,157.72,153.91,148.39,147.33,145.17,145.68,145.54,145.21,145.32,150.39,149.85,157.28,152.79,158.11,156.60,151.48,149.05,148.88,156.33,160.94,164.63,167.46,168.99,169.95,170.83,160.27,172.29,171.54,170.13,169.84,170.16,172.80,174.12,173.86,171.91,171.48,173.53,176.22,172.32,179.07,180.65,181.76,177.38,178.21,177.65,176.17,179.71,181.31,179.44,180.49,186.75,179.88
PHILIPPINES,"ONION RED CREOLE (BERMUDA RED), 1 KG",132.61,118.72,105.79,101.92,102.67,107.26,113.20,117.80,124.18,117.48,111.44,109.47,113.55,109.24,106.26,100.47,94.11,89.26,87.94,89.25,89.90,91.33,93.25,108.16,153.77,101.08,194.46,164.18,131.96,128.45,126.61,124.26,122.18,121.29,136.33,161.90,183.01,188.52,148.60,162.44,144.21,150.92,134.46,129.38,127.03,133.40,135.34,138.70,144.61,157.81,181.58,144.99,218.67,164.15,130.44,111.56,108.98,115.00,120.71,142.52,149.59,200.08,232.03,307.21,178.97,468.06,344.36,220.31,164.26,187.47,199.66,201.98,203.96,196.20,185.86,184.32,205.94,230.20,194.53,168.00,138.59,126.07,121.18,127.62,129.93,129.67,127.37,126.63,127.58,129.83,137.25,148.83,165.02,170.43,145.12,145.85,150.92,154.94,168.59,174.15,172.94,181.10,238.13,168.00
PHILIPPINES,"ONION WHITE (YELLOW GRANEX), 1 KG",79.57,82.17,78.36,76.99,74.23,77.48,84.99,95.37,98.29,91.64,87.11,84.15,84.19,90.49,86.25,77.57,77.70,77.31,81.15,79.23,89.48,102.37,114.73,107.57,121.65,92.12,131.92,127.11,105.03,107.58,103.53,106.16,103.78,104.81,112.04,127.83,135.89,134.96,116.72,126.45,115.15,109.04,104.23,101.58,103.13,102.13,101.75,108.99,106.46,112.02,108.42,108.28,116.66,111.46,94.34,88.90,97.04,105.65,115.80,170.04,239.79,266.22,254.42,278.25,161.55,367.73,272.03,182.82,165.79,191.53,193.72,194.69,185.26,179.54,167.28,161.57,161.61,201.96,161.86,141.30,125.59,114.11,115.90,123.46,124.56,126.11,143.42,139.49,132.94,134.95,131.97,141.27,143.13,143.40,136.16,137.57,142.45,148.15,164.22,162.12,154.70,152.81,164.34,149.19
PHILIPPINES,"ONION, NATIVE, 1 KG",125.69,112.46,107.85,103.43,99.99,106.15,107.92,108.83,125.63,115.18,112.19,111.94,111.44,108.60,108.19,101.54,97.85,95.25,93.77,94.06,96.39,98.39,96.46,104.02,139.23,102.81,170.01,147.95,125.20,123.19,117.86,118.94,115.13,113.85,128.21,151.61,170.79,181.02,138.65,153.64,132.59,137.87,124.34,114.01,115.83,120.59,121.85,128.23,133.24,141.93,158.01,131.85,213.80,157.06,122.73,108.50,105.55,108.58,112.17,130.90,139.72,180.60,197.90,246.55,156.58,378.05,302.62,216.15,163.72,186.65,197.31,197.19,197.29,190.64,182.85,182.59,201.56,216.39,190.18,168.18,146.00,133.64,130.91,133.92,135.91,133.83,131.83,133.07,131.60,132.52,141.80,148.74,155.19,163.98,147.16,143.51,148.08,149.05,156.64,163.19,162.00,166.63,216.46,160.05
PHILIPPINES,"GINGER, LOOSE, 1 KG",76.07,75.03,73.16,71.47,72.48,73.38,72.03,73.51,76.59,78.96,80.31,79.12,75.18,79.94,79.77,79.55,83.40,94.55,107.14,109.25,115.09,115.52,113.61,112.05,111.70,100.13,114.73,115.35,117.09,151.74,156.94,161.07,160.92,158.29,151.60,149.12,145.41,136.32,143.21,131.21,125.13,120.20,118.05,119.17,122.35,124.97,125.27,124.01,120.84,117.15,112.73,121.76,113.97,109.22,103.91,100.75,98.99,99.28,99.03,99.16,97.87,99.82,100.19,101.08,103.14,99.80,96.08,93.37,90.45,91.70,93.41,95.40,100.60,103.54,105.95,109.97,111.19,99.29,111.47,111.31,112.60,127.67,148.72,184.43,198.49,187.39,178.43,174.62,171.53,166.28,156.08,165.48,159.28,156.63,155.68,169.98,176.28,175.86,176.60,171.37,164.13,160.63,158.41,165.86
..National Capital Region (NCR),"GARLIC, IMPORTED, 1 KG",102.72,98.74,95.64,93.92,92.45,92.19,88.35,83.31,84.41,83.39,85.39,84.90,90.45,86.36,88.46,98.55,105.14,128.52,138.06,134.41,133.53,131.98,129.03,125.71,131.61,119.28,132.41,163.94,161.39,168.10,153.99,125.54,108.01,101.74,102.13,101.02,104.56,107.83,127.56,107.69,107.83,107.97,109.26,108.80,109.43,108.96,119.88,108.96,117.69,118.11,115.81,111.70,118.26,111.27,107.89,105.71,113.22,114.06,110.19,109.87,111.92,113.40,114.62,112.53,111.91,109.65,108.18,106.99,107.32,123.11,132.76,142.58,144.83,142.52,140.65,140.94,144.37,128.66,147.64,147.89,151.39,153.81,156.73,158.08,156.39,154.05,152.48,148.46,154.51,156.55,153.17,158.75,159.31,157.43,153.63,154.61,156.27,155.69,156.99,156.24,153.29,156.49,158.88,156.47
..National Capital Region (NCR),"GARLIC, LOCAL, 1 KG",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
..National Capital Region (NCR),"GARLIC, NATIVE, 1 KG",267.92,271.07,264.58,256.15,214.51,207.99,216.53,213.81,212.43,217.20,222.10,224.03,232.36,231.95,228.27,226.53,223.71,237.92,239.34,242.49,247.78,249.86,252.22,251.97,255.33,240.61,256.35,253.19,262.75,264.27,268.88,266.63,263.95,262.74,265.54,269.78,270.51,269.49,264.51,263.63,259.99,254.16,250.88,250.88,249.72,257.35,228.51,257.35,244.29,269.34,280.60,255.56,271.22,286.10,262.08,257.49,261.97,268.35,263.59,265.81,265.58,279.08,284.56,285.98,270.98,288.87,296.15,296.96,304.51,306.72,298.24,302.54,302.06,304.24,312.89,319.06,320.24,304.37,327.28,330.50,333.95,327.94,322.50,319.45,325.84,325.73,324.83,325.50,332.20,328.19,326.99,334.82,334.17,335.47,332.92,327.32,329.91,327.48,325.10,325.40,324.99,323.74,320.44,328.48
