Geolocation,Commodity,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December,2022 Annual,2023 January,2023 February,2023 March,2023 April,2023 May,2023 June,2023 July,2023 August,2023 September,2023 October,2023 November,2023 December,2023 Annual,2024 January,2024 February,2024 March,2024 April,2024 May,2024 June,2024 July,2024 August,2024 September,2024 October,2024 November,2024 December,2024 Annual,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December,2025 Annual
PHILIPPINES,"FRESH FISH, CATFISH, HITO, MEDIUM, 1 KG",154.33,155.11,156.09,155.70,155.98,159.58,153.39,154.26,154.66,154.16,153.51,154.71,155.12,153.34,153.67,154.33,154.41,154.84,155.87,156.03,156.48,157.88,156.69,155.57,157.74,155.57,158.63,159.05,160.75,162.01,161.67,161.37,161.65,161.07,160.27,160.01,159.93,161.09,160.62,169.33,172.17,172.63,173.14,174.42,173.48,170.54,170.33,170.47,167.34,166.37,166.09,170.53,171.38,171.18,170.68,168.68,169.86,169.08,169.23,169.50,170.91,171.88,171.71,173.44,170.63,173.59,173.27,171.81,173.20,172.58,172.75,171.57,173.18,173.82,173.12,173.86,174.13,173.08,174.04,173.27,168.81,170.02,168.23,168.07,166.44,163.91,164.31,164.30,164.50,164.64,167.54,166.38,166.47,172.46,174.48,175.91,180.34,179.14,180.16,179.74,180.38,180.71,180.75,176.41
PHILIPPINES,"FRESH FISH, DALAG, MEDIUM, 1 KG",201.68,196.15,197.51,201.51,199.00,199.64,185.80,181.18,184.04,183.17,195.89,196.75,193.53,202.00,206.59,206.24,205.39,205.83,205.96,205.76,208.66,210.80,210.63,213.35,211.29,207.71,215.03,210.13,207.41,212.09,211.90,214.18,214.20,221.70,220.77,231.68,225.67,225.51,217.52,226.58,225.79,219.02,217.89,223.69,219.53,218.52,215.32,224.30,216.60,220.69,218.80,220.56,223.67,223.79,223.56,225.87,223.29,232.00,233.15,233.43,232.43,237.52,238.24,239.23,230.51,232.81,231.56,229.95,234.66,230.95,232.06,228.16,231.05,222.31,226.15,230.71,233.36,230.31,234.70,232.83,235.01,243.67,238.22,236.03,233.36,232.89,232.62,232.04,234.38,235.00,235.06,240.30,236.51,243.46,242.94,240.97,239.91,238.03,242.20,238.76,235.67,237.55,238.51,239.57
PHILIPPINES,"FRESH FISH, GUTOB, MEDIUM, 1 KG",162.23,160.87,156.00,153.29,152.40,160.62,147.62,149.22,162.07,158.61,152.85,151.68,155.62,154.18,156.51,141.31,133.92,158.93,146.15,142.66,148.32,147.82,147.88,150.55,151.52,148.31,199.64,176.38,170.72,157.91,154.51,160.40,149.69,144.50,144.55,151.01,153.62,153.56,159.71,170.96,189.13,184.41,179.61,182.57,184.24,169.61,159.57,164.79,174.83,164.81,169.81,174.53,211.11,213.34,203.34,198.61,204.17,209.72,208.61,211.39,206.25,196.53,202.61,201.53,205.60,232.44,226.18,228.70,216.39,208.42,216.42,214.44,222.31,215.11,214.50,209.97,213.58,218.20,218.06,221.33,230.17,223.28,222.78,217.11,220.20,206.03,211.64,221.33,211.97,214.75,218.22,234.58,227.81,216.45,199.47,201.72,200.25,205.36,201.61,216.89,220.08,227.25,243.83,216.28
PHILIPPINES,"FRESH FISH, LAGAO, MEDIUM, 1 KG",263.27,254.62,253.38,256.42,247.45,257.78,258.57,261.74,265.96,272.51,271.84,274.62,261.51,273.34,281.12,279.09,271.17,267.70,259.71,263.89,266.70,268.81,265.24,269.29,266.43,269.38,273.17,272.37,265.43,268.20,270.39,258.67,246.35,241.77,256.72,267.06,273.66,264.28,263.17,279.11,286.01,284.97,279.98,287.51,284.28,262.50,270.00,271.11,273.19,275.14,282.78,278.05,291.67,286.95,289.03,288.61,284.30,285.55,289.86,281.53,283.61,279.86,284.17,279.72,285.40,294.58,307.64,299.72,286.81,286.39,289.72,291.39,301.25,285.00,293.47,303.61,297.64,294.77,308.33,290.90,307.16,301.88,291.39,288.96,287.43,279.65,272.78,260.55,260.14,271.11,285.02,284.72,302.64,301.25,297.36,300.28,292.36,305.42,296.46,289.93,304.24,308.13,326.60,300.78
PHILIPPINES,"FRESH FISH, TILAPIA, MEDIUM, 1 KG",126.55,125.57,126.45,125.96,125.58,127.02,127.82,130.24,131.12,130.51,130.80,129.19,128.07,131.39,130.19,129.38,128.66,128.75,130.43,130.48,131.03,132.80,132.68,133.91,138.32,131.50,142.82,143.65,144.39,146.04,145.65,144.34,141.91,140.25,141.46,141.95,142.49,144.04,143.25,147.48,149.03,149.93,150.52,150.31,149.09,146.63,149.65,146.91,146.64,147.00,148.56,148.48,153.55,150.39,149.74,152.01,153.11,153.29,155.25,153.73,155.04,154.30,157.29,156.19,153.66,161.18,162.77,163.27,162.17,163.33,164.11,163.12,166.95,166.66,166.48,168.32,167.05,164.62,167.75,167.37,165.54,165.83,164.72,164.88,164.18,164.95,165.99,166.86,170.46,172.00,166.71,175.34,175.67,176.15,176.63,176.77,177.34,177.86,179.84,178.72,178.52,179.51,180.00,177.70
PHILIPPINES,"FRESH FISH, ALOY/TULINGAN, MEDIUM, 1 KG",152.40,151.38,152.17,147.32,141.51,148.51,143.62,149.19,145.67,147.33,147.99,146.74,147.82,153.65,154.92,143.66,135.65,141.40,137.95,141.27,142.64,143.91,141.45,143.70,150.95,144.26,168.27,165.02,165.34,160.66,155.76,155.09,148.71,150.15,149.65,158.19,168.10,169.25,159.51,182.35,188.68,180.30,181.61,180.73,175.49,169.28,175.24,178.39,177.67,183.83,184.68,179.85,199.99,187.42,181.57,184.59,183.91,185.49,190.69,189.53,188.16,193.76,196.49,201.85,190.29,209.83,227.72,212.49,191.21,192.92,200.06,203.83,201.19,199.98,194.51,199.28,200.26,202.77,208.05,206.58,200.00,195.33,178.88,174.74,176.10,175.55,180.61,181.05,184.03,180.86,186.81,186.45,186.76,190.82,183.41,181.75,192.36,183.18,189.04,190.96,201.59,202.95,203.04,191.02
PHILIPPINES,"FRESH FISH, BARILIS, MEDIUM, 1 KG",265.59,254.01,249.33,252.27,251.70,246.74,238.59,255.23,253.68,269.52,267.26,268.74,256.06,301.11,273.45,272.22,272.77,272.38,269.24,273.54,273.09,277.46,259.52,269.84,262.47,273.09,300.62,300.22,290.22,265.53,248.30,246.85,223.50,214.98,246.06,252.93,247.18,254.14,257.54,277.63,272.84,274.64,298.72,289.91,281.31,268.23,278.46,290.81,279.35,293.39,301.28,283.88,325.29,334.23,334.41,333.38,334.28,328.51,327.92,332.98,332.33,325.13,337.68,326.98,331.09,354.72,360.02,363.72,346.37,342.81,346.36,319.28,324.54,328.18,312.08,317.79,328.06,337.00,358.40,362.65,358.40,347.66,337.31,320.76,309.17,308.37,320.19,325.44,329.77,330.32,334.04,349.06,342.10,366.22,332.51,322.74,329.01,327.89,341.39,332.48,329.68,358.33,355.52,340.58
PHILIPPINES,"FRESH FISH, BARILISION, MEDIUM, 1 KG",171.15,161.74,156.18,166.14,156.26,155.16,145.09,173.21,170.49,184.44,176.20,173.50,165.80,198.46,192.83,171.19,170.71,176.76,172.18,170.88,189.78,195.23,165.33,176.44,187.46,180.61,213.83,218.28,202.99,186.72,172.00,173.60,141.46,141.40,148.47,169.41,173.77,168.07,175.83,188.31,194.17,214.13,218.67,215.84,209.85,188.84,198.86,184.50,189.67,194.00,203.71,200.04,223.77,204.78,209.93,205.03,215.75,215.86,215.53,210.36,209.05,228.58,224.83,211.50,214.58,238.23,228.58,227.42,222.50,215.17,220.58,206.17,205.75,208.42,203.08,210.08,195.75,215.15,224.25,225.08,233.92,229.80,223.13,218.38,219.08,209.13,221.46,223.63,231.92,232.04,224.32,255.67,245.78,256.53,239.97,227.78,221.48,203.63,219.23,208.88,225.75,243.54,244.00,232.69
PHILIPPINES,"FRESH FISH, OCEANIC BONITO, TULINGANG PUTI, MEDIUM, 1 KG",157.88,153.09,152.16,157.19,153.70,157.91,161.06,163.66,159.25,162.26,158.60,161.62,158.20,169.24,171.96,161.51,158.96,160.39,159.95,165.37,166.11,166.99,169.86,173.99,181.84,167.18,205.57,198.05,193.79,189.83,179.61,172.89,164.01,162.04,165.61,166.46,171.76,179.76,179.12,195.01,197.03,190.08,190.43,191.10,191.94,187.15,190.86,187.01,190.20,194.80,205.76,192.62,221.79,208.62,208.07,204.25,203.37,209.18,209.50,206.45,208.31,205.41,210.67,208.02,208.64,229.69,234.52,233.41,220.04,220.56,227.87,221.05,222.97,220.66,218.50,216.23,216.29,223.48,223.12,220.45,217.49,215.04,206.24,200.09,200.64,201.19,210.56,215.97,214.90,211.57,211.44,223.12,225.22,232.86,212.52,212.34,212.84,213.03,219.88,219.47,225.50,227.44,228.16,221.03
PHILIPPINES,"FRESH FISH, SKIPJACK (GULYASAN), MEDIUM, 1 KG",154.00,154.89,165.48,148.70,147.82,141.20,136.79,137.68,137.35,135.91,151.36,146.73,146.49,162.83,173.75,164.10,137.23,149.37,145.79,145.07,150.25,141.27,151.53,148.58,179.47,154.10,197.91,197.25,190.52,178.71,168.28,162.00,158.64,149.38,150.92,158.97,195.37,222.24,177.52,221.47,214.08,184.67,190.19,184.13,186.44,180.27,177.50,173.89,172.50,192.22,192.22,189.13,192.22,195.00,204.17,194.17,192.22,198.89,192.78,187.50,185.83,183.28,191.06,136.39,187.79,192.50,223.19,230.08,202.11,199.11,211.67,205.56,215.06,209.17,197.33,189.56,192.25,205.63,192.42,206.33,215.72,206.42,183.75,197.78,176.67,166.08,168.83,167.44,182.11,191.78,187.94,204.00,203.44,204.14,194.14,209.53,219.22,198.75,185.11,190.03,202.14,205.56,203.33,201.62
PHILIPPINES,"FRESH FISH, TULINGAN (FRIGATE TUNA), MEDIUM, 1 KG",186.57,189.10,184.29,177.49,179.03,178.44,168.17,179.65,172.08,181.02,178.37,177.80,179.33,185.39,196.44,188.93,182.86,177.16,181.81,176.98,175.00,179.77,174.72,181.64,190.67,182.62,205.73,208.64,201.20,185.12,180.55,178.33,172.34,172.44,172.37,173.72,188.12,190.77,185.78,211.11,214.91,208.58,202.75,199.84,195.07,189.05,189.90,183.83,187.50,183.18,186.27,196.00,194.63,179.40,178.87,178.35,182.30,182.14,184.04,181.75,182.91,186.61,187.96,193.29,184.36,201.94,205.98,207.29,199.44,194.95,201.80,193.39,214.14,211.73,210.57,209.90,211.36,205.21,209.77,214.87,209.96,200.98,194.34,192.15,194.68,191.05,198.95,201.38,205.61,210.42,202.01,218.61,221.26,230.00,224.05,208.95,209.09,198.89,209.98,210.75,215.39,219.12,216.50,215.21
PHILIPPINES,"FRESH FISH, TUNA, YELLOW-FIN (TAMBAKOL), MEDIUM, 1 KG",212.76,210.35,205.68,213.79,209.66,210.09,204.42,209.28,210.76,209.37,212.22,207.43,209.65,227.68,230.16,223.32,221.14,220.49,217.31,214.46,214.53,215.89,217.58,226.64,237.29,222.21,253.88,263.11,259.59,249.19,241.21,233.60,220.22,214.03,213.85,215.01,225.70,230.69,235.01,255.40,260.49,257.21,251.60,249.48,247.05,244.03,253.16,242.23,243.52,251.36,260.55,251.34,278.10,266.08,270.60,273.79,272.49,270.12,263.42,255.52,247.57,248.61,255.59,250.32,262.68,281.18,282.42,289.05,281.38,278.21,281.71,275.39,281.17,278.66,270.94,267.00,264.66,277.65,284.67,284.14,280.40,274.42,266.54,262.62,258.62,254.32,260.92,260.72,276.83,275.51,269.97,290.35,285.86,292.61,276.25,279.01,276.23,266.05,274.03,271.11,271.16,275.30,283.03,278.41
PHILIPPINES,"FRESH FISH, BIG-EYED SCAD, MATAMBAKA, MEDIUM, 1 KG",180.33,174.07,167.09,171.31,163.88,168.25,168.40,172.28,177.51,179.15,177.70,175.12,172.93,194.28,188.16,172.89,167.41,169.37,174.62,173.22,175.93,171.95,166.86,177.13,182.31,176.18,203.38,205.66,201.06,192.72,182.46,180.16,169.00,166.16,167.55,173.84,180.50,195.10,184.80,214.47,208.35,213.33,211.41,205.71,204.51,193.71,193.32,184.84,183.00,188.32,199.40,200.03,215.91,201.64,200.78,205.45,206.54,206.09,206.69,202.86,200.82,208.37,209.60,204.80,205.80,224.12,221.72,222.14,212.34,203.05,211.23,202.23,209.57,204.93,199.83,205.77,206.73,210.30,224.27,234.62,231.89,230.56,222.61,218.19,208.39,202.92,214.71,211.69,214.06,211.41,218.78,234.20,227.81,228.90,215.11,215.81,222.51,216.20,217.95,214.81,222.30,234.27,238.12,224.00
PHILIPPINES,"FRESH FISH, BUDBURON, MEDIUM, 1 KG",154.65,144.55,142.73,144.54,137.95,137.20,130.32,150.19,143.97,147.26,147.38,141.43,143.51,161.99,160.34,141.84,140.85,140.14,159.38,165.77,167.38,160.69,142.01,159.67,174.52,156.22,179.17,187.31,183.17,165.95,154.97,150.12,128.08,130.43,156.03,161.76,160.11,153.26,159.20,179.03,181.74,197.93,195.01,202.62,190.98,173.42,169.33,163.83,160.17,170.08,172.83,179.75,186.58,171.33,180.83,172.83,184.11,179.08,189.11,189.63,187.48,185.71,186.17,171.42,182.03,188.17,183.00,192.33,182.92,185.58,193.25,178.88,181.83,183.00,170.00,171.50,164.13,181.22,187.08,191.09,193.83,180.67,169.08,169.83,164.00,160.17,179.75,180.25,174.33,165.17,176.27,197.04,195.03,199.33,192.00,182.50,170.85,168.67,173.42,171.33,195.00,221.79,213.71,190.05
