Geolocation,Commodity,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December,2022 Annual,2023 January,2023 February,2023 March,2023 April,2023 May,2023 June,2023 July,2023 August,2023 September,2023 October,2023 November,2023 December,2023 Annual,2024 January,2024 February,2024 March,2024 April,2024 May,2024 June,2024 July,2024 August,2024 September,2024 October,2024 November,2024 December,2024 Annual,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December,2025 Annual
PHILIPPINES,"FRESH BEEF, BRISKET WITH BONES, 1 KG",228.72,228.23,229.71,232.53,233.40,233.13,234.31,235.12,239.66,238.84,242.07,244.51,235.02,244.99,247.44,247.91,247.67,254.65,254.75,254.66,258.16,258.24,259.14,260.65,262.13,254.20,263.63,267.28,267.22,268.18,268.24,270.59,275.23,275.54,271.48,274.16,273.43,278.10,271.09,279.99,285.17,284.17,284.33,295.30,303.25,304.99,299.02,296.39,290.82,285.34,284.46,291.10,291.56,281.62,290.02,292.67,295.18,297.10,304.22,303.52,303.23,304.71,303.72,304.61,297.68,304.84,305.68,306.62,306.80,309.79,306.46,305.68,304.90,307.29,309.32,309.48,311.04,307.33,314.58,319.74,326.46,326.51,330.68,330.89,333.70,334.32,336.15,335.89,336.82,340.16,330.49,344.64,342.22,345.73,345.37,347.50,348.54,361.92,357.43,361.91,360.60,361.02,360.60,353.12
PHILIPPINES,"FRESH BEEF, MEAT WITH BONES, 1 KG",223.91,226.15,228.05,229.10,230.81,232.09,234.42,236.47,237.35,237.20,237.58,238.77,232.66,239.93,240.95,241.61,242.48,243.14,244.08,245.09,244.16,244.80,245.35,245.99,246.99,243.72,249.83,251.44,251.60,254.10,255.24,254.07,258.27,259.18,259.44,260.63,264.17,265.75,256.98,272.11,282.99,284.92,287.14,290.36,292.27,293.39,293.91,293.79,296.29,298.44,299.13,290.40,304.78,307.37,310.76,313.67,317.74,320.75,324.62,326.05,326.33,327.02,328.01,329.15,320.11,333.34,332.56,334.06,334.24,334.93,335.20,334.05,334.12,335.98,335.55,336.33,337.94,334.86,340.38,340.06,341.30,343.34,343.61,344.54,344.48,344.43,344.54,345.02,345.87,346.84,343.70,350.08,354.79,357.59,358.71,361.30,364.27,365.39,366.17,367.23,367.79,366.95,367.57,362.32
PHILIPPINES,"FRESH BEEF, PURE MEAT, 1 KG",269.53,273.59,275.11,278.07,281.02,283.28,286.21,290.36,292.76,292.73,294.07,296.37,284.43,298.55,299.65,299.95,300.62,302.45,303.72,304.19,305.75,305.84,305.82,306.15,307.09,303.31,309.46,309.72,311.68,314.23,314.54,316.08,317.99,317.31,318.01,319.18,321.78,324.84,316.24,334.14,340.22,344.56,348.47,351.89,353.01,353.06,352.36,352.70,353.46,355.98,357.82,349.81,364.60,367.29,372.75,375.87,380.87,384.28,387.40,388.93,391.17,390.90,391.20,393.29,382.38,396.86,397.89,399.93,402.58,404.07,403.85,404.03,404.41,404.92,404.68,405.71,408.14,403.09,410.67,412.40,413.16,414.38,414.67,414.74,414.22,413.74,415.32,416.48,417.37,419.52,414.72,424.59,427.47,430.30,432.09,435.37,438.32,442.10,443.39,444.72,444.61,446.02,447.79,438.06
PHILIPPINES,"FRESH CARABEEF, MEAT WITH BONES, 1 KG",194.87,196.52,199.40,198.17,201.17,203.21,209.21,208.91,211.83,209.93,208.66,214.67,204.71,215.55,215.88,217.13,218.11,216.15,216.67,215.88,215.47,215.83,215.16,214.13,217.02,216.08,221.42,227.28,226.81,230.59,227.78,228.56,233.29,234.43,233.59,237.98,239.96,243.45,232.10,251.56,257.42,261.68,262.56,263.54,271.58,263.95,271.60,268.61,270.89,270.29,270.77,265.37,275.54,281.55,278.69,282.38,287.64,287.44,297.00,299.50,293.19,289.62,289.91,290.75,287.77,290.03,288.34,289.74,290.33,293.20,296.29,296.17,297.66,301.23,296.95,295.37,294.22,294.13,291.48,293.98,296.42,298.17,296.24,293.32,294.39,294.04,296.71,297.25,298.62,299.21,295.82,301.60,304.57,307.25,306.12,314.30,323.02,332.25,332.01,334.81,335.11,332.25,331.61,321.24
PHILIPPINES,"FRESH CARABEEF, PURE MEAT, 1 KG",250.56,252.36,254.95,255.53,258.14,259.41,262.59,265.98,271.47,271.62,272.95,273.90,262.46,276.25,276.15,278.15,277.19,281.01,281.74,281.83,284.03,283.56,282.57,283.53,283.98,280.83,286.99,289.06,290.55,292.47,287.03,289.18,293.14,289.77,288.61,290.93,290.35,295.07,290.26,301.00,309.27,310.40,310.04,314.36,317.92,315.18,318.91,322.08,324.22,326.79,327.37,316.46,341.30,345.62,357.53,363.55,368.36,372.84,372.37,374.55,374.33,372.44,375.94,374.85,366.14,380.40,378.15,379.16,381.87,385.12,387.14,389.84,389.96,391.97,393.00,388.71,388.34,386.14,389.27,388.39,387.38,389.04,388.06,393.16,394.26,394.91,392.45,392.11,393.51,394.62,391.43,397.13,402.87,406.14,406.14,405.84,408.56,413.34,415.64,414.00,416.86,415.17,416.23,409.83
PHILIPPINES,"FRESH PORK, KASIM, 1 KG",220.74,223.15,224.83,226.38,228.42,229.72,231.18,233.01,234.00,233.89,234.24,235.10,229.56,235.81,237.22,238.20,238.70,239.02,239.93,240.40,239.23,239.64,240.13,240.42,241.18,239.16,243.68,245.07,245.89,247.36,248.78,250.93,254.98,255.06,254.39,257.51,263.16,266.00,252.73,274.48,283.87,285.64,290.29,293.63,294.07,295.11,293.55,291.10,284.55,286.15,291.66,288.68,298.46,303.81,311.22,315.02,317.96,321.17,320.93,318.86,312.15,309.88,307.88,307.56,312.08,310.38,311.88,315.29,320.38,323.36,320.67,316.02,313.08,312.82,312.93,314.21,316.57,315.63,319.39,322.45,329.52,333.29,333.90,334.60,334.97,331.70,327.15,326.09,326.55,329.47,329.09,337.38,352.89,361.97,364.79,368.48,372.16,371.48,363.48,355.76,350.54,344.29,343.33,357.21
PHILIPPINES,"FRESH PORK, LIEMPO, 1 KG",222.28,225.69,227.60,229.99,232.40,234.12,237.10,239.48,241.13,241.01,241.54,242.84,234.60,244.58,245.38,245.89,246.38,247.58,248.68,249.15,250.37,250.59,250.64,250.72,250.92,248.41,251.85,252.19,253.53,255.54,256.12,257.85,259.70,258.87,258.80,259.73,264.38,267.06,257.97,275.60,281.77,285.08,288.91,292.05,292.16,292.60,290.53,284.45,278.74,282.66,285.14,285.81,300.01,308.29,318.31,323.53,327.47,331.01,331.42,328.60,324.05,321.76,320.00,320.88,321.28,322.92,324.67,327.27,331.23,334.48,333.12,327.97,325.73,325.79,326.31,327.74,329.62,328.07,334.04,336.37,344.29,347.20,347.52,347.81,347.53,344.42,340.78,339.60,340.21,343.72,342.79,352.21,367.63,377.29,381.02,384.53,388.15,386.65,377.52,370.64,365.85,360.41,359.65,372.63
PHILIPPINES,"FRESH PORK, MEAT WITH BONES, 1 KG",181.31,183.04,185.15,186.84,189.04,191.91,193.08,194.05,194.59,194.73,193.61,193.92,190.11,193.42,192.94,192.20,192.82,193.17,193.14,193.40,192.41,192.40,189.47,187.48,187.09,191.66,186.16,185.77,185.97,187.36,188.43,190.63,195.73,195.72,193.61,197.08,209.28,216.54,194.36,234.71,252.39,255.56,262.84,267.15,266.44,265.76,263.69,259.30,252.52,257.94,261.46,258.31,268.53,271.19,278.78,284.66,289.61,292.63,293.00,289.36,283.81,282.06,281.20,282.50,283.57,283.90,284.08,286.49,289.69,291.22,289.31,285.30,282.88,283.12,281.94,282.93,284.75,285.47,287.29,291.07,297.30,298.86,299.70,300.76,300.92,297.83,293.68,292.94,293.59,296.31,295.86,302.49,316.10,323.93,326.65,330.87,334.59,334.10,327.64,322.18,318.67,311.89,310.42,321.63
PHILIPPINES,"FRESH PORK, PATA, FORE (FRONT), 1 KG",177.81,178.91,180.62,182.48,186.51,187.19,185.78,188.35,188.07,186.92,185.86,186.87,184.61,187.26,185.60,186.19,187.37,187.86,189.08,190.55,189.92,188.43,189.48,186.14,181.38,187.44,179.18,176.20,177.00,174.26,175.22,185.21,196.50,194.12,193.09,199.73,212.58,212.73,189.66,231.26,244.17,240.63,251.99,263.34,256.11,252.87,249.14,233.22,232.46,240.39,249.10,245.39,250.67,255.83,259.35,269.05,270.89,272.36,269.32,273.88,276.53,274.66,270.62,262.02,267.10,269.72,263.95,267.50,274.69,277.42,274.56,267.35,260.13,270.01,269.29,271.79,276.61,270.25,281.82,283.48,290.88,294.11,293.07,292.81,293.27,285.31,279.64,277.38,275.76,281.00,285.71,291.57,304.06,310.38,309.82,312.22,320.06,309.06,300.34,298.99,296.86,293.06,291.92,303.19
PHILIPPINES,"FRESH PORK, PORK CHOP, 1 KG",198.93,199.04,200.58,201.12,203.96,205.83,209.16,210.44,212.26,212.77,211.78,210.74,206.38,209.72,209.93,209.80,209.85,208.29,208.18,207.89,208.07,207.88,205.70,203.08,203.91,207.69,204.09,203.59,202.21,203.86,205.02,208.53,219.81,221.96,216.79,220.39,242.33,255.10,216.97,284.79,304.94,298.27,311.10,316.07,315.39,315.95,313.22,305.04,294.83,299.88,304.91,305.37,310.78,311.16,318.43,323.51,328.35,328.99,327.50,320.64,312.57,308.50,309.00,311.88,317.61,315.00,316.99,321.10,325.42,329.85,328.42,325.68,319.34,312.14,314.52,316.69,317.59,320.23,318.87,322.38,330.82,334.44,335.16,337.68,336.65,330.54,323.89,321.17,324.25,327.28,328.59,337.95,354.06,363.94,362.68,367.17,372.32,370.62,359.61,349.66,345.13,339.25,335.44,354.82
