Geolocation,Commodity,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December,2022 Annual,2023 January,2023 February,2023 March,2023 April,2023 May,2023 June,2023 July,2023 August,2023 September,2023 October,2023 November,2023 December,2023 Annual,2024 January,2024 February,2024 March,2024 April,2024 May,2024 June,2024 July,2024 August,2024 September,2024 October,2024 November,2024 December,2024 Annual,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December,2025 Annual
PHILIPPINES,"CARROT, 1 KG",91.63,83.47,80.88,79.82,78.14,78.37,81.09,89.98,119.63,120.55,104.04,93.24,91.74,89.89,79.89,76.52,81.84,87.27,88.30,99.26,98.46,93.46,93.67,87.59,86.30,88.54,87.32,79.69,78.16,83.21,82.58,81.51,91.84,87.84,83.23,82.98,92.51,110.41,86.77,123.31,115.38,102.35,87.60,79.84,77.04,78.76,93.11,104.95,97.20,108.20,109.79,98.13,107.31,95.35,97.59,91.15,91.96,89.09,89.94,100.37,117.09,128.79,131.44,122.72,105.45,113.53,98.03,92.10,87.67,89.51,97.05,132.54,162.51,142.63,133.88,145.07,132.00,118.88,129.55,114.79,114.93,107.80,107.33,109.84,139.57,161.39,124.25,127.32,151.96,159.08,128.98,165.53,138.47,117.33,102.55,102.44,102.76,112.73,162.75,180.15,182.00,165.18,149.14,140.09
PHILIPPINES,"TURNIP (SINGKAMAS), 1 KG",34.45,35.78,36.26,31.02,27.66,29.55,28.69,31.49,34.28,34.89,34.46,37.30,32.99,39.27,41.28,43.48,38.66,41.08,42.31,45.90,45.69,45.44,45.41,47.64,48.12,43.69,50.20,51.24,48.62,51.17,51.05,46.19,39.44,37.54,38.95,38.21,39.96,43.08,44.64,44.61,39.39,37.97,37.45,32.25,32.97,38.12,41.85,42.19,41.34,46.84,51.95,40.58,52.18,53.43,52.69,47.07,46.88,49.25,49.27,49.03,51.15,52.56,53.36,53.42,50.86,56.39,56.93,55.11,50.53,48.85,50.71,55.48,59.15,60.40,61.02,64.46,69.39,57.37,75.80,74.55,66.35,60.34,60.55,56.51,61.96,68.03,69.37,69.50,76.97,81.49,68.45,79.20,74.27,69.97,65.20,55.24,54.94,54.48,58.13,58.40,61.18,61.71,61.35,62.84
PHILIPPINES,"RADDISH (LABANOS), 1 KG",58.56,55.29,54.62,54.56,55.26,58.15,63.66,64.78,68.05,69.03,64.48,61.23,60.64,60.36,60.64,59.88,64.37,70.75,68.16,65.28,64.59,65.04,65.73,64.95,62.92,64.39,63.00,60.76,60.10,61.96,64.67,68.30,61.61,60.02,62.12,65.73,70.24,76.87,64.62,75.77,68.07,64.29,63.87,62.59,64.85,69.55,74.78,75.87,79.70,74.61,71.45,70.45,74.98,71.13,68.23,67.44,70.21,73.62,74.55,72.38,72.35,72.32,82.78,86.52,73.88,88.05,82.56,81.78,77.69,77.86,83.65,81.74,89.25,87.95,89.92,83.69,81.97,83.84,83.71,84.41,83.21,79.14,90.40,106.52,99.62,89.72,89.94,100.45,104.90,103.64,92.97,96.34,89.10,86.28,85.97,88.51,95.57,97.09,107.84,100.02,100.54,95.48,108.20,95.91
PHILIPPINES,"POTATO, 1 KG",86.63,84.38,82.79,81.32,81.47,80.50,79.75,79.09,81.79,84.19,90.68,89.05,83.47,88.00,83.50,78.61,77.87,79.08,80.34,81.22,81.47,85.62,88.51,91.22,88.95,83.70,88.69,87.66,89.80,99.17,94.99,93.65,90.70,87.82,84.53,82.67,86.73,93.93,90.03,104.24,106.17,96.97,86.74,80.96,76.22,76.62,82.39,84.08,88.18,95.44,96.48,89.54,100.02,92.89,87.90,86.66,87.73,88.59,93.38,96.02,96.82,99.91,111.64,126.50,98.80,147.57,141.56,132.93,126.54,121.03,120.65,124.80,137.78,145.12,166.85,182.35,172.46,143.30,161.24,145.73,141.50,135.76,131.17,138.21,142.89,139.99,125.01,118.74,122.92,134.67,136.49,152.80,150.97,141.80,129.28,121.30,114.64,110.71,116.99,118.14,131.21,143.47,155.92,132.27
PHILIPPINES,"POTATO, BAGUIO, GOOD QUALITY, 1 KG",67.17,67.17,65.06,65.06,62.94,62.94,61.88,64.52,69.81,65.58,69.28,67.69,65.76,73.52,63.04,57.54,55.75,58.50,52.36,52.88,61.88,69.80,81.97,76.15,61.03,63.70,65.05,60.82,64.51,66.27,66.63,68.74,67.68,64.30,52.35,54.99,58.17,93.60,65.26,92.54,72.97,56.58,50.03,40.51,39.13,41.78,62.78,66.67,106.86,77.40,71.46,64.89,74.29,59.38,53.24,56.41,65.23,55.21,62.69,66.67,64.78,69.13,111.37,114.54,71.08,125.96,117.63,99.28,84.79,76.90,91.40,109.61,131.07,125.13,173.82,157.92,142.59,119.67,123.13,106.32,118.50,108.44,103.86,120.96,112.92,97.54,78.69,79.38,102.00,132.23,107.00,163.19,132.53,112.09,85.28,88.48,78.54,73.67,87.21,98.69,116.79,131.13,136.15,108.65
PHILIPPINES,"POTATO, IRISH (WHITE), 1 KG",87.13,87.13,78.73,80.73,75.39,66.17,77.95,78.73,86.56,89.62,126.31,107.19,86.81,103.19,86.18,82.17,83.51,80.84,83.18,88.39,87.15,103.88,125.19,121.55,107.09,96.03,97.00,96.23,99.67,106.01,106.03,97.18,95.65,91.45,87.34,84.09,93.09,110.38,97.01,138.48,113.82,94.79,91.45,71.05,68.71,65.71,76.50,78.08,92.29,94.75,93.92,89.97,92.88,83.29,71.79,76.46,79.67,84.25,81.25,81.58,81.04,91.04,131.67,139.19,101.07,155.36,131.53,109.09,108.62,103.29,118.11,128.28,145.86,155.48,195.69,196.48,175.50,143.61,156.19,133.56,130.71,127.88,117.65,150.11,135.04,123.19,108.73,104.63,112.44,129.72,127.49,169.16,150.06,126.94,105.60,101.95,102.43,98.17,106.93,109.85,134.11,148.71,159.19,126.09
PHILIPPINES,"SWEET POTATO (CAMOTE), 1 KG",42.16,42.00,41.19,40.58,40.35,42.59,43.60,45.28,46.63,48.60,49.15,47.17,44.11,46.82,46.12,44.15,42.90,43.63,44.05,44.35,45.74,45.98,46.37,47.40,47.85,45.45,46.13,45.63,43.44,46.05,46.57,46.67,47.41,47.45,46.49,46.40,46.90,47.28,46.37,48.16,46.69,44.84,43.20,42.65,42.27,42.78,46.73,47.39,49.38,50.46,51.19,46.31,51.76,52.00,49.88,48.81,49.83,49.99,49.74,50.76,52.54,55.06,56.03,55.45,51.82,58.92,59.88,57.75,57.90,59.26,60.26,62.10,63.55,65.12,63.53,62.86,62.54,61.14,61.98,60.69,59.50,59.58,60.42,61.31,61.42,62.40,67.23,67.77,67.65,66.88,63.07,65.74,62.49,62.02,60.78,61.42,62.21,62.35,65.37,66.60,66.83,69.16,70.60,64.63
PHILIPPINES,"SWEET POTATO (CAMOTE), NATIVE, 1 KG",41.98,41.65,40.75,40.51,40.89,42.32,42.37,45.97,48.01,47.99,46.26,44.37,43.59,44.93,44.49,44.15,44.14,49.22,48.76,51.63,53.17,54.04,53.35,50.59,49.04,48.96,48.56,45.98,43.68,47.18,48.64,49.35,49.11,49.02,48.09,47.09,47.89,46.94,47.63,46.64,45.86,43.57,42.83,42.00,42.23,42.80,44.85,45.82,46.68,48.55,48.23,45.00,48.06,47.58,47.09,46.88,48.13,48.64,48.23,49.05,48.92,49.61,51.25,51.70,48.76,53.22,53.92,53.22,55.53,56.82,57.32,58.18,60.87,61.47,60.45,60.05,58.98,57.50,59.23,58.39,56.71,57.00,57.19,58.23,59.57,64.06,65.99,66.25,64.22,62.89,60.81,62.73,61.14,59.91,58.60,58.31,57.90,58.62,62.26,65.03,64.98,64.90,65.60,61.67
PHILIPPINES,"SWEET POTATO (CAMOTE), WHITE, MEDIUM, 1 KG",37.79,36.54,36.86,35.82,35.26,36.40,37.13,42.12,45.53,44.93,45.61,45.20,39.93,45.84,43.08,40.83,39.78,42.02,43.34,45.61,49.37,51.70,52.32,49.87,48.64,46.03,47.10,45.07,41.28,43.14,45.00,50.13,47.72,49.79,50.36,49.81,49.65,49.46,47.38,46.63,46.20,43.46,40.71,38.98,38.51,40.09,45.28,47.07,53.59,56.70,57.43,46.22,60.07,52.60,46.79,46.84,47.41,47.79,48.81,48.67,50.46,51.04,53.95,53.19,50.64,52.04,55.41,53.93,55.42,57.41,58.93,60.47,62.81,63.36,65.40,63.48,62.96,59.30,63.02,60.74,58.73,59.66,60.16,60.73,64.20,65.43,70.18,68.99,69.69,66.95,64.04,68.06,64.17,59.28,58.95,59.66,58.19,57.18,60.57,64.63,65.22,66.09,68.02,62.50
PHILIPPINES,"SWEET POTATO (CAMOTE), YELLOW, 1 KG",41.74,41.89,40.63,40.92,41.34,42.81,43.94,46.28,47.78,47.39,46.94,45.65,43.94,46.54,45.64,44.99,44.63,45.41,46.22,46.78,48.96,49.58,49.63,48.22,47.84,47.04,46.46,46.07,43.93,46.03,46.41,46.95,46.28,46.82,46.58,46.16,46.97,45.45,46.18,45.06,43.45,42.24,39.74,38.89,37.93,38.19,40.87,40.61,42.36,43.84,46.03,41.60,47.58,46.80,47.31,46.70,48.86,51.12,52.11,51.44,51.13,51.69,52.77,51.41,49.91,51.32,53.29,54.02,54.31,55.26,56.87,57.94,60.20,59.54,59.41,59.96,58.41,56.71,58.21,56.51,55.58,55.25,55.04,56.73,59.28,62.64,64.33,65.31,65.32,62.95,59.76,62.29,60.91,59.28,56.98,57.14,58.32,58.22,61.36,61.77,60.98,61.19,62.11,60.04
