Geolocation,Commodity,2010 January,2010 February,2010 March,2010 April,2010 May,2010 June,2010 July,2010 August,2010 September,2010 October,2010 November,2010 December,2010 Annual,2011 January,2011 February,2011 March,2011 April,2011 May,2011 June,2011 July,2011 August,2011 September,2011 October,2011 November,2011 December,2011 Annual,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December,2022 Annual,2023 January,2023 February,2023 March,2023 April,2023 May,2023 June,2023 July,2023 August,2023 September,2023 October,2023 November,2023 December,2023 Annual,2024 January,2024 February,2024 March,2024 April,2024 May,2024 June,2024 July,2024 August,2024 September,2024 October,2024 November,2024 December,2024 Annual,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December,2025 Annual,2026 January,2026 February,2026 March,2026 April,2026 May,2026 June,2026 July,2026 August,2026 September,2026 October,2026 November,2026 December,2026 Annual,NA
PHILIPPINES,Habitchuelas [Snap beans],21.49,23.62,31.46,29.98,29.88,29.64,26.18,20.85,21.49,35.68,48.58,32.89,29.31,28.77,29.41,26.81,26.90,39.01,45.59,34.96,40.63,39.64,72.62,42.18,35.31,38.49,35.76,38.90,36.83,27.92,30.41,32.65,32.04,45.63,40.77,30.72,35.48,38.17,35.44,33.55,29.39,29.87,31.38,34.75,36.16,27.07,30.39,45.04,46.69,40.10,37.71,35.04,35.66,34.38,32.98,35.04,30.89,33.62,38.30,44.64,36.21,32.80,32.66,44.66,35.91,41.90,31.11,31.09,35.10,36.91,34.87,44.73,40.02,37.71,45.37,78.82,45.43,42.54,30.57,33.48,34.65,37.91,60.15,48.12,29.46,35.42,45.81,51.48,56.83,45.97,42.17,38.60,44.80,37.58,34.45,33.86,40.32,38.36,37.55,45.37,44.75,47.84,54.00,41.18,56.83,50.02,44.21,38.59,42.27,48.00,50.25,43.73,59.22,58.30,43.39,41.28,47.96,43.01,42.58,41.73,55.79,61.81,44.97,42.20,52.63,58.59,49.23,46.77,49.48,49.12,44.19,40.46,39.95,48.25,52.64,43.98,31.66,36.29,52.25,58.72,84.07,86.59,51.39,61.45,51.82,51.83,47.93,50.27,61.69,46.94,45.74,48.17,67.84,68.93,63.96,54.58,64.70,56.20,52.98,47.36,58.45,66.44,63.50,53.58,62.91,70.64,88.21,70.37,62.85,73.33,78.13,66.63,53.06,64.13,68.20,59.10,106.42,85.70,49.40,59.20,65.93,69.22,67.32,58.28,57.62,63.80,94.28,105.10,66.58,55.49,93.80,103.79,111.32,122.26,83.30,73.41,63.76,73.41,60.78,69.33,73.42,72.20,101.04,76.38,75.90,152.86,183.20,89.64,81.62,67.12,81.80,71.35,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,"Kidney Beans, white",40.84,36.67,36.67,39.79,38.77,43.48,43.82,42.67,42.67,42.34,42.67,50.17,42.40,50.17,50.17,47.78,44.91,44.41,44.77,45.41,45.45,45.54,44.10,46.42,46.94,46.34,47.72,46.78,45.85,45.46,45.63,45.70,46.72,47.93,48.07,48.00,54.38,57.53,48.02,56.88,56.75,60.38,53.88,52.45,52.38,52.01,55.77,49.81,50.00,51.21,..,54.84,80.34,80.00,70.00,77.17,75.02,72.48,72.93,75.68,67.66,67.03,71.93,66.40,74.76,76.55,61.04,62.63,53.50,..,50.40,58.70,59.68,59.87,45.38,61.83,59.27,63.73,53.19,59.84,65.05,51.79,64.23,59.29,51.50,57.66,54.71,56.75,57.15,64.00,58.28,54.10,58.55,59.81,73.81,73.56,73.72,56.58,62.23,..,63.15,63.54,65.38,64.46,..,78.93,79.12,76.74,74.78,..,64.96,64.96,66.00,71.67,73.55,68.42,71.91,..,75.56,71.90,75.16,69.86,74.38,67.14,74.23,72.55,79.50,80.00,..,73.86,81.65,67.13,77.53,80.14,80.56,71.10,66.82,67.20,73.85,72.31,69.19,73.87,74.11,75.22,78.96,78.76,79.42,80.52,81.31,85.37,81.54,83.90,78.57,77.82,84.21,80.51,87.31,80.74,82.43,79.41,77.69,78.46,78.34,77.34,83.46,82.69,82.60,80.10,79.92,80.17,82.30,82.31,89.85,95.31,96.37,96.45,96.61,98.42,103.75,106.68,109.62,94.82,108.20,108.58,108.56,109.54,107.40,106.81,104.16,113.18,113.48,115.24,114.76,112.75,110.22,125.34,122.53,124.41,125.63,126.65,125.70,120.20,126.06,127.90,125.00,123.69,119.84,124.41,121.60,104.08,103.40,102.43,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,"Mongo [Mungbean], green",65.65,66.68,67.85,65.30,67.14,67.51,67.47,68.10,69.47,69.69,70.59,71.37,68.07,69.50,70.00,70.00,69.44,66.34,65.50,65.50,65.50,65.50,63.44,62.61,59.00,66.03,55.63,55.00,55.00,55.00,54.33,52.00,52.00,48.00,48.00,48.00,48.00,32.00,50.25,47.75,49.72,50.60,50.13,50.00,50.00,50.00,50.75,56.38,60.33,63.00,66.25,53.74,66.25,66.25,62.11,64.72,62.75,62.75,62.75,62.75,62.75,63.70,63.83,..,63.69,70.14,69.32,68.85,..,..,..,71.36,71.41,70.35,..,69.80,68.76,70.00,47.75,64.21,64.09,62.99,64.28,..,62.83,87.88,..,..,..,..,47.74,67.16,74.56,74.82,74.42,67.40,65.64,68.35,..,..,..,..,..,70.34,..,112.73,63.75,59.08,63.77,..,57.88,57.24,58.22,59.00,59.09,59.00,64.98,58.98,60.03,60.24,61.04,65.11,59.62,60.49,61.99,62.18,..,64.81,60.00,65.55,68.31,71.48,68.17,80.57,80.16,74.09,73.45,71.02,64.25,60.00,66.28,70.34,71.61,70.52,73.00,78.31,79.44,76.48,70.41,69.72,66.80,73.32,78.37,72.73,73.38,73.63,70.40,72.86,76.04,80.69,64.33,60.60,67.94,71.88,67.51,69.20,78.58,78.27,73.97,76.81,89.63,80.04,81.47,83.91,82.66,84.78,84.84,83.93,82.91,81.47,76.90,73.94,73.31,73.01,72.59,71.31,66.01,61.38,61.69,63.24,63.90,64.10,64.14,65.05,66.64,70.67,62.35,74.41,75.23,76.57,76.59,78.56,85.92,92.38,103.42,95.88,95.06,82.25,93.53,93.97,99.81,99.51,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,"Mongo [Mungbean], Yellow",70.67,70.67,70.67,72.56,74.14,74.33,74.78,83.08,93.48,94.67,94.67,94.67,80.70,94.67,94.67,94.67,93.67,89.83,89.33,89.33,89.33,89.33,91.38,91.67,91.67,91.63,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,76.67,73.23,61.19,86.34,57.60,59.70,58.25,58.25,58.25,58.25,58.25,..,..,..,72.71,78.25,62.17,79.03,80.00,75.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,..,79.46,85.00,71.77,..,75.85,..,..,75.33,72.88,72.63,..,80.50,68.76,75.34,79.78,83.30,82.73,..,..,..,83.89,109.83,..,..,..,..,87.91,84.90,98.53,99.13,97.00,96.26,95.80,94.90,..,..,..,..,..,95.22,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.25,79.40,78.63,79.20,79.20,..,79.20,79.30,..,79.60,..,79.22,78.10,77.00,77.00,..,77.00,77.00,76.56,76.98,..,..,77.00,77.00,77.07,77.00,77.00,77.00,77.00,77.00,77.00,77.00,..,77.00,77.00,77.00,77.00,77.00,..,77.00,77.00,77.00,..,..,77.00,77.17,..,..,78.00,78.00,77.31,78.00,78.00,78.00,81.38,124.36,126.40,126.40,126.40,124.40,122.80,120.78,114.56,108.46,110.00,109.25,111.00,110.13,84.28,61.20,61.20,61.31,61.75,62.00,62.18,63.60,79.83,64.00,64.00,64.80,65.98,67.09,67.00,68.42,70.13,74.97,106.55,97.81,92.07,75.24,85.00,82.50,78.09,72.81,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,"Peanut with shell, dry",43.88,50.18,51.53,53.03,52.81,55.00,56.50,53.15,47.61,46.16,51.11,56.15,51.43,51.07,49.02,51.11,52.37,53.37,52.61,55.35,53.49,58.58,55.13,57.33,57.37,53.90,54.87,57.13,57.21,58.26,57.00,57.79,57.29,54.97,56.87,58.97,57.48,56.79,57.05,58.32,56.52,57.04,55.31,57.16,58.73,59.60,56.93,48.76,57.73,61.78,57.73,57.13,55.46,63.00,65.85,58.28,51.79,54.84,56.38,55.54,55.36,59.29,62.16,62.75,58.39,62.59,60.06,67.31,73.03,71.68,73.12,78.13,72.04,72.04,65.08,77.00,74.52,70.55,77.07,74.85,75.22,67.03,76.00,83.84,79.15,81.69,68.87,77.89,67.45,75.98,75.42,85.54,76.25,70.86,64.83,73.93,79.60,60.88,76.83,87.90,97.86,101.25,107.50,64.41,110.00,113.51,60.00,60.00,60.00,..,60.00,60.00,60.00,60.00,60.00,60.00,69.41,60.00,55.51,63.42,53.30,55.06,60.22,60.79,57.35,62.41,..,67.07,60.00,58.94,56.18,53.30,48.48,74.12,80.00,80.00,72.80,73.46,77.78,76.11,64.33,70.35,70.11,70.60,64.76,63.05,68.23,66.94,67.23,68.78,90.00,72.14,51.35,85.73,87.51,71.42,120.00,82.43,86.46,47.34,116.09,110.04,82.66,81.30,109.23,106.67,80.64,80.43,82.00,89.94,88.60,59.48,59.48,59.91,60.67,80.03,78.37,77.70,88.44,86.99,93.14,76.90,91.19,82.13,86.74,82.82,90.92,92.03,92.01,102.26,97.63,95.33,98.90,102.30,92.86,100.59,99.61,94.08,94.21,95.55,112.87,127.95,114.62,116.77,116.15,113.72,113.44,108.30,121.63,124.74,134.32,131.65,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,"Peanut without shell, dry",61.24,61.04,60.88,60.85,60.19,60.76,59.63,63.09,62.83,66.52,66.88,70.05,62.83,66.10,66.60,68.72,64.67,64.67,68.92,73.34,74.57,72.35,73.71,73.46,72.04,71.92,69.59,67.82,68.39,72.48,70.69,71.99,70.94,67.51,65.78,69.46,69.89,72.12,69.72,72.53,71.89,70.38,70.46,71.30,68.42,67.33,64.99,60.88,63.63,64.62,65.55,67.67,65.53,64.25,60.81,60.30,60.31,60.87,60.86,61.81,61.66,64.74,69.18,70.07,63.01,73.32,84.24,72.39,65.52,70.48,71.49,79.07,78.07,77.31,70.99,79.91,80.32,76.75,76.93,77.26,77.70,67.39,74.91,73.36,79.93,79.89,77.73,74.28,64.63,70.52,75.67,80.54,73.42,70.45,66.06,64.98,70.19,73.14,75.43,79.07,83.50,86.30,85.83,74.08,80.66,80.68,69.82,68.79,69.17,68.00,69.90,70.66,71.45,71.34,71.17,70.00,72.06,69.43,70.87,71.89,71.35,73.23,69.77,69.03,72.31,72.21,..,72.76,66.25,73.13,68.17,64.97,70.87,73.00,72.89,70.32,74.22,75.35,81.67,70.00,67.90,70.00,73.12,67.90,67.90,67.90,70.93,73.51,76.55,77.13,77.50,78.04,80.20,83.51,84.32,76.48,86.53,81.66,82.97,77.18,85.79,85.19,83.18,84.43,87.98,88.10,96.63,102.47,86.86,100.75,106.82,104.13,104.27,107.21,107.71,106.30,106.40,106.68,106.56,108.16,107.49,106.04,106.08,101.57,101.12,101.99,102.09,103.67,103.87,105.21,106.35,102.47,102.43,100.69,103.13,100.68,102.68,107.46,107.21,102.74,98.12,99.86,100.89,99.42,98.91,99.63,97.87,99.37,98.89,97.13,98.29,101.15,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Stringbeans,25.71,24.79,24.98,25.61,27.03,26.01,23.58,15.98,14.46,21.08,28.42,22.84,23.38,25.72,25.13,24.58,21.67,26.74,28.90,24.96,24.39,24.76,34.18,31.38,29.85,26.85,26.62,26.12,23.96,21.07,21.66,20.18,20.35,29.33,27.41,23.36,24.47,25.29,24.15,28.11,24.53,25.64,24.01,23.95,26.61,21.57,19.47,23.66,31.73,34.99,27.26,25.87,30.25,29.99,30.69,28.83,23.82,23.63,26.80,24.82,25.66,21.94,22.65,34.15,26.93,34.04,29.30,27.02,28.84,31.81,32.46,35.61,25.11,21.64,27.91,34.95,39.64,30.95,33.09,33.14,31.93,35.53,39.71,37.33,29.01,29.79,31.56,32.45,33.97,35.58,34.05,35.84,34.35,32.85,29.07,26.68,28.39,24.82,22.17,29.64,26.97,32.44,39.93,30.57,43.86,40.73,34.08,30.51,36.64,45.01,39.34,32.41,38.71,34.96,38.32,35.53,36.11,40.97,35.82,38.95,39.74,44.14,40.50,31.02,30.61,37.87,29.63,36.79,30.84,41.78,35.29,41.84,40.60,41.72,42.32,34.46,20.76,21.97,24.35,38.62,58.87,58.09,38.59,51.53,40.09,37.14,35.98,37.23,39.38,40.33,44.65,37.79,34.20,35.50,51.41,41.01,58.64,50.66,40.99,32.55,36.79,38.70,37.07,32.99,33.34,43.80,57.66,51.57,43.22,66.44,64.11,54.70,46.85,47.39,45.61,42.67,49.45,58.84,38.96,34.92,45.81,49.78,53.41,53.88,59.05,58.29,71.16,70.29,50.04,35.65,52.28,51.78,70.17,70.91,58.08,56.42,50.37,51.89,41.17,53.97,61.31,55.38,58.74,52.47,42.66,82.00,84.35,57.56,75.81,79.27,73.29,55.07,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Sweet Peas Baguio,50.38,50.56,80.67,97.73,94.41,78.29,89.65,99.05,93.92,100.49,124.59,115.56,89.61,57.23,59.67,58.44,58.27,82.88,159.13,128.22,85.78,164.30,250.89,130.57,92.48,110.65,77.65,92.89,88.72,83.17,75.24,112.41,151.85,161.14,139.04,158.81,104.51,100.38,112.15,85.57,69.47,75.90,82.21,119.82,116.21,123.63,152.64,210.72,143.70,93.12,97.63,113.52,80.09,74.57,61.87,103.86,119.39,81.56,88.30,126.58,122.79,143.80,120.53,92.49,101.74,67.90,63.12,59.93,87.79,118.91,115.17,145.03,142.66,142.77,139.06,142.26,100.79,111.34,79.63,76.00,75.27,99.21,144.60,170.98,145.06,178.65,187.50,242.07,230.93,134.31,138.05,87.52,93.61,106.59,115.25,114.19,184.13,166.82,198.71,138.94,189.92,226.69,198.20,145.34,126.40,97.16,90.05,86.59,124.62,162.54,137.31,185.22,170.25,192.56,148.00,108.18,137.50,125.84,110.97,89.50,100.25,178.56,191.81,214.59,221.22,186.25,196.35,182.97,142.56,168.63,106.07,114.90,81.78,103.72,139.45,137.66,123.44,142.29,133.70,151.08,222.00,215.63,142.89,181.75,123.42,82.26,114.85,147.83,185.81,201.53,167.06,119.22,249.27,217.84,234.97,174.26,139.80,106.59,126.53,172.33,145.52,165.05,183.72,225.44,222.92,209.29,192.22,176.40,180.29,149.16,138.00,133.89,121.66,146.23,180.47,166.53,237.61,217.69,280.26,188.64,128.94,170.93,135.52,105.66,107.16,117.76,190.44,226.51,192.30,169.23,246.30,336.40,269.62,242.86,194.98,150.20,109.65,139.05,153.54,184.04,186.96,229.42,276.26,278.60,307.14,292.56,414.56,226.83,231.67,138.03,102.93,114.50,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Sweet Peas Native,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,55.30,48.35,38.74,95.92,116.40,62.50,67.57,135.69,126.23,137.17,87.71,86.67,88.19,43.04,36.64,38.28,55.42,..,81.67,88.00,182.73,105.00,101.36,..,58.80,79.09,53.78,43.75,55.96,88.23,133.59,128.33,146.67,137.69,187.17,221.25,182.33,127.50,125.52,41.60,57.06,69.51,87.29,99.44,175.65,134.26,188.00,147.85,216.92,209.15,164.83,132.63,96.48,66.10,77.27,70.50,..,138.81,139.85,238.51,125.00,177.73,131.77,100.18,123.84,112.50,105.67,71.70,69.73,172.86,..,180.00,176.67,115.63,207.50,130.00,80.36,129.33,65.37,82.06,..,90.00,128.57,106.25,103.33,120.25,142.05,138.10,172.50,173.33,104.64,..,75.05,70.00,..,..,123.33,113.50,137.67,193.33,..,..,..,113.12,..,..,39.25,..,..,..,85.25,..,183.33,104.17,68.33,74.22,92.43,62.89,66.25,73.56,65.00,67.56,106.67,..,..,..,..,..,..,73.66,..,..,..,..,..,..,..,..,..,220.00,240.25,251.11,237.12,78.22,..,..,..,..,..,..,..,..,..,..,..,78.22,..,..,113.56,113.78,..,..,..,..,..,..,..,..,..,NA
..NATIONAL CAPITAL REGION (NCR),Habitchuelas [Snap beans],20.51,27.28,39.31,28.01,28.09,31.17,27.80,14.90,18.60,44.17,54.01,29.87,30.31,21.40,22.46,20.25,25.15,42.20,51.34,32.97,36.04,43.31,75.70,36.48,36.44,36.98,30.58,39.96,35.32,22.71,30.22,35.11,32.26,52.83,37.83,27.41,37.56,35.84,34.80,34.91,23.63,28.00,30.81,41.24,35.68,25.07,35.92,55.88,50.56,33.08,30.56,35.45,27.96,29.73,29.89,37.98,29.98,36.00,38.13,43.11,32.19,33.54,25.61,..,33.10,..,29.83,26.65,33.01,..,..,52.08,37.38,37.95,..,89.32,35.95,42.77,28.46,31.60,33.75,38.20,61.38,..,26.39,58.43,..,..,..,..,39.74,33.28,41.19,32.49,32.71,30.48,54.45,44.40,..,..,..,..,..,38.43,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.96,36.30,63.53,67.06,40.10,..,54.60,66.31,..,43.59,..,51.93,39.48,39.89,40.48,68.00,83.67,41.53,29.58,45.89,..,..,117.53,108.69,61.47,40.58,45.88,..,41.43,55.63,93.00,51.42,..,42.57,..,..,40.66,51.40,..,..,47.40,41.86,..,..,70.60,47.31,..,..,81.77,69.12,59.68,62.51,67.70,56.94,46.11,60.53,63.38,55.66,124.09,76.64,39.97,55.09,56.82,63.79,50.13,50.93,52.78,59.11,103.44,93.21,58.10,70.03,130.51,100.90,127.64,140.00,86.40,61.59,43.80,74.78,61.90,64.61,66.60,72.51,94.21,70.94,89.70,215.66,208.44,93.73,53.23,54.31,78.35,63.29,..,..,..,..,..,..,..,..,..,NA
