Geolocation,Commodity,2010 January,2010 February,2010 March,2010 April,2010 May,2010 June,2010 July,2010 August,2010 September,2010 October,2010 November,2010 December,2010 Annual,2011 January,2011 February,2011 March,2011 April,2011 May,2011 June,2011 July,2011 August,2011 September,2011 October,2011 November,2011 December,2011 Annual,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December,2022 Annual,2023 January,2023 February,2023 March,2023 April,2023 May,2023 June,2023 July,2023 August,2023 September,2023 October,2023 November,2023 December,2023 Annual,2024 January,2024 February,2024 March,2024 April,2024 May,2024 June,2024 July,2024 August,2024 September,2024 October,2024 November,2024 December,2024 Annual,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December,2025 Annual,2026 January,2026 February,2026 March,2026 April,2026 May,2026 June,2026 July,2026 August,2026 September,2026 October,2026 November,2026 December,2026 Annual,NA
PHILIPPINES,Abaca Handstripped,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57.50,58.00,57.00,57.00,57.25,57.40,57.36,57.50,62.50,62.10,63.00,62.50,59.00,59.00,59.70,59.25,59.50,60.50,62.50,60.59,61.00,61.50,62.50,62.50,62.50,..,..,56.50,58.50,62.50,62.50,64.50,61.45,66.50,67.56,67.50,67.50,67.50,66.00,66.00,69.35,69.50,68.30,69.00,50.00,66.23,59.00,59.75,60.00,60.00,60.00,64.38,70.50,70.75,70.00,71.00,71.50,71.60,65.71,71.71,72.38,72.75,75.20,75.25,74.69,74.40,73.50,73.80,70.50,71.00,68.20,72.78,65.00,65.00,66.00,70.00,67.88,65.00,66.75,69.50,69.00,69.00,69.63,70.00,67.73,65.00,61.25,56.00,55.00,55.00,64.00,48.50,47.50,50.00,50.00,50.60,..,54.80,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Coconut matured*,13.64,13.47,13.56,13.26,12.53,11.10,11.34,11.47,11.31,13.50,15.70,14.50,12.95,15.18,17.90,20.20,20.59,19.87,20.00,19.58,18.33,18.91,18.53,18.63,18.60,18.86,16.50,17.56,18.65,21.57,20.00,21.65,18.89,17.98,16.72,18.28,16.99,15.86,18.39,15.58,14.28,16.27,18.64,17.12,18.38,15.70,15.68,15.60,16.30,16.20,16.30,16.34,16.46,16.20,16.90,16.33,17.46,18.73,19.31,17.33,17.80,19.49,19.95,19.60,17.96,21.25,22.40,21.70,22.60,22.66,23.90,24.54,24.00,20.92,..,..,..,22.66,23.00,23.75,23.42,22.51,22.20,23.92,23.80,25.40,23.80,24.05,23.78,23.66,25.69,23.95,24.23,24.27,24.76,23.09,24.09,23.80,22.69,23.80,23.05,20.83,22.72,23.44,23.03,22.38,22.62,23.60,22.03,23.80,20.54,23.00,23.75,23.80,23.20,..,22.89,23.38,23.08,21.00,21.00,25.98,21.00,21.00,20.80,19.20,..,16.80,17.70,25.77,16.80,16.80,16.20,16.20,18.05,19.60,20.61,21.65,21.57,20.80,20.80,20.80,19.16,20.80,20.80,20.80,20.80,20.80,20.80,20.80,20.80,20.80,27.40,26.17,26.93,22.31,25.23,25.13,27.03,27.00,24.58,25.46,25.03,24.60,23.66,23.98,23.87,22.04,24.80,20.55,19.90,19.37,18.95,19.22,19.86,20.52,20.34,21.84,21.69,21.50,21.77,20.46,21.53,21.80,22.44,24.50,23.08,22.40,22.44,21.80,23.17,23.97,25.00,24.74,23.07,22.80,23.53,24.25,25.00,24.24,23.31,23.98,..,22.62,23.64,..,26.07,23.94,26.05,24.95,25.60,25.65,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Coffee Arabica (roasted),270.00,270.00,270.00,270.00,270.00,270.00,270.00,270.00,270.00,270.00,270.00,270.00,270.00,270.00,270.00,293.33,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,294.44,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,350.00,350.00,350.00,312.50,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,..,..,..,..,350.00,..,..,..,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,..,350.00,350.00,..,..,..,..,..,380.00,380.00,280.00,..,380.00,380.00,358.33,386.00,395.00,395.00,395.00,395.00,..,395.00,..,..,..,..,..,393.50,407.06,393.33,393.33,372.38,393.33,393.33,393.33,..,..,..,..,..,392.30,..,..,..,..,..,..,..,..,..,..,..,..,..,..,453.33,453.33,453.33,453.33,453.33,..,453.33,453.33,..,453.33,..,453.33,408.00,453.33,453.33,453.33,453.33,453.33,452.96,452.92,..,..,453.33,453.33,448.72,453.33,453.33,453.33,453.33,453.33,453.33,453.33,..,453.33,453.33,453.33,453.33,453.33,..,453.33,453.33,453.33,..,..,453.33,563.33,..,..,600.00,600.00,510.95,600.00,600.00,600.00,618.75,664.81,666.67,666.67,677.78,686.67,686.67,686.67,697.78,654.37,706.67,706.67,706.67,706.67,716.67,723.33,723.33,723.33,723.33,725.56,743.33,743.33,720.74,755.33,790.00,817.08,823.33,823.33,840.00,864.07,866.67,875.83,937.33,943.33,943.33,856.64,943.33,976.67,977.08,992.96,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Coffee Robusta (roasted),172.00,172.00,172.00,172.00,172.00,172.00,172.00,172.00,172.00,172.00,172.00,172.00,172.00,172.00,172.00,178.22,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,178.52,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,180.00,210.00,210.00,210.00,187.50,210.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00,..,..,..,..,210.00,..,..,..,210.00,210.00,210.00,210.00,210.00,210.00,210.00,210.00,..,210.00,..,..,..,..,..,..,210.00,210.00,210.00,..,280.00,280.00,238.00,262.00,235.00,235.00,235.00,235.00,..,..,..,..,..,..,..,240.40,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,293.33,293.33,306.67,306.67,306.67,..,306.67,306.67,..,306.67,..,303.34,306.67,296.67,293.33,293.33,293.33,293.33,293.33,293.33,..,..,293.33,293.33,295.00,293.33,293.33,293.33,293.33,293.33,293.33,293.33,..,293.33,293.33,293.33,293.33,293.33,..,293.33,293.33,293.33,..,..,293.33,323.33,..,..,341.11,340.00,311.11,340.00,341.25,352.67,354.17,355.93,356.67,356.67,365.93,373.33,373.33,371.85,390.37,361.01,433.33,450.00,450.00,450.00,462.00,470.00,470.00,470.00,470.00,470.00,470.00,471.67,461.42,490.67,545.00,604.58,623.33,623.33,645.00,718.52,736.67,742.92,802.67,806.67,806.67,678.84,806.67,823.33,823.33,823.70,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Copra Corriente,12.12,12.37,13.48,15.57,15.82,16.91,19.42,19.51,21.60,23.78,26.68,30.38,18.97,33.09,38.30,32.31,34.25,36.70,34.40,30.03,24.04,18.63,20.19,20.37,22.59,28.74,24.04,23.82,21.72,21.58,17.98,15.68,13.80,13.14,12.69,13.90,11.96,10.10,16.70,11.78,11.68,10.90,11.10,11.24,12.61,13.48,12.99,14.30,14.13,13.67,20.00,12.73,16.63,18.71,21.15,21.38,23.71,24.73,21.45,16.71,17.78,16.36,20.22,18.10,19.57,19.18,18.90,18.43,..,19.10,18.76,14.99,18.94,18.46,15.50,18.50,19.00,18.16,19.13,19.89,20.47,..,26.07,26.38,27.58,28.13,28.50,28.13,27.88,29.30,25.59,32.50,34.25,31.10,31.00,32.50,32.50,31.13,30.30,30.13,30.68,30.60,29.88,31.38,27.38,23.88,20.90,18.63,17.90,..,..,14.70,13.38,16.63,12.60,11.50,17.75,11.20,10.50,10.50,10.00,10.50,10.50,10.50,10.08,10.38,10.72,11.08,13.50,10.79,16.36,15.25,12.25,12.00,12.00,12.25,16.20,17.65,17.25,17.42,21.00,21.48,15.93,28.73,26.38,28.03,27.64,28.50,28.00,27.44,26.15,24.50,28.40,30.60,27.94,27.69,28.00,36.90,41.98,41.80,33.40,29.76,26.33,20.92,20.75,20.00,20.75,20.00,28.38,19.50,20.00,19.10,18.00,20.00,20.00,20.50,21.50,19.00,18.13,18.00,19.00,19.39,19.00,19.50,19.50,19.75,20.40,20.00,20.00,25.40,28.25,29.80,31.00,33.25,23.82,36.90,41.50,45.33,52.00,59.50,61.38,60.00,45.00,32.88,38.50,38.25,36.88,45.68,36.50,36.00,33.25,27.50,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Copra Resecada,15.69,17.04,18.30,19.55,19.92,20.87,23.15,25.76,28.61,32.29,34.01,37.01,24.35,51.36,52.03,40.79,46.69,46.13,42.61,38.13,33.74,30.07,27.89,31.82,32.64,39.49,32.71,32.47,29.62,29.65,24.92,22.85,21.57,23.38,18.64,17.32,15.29,16.35,23.73,16.97,17.06,16.44,16.39,16.98,19.38,18.49,18.49,21.28,23.07,26.05,33.52,19.08,29.40,36.39,34.04,32.88,34.05,32.16,28.16,26.00,26.23,27.24,27.68,27.74,29.70,26.07,24.35,25.50,27.13,28.53,29.80,27.66,26.83,25.71,26.70,27.84,29.81,26.98,29.37,31.86,34.44,38.36,37.89,31.52,29.00,33.84,35.01,34.00,34.78,38.88,34.86,44.08,45.04,42.23,42.83,44.00,43.43,43.20,45.64,43.80,42.48,44.40,39.94,42.57,37.08,33.85,29.60,30.10,26.16,24.04,23.95,23.60,26.45,21.15,18.28,18.78,23.31,18.75,16.82,16.78,16.53,15.83,16.03,15.24,15.70,16.33,15.90,16.70,21.77,16.87,23.51,22.06,19.20,18.35,19.83,21.19,22.15,22.46,23.58,24.92,29.97,35.42,23.56,36.78,37.60,39.00,40.30,39.90,41.05,39.75,38.12,36.30,47.50,46.80,44.20,36.96,48.68,53.47,58.50,57.00,44.88,45.60,39.15,34.20,30.80,34.85,33.10,35.50,42.98,28.95,29.95,25.54,25.05,25.84,25.70,26.99,28.01,26.13,25.70,26.00,26.75,26.09,26.88,27.25,27.97,29.68,29.44,29.13,31.34,36.29,38.40,39.90,42.11,45.87,33.69,54.78,57.38,63.50,71.27,78.52,72.20,74.79,61.05,66.20,60.73,62.10,54.30,64.74,53.72,56.17,55.46,52.21,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Tobacco Virginia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
..NATIONAL CAPITAL REGION (NCR),Abaca Handstripped,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
..NATIONAL CAPITAL REGION (NCR),Coconut matured*,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.99,..,..,..,..,27.99,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,NA
..NATIONAL CAPITAL REGION (NCR),Coffee Arabica (roasted),270.00,270.00,270.00,270.00,270.00,270.00,270.00,270.00,270.00,270.00,270.00,270.00,270.00,270.00,270.00,293.33,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,294.44,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,300.00,350.00,350.00,350.00,312.50,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,..,..,..,..,350.00,..,..,..,350.00,350.00,350.00,350.00,350.00,350.00,350.00,350.00,..,350.00,350.00,..,..,..,..,..,380.00,380.00,280.00,..,380.00,380.00,358.33,386.00,395.00,395.00,395.00,395.00,..,395.00,..,..,..,..,..,393.50,407.06,393.33,393.33,372.38,393.33,393.33,393.33,..,..,..,..,..,392.30,..,..,..,..,..,..,..,..,..,..,..,..,..,..,453.33,453.33,453.33,453.33,453.33,..,453.33,453.33,..,453.33,..,453.33,408.00,453.33,453.33,453.33,453.33,453.33,452.96,452.92,..,..,453.33,453.33,448.72,453.33,453.33,453.33,453.33,453.33,453.33,453.33,..,453.33,453.33,453.33,453.33,453.33,..,453.33,453.33,453.33,..,..,453.33,563.33,..,..,600.00,600.00,510.95,600.00,600.00,600.00,618.75,664.81,666.67,666.67,677.78,686.67,686.67,686.67,697.78,654.37,706.67,706.67,706.67,706.67,716.67,723.33,723.33,723.33,723.33,725.56,743.33,743.33,720.74,755.33,790.00,817.08,823.33,823.33,840.00,864.07,866.67,875.83,937.33,943.33,943.33,856.64,943.33,976.67,977.08,992.96,..,..,..,..,..,..,..,..,..,NA
