Geolocation,Commodity,2010 January,2010 February,2010 March,2010 April,2010 May,2010 June,2010 July,2010 August,2010 September,2010 October,2010 November,2010 December,2010 Annual,2011 January,2011 February,2011 March,2011 April,2011 May,2011 June,2011 July,2011 August,2011 September,2011 October,2011 November,2011 December,2011 Annual,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December,2022 Annual,2023 January,2023 February,2023 March,2023 April,2023 May,2023 June,2023 July,2023 August,2023 September,2023 October,2023 November,2023 December,2023 Annual,2024 January,2024 February,2024 March,2024 April,2024 May,2024 June,2024 July,2024 August,2024 September,2024 October,2024 November,2024 December,2024 Annual,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December,2025 Annual,2026 January,2026 February,2026 March,2026 April,2026 May,2026 June,2026 July,2026 August,2026 September,2026 October,2026 November,2026 December,2026 Annual,NA
PHILIPPINES,Garlic Taiwan (Imported),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62.50,54.87,74.37,89.09,136.68,252.12,153.10,80.96,73.36,67.01,63.92,64.85,98.65,67.72,63.01,62.16,64.51,64.94,66.38,66.96,67.81,73.73,76.57,78.00,84.17,69.45,129.61,97.72,111.55,120.08,127.40,133.50,115.71,120.03,115.87,121.49,122.77,131.05,112.82,129.92,130.31,126.17,148.15,163.54,128.43,87.83,84.32,84.32,84.05,77.20,72.70,112.12,65.82,71.73,70.07,70.88,70.33,70.08,61.44,54.39,55.68,50.63,56.88,58.04,63.06,60.39,63.31,69.06,77.29,92.28,94.25,95.19,95.47,90.08,88.18,86.83,91.90,81.98,89.91,120.00,118.57,123.53,111.73,88.26,73.42,63.27,75.91,75.48,76.24,78.35,90.02,77.63,79.22,78.81,74.97,73.79,75.96,77.67,83.24,83.26,83.41,83.85,85.31,79.59,85.42,76.90,77.90,83.50,83.67,82.87,80.68,80.77,80.90,81.74,79.93,77.27,80.53,78.29,81.20,80.41,77.56,88.39,96.98,101.48,104.55,105.40,106.45,105.37,106.13,88.71,112.57,108.54,107.63,109.82,114.18,114.96,117.10,110.02,109.74,112.96,111.65,113.25,111.87,112.61,114.41,114.45,113.18,112.85,109.96,109.60,107.13,100.17,105.92,102.48,106.87,109.14,102.93,101.91,98.68,101.99,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,"Garlic, native",138.66,136.31,125.69,123.77,133.74,140.50,147.08,157.62,155.22,164.61,163.77,170.46,146.45,167.68,165.31,152.48,145.55,137.00,136.57,141.70,137.29,137.93,138.25,141.52,146.87,141.88,133.70,129.89,129.94,126.72,125.22,130.93,133.31,125.68,128.03,125.52,129.13,123.91,124.10,122.51,124.24,118.39,114.99,115.74,122.69,125.69,124.32,128.15,136.80,153.99,157.81,126.32,152.72,146.09,147.24,150.24,192.96,262.49,224.90,203.68,195.10,195.77,205.20,262.28,185.83,295.35,225.87,192.00,174.55,148.96,127.93,124.13,123.01,120.45,125.19,119.10,115.05,150.93,101.13,109.85,111.78,127.06,132.57,149.27,139.15,156.38,146.98,144.60,133.92,156.61,127.42,176.98,149.54,142.63,162.64,161.14,156.29,146.31,149.91,154.95,150.28,152.77,151.52,155.97,185.18,158.58,136.03,146.25,141.34,157.84,144.92,141.54,139.06,131.17,132.76,95.00,132.82,122.42,141.86,136.77,130.70,139.02,142.24,133.19,150.30,156.42,156.33,168.65,149.40,145.90,171.05,170.11,195.13,160.47,183.83,177.32,184.56,156.90,136.65,154.85,159.99,173.08,172.68,176.32,177.93,196.27,199.04,195.98,195.87,191.93,191.00,190.68,153.75,185.20,182.69,190.29,175.01,167.86,135.13,128.41,117.60,117.69,134.33,136.94,135.84,137.54,161.89,165.39,151.18,177.60,137.58,161.23,244.83,244.25,253.17,367.17,359.14,367.59,348.53,290.66,353.50,196.21,351.06,350.65,348.64,383.54,389.42,386.42,394.09,301.75,281.78,271.13,282.77,297.78,294.99,283.59,280.40,274.10,263.21,265.78,265.76,258.80,256.99,259.26,252.22,250.22,229.06,265.54,239.96,247.48,243.85,244.13,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Ginger Hawaiian,40.18,37.81,40.51,54.30,64.88,66.69,62.25,63.37,62.03,57.67,49.96,43.45,53.66,42.00,39.11,36.34,35.73,36.95,37.62,37.60,36.08,35.66,35.49,31.98,28.87,36.12,27.24,24.41,22.56,21.88,23.51,23.59,24.48,25.50,26.61,27.15,26.93,26.13,25.00,26.03,24.65,25.92,28.74,36.38,38.99,44.03,48.13,47.31,48.36,47.40,49.45,38.43,55.85,54.92,63.35,89.56,113.91,119.78,114.46,111.78,112.34,91.15,79.37,75.12,88.55,74.51,72.79,85.69,124.40,143.60,154.28,128.68,112.79,103.34,93.65,85.72,74.73,104.06,62.76,58.16,56.79,57.16,61.68,70.06,59.99,56.96,53.41,56.46,53.68,50.00,55.81,46.00,42.06,38.24,38.68,38.47,38.78,36.56,35.13,34.74,37.19,40.57,37.75,37.81,36.87,34.32,31.76,33.25,32.52,37.15,37.82,42.25,45.63,47.04,47.21,46.50,39.14,48.46,50.24,50.97,62.64,88.79,82.30,83.09,87.81,90.63,87.64,91.40,88.40,82.42,82.56,78.38,98.70,149.93,146.21,141.41,122.67,114.99,115.45,125.62,124.08,107.64,118.79,85.32,83.67,81.16,80.99,84.74,87.88,88.73,86.85,79.33,80.93,75.17,72.93,83.06,65.62,55.32,56.38,57.84,58.02,57.29,58.91,55.94,53.88,58.33,59.30,54.61,57.45,51.26,49.95,45.34,48.07,49.85,51.76,57.89,63.80,68.46,70.82,77.26,72.59,57.93,71.34,72.02,77.26,95.57,133.81,153.01,139.84,132.54,132.08,132.36,124.67,123.61,115.68,114.25,105.54,107.65,117.83,138.72,141.02,130.59,120.08,112.24,107.02,105.74,104.12,117.07,93.59,85.38,83.19,89.40,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Ginger Native,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.32,103.15,126.92,148.15,148.15,131.77,105.54,91.86,79.58,83.42,101.18,78.44,77.48,78.82,122.61,120.30,142.34,118.43,111.15,79.62,83.85,64.69,59.58,94.19,59.23,59.15,93.08,70.31,67.77,126.00,64.15,79.04,65.49,58.31,55.23,49.31,82.65,44.62,37.97,40.47,39.43,39.79,39.85,32.05,36.62,38.35,39.58,45.84,45.19,39.69,38.36,33.58,36.81,35.70,37.66,37.28,37.07,41.74,47.61,48.98,53.38,64.23,42.13,52.06,48.17,46.69,53.50,46.46,84.88,95.38,92.61,94.13,95.93,85.59,84.07,73.48,84.45,83.19,97.44,116.75,116.77,141.38,132.95,117.43,123.40,117.13,85.90,80.86,111.31,82.63,83.75,75.58,78.75,79.65,79.55,81.27,79.38,74.80,82.38,79.06,72.33,79.45,60.38,58.99,53.49,57.22,54.87,57.90,61.63,54.49,51.81,52.74,55.73,52.38,56.96,48.28,44.65,40.70,43.83,49.42,50.44,52.18,61.84,65.13,63.32,65.15,65.02,51.22,65.22,68.48,72.14,74.42,121.08,150.42,154.35,132.27,123.57,128.42,135.84,131.31,113.13,136.28,127.87,124.52,122.20,146.37,150.53,139.25,122.19,107.50,102.01,99.26,97.10,122.92,92.20,84.55,84.63,93.39,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Onion Leeks,30.98,31.56,33.69,33.69,47.66,47.94,49.77,34.76,32.65,32.52,30.69,32.90,36.57,42.14,41.14,39.04,37.01,34.63,40.19,43.23,40.51,46.07,66.67,65.57,53.81,45.83,56.83,48.62,49.03,39.99,35.96,39.22,37.63,58.85,48.96,42.86,40.89,45.41,45.35,50.62,47.91,42.55,40.55,43.13,44.95,43.05,45.15,57.56,51.44,47.84,45.13,45.67,34.82,34.41,33.13,33.59,36.83,38.94,38.02,46.54,40.84,44.81,41.21,36.76,38.59,40.45,38.51,36.77,34.90,32.26,32.60,51.36,50.14,40.90,43.48,55.46,42.45,43.24,46.47,45.79,42.69,32.97,38.69,33.88,41.21,44.51,46.15,46.20,46.66,47.30,44.48,44.92,41.58,44.65,41.85,35.14,38.91,33.38,32.48,31.51,33.49,39.87,43.48,40.57,47.86,50.27,43.55,46.58,47.35,39.21,41.71,61.79,99.43,53.61,56.66,58.04,49.89,65.00,44.84,42.28,40.73,45.38,54.03,46.89,55.43,63.85,58.25,58.38,65.59,52.91,54.58,61.17,49.11,49.00,42.93,42.01,35.98,37.30,38.93,42.72,63.88,63.09,48.87,60.25,63.88,47.04,53.78,51.79,52.72,45.51,53.00,36.39,42.66,57.82,62.96,56.81,71.12,64.21,55.85,55.39,48.27,44.04,46.60,50.20,48.23,50.68,63.88,55.29,56.33,60.24,62.24,65.63,65.68,64.83,77.32,79.51,102.18,99.44,103.37,89.62,80.70,79.47,76.13,63.55,54.98,48.40,54.50,60.89,58.57,60.08,68.24,91.20,80.39,96.42,67.78,69.73,59.73,62.57,58.00,66.42,62.74,66.62,110.65,81.02,90.40,103.30,112.06,78.61,89.10,88.14,85.58,73.25,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,"Onion native (red shallot), multiplier",65.19,37.85,33.21,28.23,27.23,33.25,38.44,75.72,77.51,77.94,49.13,57.75,48.53,60.80,87.98,64.92,52.44,52.81,60.22,66.59,56.57,73.77,78.94,100.90,78.83,71.08,49.21,31.85,28.90,32.66,55.97,56.92,57.16,69.43,68.71,78.91,76.00,57.78,52.72,52.52,45.39,34.63,35.94,41.24,47.38,46.95,44.89,57.77,63.62,73.69,93.09,47.88,72.00,59.06,45.10,38.73,35.14,35.52,38.92,43.17,49.27,52.18,60.19,48.60,48.90,36.60,29.46,21.86,26.06,32.46,33.08,54.16,61.00,61.95,79.26,93.41,82.35,45.11,68.58,58.96,55.97,57.12,76.67,84.96,80.57,114.03,97.37,85.00,62.35,60.00,76.02,53.94,50.36,47.60,42.34,43.43,49.40,57.23,44.00,44.00,44.00,51.00,52.00,49.28,66.08,59.50,55.34,51.00,50.00,50.00,51.54,..,70.00,..,74.85,..,59.14,43.65,39.23,39.52,37.27,32.60,39.50,33.00,54.28,57.80,33.00,68.01,84.34,49.21,68.88,58.87,54.86,38.74,64.85,64.60,72.49,82.93,58.00,88.00,116.55,136.50,74.74,94.50,61.00,57.72,66.91,74.00,73.67,72.45,65.00,70.51,67.06,77.77,80.21,72.02,107.50,58.79,46.20,71.70,41.60,41.28,71.88,72.74,58.00,77.75,160.78,226.95,99.83,302.13,173.54,104.16,114.02,131.78,140.75,216.00,216.00,219.56,232.75,220.77,123.46,165.46,101.32,56.29,51.67,49.94,54.82,64.34,68.73,68.07,83.83,78.42,84.18,83.00,66.33,71.26,77.50,59.10,57.44,73.88,82.64,80.00,89.17,92.96,94.50,116.57,145.29,86.69,117.34,97.32,90.37,80.88,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Onion Red Creole (Bermuda Red),72.48,47.89,29.87,24.32,23.63,31.03,36.45,43.79,45.69,45.91,45.37,52.22,41.55,74.80,119.92,59.60,52.70,53.21,58.68,61.86,60.69,61.72,69.38,69.35,69.35,67.60,64.74,53.73,43.46,45.92,54.77,61.20,62.53,67.71,75.72,73.21,69.78,61.73,61.21,56.18,49.73,39.96,36.08,42.06,46.15,45.53,46.38,52.24,55.16,62.59,80.17,50.88,78.51,66.93,40.41,31.47,30.49,35.93,41.93,44.94,46.00,45.19,47.38,48.63,46.38,51.39,41.34,27.86,32.24,35.46,39.93,44.68,46.68,53.87,65.18,82.03,82.41,50.12,78.37,58.67,48.71,57.28,69.83,80.82,82.20,92.73,95.34,88.50,64.45,56.08,72.28,54.52,56.81,48.08,45.52,46.43,50.92,50.19,51.28,58.36,62.01,70.03,95.41,56.41,84.86,67.20,60.69,61.67,64.60,76.72,77.37,85.17,82.81,67.68,62.37,59.50,70.75,63.01,56.68,49.28,38.72,37.71,40.50,42.70,43.62,45.86,60.03,85.47,130.06,56.47,137.00,82.42,71.03,76.65,77.29,78.42,77.92,79.18,104.05,123.57,141.83,124.59,97.82,78.71,77.48,76.18,71.97,75.09,79.93,81.66,84.87,90.81,102.25,123.11,155.92,91.52,133.05,69.24,55.93,52.54,63.17,72.48,82.72,98.68,114.70,160.70,218.77,322.93,122.18,393.45,239.85,105.70,107.31,141.81,141.76,140.16,144.28,130.82,121.77,137.08,149.65,181.39,126.68,96.11,75.46,70.99,73.91,81.17,82.48,80.53,78.51,78.51,78.37,85.97,84.06,117.40,152.33,104.58,90.73,104.92,109.11,117.23,125.54,128.71,126.11,192.31,161.04,127.50,116.99,98.77,79.41,72.05,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Onion White (Yellow Granex),36.02,27.74,11.98,13.48,17.43,21.56,26.55,31.37,34.91,39.33,41.65,40.25,28.53,59.27,69.15,28.96,43.06,42.89,42.85,38.15,41.20,54.61,52.31,45.88,45.25,46.96,44.31,31.30,28.98,33.98,42.12,45.69,59.91,57.38,47.78,49.70,46.80,39.31,43.94,39.16,33.78,27.40,30.34,36.40,36.38,35.73,42.11,44.76,43.86,43.30,42.55,37.98,39.37,32.98,16.66,16.90,18.99,23.68,28.62,30.65,43.61,40.82,42.46,43.53,31.04,41.10,19.37,14.87,24.61,29.55,34.56,44.56,44.23,45.77,44.92,43.27,49.10,35.68,60.48,44.23,38.51,46.26,62.75,66.91,46.80,55.50,50.75,42.21,40.32,41.92,49.32,35.84,36.45,35.00,32.58,35.86,34.84,34.37,36.01,73.78,44.36,46.47,45.77,37.61,47.40,38.12,27.05,25.93,25.63,43.81,46.00,..,52.46,54.69,55.31,..,41.64,43.23,29.08,25.31,31.78,39.57,26.67,27.22,31.65,39.58,25.80,36.19,47.40,44.54,51.70,42.46,41.10,42.92,42.97,44.80,45.97,49.11,53.42,54.00,57.05,52.64,47.66,47.24,43.96,39.22,40.93,45.94,49.30,49.62,50.67,55.31,57.08,57.45,48.97,48.74,49.36,41.87,34.54,37.01,42.62,49.72,73.05,137.01,..,230.00,205.58,224.36,87.13,249.37,121.04,77.80,97.04,133.13,132.56,109.18,96.53,85.50,83.11,90.27,89.60,113.76,82.41,58.37,41.60,43.03,49.59,52.42,62.11,69.51,70.13,58.27,60.10,66.86,59.53,75.07,93.42,52.84,50.63,58.71,66.32,81.66,93.88,92.91,75.70,92.61,91.52,77.11,89.50,64.31,59.32,54.10,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Pepper bell,63.73,53.81,48.25,55.27,58.25,52.79,70.37,86.94,95.97,90.12,86.26,94.79,71.10,98.65,84.18,110.52,98.75,74.71,70.60,64.58,57.55,70.25,115.50,137.18,116.10,91.55,80.13,69.63,76.73,87.92,82.32,97.62,113.64,128.26,151.67,119.55,69.72,57.27,94.54,68.75,80.57,75.59,57.86,66.63,80.16,99.33,104.58,124.85,135.29,120.01,121.66,94.61,89.29,80.38,75.27,65.12,72.86,65.41,61.85,63.28,94.64,97.15,104.21,120.41,82.12,106.33,85.81,87.32,85.10,97.39,94.04,120.58,126.02,123.57,94.90,84.42,89.41,99.88,80.71,79.83,75.09,93.93,114.74,115.52,80.60,81.75,83.49,121.44,155.46,141.89,99.70,121.25,115.85,73.87,61.80,60.36,59.29,72.32,86.56,103.19,113.40,108.25,103.06,91.14,114.36,116.48,134.60,121.97,125.42,136.21,110.09,121.76,147.48,161.63,137.48,111.46,125.60,100.47,88.12,67.10,101.35,132.70,128.39,163.31,171.64,142.35,120.67,117.83,103.33,122.90,98.78,101.99,80.74,79.63,76.60,91.46,79.02,88.67,99.56,118.01,174.38,184.90,105.99,209.91,191.98,133.00,84.86,76.99,90.49,105.94,92.76,131.94,174.45,108.14,125.91,113.18,142.35,145.94,161.77,178.26,169.78,130.97,116.42,123.14,117.91,131.38,162.81,180.99,145.48,131.32,132.31,130.84,86.00,83.97,96.01,145.32,203.95,245.44,229.55,128.63,93.44,143.41,90.78,131.04,121.73,109.52,140.33,191.36,175.23,135.22,127.40,142.81,193.95,231.63,149.25,188.46,113.97,76.20,72.90,81.91,87.59,107.80,201.19,270.69,176.44,171.34,176.36,143.74,164.34,157.81,161.98,141.22,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,"Pepper finger, green",31.15,19.90,16.70,25.53,27.61,18.55,11.67,15.58,16.68,35.16,89.32,67.02,27.94,56.59,47.60,38.19,24.96,26.42,20.54,26.61,42.44,51.34,162.01,138.13,60.75,58.24,35.22,21.30,20.11,19.35,17.28,19.35,28.84,42.79,52.13,47.21,33.95,38.32,31.32,33.63,29.55,34.22,31.78,24.81,27.97,27.79,41.41,62.43,90.53,105.07,84.43,49.57,37.30,25.03,25.18,26.76,24.92,28.92,35.85,42.06,38.88,49.90,52.07,47.56,35.04,52.01,33.45,34.98,25.53,22.62,26.40,60.26,63.92,80.52,91.62,163.89,91.54,65.21,66.66,46.87,25.65,24.54,43.12,24.39,31.60,65.45,58.11,71.23,174.49,121.94,58.84,72.85,38.90,26.72,25.61,39.75,39.92,58.14,61.21,50.57,65.19,84.48,78.15,51.37,55.09,46.47,32.92,30.16,43.52,48.71,58.94,96.87,104.04,170.04,121.38,34.07,72.95,45.84,21.74,21.93,32.96,25.60,23.29,39.41,34.94,50.82,92.12,93.58,105.43,47.64,73.50,37.78,28.93,34.46,31.16,39.68,40.83,45.06,33.36,52.88,189.97,222.79,72.49,100.95,64.49,36.43,31.66,23.36,33.96,28.48,62.86,67.00,87.86,66.43,44.79,50.63,43.81,42.17,46.93,47.34,47.54,54.17,62.50,57.03,88.95,135.96,191.46,134.87,81.69,55.23,48.47,32.14,30.77,35.46,33.65,61.47,172.45,142.04,83.23,64.59,66.20,68.81,63.68,39.34,49.87,55.63,53.38,60.29,63.51,81.74,71.24,95.99,131.88,179.85,78.87,87.45,42.93,31.80,36.47,53.13,41.72,67.75,97.84,57.88,91.50,197.96,198.78,83.77,97.10,58.05,53.75,48.06,..,..,..,..,..,..,..,..,..,NA
