Geolocation,Commodity,2010 January,2010 February,2010 March,2010 April,2010 May,2010 June,2010 July,2010 August,2010 September,2010 October,2010 November,2010 December,2010 Annual,2011 January,2011 February,2011 March,2011 April,2011 May,2011 June,2011 July,2011 August,2011 September,2011 October,2011 November,2011 December,2011 Annual,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December,2022 Annual,2023 January,2023 February,2023 March,2023 April,2023 May,2023 June,2023 July,2023 August,2023 September,2023 October,2023 November,2023 December,2023 Annual,2024 January,2024 February,2024 March,2024 April,2024 May,2024 June,2024 July,2024 August,2024 September,2024 October,2024 November,2024 December,2024 Annual,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December,2025 Annual,2026 January,2026 February,2026 March,2026 April,2026 May,2026 June,2026 July,2026 August,2026 September,2026 October,2026 November,2026 December,2026 Annual,NA
PHILIPPINES,Alumahan [Indian mackerel],94.40,86.57,87.78,85.21,82.69,84.64,83.61,82.98,79.66,85.40,85.51,93.69,85.90,96.35,87.81,88.38,87.09,82.04,91.85,96.70,90.51,86.16,88.06,87.50,94.55,91.70,99.32,96.19,96.84,98.13,96.43,101.88,100.36,100.06,105.12,107.15,104.89,107.65,102.89,109.52,107.60,95.43,93.54,93.76,93.08,95.58,98.52,96.67,101.96,106.73,106.84,102.05,127.95,109.62,108.49,106.14,105.94,107.49,112.67,107.86,114.06,118.44,115.20,115.18,116.63,126.24,123.03,110.99,108.27,99.48,104.45,106.84,110.39,107.72,112.79,112.02,114.95,112.36,113.27,119.28,111.40,104.82,110.36,105.27,105.43,120.91,110.05,112.49,113.66,120.52,118.54,133.04,130.68,123.20,123.10,128.24,124.48,122.40,129.92,134.86,137.53,142.29,154.68,132.74,162.92,153.47,161.75,132.29,136.24,163.96,153.88,160.29,150.81,143.58,141.26,141.08,149.31,147.67,149.33,153.79,146.75,144.31,132.15,130.42,155.48,138.08,136.27,145.22,170.54,147.19,170.08,142.21,157.90,154.94,150.98,150.15,150.36,143.19,144.57,152.91,165.21,166.47,152.62,192.08,185.83,174.52,173.97,171.80,163.78,166.12,161.68,161.39,180.07,162.73,183.39,178.70,185.93,171.49,171.45,181.99,188.82,172.36,180.12,169.26,172.99,180.34,179.57,193.05,180.48,205.44,208.93,193.43,179.97,181.17,185.46,187.07,186.46,173.60,171.93,176.25,181.12,194.31,188.88,186.03,183.56,169.88,166.86,170.75,170.36,169.97,172.68,180.00,184.54,193.50,178.11,203.43,192.61,186.52,181.81,185.00,180.15,183.33,174.07,177.50,179.54,207.89,204.66,187.41,207.59,206.92,211.70,200.22,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Bangus [Milkfish],101.97,101.13,97.19,96.39,94.87,93.19,86.90,86.08,82.61,84.17,87.08,91.62,91.93,96.00,93.45,92.83,95.72,92.48,86.61,87.47,90.86,88.95,93.26,96.35,102.82,93.07,104.60,104.84,107.87,107.22,102.80,104.18,103.09,104.36,106.44,106.34,105.37,106.17,105.34,109.05,109.19,107.41,105.10,101.88,98.53,93.70,94.67,96.39,100.07,105.13,106.16,102.15,110.46,106.97,105.53,105.13,101.39,99.99,96.48,101.42,101.34,99.92,101.68,106.64,103.08,105.64,100.21,107.46,106.24,105.06,104.68,103.95,105.49,103.31,103.24,106.37,105.71,104.29,102.93,107.32,106.00,102.78,103.73,103.00,98.28,99.90,99.22,101.92,102.84,105.97,102.63,106.25,105.16,105.40,109.51,110.13,106.57,106.47,107.22,111.64,111.14,116.77,121.42,108.54,129.23,127.12,127.01,131.33,127.72,129.42,126.84,126.44,132.17,131.83,136.47,136.53,130.71,138.30,140.55,134.64,130.91,131.66,122.02,120.20,123.18,127.25,128.41,132.70,137.79,130.19,135.64,138.55,135.88,133.30,134.23,129.00,126.25,124.82,123.99,121.45,126.19,132.91,130.37,142.19,144.73,144.34,147.24,145.85,141.60,139.29,140.28,139.69,137.24,142.35,153.26,143.50,163.09,158.36,155.45,150.97,154.89,152.51,159.78,151.87,155.68,153.17,154.25,158.98,155.51,167.25,166.93,166.87,161.11,163.25,158.15,155.44,167.94,166.15,163.63,161.76,160.40,162.94,162.22,160.35,161.01,157.81,153.50,148.93,147.21,148.42,154.44,156.83,159.04,163.97,156.15,170.80,168.38,172.74,173.35,173.58,172.88,173.32,182.70,181.55,180.11,177.72,180.71,175.24,180.84,179.22,179.20,181.46,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Bisugo [Threadfin bream],107.95,99.56,98.76,99.78,103.14,101.02,103.27,97.51,96.29,98.52,103.03,108.35,101.24,116.06,113.09,111.31,111.16,107.59,112.26,109.17,110.67,109.25,109.39,110.16,113.61,111.22,119.22,116.17,114.48,116.53,115.34,119.61,118.75,122.13,121.08,124.45,124.85,129.94,120.21,131.61,128.57,124.84,118.09,120.62,118.04,118.73,119.19,135.95,124.22,127.41,120.50,124.50,134.41,130.55,133.16,128.15,124.08,130.85,135.32,133.07,130.00,130.92,130.66,133.54,133.64,148.53,141.15,132.58,131.94,130.00,137.68,137.67,138.96,135.83,144.21,138.57,143.07,136.68,140.53,151.80,144.51,136.51,141.15,140.69,154.42,161.99,145.14,144.09,146.61,154.17,145.93,162.57,160.67,156.89,160.94,150.32,159.36,150.97,167.78,159.03,167.46,178.79,178.17,159.87,191.91,191.30,205.48,188.12,182.29,189.71,197.81,197.82,203.53,188.33,193.37,192.06,192.52,207.59,212.49,204.55,207.74,226.68,189.91,190.82,205.12,200.66,185.32,195.85,227.68,204.65,233.13,194.01,220.65,214.26,211.95,210.12,221.97,201.30,198.00,217.33,245.14,233.72,217.08,238.89,246.46,229.77,226.23,222.81,214.12,220.48,218.79,216.44,218.47,215.23,223.76,221.01,224.31,215.87,218.84,225.04,236.89,237.39,235.45,216.07,218.96,221.49,230.49,233.82,229.92,257.47,250.98,245.43,226.88,237.34,242.96,252.14,263.61,236.50,232.54,233.05,236.70,243.76,244.92,246.05,236.69,238.21,234.43,223.36,219.29,226.35,235.03,227.53,234.49,240.93,232.53,258.86,244.22,248.19,243.14,246.03,239.42,236.92,237.13,237.96,235.91,252.13,262.78,242.41,272.67,281.85,260.95,255.96,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,"Crab, Alimasag [Blue crab]",143.86,134.87,132.36,136.30,136.32,132.79,131.93,120.69,107.85,118.85,132.59,136.59,130.42,155.30,153.24,140.03,144.54,141.33,131.65,149.44,130.81,133.36,136.60,138.58,135.59,140.87,154.99,155.89,160.59,164.90,153.93,154.93,150.98,149.11,155.21,135.66,152.74,140.12,152.42,168.53,162.86,155.67,150.91,138.83,147.11,141.44,124.39,129.59,138.60,150.42,153.70,148.90,164.33,146.39,145.80,133.52,126.84,135.99,129.40,121.47,121.56,142.95,148.62,162.93,140.80,161.56,145.35,174.53,150.30,146.28,135.20,132.90,131.54,139.00,139.83,163.75,168.65,156.05,171.06,162.98,165.91,152.13,135.31,125.93,138.52,157.49,121.68,129.77,157.61,181.43,167.04,164.43,160.38,160.59,163.11,155.14,136.74,135.44,145.45,156.20,118.42,152.49,169.10,159.13,191.70,179.16,192.60,195.14,192.41,187.67,176.26,185.21,180.70,197.71,229.22,226.63,202.87,213.17,201.16,195.97,187.96,223.79,183.79,186.62,193.33,189.39,175.84,191.83,233.79,237.25,219.50,190.23,225.22,203.70,199.14,194.14,201.66,201.28,199.21,225.64,236.71,247.03,212.58,239.94,238.84,234.78,229.09,233.60,217.38,217.78,237.88,234.00,216.84,284.86,308.28,242.85,271.54,255.69,234.80,214.03,251.28,241.45,225.96,214.46,252.45,223.23,228.24,244.01,237.23,261.25,229.19,221.01,217.09,205.02,209.81,219.88,238.13,236.53,228.33,244.74,257.00,238.26,262.41,230.07,202.27,219.54,227.66,218.42,214.32,201.80,213.64,209.45,232.11,257.62,224.50,239.46,251.43,227.89,223.23,256.06,231.22,240.93,245.26,247.05,265.54,286.27,277.00,253.05,288.50,271.22,252.45,237.49,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,"Dalagang-Bukid, bilog [Caesio]",84.70,85.67,92.46,77.07,87.00,89.44,85.26,73.15,78.10,74.76,65.47,84.45,86.33,86.66,69.94,76.77,84.17,74.54,77.75,80.26,79.00,83.33,84.88,80.59,81.29,82.52,86.11,80.48,83.74,83.05,78.66,82.54,85.03,88.56,85.83,93.66,89.84,89.38,90.36,92.64,98.46,90.13,86.38,91.97,90.10,87.39,96.43,86.84,94.44,101.21,95.49,92.51,98.71,104.44,100.56,101.05,101.01,97.80,101.47,100.90,104.59,101.96,71.32,94.07,100.97,102.34,110.29,94.73,98.88,103.69,111.40,108.65,111.44,104.76,116.57,109.05,106.67,110.81,114.06,175.29,116.61,113.71,107.62,90.09,115.62,127.43,119.27,112.71,123.58,112.46,122.76,125.43,135.37,132.44,142.56,132.96,128.93,122.71,155.79,125.16,133.37,140.73,172.97,133.82,124.59,134.24,149.55,150.81,138.38,148.31,140.16,184.36,137.77,154.58,158.88,121.30,152.05,158.75,148.75,169.38,146.00,161.08,122.94,138.61,140.73,134.46,120.51,131.07,162.20,152.00,155.59,129.25,169.85,171.73,157.36,152.34,155.09,154.19,160.33,162.03,179.50,209.72,164.90,191.82,169.32,174.12,167.99,167.59,158.58,161.24,161.41,155.61,154.16,155.89,169.65,165.60,155.68,144.40,151.83,165.26,176.52,162.11,193.61,168.56,173.07,186.56,179.90,187.47,173.50,175.42,200.01,205.35,209.64,187.81,199.09,201.33,300.00,220.66,132.50,205.84,135.71,193.35,177.67,199.33,197.71,207.50,214.88,165.89,171.55,165.18,169.74,202.31,176.04,187.59,188.76,207.91,191.91,207.89,194.02,186.79,192.79,195.79,212.88,204.16,200.72,222.00,201.86,201.85,202.32,227.08,228.53,222.54,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,"Dalagang-Bukid, lapad [Caesio]",126.70,119.63,128.69,120.05,118.06,114.35,111.90,99.35,96.37,105.48,99.80,110.56,115.18,125.13,116.38,117.40,118.05,113.33,112.51,112.28,117.86,114.62,112.95,115.77,120.92,116.49,124.53,120.96,124.91,119.63,117.04,115.72,114.55,120.11,116.18,120.96,120.53,125.86,120.08,124.74,124.24,123.65,116.84,115.10,116.91,118.22,117.78,118.66,122.97,129.79,127.26,121.21,134.21,128.76,132.29,129.25,117.09,119.03,124.60,116.67,124.05,124.42,120.46,124.41,124.61,137.95,138.44,135.70,126.79,129.94,125.78,120.91,120.15,118.76,120.81,119.10,122.11,125.85,114.05,122.95,123.37,136.67,128.36,148.16,144.44,168.19,150.17,157.47,142.96,159.77,139.81,155.50,159.68,159.53,155.59,158.15,152.02,160.15,197.11,189.84,143.13,187.29,172.10,152.54,164.56,144.36,172.87,166.36,147.60,211.39,177.57,184.32,169.83,171.69,181.84,177.92,158.56,174.67,171.94,189.45,174.42,170.53,130.99,207.58,211.36,210.95,192.65,182.87,220.83,175.13,173.24,138.17,212.39,197.30,192.61,211.26,201.62,179.80,170.42,170.04,201.04,209.05,180.11,215.28,204.92,202.52,204.49,213.61,199.33,189.95,191.88,192.64,181.20,196.64,226.32,202.93,220.98,207.09,205.55,233.27,231.87,185.89,229.44,198.28,190.47,207.15,203.82,217.92,216.64,220.62,221.18,220.89,212.46,209.09,211.61,212.86,223.39,203.98,192.38,193.69,199.70,208.64,199.76,206.04,202.86,195.23,186.08,179.32,186.99,188.31,201.60,192.39,196.99,200.04,194.63,210.64,207.35,206.76,203.70,201.98,200.72,200.58,204.92,202.54,205.96,207.38,222.89,206.29,230.73,228.32,230.08,226.27,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Dilis [Anchovies],56.33,53.42,53.21,50.23,48.60,47.29,47.09,46.15,42.60,46.20,48.77,54.87,49.09,56.22,54.15,53.78,52.67,49.24,50.55,48.37,54.35,50.78,51.45,54.03,55.97,52.59,55.63,55.86,55.61,55.26,54.93,58.63,61.72,60.86,60.07,64.14,59.75,64.15,58.23,67.33,61.34,53.67,54.25,55.82,54.87,52.70,50.89,52.45,54.05,59.90,60.37,56.20,62.37,55.84,53.43,54.85,51.92,51.38,53.63,56.15,55.12,55.98,58.44,59.41,56.25,66.65,62.54,62.67,68.79,57.65,55.71,61.01,59.09,58.45,64.24,68.46,65.39,68.89,62.00,62.34,57.59,54.12,55.44,57.48,61.19,63.06,58.57,59.48,58.21,61.19,62.39,66.46,67.99,59.10,60.25,58.66,64.66,61.40,57.28,61.29,57.84,69.57,68.81,61.67,71.03,78.08,74.65,67.28,74.14,71.30,75.60,74.81,73.73,68.97,75.39,79.62,74.08,82.20,75.86,75.83,70.74,80.21,76.66,70.60,77.85,75.74,72.67,80.20,85.45,76.41,79.51,71.59,68.05,76.41,75.02,75.74,69.38,74.20,73.77,77.27,88.14,85.09,73.88,105.16,85.08,88.68,86.97,84.27,81.28,86.43,84.33,87.58,83.36,83.62,94.65,87.62,92.91,90.04,88.10,90.61,95.34,84.54,93.09,81.73,92.98,89.66,87.90,99.43,90.48,105.16,99.38,102.56,98.42,96.52,101.36,108.20,103.26,96.00,91.54,102.66,106.96,101.37,95.31,102.48,103.61,87.37,93.52,91.90,91.57,89.93,95.86,92.48,97.46,97.91,93.60,103.79,100.39,99.74,92.87,86.73,85.19,91.80,91.48,98.19,96.33,98.56,106.29,94.31,108.60,112.59,122.85,116.34,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Espada [Hairtail],87.50,87.50,95.50,78.33,75.00,75.00,64.00,57.00,55.00,62.50,63.33,65.00,72.14,80.00,57.50,60.00,76.67,80.00,59.58,70.00,57.14,64.00,67.50,59.00,68.20,66.63,80.00,64.00,80.00,77.50,86.25,82.00,85.00,85.00,79.17,85.00,83.30,90.00,81.44,82.89,84.00,82.00,87.86,98.00,101.00,106.67,100.00,100.00,90.00,100.00,101.00,94.45,111.25,103.75,110.00,100.50,122.50,102.86,110.00,87.00,106.67,115.00,123.33,119.00,109.32,78.33,69.44,82.00,74.00,63.00,65.00,65.24,65.00,74.44,76.67,80.43,63.60,71.43,86.19,85.00,84.75,60.91,88.33,..,82.33,77.97,94.21,74.00,84.20,74.35,81.11,73.33,73.33,73.33,73.48,85.00,95.00,85.00,..,..,76.00,..,67.06,77.95,72.24,74.55,77.27,77.50,77.50,..,79.00,..,91.67,86.67,88.33,90.00,81.47,103.70,123.33,..,..,125.00,122.50,117.50,118.75,116.67,116.67,116.67,113.33,117.41,123.16,127.50,..,..,124.00,126.00,126.15,131.76,135.00,147.50,127.50,..,129.84,135.36,135.48,138.33,138.75,138.44,140.00,127.74,140.00,146.21,141.09,135.38,132.90,137.47,137.14,137.50,122.89,..,..,136.15,..,139.38,137.43,145.53,140.17,135.42,136.85,141.36,140.00,142.10,141.84,138.29,143.00,143.75,..,136.54,140.00,142.50,..,140.94,..,113.33,120.88,121.88,119.91,115.94,117.50,114.86,116.09,112.75,107.81,100.00,114.63,100.00,100.00,100.00,103.33,100.00,100.00,100.00,100.00,100.00,81.43,92.50,107.78,98.75,120.00,130.00,130.00,160.00,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Galunggong [Roundscad],71.17,66.19,66.95,62.94,61.45,61.97,62.08,60.89,61.86,64.61,70.70,75.62,65.59,80.35,77.55,76.96,75.25,74.16,76.68,75.90,77.22,77.83,79.24,78.61,84.14,77.65,85.79,81.88,83.98,81.45,78.12,80.00,83.31,88.07,85.93,90.63,89.30,90.86,84.92,91.21,86.88,78.10,75.94,75.31,77.94,78.47,82.71,82.18,86.49,92.05,93.31,82.80,98.33,89.90,81.12,78.82,80.87,80.87,85.89,87.24,88.86,91.15,92.85,97.11,87.64,96.46,92.42,89.00,87.31,86.94,89.08,89.12,89.77,87.97,100.88,94.90,96.94,91.65,98.68,96.30,84.98,80.93,82.43,86.11,84.97,93.65,88.08,88.69,96.07,96.43,89.17,101.43,96.21,88.19,90.53,93.84,93.19,96.84,102.52,100.23,104.31,108.28,114.70,97.92,111.45,111.99,108.83,102.97,104.52,117.37,115.04,117.52,121.20,114.95,118.19,118.90,113.23,126.86,117.62,108.96,104.78,114.74,106.81,107.48,119.03,109.13,109.11,117.71,138.12,114.04,139.20,131.08,119.67,119.86,123.19,117.50,116.66,113.21,118.67,127.44,147.45,146.04,126.72,151.53,151.75,145.45,141.96,137.44,135.42,140.04,134.72,135.77,145.26,150.46,157.64,144.35,157.27,146.56,143.20,149.19,156.10,149.07,152.12,148.30,145.64,149.08,148.47,155.52,151.80,166.91,160.67,153.30,139.99,140.62,144.42,153.70,155.73,148.33,143.30,144.49,155.72,150.87,163.48,163.87,147.09,135.71,128.43,130.36,138.64,144.18,153.73,164.81,163.58,168.24,143.24,175.74,181.29,170.82,151.39,151.51,150.33,159.61,162.09,168.60,179.76,186.05,199.14,169.51,192.95,192.37,183.12,171.72,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Hasa-hasa [Indo-Pacific mackerel],86.24,77.49,72.59,76.03,77.31,78.39,74.91,71.87,64.61,69.36,75.82,79.71,74.20,85.32,82.37,79.81,77.90,77.54,83.71,84.41,86.26,77.48,85.45,82.43,84.60,80.32,92.64,97.87,97.27,93.61,94.85,101.12,102.72,96.04,104.46,109.73,100.00,115.12,101.41,110.95,116.17,107.16,97.96,98.02,94.05,93.06,91.29,91.28,99.63,101.43,92.76,101.41,110.57,107.14,96.29,101.85,100.38,97.02,105.70,102.03,106.03,107.00,105.22,112.31,102.29,115.31,118.23,108.32,101.07,93.04,95.55,96.21,103.31,99.10,102.04,96.58,103.38,100.86,107.77,117.70,110.87,97.98,99.96,94.79,97.39,127.80,104.02,111.42,107.25,115.30,117.94,125.74,124.69,122.72,124.41,117.28,122.21,121.21,114.95,128.99,132.81,128.10,137.13,124.81,156.87,176.73,157.08,148.05,133.30,177.72,161.99,149.60,164.01,140.37,140.58,143.88,147.72,159.49,162.97,154.84,162.89,152.33,146.18,135.28,147.66,138.06,149.42,172.29,174.31,151.31,183.79,139.72,153.28,156.60,160.41,153.72,145.49,150.63,143.65,155.31,172.12,174.98,156.18,186.63,193.21,193.46,180.47,163.32,178.21,164.75,156.49,162.83,169.61,165.87,190.75,174.97,228.18,189.71,192.45,200.19,190.67,186.61,176.29,173.94,183.41,169.88,174.12,206.68,190.00,198.17,208.71,194.76,182.88,154.00,182.22,185.04,186.03,175.42,174.25,186.26,187.89,188.10,198.64,185.07,175.63,165.38,155.19,163.60,162.14,157.34,173.55,170.65,180.72,185.45,175.87,195.25,196.52,190.01,180.95,186.92,176.02,179.70,177.35,189.01,186.49,200.17,214.39,199.95,219.29,220.17,215.80,198.04,..,..,..,..,..,..,..,..,..,NA
