Geolocation,Commodity,2010 January,2010 February,2010 March,2010 April,2010 May,2010 June,2010 July,2010 August,2010 September,2010 October,2010 November,2010 December,2010 Annual,2011 January,2011 February,2011 March,2011 April,2011 May,2011 June,2011 July,2011 August,2011 September,2011 October,2011 November,2011 December,2011 Annual,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December,2022 Annual,2023 January,2023 February,2023 March,2023 April,2023 May,2023 June,2023 July,2023 August,2023 September,2023 October,2023 November,2023 December,2023 Annual,2024 January,2024 February,2024 March,2024 April,2024 May,2024 June,2024 July,2024 August,2024 September,2024 October,2024 November,2024 December,2024 Annual,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December,2025 Annual,2026 January,2026 February,2026 March,2026 April,2026 May,2026 June,2026 July,2026 August,2026 September,2026 October,2026 November,2026 December,2026 Annual,NA
PHILIPPINES,Celery,31.97,25.78,34.98,30.01,32.40,37.33,41.78,49.90,59.97,45.96,55.13,53.28,41.54,43.14,43.33,38.55,41.40,36.02,44.74,48.58,41.22,45.56,75.21,55.10,52.65,47.13,71.16,74.01,61.63,53.68,79.05,80.15,54.60,84.88,71.92,43.75,31.75,43.10,62.47,47.22,45.27,49.81,43.85,41.36,45.58,44.33,52.81,67.43,47.25,28.32,33.47,44.12,44.28,44.08,45.28,43.53,56.25,58.10,57.32,57.34,46.60,48.11,38.77,39.97,48.45,46.82,45.60,44.21,40.48,45.21,59.97,75.08,103.32,103.01,83.55,55.04,40.91,62.49,48.87,48.88,40.67,40.63,47.35,74.25,72.75,84.71,62.89,46.25,57.47,48.47,53.57,61.75,65.05,59.71,53.29,37.20,47.45,41.65,49.61,34.32,66.26,70.17,56.45,54.29,22.85,41.38,44.66,47.87,71.22,99.12,78.53,105.55,194.54,83.86,47.12,44.55,74.71,52.89,55.64,41.38,38.16,61.68,70.78,66.23,61.99,94.98,69.32,48.60,56.39,60.29,48.77,28.36,41.83,49.54,65.95,62.92,48.42,34.54,58.59,49.79,83.35,92.73,57.80,83.85,67.68,71.07,89.69,87.07,63.94,54.26,81.48,75.00,79.87,77.69,70.36,70.72,90.00,61.84,50.60,59.68,62.31,66.92,57.00,67.60,77.62,66.77,88.44,69.98,66.20,58.40,55.73,60.38,61.09,81.13,148.30,109.78,126.88,147.55,109.68,65.75,65.86,90.88,72.81,67.52,60.57,59.45,65.97,70.87,68.60,82.73,82.55,114.77,82.13,90.25,76.52,57.31,55.85,62.52,74.60,113.88,123.45,90.63,196.94,83.24,83.88,68.26,87.88,91.54,75.39,94.29,93.35,83.65,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Broccoli,24.26,23.28,39.89,46.28,46.90,42.63,28.43,43.37,44.19,42.06,46.43,54.54,40.19,36.17,36.59,29.14,27.41,27.55,40.41,42.55,32.76,47.17,78.49,75.44,48.42,43.51,29.70,35.45,45.92,33.34,39.15,46.11,38.00,68.19,81.67,66.17,36.14,34.73,46.21,30.63,35.79,33.00,34.19,36.10,37.09,36.33,50.71,72.47,93.41,65.23,54.38,47.66,38.37,29.95,40.76,41.08,59.94,48.60,49.09,56.62,41.76,51.92,58.40,47.32,47.46,44.02,38.11,56.34,36.41,42.67,39.69,54.67,64.05,89.24,85.79,57.23,55.93,56.10,41.28,48.13,39.96,34.86,47.68,52.70,59.68,86.73,60.26,84.73,77.37,72.95,58.01,32.10,25.81,25.17,43.09,44.65,52.33,53.32,65.86,63.74,54.54,72.08,69.45,44.91,47.40,59.88,50.94,43.70,..,57.92,51.00,91.43,120.50,97.38,77.62,60.73,68.95,52.81,75.31,74.36,69.69,87.65,80.21,55.07,87.04,120.58,92.50,92.21,42.49,84.49,41.15,45.30,39.13,47.35,68.04,64.57,71.03,62.19,48.00,50.60,93.62,87.66,62.81,82.95,48.81,41.70,47.05,45.62,53.36,41.89,85.89,..,..,..,..,53.39,..,48.88,55.51,50.27,..,..,45.22,60.65,78.11,102.00,73.70,81.34,65.99,34.79,49.47,50.16,48.01,57.97,73.56,85.66,136.96,141.56,137.94,90.62,63.52,81.46,59.78,72.32,69.18,70.97,96.67,88.84,95.86,101.76,116.62,139.93,129.74,113.20,96.24,69.12,52.48,51.23,56.50,93.33,98.90,79.24,136.11,141.66,90.66,119.20,182.54,97.58,86.34,79.79,76.32,64.13,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Cabbage,18.26,15.37,15.50,17.79,22.51,27.40,19.91,17.26,19.75,19.48,19.57,23.63,19.70,22.66,26.39,25.91,25.14,19.22,20.44,30.44,36.07,27.61,39.03,37.92,33.52,28.70,25.60,19.94,19.90,18.72,20.33,24.85,26.76,39.92,42.30,29.97,25.90,20.68,26.24,20.89,25.42,25.67,32.99,34.32,32.26,25.85,22.79,25.62,33.48,26.98,23.76,27.50,29.80,26.26,23.61,21.14,25.90,28.33,32.64,36.56,32.23,30.40,34.63,31.50,29.43,28.51,23.50,23.41,25.53,35.67,31.67,40.72,48.41,46.86,50.77,42.46,37.96,36.49,32.57,27.74,30.76,39.57,39.94,44.02,34.41,27.85,29.63,34.16,41.49,47.95,35.48,45.84,34.83,24.08,21.70,23.35,29.97,40.18,43.64,51.44,41.91,37.91,38.92,35.51,36.44,32.85,30.18,30.38,33.94,41.87,43.35,51.88,72.22,54.28,46.26,35.92,42.34,26.93,27.35,27.01,31.74,52.44,43.75,35.77,32.15,37.31,47.03,33.94,29.07,35.21,27.56,25.06,29.50,40.23,49.77,42.60,33.39,24.74,28.37,29.82,50.37,73.21,38.12,81.18,64.20,39.11,30.10,26.07,30.46,42.28,74.63,65.21,58.50,51.06,47.67,50.59,44.19,29.77,31.21,34.09,38.98,40.75,38.00,38.21,42.91,44.30,58.50,62.02,41.96,45.33,41.09,35.17,35.03,32.49,42.70,60.62,70.60,58.94,67.57,43.71,30.83,47.13,27.42,29.09,32.08,37.86,43.98,46.64,43.34,31.03,31.37,51.31,63.34,54.77,41.02,42.86,37.88,34.21,45.12,48.20,47.69,49.96,82.52,52.92,51.46,50.42,56.69,49.99,48.76,44.64,35.46,32.05,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Cauliflower,26.79,26.15,33.66,43.42,49.21,52.51,43.83,51.61,39.95,41.44,47.77,50.00,42.20,37.82,34.64,33.89,34.79,32.67,53.66,63.73,67.03,69.90,92.61,86.64,52.58,55.00,29.70,31.98,43.99,54.57,61.10,62.89,51.84,93.68,127.55,102.17,40.82,38.31,61.55,39.05,37.10,43.46,44.24,45.65,53.60,66.18,71.51,75.28,75.09,59.23,42.62,54.41,33.24,31.43,46.67,51.88,61.87,66.98,61.62,89.58,61.98,73.50,71.85,43.58,59.14,37.81,37.82,44.50,35.39,40.97,42.89,86.64,98.21,125.03,64.47,63.46,70.16,66.94,42.19,43.43,39.59,43.50,64.12,62.62,72.15,82.56,67.82,66.77,91.22,70.20,62.79,36.53,29.33,26.89,43.64,51.30,69.71,71.57,71.65,121.65,110.83,92.35,78.08,61.94,46.93,59.79,58.59,43.28,38.62,48.35,48.84,74.76,149.42,132.65,87.69,44.73,72.00,44.16,52.78,48.08,73.92,85.47,82.55,78.09,98.42,99.62,91.76,89.05,55.78,80.16,55.64,39.91,30.06,52.92,50.37,64.00,63.42,63.78,43.81,56.90,107.83,93.95,63.52,80.85,44.00,43.56,58.85,57.27,59.85,54.11,92.47,122.85,120.95,109.19,108.57,66.92,60.39,58.80,59.33,69.27,60.76,80.13,78.94,128.18,88.38,103.88,103.97,93.40,84.46,50.86,47.14,44.48,39.00,60.78,90.81,107.21,190.90,200.09,171.35,132.15,63.31,99.84,48.72,39.45,40.38,43.98,68.13,77.16,95.65,100.51,134.72,160.41,130.85,107.06,87.25,55.85,32.08,48.22,46.88,62.23,73.58,93.30,152.69,136.56,114.13,130.57,102.00,87.34,50.77,43.39,56.50,55.65,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Lettuce head,19.14,22.28,30.09,37.37,63.77,69.65,43.73,43.02,31.55,34.77,69.48,49.21,42.84,38.35,42.83,34.37,34.50,33.67,49.27,39.05,30.99,56.24,113.48,81.18,45.79,49.97,36.63,47.02,60.27,41.21,36.25,45.48,42.04,81.54,56.50,31.42,27.47,34.22,45.01,34.44,42.21,32.15,37.56,40.10,54.15,35.64,25.57,50.39,56.08,30.12,37.21,41.50,37.39,54.88,37.22,49.54,70.86,68.72,41.65,43.58,36.77,42.98,39.21,39.66,47.62,27.31,35.77,37.09,40.61,36.67,36.69,75.84,163.97,81.15,31.24,47.06,37.16,62.51,50.17,43.10,41.59,37.66,58.84,70.87,58.30,66.14,50.61,49.38,99.35,48.32,57.29,35.59,28.72,27.93,37.40,39.74,58.12,41.10,42.94,76.92,56.69,79.31,136.67,48.87,127.69,94.75,52.14,40.70,..,99.31,79.69,126.07,191.83,60.43,30.29,36.36,85.39,71.64,121.25,100.66,59.99,86.77,145.56,51.96,91.29,138.35,93.50,49.08,60.67,93.90,45.69,47.64,47.51,50.06,78.73,59.31,41.15,42.10,30.89,53.24,136.72,155.70,69.49,111.69,32.98,40.29,67.77,70.00,57.17,49.53,132.62,..,..,..,..,62.95,..,..,71.80,117.17,..,..,65.56,76.07,60.56,50.50,96.94,81.61,80.13,54.08,75.59,81.09,77.61,87.99,152.48,103.73,136.57,172.46,164.52,71.30,61.28,103.34,62.47,58.28,57.36,59.42,93.13,167.62,86.14,81.76,93.92,163.25,135.06,107.72,97.18,69.40,46.74,56.17,90.53,113.63,83.90,74.76,174.97,78.87,81.20,118.97,287.76,106.41,151.50,112.34,86.01,64.21,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Pechay Baguio [Chinese cabbage],13.32,13.67,18.31,20.10,21.22,25.50,21.87,18.02,17.41,19.48,20.37,20.90,19.18,17.33,20.86,21.52,21.75,17.15,21.90,25.90,23.89,25.79,37.30,32.37,24.39,23.08,20.71,17.92,18.96,18.08,19.10,21.71,23.75,38.26,37.62,23.66,21.74,24.49,23.83,25.37,25.32,21.84,24.10,34.06,30.71,19.85,20.25,27.96,32.64,22.86,20.58,25.46,23.53,21.66,16.67,18.02,29.97,37.68,30.04,29.98,25.14,25.29,27.11,27.11,25.88,27.23,20.18,19.58,21.18,28.32,27.79,42.14,57.04,44.35,35.35,31.54,27.35,31.78,24.62,23.46,23.31,27.54,30.26,41.37,31.13,29.88,31.36,33.12,44.22,35.67,30.05,26.28,23.25,19.35,19.49,21.66,25.67,26.78,30.65,39.15,34.05,33.31,34.95,27.05,31.89,28.56,26.24,27.06,32.15,32.68,36.21,48.95,71.14,45.52,28.39,30.24,36.50,23.19,29.65,31.16,29.58,45.32,44.65,33.90,31.72,39.41,44.30,24.93,24.58,32.90,20.99,20.11,27.43,30.87,38.30,33.06,25.81,23.23,24.01,24.74,48.72,68.37,32.84,61.28,38.13,28.32,26.50,21.88,26.90,27.69,67.58,42.28,31.50,29.64,33.28,36.07,36.85,23.52,22.04,26.02,38.75,40.08,30.11,29.36,32.05,28.66,41.91,44.02,32.27,34.71,39.43,36.95,31.88,28.88,39.31,50.20,61.35,54.68,41.86,29.66,25.83,39.65,24.63,23.91,24.69,28.09,43.76,53.06,39.93,27.80,29.90,53.74,54.48,41.66,37.14,28.02,23.72,30.61,32.96,31.86,36.31,37.47,69.41,35.87,28.29,38.05,51.76,37.03,38.31,31.16,27.01,25.97,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Pechay native,16.90,18.76,17.58,21.01,21.54,26.73,26.55,25.58,25.28,28.23,35.84,29.33,24.44,24.45,22.67,20.38,19.88,24.22,32.81,31.36,31.91,32.47,46.42,36.09,35.81,29.89,31.60,26.50,27.71,28.69,31.43,31.18,29.48,51.06,38.68,31.62,28.20,27.54,31.98,30.76,25.68,25.96,30.60,30.06,33.25,28.09,30.62,35.11,34.64,30.31,27.69,30.33,26.12,20.67,21.76,25.66,27.22,40.15,36.77,36.54,33.53,36.95,30.18,32.95,30.62,30.09,21.48,23.67,26.86,28.38,31.23,41.51,35.36,36.06,37.63,34.26,35.19,31.55,35.80,26.04,27.43,30.95,42.49,37.69,32.06,40.45,40.28,47.16,49.91,38.83,35.16,37.49,31.38,25.43,31.45,36.08,43.65,37.20,37.19,47.42,49.56,40.58,41.19,37.20,42.46,39.51,30.85,37.17,45.85,52.38,47.96,51.92,52.62,45.13,40.28,44.41,42.50,43.67,30.93,31.08,47.37,55.09,47.03,51.81,45.20,46.23,42.45,44.87,47.24,43.94,35.06,33.72,37.32,45.11,47.50,46.38,37.16,44.21,44.98,47.43,71.58,48.59,44.70,50.56,41.21,30.96,35.17,36.67,51.15,45.35,49.56,47.82,53.37,40.99,43.32,43.99,46.01,37.66,36.67,38.70,44.49,53.17,49.11,46.29,47.84,58.21,63.21,50.91,47.76,51.34,48.57,39.88,47.54,59.43,58.31,55.72,74.52,62.70,53.66,51.32,43.81,52.38,44.63,35.90,36.40,44.70,55.78,73.31,56.19,57.65,64.63,59.69,71.37,55.75,54.67,47.52,40.14,37.05,40.09,57.16,61.75,55.06,70.45,52.51,61.98,72.03,69.53,55.44,46.61,41.39,36.49,41.93,..,..,..,..,..,..,..,..,..,NA
..NATIONAL CAPITAL REGION (NCR),Celery,28.90,33.82,44.46,35.70,39.55,45.90,39.04,52.19,47.70,47.87,55.43,58.05,44.05,40.58,37.69,35.19,37.54,34.68,46.41,53.19,45.46,54.97,98.49,47.00,32.69,46.99,40.46,54.13,58.53,55.90,66.02,58.96,37.28,91.00,83.48,36.44,32.97,39.81,54.58,38.84,32.55,34.61,35.50,35.56,41.10,32.62,..,..,..,..,37.14,35.99,43.87,35.33,30.91,36.73,61.57,69.34,53.21,50.52,36.74,44.37,37.49,..,45.46,..,42.44,42.60,46.60,..,..,65.11,99.81,108.46,..,56.13,50.30,63.93,49.13,46.14,45.75,44.94,47.56,..,49.44,..,..,..,..,..,47.16,66.81,65.00,53.11,49.27,43.09,52.68,37.76,..,..,..,..,..,52.53,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68.59,46.00,40.89,59.72,58.76,..,78.78,117.44,..,44.09,..,64.28,47.80,37.79,42.15,60.00,75.08,77.20,55.91,50.00,..,44.53,91.33,111.06,62.99,78.94,65.91,..,104.24,96.95,..,52.50,..,..,..,..,55.00,75.59,..,50.35,54.64,53.11,..,..,60.30,67.45,..,..,106.19,83.82,67.98,68.08,59.68,66.81,71.51,99.17,197.22,137.63,164.53,190.76,140.64,79.87,79.02,112.91,82.77,81.19,66.84,63.36,70.58,89.11,81.67,113.94,109.16,154.23,109.76,99.49,93.51,70.67,66.80,75.55,88.71,153.33,168.31,124.07,259.22,115.94,100.35,85.76,112.97,118.47,99.91,90.65,88.80,81.12,..,..,..,..,..,..,..,..,..,NA
..NATIONAL CAPITAL REGION (NCR),Broccoli,28.67,31.81,37.18,36.81,41.51,48.78,38.10,54.23,62.76,54.56,54.78,64.97,46.18,42.15,36.11,31.82,31.10,32.40,36.34,49.50,44.31,51.27,79.47,77.65,47.56,46.64,29.86,37.34,46.92,40.99,44.17,48.09,37.29,72.66,84.21,71.28,44.44,42.78,50.00,38.32,39.20,37.26,36.63,37.90,38.40,39.00,51.19,73.81,97.24,..,64.36,50.30,42.36,33.14,37.18,43.08,51.51,46.13,54.23,47.80,45.48,50.23,47.20,..,45.30,..,37.70,57.15,44.45,..,..,51.27,56.66,87.06,..,63.17,63.13,57.57,45.93,49.41,52.10,41.94,58.74,..,72.73,137.71,..,..,..,..,65.51,43.81,34.49,29.73,39.23,36.61,49.94,45.05,..,..,..,..,..,39.84,..,..,..,..,..,..,..,..,..,..,..,..,..,..,89.51,107.80,91.10,115.06,80.21,..,115.70,150.06,..,109.53,..,107.37,58.18,61.74,54.70,58.90,96.08,89.11,99.83,83.88,..,..,118.73,122.81,84.40,82.95,68.66,41.70,47.05,45.62,..,46.69,..,..,..,..,..,55.45,..,48.88,52.45,50.27,..,..,53.19,60.65,..,..,74.07,77.67,59.60,50.13,73.28,76.00,69.71,87.46,114.89,138.24,248.63,202.68,233.92,153.20,85.39,127.79,79.50,99.03,94.83,90.40,148.61,150.36,155.61,163.85,184.20,262.09,249.92,184.22,155.22,97.23,69.73,71.00,71.79,104.13,78.92,109.64,195.44,213.63,149.40,206.13,232.29,133.28,135.53,85.13,106.80,88.82,..,..,..,..,..,..,..,..,..,NA
..NATIONAL CAPITAL REGION (NCR),Cabbage,15.30,10.75,9.35,9.71,13.28,21.34,9.97,11.48,16.85,13.36,10.24,18.19,13.32,13.46,19.93,21.57,17.52,11.51,12.71,24.64,29.25,17.62,37.52,34.51,24.71,22.08,9.74,11.13,13.41,13.07,12.86,13.96,16.72,36.78,45.94,24.38,18.90,15.02,19.33,16.13,21.10,21.93,31.65,34.54,26.65,14.40,13.05,22.02,38.41,18.59,18.08,23.05,33.97,22.61,15.41,15.79,30.31,32.70,27.09,33.34,30.16,23.12,32.71,..,27.02,..,19.11,24.13,17.80,..,..,33.91,55.75,54.13,..,39.85,49.76,36.81,35.14,31.38,21.66,20.89,22.35,..,19.74,45.71,..,..,..,..,28.12,46.20,22.51,16.52,15.14,18.75,26.25,29.28,..,..,..,..,..,24.95,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.53,30.70,33.40,53.63,31.18,..,24.91,42.18,..,25.37,..,33.99,18.48,17.23,21.46,42.77,60.78,42.80,27.22,17.03,..,..,54.55,83.28,38.56,92.70,71.65,22.74,21.86,20.60,32.20,47.95,..,..,..,..,31.09,42.60,..,16.73,22.09,33.83,..,..,22.96,23.75,..,..,64.87,73.80,36.86,38.04,35.86,29.89,32.30,31.78,56.57,76.43,78.88,75.00,90.55,45.97,24.48,51.31,23.40,27.79,28.37,28.89,33.24,35.72,33.03,25.00,27.80,53.42,61.44,59.01,36.43,43.85,36.90,33.35,58.48,58.13,46.74,48.94,96.37,49.23,46.85,34.26,38.63,49.31,39.90,35.48,25.53,20.65,..,..,..,..,..,..,..,..,..,NA
