Geolocation,Commodity,2010 January,2010 February,2010 March,2010 April,2010 May,2010 June,2010 July,2010 August,2010 September,2010 October,2010 November,2010 December,2010 Annual,2011 January,2011 February,2011 March,2011 April,2011 May,2011 June,2011 July,2011 August,2011 September,2011 October,2011 November,2011 December,2011 Annual,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December,2022 Annual,2023 January,2023 February,2023 March,2023 April,2023 May,2023 June,2023 July,2023 August,2023 September,2023 October,2023 November,2023 December,2023 Annual,2024 January,2024 February,2024 March,2024 April,2024 May,2024 June,2024 July,2024 August,2024 September,2024 October,2024 November,2024 December,2024 Annual,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December,2025 Annual,2026 January,2026 February,2026 March,2026 April,2026 May,2026 June,2026 July,2026 August,2026 September,2026 October,2026 November,2026 December,2026 Annual,NA
PHILIPPINES,Carrots,26.85,22.45,23.35,25.27,28.39,40.78,51.40,48.09,37.40,35.86,33.47,35.67,34.08,35.99,40.41,41.90,37.45,31.03,31.22,32.97,33.14,33.65,43.53,55.44,59.54,39.69,55.19,45.82,35.47,32.55,32.61,40.17,49.99,58.03,51.74,46.33,38.12,31.59,43.65,26.95,23.21,26.62,31.79,38.50,48.29,42.00,36.73,37.32,44.39,46.40,46.81,37.36,49.20,35.67,32.96,30.64,33.44,61.00,63.17,42.82,35.67,38.55,45.58,47.28,42.83,38.81,31.70,32.96,34.25,34.34,34.59,47.74,55.85,59.66,64.31,60.76,44.89,45.07,34.46,28.09,32.39,38.72,58.32,59.16,58.77,41.16,31.83,39.31,51.46,63.65,44.40,57.78,62.02,49.21,42.07,36.34,31.57,34.70,44.49,77.26,81.31,67.46,54.49,52.03,48.69,42.00,41.78,38.62,37.80,39.47,46.12,72.32,101.59,74.02,59.40,52.29,54.70,37.00,34.16,37.36,52.07,54.36,58.63,59.89,54.05,53.41,50.68,46.60,48.48,48.73,41.87,35.69,40.60,42.13,40.06,47.95,61.46,50.93,52.11,48.45,63.01,80.50,50.63,84.00,77.96,60.87,43.50,38.73,36.51,42.38,72.54,65.64,62.67,80.37,71.96,60.25,60.83,59.50,61.54,55.28,53.32,53.16,58.51,74.07,84.56,89.74,78.64,70.79,66.76,51.39,45.06,40.76,39.74,41.48,56.20,110.80,110.09,96.70,89.07,83.74,65.40,67.14,61.54,60.90,64.20,55.46,56.37,65.03,96.38,80.05,65.00,84.87,109.51,111.16,75.87,96.09,65.20,48.19,43.80,47.68,54.40,73.76,129.23,148.88,132.10,103.09,72.25,84.55,60.01,56.89,94.53,108.19,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Cassava,7.74,7.94,7.43,7.80,7.48,7.63,7.85,7.97,8.02,8.20,8.25,8.57,7.91,7.96,7.81,8.26,8.10,8.22,8.08,8.15,7.79,8.19,7.63,7.79,8.45,8.04,8.72,7.70,7.91,7.73,7.87,8.07,7.74,8.00,8.94,9.74,9.72,9.66,8.54,8.99,9.04,9.32,9.25,10.87,8.99,9.43,8.19,9.75,9.40,9.07,9.17,9.40,9.23,8.97,8.90,9.45,8.75,9.17,9.83,9.09,9.28,8.82,9.61,9.94,9.28,8.79,9.43,9.59,13.78,9.06,8.56,11.41,10.19,10.11,7.55,8.58,8.07,9.65,7.97,8.71,8.32,8.89,8.81,8.74,9.52,12.02,7.85,7.94,7.85,13.99,13.49,8.82,8.89,8.27,8.84,8.69,8.91,9.43,9.25,9.34,9.74,10.54,10.79,9.34,10.43,10.58,10.73,10.46,10.02,13.53,11.49,10.11,10.51,10.55,10.71,12.55,10.92,13.10,14.92,14.75,15.42,14.33,16.25,15.83,16.29,15.81,13.90,15.79,12.79,15.26,14.42,16.30,14.73,19.21,17.59,17.00,15.46,15.82,15.65,13.72,13.63,15.48,15.76,13.91,14.15,14.37,14.33,14.94,15.26,16.20,14.07,14.68,13.79,13.19,14.59,14.53,15.00,14.19,13.21,13.50,12.54,13.09,14.21,15.99,16.54,16.84,18.57,18.27,15.30,20.84,17.51,18.06,18.57,23.82,26.33,25.94,26.09,24.85,24.51,23.34,23.97,22.62,23.36,22.29,22.68,21.84,20.27,20.83,22.44,21.76,22.44,22.53,22.55,21.83,22.07,22.31,20.55,21.19,21.87,22.36,24.23,24.63,24.68,24.19,24.07,24.74,24.44,23.27,24.06,24.67,25.21,26.78,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,"Gabi Cebu, for ginataan [Taro (cocoyam)]",16.28,15.25,16.16,14.08,15.07,17.69,19.80,19.81,20.65,26.09,25.53,24.78,19.09,24.98,21.13,19.46,18.67,19.26,17.50,16.79,16.05,16.00,18.02,16.66,16.97,18.65,16.58,17.39,17.20,16.22,16.06,15.69,17.89,21.02,18.94,19.58,19.80,20.38,18.07,24.24,22.11,20.43,21.04,22.13,22.77,23.54,24.19,28.31,28.13,26.91,27.28,24.26,27.39,29.80,28.41,30.49,31.11,32.75,32.72,33.21,34.19,33.55,32.97,30.97,31.91,33.16,29.32,30.27,28.88,30.68,31.34,34.86,35.70,32.44,34.28,37.43,36.90,33.19,38.51,36.10,37.29,39.14,43.34,46.29,43.05,45.18,46.25,43.29,40.50,39.76,41.96,38.07,37.11,34.75,33.09,30.74,31.23,30.52,32.19,31.34,31.98,33.33,32.78,33.23,33.77,34.76,34.16,34.48,37.93,41.15,39.09,35.91,42.49,38.47,45.18,39.27,38.58,40.39,43.31,40.60,43.22,44.88,44.22,44.31,45.73,45.14,51.51,49.03,46.67,44.64,42.93,41.31,42.57,51.86,52.86,48.64,46.49,46.32,43.38,47.67,45.95,46.89,46.60,43.40,40.42,34.38,30.96,28.63,28.21,28.78,30.33,28.29,30.86,30.17,31.90,32.98,31.68,28.84,32.63,33.89,36.94,39.40,36.62,36.45,39.25,44.10,48.88,47.85,40.42,46.29,43.51,41.75,37.10,38.21,38.86,41.66,45.10,48.30,46.94,51.88,46.98,43.88,48.28,42.14,43.28,44.48,46.75,50.28,53.45,61.93,60.64,57.31,57.65,56.45,51.85,56.84,48.54,48.69,53.40,48.07,50.65,48.23,46.22,50.26,48.72,55.98,52.56,50.78,50.83,49.50,49.16,54.28,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,"Gabi Tagalog, for sinigang [Tannia, Yautia (cocoyam)]",22.48,22.70,22.07,21.89,22.61,24.71,27.73,29.95,29.68,29.41,29.67,28.01,25.91,37.02,35.30,35.66,34.79,33.79,36.96,33.14,33.50,37.90,38.25,35.64,36.98,35.73,36.81,31.24,32.60,31.47,31.67,29.70,30.31,32.98,31.81,33.17,33.00,30.98,32.13,34.15,35.88,34.79,36.60,38.34,37.03,36.94,38.73,26.50,30.55,30.98,28.32,36.30,29.28,19.35,26.22,25.65,25.62,27.78,28.30,30.71,30.05,29.76,32.22,32.45,28.32,39.20,28.85,29.36,29.09,33.20,38.50,36.32,33.29,41.77,42.83,41.62,40.70,34.42,32.89,31.37,31.59,33.05,33.41,33.30,34.38,43.03,37.94,39.32,42.15,39.18,35.25,34.67,32.18,29.09,27.89,28.55,28.57,28.49,34.74,32.98,33.32,37.42,35.29,29.74,35.97,33.60,34.33,35.20,28.80,37.00,37.93,39.41,55.26,40.76,43.21,..,38.32,36.54,27.35,26.00,26.57,25.12,25.40,26.16,29.33,27.94,21.20,28.76,29.23,27.39,27.47,27.25,32.16,27.10,29.40,29.16,32.13,35.23,32.60,35.81,38.13,36.53,32.19,40.65,35.46,33.76,30.93,31.23,27.70,24.81,26.17,31.34,33.99,32.95,32.46,32.01,30.00,26.79,27.41,28.35,28.79,27.95,29.89,29.54,27.65,30.69,34.07,35.41,30.26,38.69,39.44,37.51,37.97,39.25,38.62,42.02,42.94,47.31,48.44,48.96,46.86,42.34,49.57,44.51,42.35,44.72,40.95,46.40,48.91,50.88,52.28,50.39,49.30,46.36,47.22,49.27,45.21,42.40,40.38,43.96,42.24,43.92,46.32,46.56,44.14,44.61,45.57,44.55,42.87,41.24,44.05,44.66,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Radish,10.59,13.75,17.47,21.88,18.10,16.02,14.62,15.00,14.54,16.14,18.68,17.09,16.16,13.83,15.70,12.91,12.40,15.05,22.84,24.06,17.50,21.93,26.21,27.44,23.85,19.43,17.80,27.17,17.69,13.62,17.43,17.79,16.87,30.33,35.38,23.82,16.73,18.29,21.08,19.95,19.57,17.74,17.49,20.15,19.33,19.50,19.24,20.69,24.56,21.79,17.69,19.84,17.49,18.63,15.99,22.89,31.37,29.10,23.16,22.45,20.52,21.94,19.04,20.30,21.96,20.72,19.62,17.19,19.54,26.63,20.49,30.71,33.62,33.65,20.54,19.73,20.51,23.60,21.31,27.43,24.40,26.89,31.92,30.96,18.63,30.84,27.02,30.76,35.54,29.83,27.44,26.81,22.97,19.19,22.20,22.23,28.96,28.10,27.91,29.07,35.57,33.22,32.75,26.15,32.49,26.82,23.92,31.73,35.72,34.91,38.02,40.60,48.31,38.64,32.71,29.47,34.23,30.01,37.14,38.44,45.05,36.11,28.11,31.69,37.48,37.70,29.13,26.91,22.57,34.50,22.35,21.58,23.67,36.55,47.38,35.42,24.49,27.90,27.22,32.65,52.65,51.80,33.75,39.48,19.83,25.43,31.94,31.44,39.31,41.07,60.02,34.78,34.82,35.63,36.27,36.42,40.47,39.09,35.67,29.96,35.53,44.52,34.41,37.31,27.17,34.02,73.00,56.28,41.43,42.22,37.19,38.77,38.04,48.91,53.35,47.63,53.14,50.84,57.77,35.45,34.02,44.78,39.10,50.22,40.15,38.35,65.09,66.63,45.47,50.30,62.99,65.38,66.21,52.94,53.57,40.58,35.55,40.22,43.29,58.51,65.94,56.83,89.17,60.85,56.63,50.49,71.13,55.77,52.53,46.15,40.62,44.54,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,Sweet Potato,14.66,12.96,12.75,13.59,14.20,14.77,16.03,18.28,16.06,15.34,14.04,13.44,14.68,13.36,13.68,12.50,12.32,12.72,13.76,14.71,15.68,16.01,18.42,18.53,17.93,14.97,17.32,15.86,15.53,14.87,13.91,13.78,14.12,16.99,17.56,18.14,17.81,17.70,16.27,17.44,15.69,13.81,14.88,16.92,17.68,18.85,20.67,20.88,20.30,18.54,18.33,17.81,17.74,16.05,15.82,17.54,16.21,16.11,18.04,21.70,22.77,20.96,20.19,20.20,18.62,19.22,17.85,16.53,17.80,18.38,20.20,22.42,25.53,27.20,25.27,22.82,21.90,21.25,21.07,19.22,19.14,21.88,21.13,21.93,22.72,26.72,27.73,25.78,25.16,24.77,22.86,25.42,22.63,21.04,20.99,19.69,20.58,21.54,23.76,24.75,24.17,24.47,24.08,22.77,26.53,23.85,21.73,20.29,22.94,23.74,25.73,28.37,29.03,29.36,26.01,25.19,24.38,28.08,25.97,22.61,23.91,27.77,25.57,28.70,33.25,31.18,26.33,25.63,24.73,27.13,23.21,22.13,24.62,27.73,29.44,29.30,29.32,29.66,28.04,27.23,28.58,28.00,27.46,28.35,29.42,23.71,22.27,20.84,20.28,22.40,28.05,30.73,30.08,32.97,32.25,26.81,30.78,28.00,28.18,29.63,29.49,30.25,30.04,33.81,31.91,32.99,33.54,31.96,30.93,33.16,34.34,33.41,38.12,39.62,40.78,41.80,45.63,44.49,43.24,44.70,42.10,39.96,38.56,35.85,35.03,37.07,39.78,41.95,46.83,53.14,50.31,46.40,43.80,39.98,42.20,39.50,38.03,35.85,33.70,33.49,33.77,36.26,42.21,44.48,43.12,43.74,44.08,39.03,44.77,43.67,45.09,47.14,..,..,..,..,..,..,..,..,..,NA
PHILIPPINES,White/Irish Potato,39.75,33.40,31.21,35.60,49.22,51.77,45.88,39.90,35.51,35.98,37.40,48.63,40.35,58.84,51.96,40.55,37.13,31.67,30.58,31.03,30.61,33.21,42.60,48.84,46.13,40.26,39.30,33.55,33.08,34.67,33.77,35.58,40.99,47.38,47.35,47.81,44.02,36.96,39.54,34.15,33.47,39.66,47.16,47.74,45.46,40.24,39.92,42.01,45.59,52.88,65.17,44.45,69.24,59.89,50.61,42.20,36.05,37.09,37.29,41.64,44.54,45.78,43.64,44.20,45.94,38.16,33.35,33.52,32.52,32.49,32.07,37.27,36.02,35.48,38.33,42.66,54.10,36.95,55.24,53.44,48.25,46.68,47.85,49.46,49.19,52.14,57.12,66.57,68.68,68.11,54.59,56.50,48.94,44.22,44.43,44.05,44.28,42.70,45.48,50.94,52.16,50.02,51.22,47.52,50.66,50.50,47.29,46.84,46.78,44.77,45.71,47.26,50.42,54.35,62.25,56.29,50.16,48.72,46.22,44.23,45.93,47.57,50.96,48.83,50.79,58.78,62.41,57.93,57.13,51.01,53.71,59.45,60.38,64.38,60.96,59.90,56.16,48.97,49.52,48.46,52.76,63.92,56.71,72.44,64.06,52.43,44.58,38.24,34.55,39.15,46.30,49.19,60.38,59.08,61.06,50.89,58.82,47.09,48.99,51.78,52.05,53.66,58.38,60.58,56.10,66.09,80.90,99.28,61.20,100.93,86.69,77.16,74.74,69.10,75.82,82.89,95.82,118.26,142.32,122.32,109.54,96.34,94.27,86.99,88.67,78.36,78.00,94.37,90.69,71.05,64.03,64.06,74.83,97.34,81.89,106.86,97.63,79.81,66.16,58.14,53.09,55.12,64.02,71.09,90.50,101.99,102.80,78.93,98.71,81.13,71.33,69.88,..,..,..,..,..,..,..,..,..,NA
..NATIONAL CAPITAL REGION (NCR),Carrots,16.83,13.68,14.55,13.54,17.56,29.92,47.58,32.38,28.48,29.46,22.30,30.70,24.75,31.44,38.88,43.44,30.80,21.95,15.21,15.86,16.66,18.18,40.29,56.82,52.66,31.85,35.48,40.97,30.47,24.93,26.62,36.07,44.63,57.22,46.41,36.03,27.48,21.95,35.69,15.13,13.58,15.57,19.63,35.27,44.43,30.94,23.06,26.86,44.09,43.63,49.75,30.16,43.19,30.44,25.87,24.94,33.38,59.90,53.40,28.89,28.63,30.81,38.03,..,36.13,..,20.69,25.21,24.93,..,..,40.53,51.99,62.03,..,58.20,36.14,39.97,24.15,20.76,25.55,34.88,45.25,..,49.08,55.97,..,..,..,..,36.52,57.91,58.05,39.86,32.51,25.25,23.23,26.61,..,..,..,..,..,37.63,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.99,29.90,54.44,47.71,63.88,..,44.69,52.78,..,52.22,..,46.70,34.44,26.74,26.75,34.87,31.98,49.27,67.78,45.03,..,42.82,64.65,83.44,46.16,86.01,73.81,46.65,33.25,34.54,32.82,37.51,..,..,51.11,91.87,58.78,54.64,..,56.59,..,..,..,..,50.81,67.80,..,..,66.93,53.31,59.09,42.31,33.16,39.52,37.59,37.62,56.22,110.20,96.06,99.96,93.92,85.79,59.64,66.00,61.67,60.88,71.89,59.99,52.70,63.98,98.69,72.16,61.54,86.04,116.09,110.93,76.38,97.38,54.05,44.44,43.03,49.70,49.00,72.08,177.70,204.94,149.30,103.70,70.67,93.00,56.30,58.04,106.20,106.40,..,..,..,..,..,..,..,..,..,NA
..NATIONAL CAPITAL REGION (NCR),Cassava,8.10,7.20,7.20,7.20,7.28,7.40,7.15,7.53,8.00,8.00,8.00,8.00,7.59,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.00,8.78,9.00,9.00,9.00,9.00,10.67,10.71,13.86,14.62,14.25,10.41,13.62,13.57,13.33,13.33,14.35,13.95,13.57,..,13.57,13.00,12.92,12.14,13.40,12.21,11.20,11.04,12.57,10.88,11.29,11.29,11.00,11.00,11.00,11.00,..,11.32,..,12.49,14.64,15.88,..,..,12.48,14.41,14.81,..,10.36,9.63,13.09,9.64,11.40,10.08,10.69,11.49,..,12.48,24.42,..,..,..,..,12.89,11.51,9.36,9.20,10.21,10.16,10.54,11.64,..,..,..,..,..,10.37,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.60,15.60,17.30,17.31,17.30,..,18.10,18.10,..,18.10,..,17.18,19.95,20.86,21.23,24.14,19.75,19.56,18.23,17.76,..,17.19,18.04,18.39,19.55,16.86,17.20,17.20,17.20,16.98,16.49,16.70,..,16.53,16.38,15.45,15.70,16.61,..,14.99,15.47,14.26,..,..,15.56,15.44,..,..,18.27,18.56,16.08,26.15,22.44,23.22,24.26,32.99,34.37,39.50,34.52,30.73,28.65,24.52,25.79,28.93,26.41,24.04,25.53,24.96,24.13,25.50,25.37,26.99,28.55,28.61,28.71,27.78,26.38,27.64,22.93,25.41,25.61,25.38,25.18,25.15,25.50,25.50,25.50,25.50,25.50,25.40,25.50,25.50,25.50,25.41,..,..,..,..,..,..,..,..,..,NA
..NATIONAL CAPITAL REGION (NCR),"Gabi Cebu, for ginataan [Taro (cocoyam)]",13.35,13.80,13.24,12.80,12.66,12.42,12.48,15.58,18.00,18.11,16.78,15.23,14.54,18.64,17.67,17.50,16.38,15.43,15.23,14.21,14.07,14.13,14.13,14.39,15.91,15.64,16.08,16.42,16.41,15.41,15.38,15.32,15.13,15.39,15.29,17.20,21.37,21.57,16.75,19.10,17.95,17.63,17.88,19.29,24.87,24.57,20.08,42.19,41.89,42.91,46.64,27.92,43.22,35.19,31.35,38.88,50.22,52.50,48.56,49.78,46.05,44.70,44.13,..,44.05,..,28.58,31.08,30.81,..,..,45.93,43.43,34.98,..,46.84,39.21,37.61,44.68,45.21,42.85,45.81,51.94,..,44.89,74.75,..,..,..,..,50.02,38.06,42.59,42.08,33.30,26.57,33.24,33.99,..,..,..,..,..,35.69,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.76,38.00,40.40,47.54,52.83,..,57.96,61.54,..,48.14,..,48.15,49.92,41.75,41.85,61.67,58.17,55.67,55.70,55.23,..,56.20,56.02,56.43,53.51,50.74,47.79,27.48,25.50,25.50,25.58,25.50,..,28.64,32.42,32.54,32.01,32.15,..,30.49,30.52,31.32,..,..,33.25,33.39,..,..,39.59,36.89,33.64,41.53,36.26,36.50,38.10,38.40,42.07,49.04,47.88,56.62,59.05,55.78,51.42,46.05,54.60,46.69,48.74,49.03,49.76,54.46,58.48,68.43,67.76,66.99,68.31,61.02,57.86,61.68,54.30,49.50,50.17,51.80,52.14,53.14,54.23,54.09,55.20,57.71,52.61,53.88,51.51,46.44,45.60,46.76,..,..,..,..,..,..,..,..,..,NA
