Geolocation,Commodity,2010 January,2010 February,2010 March,2010 April,2010 May,2010 June,2010 July,2010 August,2010 September,2010 October,2010 November,2010 December,2010 Annual,2011 January,2011 February,2011 March,2011 April,2011 May,2011 June,2011 July,2011 August,2011 September,2011 October,2011 November,2011 December,2011 Annual,2012 January,2012 February,2012 March,2012 April,2012 May,2012 June,2012 July,2012 August,2012 September,2012 October,2012 November,2012 December,2012 Annual,2013 January,2013 February,2013 March,2013 April,2013 May,2013 June,2013 July,2013 August,2013 September,2013 October,2013 November,2013 December,2013 Annual,2014 January,2014 February,2014 March,2014 April,2014 May,2014 June,2014 July,2014 August,2014 September,2014 October,2014 November,2014 December,2014 Annual,2015 January,2015 February,2015 March,2015 April,2015 May,2015 June,2015 July,2015 August,2015 September,2015 October,2015 November,2015 December,2015 Annual,2016 January,2016 February,2016 March,2016 April,2016 May,2016 June,2016 July,2016 August,2016 September,2016 October,2016 November,2016 December,2016 Annual,2017 January,2017 February,2017 March,2017 April,2017 May,2017 June,2017 July,2017 August,2017 September,2017 October,2017 November,2017 December,2017 Annual,2018 January,2018 February,2018 March,2018 April,2018 May,2018 June,2018 July,2018 August,2018 September,2018 October,2018 November,2018 December,2018 Annual,2019 January,2019 February,2019 March,2019 April,2019 May,2019 June,2019 July,2019 August,2019 September,2019 October,2019 November,2019 December,2019 Annual,2020 January,2020 February,2020 March,2020 April,2020 May,2020 June,2020 July,2020 August,2020 September,2020 October,2020 November,2020 December,2020 Annual,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2021 Annual,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December,2022 Annual,2023 January,2023 February,2023 March,2023 April,2023 May,2023 June,2023 July,2023 August,2023 September,2023 October,2023 November,2023 December,2023 Annual,2024 January,2024 February,2024 March,2024 April,2024 May,2024 June,2024 July,2024 August,2024 September,2024 October,2024 November,2024 December,2024 Annual,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December,2025 Annual,NA
PHILIPPINES,Ampalaya [Bitter gourd],30.79,28.89,24.76,26.54,27.08,30.93,30.65,27.08,17.70,26.88,47.12,39.56,30.19,39.19,39.33,33.47,34.10,33.16,35.88,36.36,37.78,38.50,56.33,41.66,39.72,38.57,37.95,32.53,31.44,32.10,29.22,31.58,31.24,43.19,38.69,42.32,37.95,32.58,34.74,38.81,38.92,34.52,30.13,32.53,35.61,32.79,29.38,36.87,47.26,48.16,42.27,37.71,45.52,40.73,32.53,30.62,24.82,30.51,38.31,44.37,31.35,32.45,31.88,39.88,35.79,52.57,43.31,41.46,38.17,35.15,35.16,47.59,39.83,33.85,40.70,58.55,47.66,42.95,54.14,35.94,37.09,36.23,42.24,45.74,41.17,38.13,41.50,53.71,66.76,59.04,45.73,59.50,45.74,37.31,36.24,33.02,41.71,39.17,42.23,42.91,51.36,57.72,55.06,45.91,64.00,58.90,50.67,41.96,43.55,52.02,59.85,60.57,56.47,55.14,56.05,50.95,54.38,60.97,50.69,46.79,50.13,49.21,51.26,52.22,42.52,42.90,49.12,55.83,63.95,52.25,53.34,48.25,49.07,50.88,50.52,51.80,39.35,36.96,39.00,52.42,105.89,96.56,58.89,87.57,58.72,46.94,42.08,37.33,49.23,50.08,61.96,56.72,59.21,54.03,61.00,58.40,67.03,57.49,56.90,53.72,58.46,64.30,48.98,51.05,54.18,69.72,88.60,66.55,64.04,87.18,80.63,68.45,51.05,47.62,49.44,60.61,80.61,75.62,60.72,55.16,63.02,66.30,68.19,66.00,68.14,65.68,71.02,79.12,69.33,52.22,64.98,68.86,100.78,84.92,71.60,87.76,73.38,67.30,57.71,61.30,64.96,78.91,88.62,69.19,75.98,103.88,107.04,78.00,NA
PHILIPPINES,Ampalaya [Bitter gourd] Native Variety,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.38,28.74,28.73,29.89,18.80,26.53,34.33,29.64,21.17,22.31,30.13,33.11,28.48,42.53,36.68,35.55,17.41,18.07,20.68,45.00,37.31,28.45,40.28,56.40,43.04,35.12,62.43,35.28,24.23,17.68,19.47,24.78,28.92,28.23,29.61,37.71,55.32,39.63,33.61,43.32,33.62,22.20,21.09,22.58,33.45,26.03,33.00,33.95,31.22,38.59,57.42,33.04,50.13,51.92,40.58,24.40,29.90,39.00,49.10,57.25,57.00,38.35,60.06,..,46.19,52.30,33.94,25.16,25.92,23.92,24.08,33.70,27.46,37.69,39.70,49.87,58.43,35.89,44.59,45.07,31.23,31.23,32.19,26.91,27.53,26.25,28.80,37.11,94.92,93.31,44.78,76.25,48.69,33.98,24.71,25.85,29.58,37.47,44.85,33.42,46.00,34.76,41.53,38.22,55.16,52.25,53.20,40.29,40.96,48.76,40.01,33.59,28.85,40.92,63.58,58.05,43.22,62.34,58.94,53.08,35.45,34.47,36.83,45.52,73.80,62.70,41.22,36.46,39.78,48.38,49.80,47.07,51.97,42.42,45.86,53.40,48.84,47.64,49.53,56.60,76.71,69.41,52.36,109.84,81.38,64.95,48.69,48.67,55.65,78.76,77.92,64.73,72.84,74.42,81.78,67.76,NA
PHILIPPINES,Chayote,12.33,13.06,12.90,13.54,14.10,13.01,10.89,9.65,8.45,10.48,14.07,12.17,12.05,11.22,10.70,9.47,9.63,10.13,12.50,13.07,11.83,15.23,21.63,16.10,13.18,12.92,11.73,11.21,10.49,9.63,9.65,10.53,10.95,20.60,25.00,17.32,13.40,15.69,13.85,16.09,14.33,12.01,10.96,11.16,11.58,11.48,11.51,16.56,15.43,14.86,15.14,13.44,14.79,15.03,12.00,17.64,13.84,12.28,11.89,14.31,13.72,15.41,12.50,14.18,13.95,16.97,14.73,12.42,14.14,17.40,14.88,17.67,30.08,20.78,16.52,24.28,20.76,18.49,22.17,17.53,16.00,18.22,22.49,23.03,17.17,18.27,20.67,21.43,28.12,25.10,20.58,20.45,18.19,14.74,15.87,16.34,17.11,15.37,18.85,20.19,18.01,17.57,18.99,17.26,21.43,18.85,16.92,18.12,20.11,23.00,22.48,25.64,40.00,35.51,20.92,19.88,23.20,23.73,24.29,18.43,21.06,22.14,18.48,16.28,18.40,23.66,20.32,15.76,17.51,19.98,16.28,16.00,19.78,25.86,25.71,21.03,15.38,15.71,15.46,15.82,24.68,22.42,19.44,21.30,18.62,15.35,16.67,18.79,20.14,21.01,28.80,29.18,22.94,18.18,25.65,21.49,24.95,18.51,17.30,17.00,18.53,20.33,18.14,18.17,18.45,21.38,29.18,26.23,20.50,26.28,26.22,21.55,22.05,28.40,28.97,27.63,38.71,43.73,27.98,23.34,23.97,28.28,25.41,24.13,21.15,27.29,40.44,41.18,28.85,25.01,23.54,29.97,39.33,39.42,30.48,27.28,21.69,19.80,19.81,24.18,24.72,24.99,43.32,32.34,29.30,41.03,62.07,30.88,NA
PHILIPPINES,Cucumber,16.16,19.60,28.01,25.45,21.45,19.69,16.75,17.00,17.67,21.43,23.02,18.11,20.23,26.96,25.95,19.27,18.58,29.25,25.96,18.79,18.90,28.17,40.78,26.47,18.65,24.81,21.95,29.78,29.95,21.05,20.45,19.68,19.80,37.92,21.58,19.02,19.60,31.53,24.36,39.28,25.69,20.66,31.54,26.87,19.28,19.04,25.59,28.45,31.22,23.18,25.12,26.33,26.22,23.64,29.67,31.15,23.26,19.27,21.39,28.67,29.21,31.47,25.77,23.16,26.27,31.18,34.59,28.34,23.77,30.47,31.00,39.29,30.98,32.92,26.86,57.02,26.87,33.82,22.95,33.73,34.09,32.20,29.26,34.35,21.10,33.86,33.36,44.65,33.15,25.09,31.24,25.08,26.02,17.60,19.34,20.73,35.78,39.33,29.37,27.78,30.14,36.95,49.23,28.61,52.82,36.65,22.27,21.15,..,28.49,17.22,29.53,29.10,47.72,30.63,26.27,31.08,42.03,55.72,46.65,47.48,43.19,30.93,22.05,28.47,25.93,24.27,33.77,29.22,35.18,25.88,23.20,26.72,31.35,41.92,38.25,21.03,27.42,32.12,29.28,34.94,55.87,32.95,54.80,31.53,27.81,29.23,30.82,26.78,32.27,29.64,32.67,42.38,34.93,37.41,32.38,38.88,47.35,61.60,38.77,38.62,40.15,33.83,36.76,47.78,73.32,66.77,59.74,50.82,71.24,66.75,39.06,27.53,44.08,52.48,35.88,62.20,54.64,31.70,51.15,59.67,49.70,49.90,40.59,64.71,61.21,52.23,61.11,51.30,36.64,67.97,59.91,77.89,80.19,58.64,41.96,32.83,41.07,33.76,43.50,48.58,53.94,51.82,58.64,50.70,66.35,91.74,51.24,NA
PHILIPPINES,"Eggplant long, purple",25.04,18.86,12.39,15.02,13.74,13.87,12.18,13.76,9.89,15.06,21.04,20.06,15.91,34.51,32.43,26.56,25.41,26.47,26.16,28.02,24.03,21.99,36.52,28.59,39.82,29.22,31.99,25.29,21.11,21.97,18.99,19.97,21.23,26.72,19.40,26.25,28.27,25.55,23.91,27.20,22.31,21.65,19.14,19.11,17.75,17.78,18.49,18.76,29.28,31.56,33.70,23.06,39.25,27.72,24.17,23.18,19.27,19.59,25.74,33.75,25.75,22.14,24.36,30.34,26.26,35.32,25.41,25.40,24.47,22.53,18.37,29.86,28.15,25.05,30.12,38.33,37.93,28.44,38.46,34.01,31.92,27.52,25.75,25.66,24.37,27.34,27.16,31.18,37.67,39.58,30.93,44.08,39.16,32.88,32.00,27.14,26.98,25.22,31.74,29.07,32.09,40.65,36.71,32.90,49.80,38.72,34.35,32.58,34.77,33.44,39.82,44.23,42.69,38.84,44.81,37.98,39.33,45.75,27.91,31.96,34.38,37.22,29.21,31.76,37.69,40.74,37.29,51.75,49.42,41.15,44.96,36.51,39.31,41.10,35.47,28.23,26.56,23.91,23.50,34.48,64.87,58.97,39.70,83.24,59.47,45.80,42.15,36.71,34.17,33.82,45.85,32.18,41.86,39.36,52.06,46.08,51.31,42.43,38.53,37.58,40.72,47.94,43.34,39.98,40.25,51.69,73.47,55.01,47.29,77.46,59.30,48.24,44.20,41.25,40.36,43.39,60.15,54.61,40.97,48.57,52.13,49.94,58.38,49.36,49.78,49.28,51.68,45.20,51.58,55.27,58.18,51.79,85.96,67.15,56.13,79.37,55.47,58.47,47.88,51.70,52.20,62.82,66.89,51.63,61.90,86.64,91.14,63.84,NA
PHILIPPINES,"Eggplant native, round",25.99,20.55,6.18,13.39,11.69,12.62,13.68,11.32,9.85,19.85,47.83,22.88,17.99,55.22,38.67,23.79,24.84,22.52,28.00,49.67,28.67,34.58,59.20,58.09,56.55,39.98,29.67,22.34,16.79,19.52,19.29,23.37,27.39,43.24,20.96,41.04,48.15,26.19,28.16,27.02,22.25,18.95,18.25,15.71,17.69,22.75,23.11,22.25,26.63,36.24,32.29,23.60,37.23,21.97,26.29,23.90,20.02,21.55,31.43,28.02,24.38,23.38,30.81,29.84,26.57,18.58,17.30,19.71,18.30,19.81,13.12,35.94,31.42,26.95,30.26,55.13,33.92,27.31,42.21,29.68,24.80,18.82,20.61,22.53,23.59,25.37,26.29,28.69,41.10,44.52,29.02,35.88,25.68,21.72,22.97,25.39,24.91,16.97,26.95,21.49,26.92,33.36,43.68,27.16,35.93,42.03,32.86,23.69,38.50,30.00,33.56,41.11,49.62,39.08,53.99,..,38.89,43.43,20.75,23.19,26.32,24.36,21.57,23.15,24.72,37.45,18.54,54.95,59.52,31.96,41.87,38.25,30.31,35.20,32.48,21.16,22.28,23.34,22.14,35.53,59.97,59.40,35.90,67.50,56.33,44.22,38.24,28.09,27.23,30.81,56.73,36.78,47.42,38.23,45.84,41.25,43.09,34.26,42.51,35.90,33.09,35.79,49.21,43.41,38.75,49.53,73.87,72.81,50.55,83.37,45.94,38.84,38.42,38.86,41.79,51.21,57.70,53.37,41.96,45.01,49.77,48.86,55.59,36.50,40.04,39.09,35.94,36.41,41.27,60.72,53.95,57.99,75.59,64.02,49.76,95.54,65.25,61.60,57.40,57.58,55.44,65.55,80.33,53.14,61.46,86.45,89.98,68.16,NA
PHILIPPINES,Jackfruit Green [Vegetable],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.14,..,19.46,24.89,18.03,11.03,13.31,15.57,24.27,22.64,16.81,13.24,17.94,14.39,14.97,15.00,..,..,14.00,14.33,17.58,19.33,27.34,17.51,13.71,16.82,10.95,10.62,10.68,10.95,12.86,14.16,12.83,17.05,32.88,20.04,12.43,10.09,14.63,10.56,11.28,13.34,14.93,11.70,10.58,11.65,12.45,16.98,17.28,14.54,14.37,13.31,14.44,..,13.65,13.91,14.26,11.92,12.14,14.01,26.57,25.36,17.49,16.38,16.38,13.86,11.17,11.94,13.43,..,13.15,13.15,25.89,59.76,28.96,14.46,10.35,19.65,10.04,10.00,14.63,18.06,18.33,18.06,17.28,21.00,25.06,22.85,20.00,16.25,17.63,14.75,38.37,36.27,32.88,25.55,15.00,33.49,15.06,21.67,34.32,33.43,33.15,33.37,25.06,31.87,33.61,36.26,29.38,23.33,38.27,39.67,28.00,29.60,40.47,39.06,37.12,47.39,50.38,48.30,41.80,39.62,38.73,37.98,41.73,57.28,68.42,57.39,50.37,48.28,45.36,43.83,39.60,37.96,36.96,38.79,42.09,46.24,72.95,77.06,54.44,46.53,48.48,47.23,26.62,43.89,47.11,44.79,43.36,44.44,49.22,49.00,50.98,49.35,50.18,47.01,NA
PHILIPPINES,Okra,21.02,16.63,20.19,24.22,25.37,20.46,13.45,10.77,11.21,26.72,36.89,18.99,20.49,33.45,27.03,20.66,17.83,32.16,26.96,19.53,18.00,22.04,37.75,32.88,38.54,27.24,25.97,22.14,22.85,20.88,18.88,16.77,14.66,24.83,25.88,29.72,24.44,20.53,22.30,23.57,23.11,26.36,21.66,16.84,15.19,13.73,16.70,19.59,25.55,28.38,28.55,21.81,29.07,22.19,29.46,34.58,22.50,18.91,17.96,18.08,16.89,16.90,19.93,29.98,22.94,27.92,26.20,32.30,27.24,26.24,21.21,25.05,18.70,19.18,25.79,21.80,29.96,25.69,30.13,27.30,26.66,27.04,30.09,27.99,20.01,23.96,21.22,30.23,35.17,32.06,27.45,36.19,29.79,27.09,24.76,22.93,20.22,17.70,23.39,21.94,23.33,23.02,32.15,25.49,39.84,46.88,35.08,24.65,31.45,44.05,31.43,37.06,39.39,28.20,40.26,46.25,36.95,38.68,30.34,26.49,35.24,30.20,19.94,23.80,22.04,34.22,25.22,45.24,39.71,30.93,37.44,39.35,38.74,38.65,33.62,27.00,19.50,17.88,27.22,38.19,66.49,79.90,39.24,56.39,31.76,30.60,29.34,26.07,33.34,30.67,35.86,16.37,26.51,27.22,48.67,33.57,48.89,36.27,24.33,26.05,32.98,32.94,21.84,26.88,27.72,54.82,57.86,40.62,37.80,63.35,66.45,55.94,37.35,38.56,32.80,36.01,38.00,42.30,31.84,31.32,46.96,43.41,52.53,51.32,66.39,68.12,58.63,42.71,37.96,32.78,46.03,36.01,62.71,64.03,51.60,79.26,57.43,53.07,40.31,54.84,44.89,42.75,48.41,44.99,47.92,64.78,72.69,54.28,NA
PHILIPPINES,"Patola [Dishrag gourd], native",19.00,19.85,18.83,18.42,17.28,18.56,17.69,13.17,11.10,11.48,20.50,22.31,17.32,23.96,24.22,21.36,17.82,18.59,25.00,24.21,26.43,25.25,28.74,24.16,21.73,23.46,18.70,17.26,19.12,18.84,18.16,19.70,17.73,27.08,23.39,19.49,20.04,19.70,19.28,21.76,23.77,21.40,21.09,20.12,19.29,16.94,29.92,21.30,24.86,21.65,22.47,20.64,26.02,19.20,21.72,22.25,19.58,19.55,20.58,23.95,18.40,19.99,18.33,24.71,21.08,23.45,19.86,22.70,20.99,19.95,20.46,23.78,21.14,22.23,17.69,20.34,20.61,21.31,23.02,24.39,18.31,22.18,25.56,20.00,17.79,29.43,16.60,16.55,16.20,22.25,21.56,13.31,13.80,20.54,21.15,17.67,17.67,17.65,20.54,23.56,17.00,..,19.50,17.48,21.00,24.06,24.35,..,21.92,29.67,33.33,36.00,32.08,18.83,28.33,22.33,26.54,23.50,33.71,32.95,32.33,26.67,29.42,29.17,29.20,34.17,27.08,27.67,31.25,33.23,27.85,28.19,32.20,40.56,36.18,29.30,21.40,23.85,25.94,27.81,61.04,47.34,34.05,48.15,32.35,28.75,25.94,25.94,32.81,29.29,..,..,..,..,..,38.67,..,..,..,..,..,..,..,..,..,..,..,..,..,56.33,56.81,51.24,51.86,49.86,47.54,48.40,54.26,50.06,38.39,34.12,31.20,48.44,45.52,51.58,56.47,51.27,53.73,52.51,54.28,51.62,49.82,47.04,57.49,58.33,52.47,64.03,61.66,57.62,50.08,50.36,54.46,61.82,63.27,58.45,56.01,67.88,62.22,58.99,NA
PHILIPPINES,Squash,13.41,12.60,9.16,10.24,10.99,10.92,10.96,10.49,8.68,8.79,10.01,10.87,10.59,13.40,17.30,15.51,13.59,11.41,12.75,14.64,16.12,17.47,19.64,17.36,14.62,15.35,12.84,10.37,10.31,11.00,11.16,12.89,12.20,14.35,16.37,18.79,16.96,15.91,13.81,16.17,16.67,13.02,12.72,12.40,11.11,10.63,10.43,10.37,13.64,17.45,18.62,13.60,16.33,15.69,12.89,14.03,13.84,12.28,13.97,15.32,15.12,14.37,12.56,11.44,14.00,11.93,13.97,14.23,17.50,17.43,14.85,17.09,17.12,13.79,13.51,14.75,16.48,15.30,19.10,16.29,13.16,12.44,12.89,14.48,17.26,18.28,15.22,14.74,18.17,18.20,15.93,19.14,18.72,16.47,14.89,14.16,12.65,12.30,14.60,20.17,22.06,20.97,17.90,16.84,21.28,19.63,16.97,18.20,17.56,22.15,28.19,26.83,20.26,15.91,14.42,13.91,19.71,15.62,15.66,16.38,22.67,27.22,20.13,18.46,18.24,17.56,21.45,22.74,20.69,19.76,17.58,16.38,16.03,17.19,15.98,16.67,16.49,16.12,14.02,14.10,17.79,29.05,17.38,52.68,39.93,20.55,15.82,12.62,14.31,20.10,26.05,26.60,22.32,17.91,16.84,23.75,18.60,18.19,22.36,23.73,19.32,22.20,25.08,27.00,21.52,21.14,24.49,27.51,22.85,30.24,32.54,26.61,22.43,19.52,19.48,19.31,22.02,27.75,30.68,28.12,25.39,25.32,21.28,20.83,20.75,22.16,26.99,32.11,32.58,26.98,17.80,18.23,21.66,25.37,23.90,34.03,23.40,18.60,17.88,17.05,16.93,21.69,44.44,43.36,32.22,25.03,26.92,26.79,NA
