Geolocation,Commodity Description,2000 Jan,2000 Feb,2000 Mar,2000 Apr,2000 May,2000 Jun,2000 Jul,2000 Aug,2000 Sep,2000 Oct,2000 Nov,2000 Dec,2000 Ave,2001 Jan,2001 Feb,2001 Mar,2001 Apr,2001 May,2001 Jun,2001 Jul,2001 Aug,2001 Sep,2001 Oct,2001 Nov,2001 Dec,2001 Ave,2002 Jan,2002 Feb,2002 Mar,2002 Apr,2002 May,2002 Jun,2002 Jul,2002 Aug,2002 Sep,2002 Oct,2002 Nov,2002 Dec,2002 Ave,2003 Jan,2003 Feb,2003 Mar,2003 Apr,2003 May,2003 Jun,2003 Jul,2003 Aug,2003 Sep,2003 Oct,2003 Nov,2003 Dec,2003 Ave,2004 Jan,2004 Feb,2004 Mar,2004 Apr,2004 May,2004 Jun,2004 Jul,2004 Aug,2004 Sep,2004 Oct,2004 Nov,2004 Dec,2004 Ave,2005 Jan,2005 Feb,2005 Mar,2005 Apr,2005 May,2005 Jun,2005 Jul,2005 Aug,2005 Sep,2005 Oct,2005 Nov,2005 Dec,2005 Ave,2006 Jan,2006 Feb,2006 Mar,2006 Apr,2006 May,2006 Jun,2006 Jul,2006 Aug,2006 Sep,2006 Oct,2006 Nov,2006 Dec,2006 Ave,2007 Jan,2007 Feb,2007 Mar,2007 Apr,2007 May,2007 Jun,2007 Jul,2007 Aug,2007 Sep,2007 Oct,2007 Nov,2007 Dec,2007 Ave,2008 Jan,2008 Feb,2008 Mar,2008 Apr,2008 May,2008 Jun,2008 Jul,2008 Aug,2008 Sep,2008 Oct,2008 Nov,2008 Dec,2008 Ave,2009 Jan,2009 Feb,2009 Mar,2009 Apr,2009 May,2009 Jun,2009 Jul,2009 Aug,2009 Sep,2009 Oct,2009 Nov,2009 Dec,2009 Ave,2010 Jan,2010 Feb,2010 Mar,2010 Apr,2010 May,2010 Jun,2010 Jul,2010 Aug,2010 Sep,2010 Oct,2010 Nov,2010 Dec,2010 Ave,2011 Jan,2011 Feb,2011 Mar,2011 Apr,2011 May,2011 Jun,2011 Jul,2011 Aug,2011 Sep,2011 Oct,2011 Nov,2011 Dec,2011 Ave
PHILIPPINES,ALL ITEMS,52.2654584221748,52.5746268656716,52.5852878464819,52.6652452025586,52.7558635394456,52.9584221748401,53.2196162046908,53.5394456289979,53.6940298507463,53.9658848614073,54.4456289978678,54.9680170575693,53.3031272210377,55.5597014925373,55.5597014925373,55.5970149253731,55.5863539445629,55.7036247334755,56.0660980810235,56.4392324093817,56.5511727078891,56.6791044776119,56.6897654584222,56.7430703624734,56.8923240938166,56.172263681592,57.1748400852879,57.1268656716418,57.2547974413646,57.2761194029851,57.2867803837953,57.4840085287847,58.0490405117271,58.454157782516,58.6940298507463,58.4754797441365,58.3955223880597,58.4754797441365,57.8455934612651,58.3688699360341,58.5181236673774,58.6034115138593,58.7420042643923,58.9925373134328,59.3603411513859,59.589552238806,59.7121535181237,59.7441364605544,59.6002132196162,59.7334754797441,59.8454157782516,59.2341862117981,60.319829424307,60.4637526652452,60.8475479744137,61.2473347547974,61.6044776119403,62.4893390191898,63.5074626865672,64.0191897654584,64.3550106609808,64.5042643923241,64.7228144989339,64.9946695095949,62.7563077469794,65.501066098081,65.7675906183369,66.0341151385928,66.5565031982942,67.1321961620469,67.6172707889126,68.1556503198294,68.6034115138593,68.8752665245203,69.0191897654584,69.498933901919,69.7068230277186,67.7056680881308,70.2078891257996,71.1567164179105,71.4872068230277,71.6098081023454,71.9456289978678,72.3827292110874,72.6012793176972,72.953091684435,72.8784648187633,72.9211087420043,72.9477611940299,72.9584221748401,72.170842217484,73.2675906183369,73.4648187633262,73.4648187633262,73.6780383795309,73.9179104477612,74.3230277185501,74.5309168443497,74.7228144989339,75.1119402985075,75.3091684434968,75.9115138592751,76.5724946695096,74.522921108742,77.7185501066098,78.3688699360341,79.2004264392324,81.9296375266524,84.1471215351812,87.4840085287847,89.6428571428571,89.4509594882729,88.7100213219616,87.9317697228145,87.4307036247335,86.956289978678,84.9142679459844,87.2761194029851,88.198294243070393,88.8699360341151,89.0031982942431,89.1257995735608,89.317697228145,89.4243070362473,89.5682302771855,89.5042643923241,89.7014925373134,90.4264392324094,90.9808102345416,89.2830490405117,91.4179104477612,91.8923240938166,91.9829424307036,92.1055437100213,92.2334754797441,92.3507462686567,92.5586353944563,92.9637526652452,92.8997867803838,92.7398720682303,93.2356076759062,93.683368869936,92.5053304904051,94.8827292110874,96.3219616204691,96.8550106609808,97.0682302771855,97.1748400852879,97.3880597014925,97.6012793176972,97.7611940298508,97.6545842217484,97.9211087420043,98.1876332622601,98.2409381663113,97.2547974413646
..AREAS OUTSIDE NATIONAL CAPITAL REGION (AONCR),ALL ITEMS,52.2322855620671,52.5519445924347,52.5679275439531,52.6425146510389,52.7277570591369,52.9355354288759,53.1965903036761,53.5162493340437,53.6654235482152,53.9371337240277,54.4006393180607,54.9280767181673,53.2751731486415,55.5141182738412,55.5301012253596,55.5673947789025,55.5567394778903,55.6739477890251,56.0309003729355,56.4038359083644,56.5210442194992,56.6489078316463,56.6595631326585,56.7021843367075,56.8513585508791,56.1383413248091,57.1390516782099,57.0964304741609,57.2296217368141,57.2456046883325,57.2509323388386,57.4587107085775,58.0287693127331,58.4389984017049,58.6893979754928,58.4656366542355,58.3857218966436,58.4549813532232,57.8236547682472,58.3324453915823,58.4816196057539,58.572189664358,58.7107085775173,58.9611081513053,59.3233883857219,59.5578050079915,59.6856686201385,59.7123068726692,59.5684603090037,59.6963239211508,59.8028769312733,59.2004084532055,60.2770378263186,60.420884389984,60.8151305274374,61.2147043153969,61.5663292488013,62.4453915823122,63.4736281299947,63.990410229089,64.3207245604689,64.4698987746404,64.6830047948855,64.9334043686734,62.7175457290002,65.4448588172616,65.7165689930741,65.9882791688865,66.510388918487,67.0857751731487,67.5599360681939,68.0980287693127,68.5508790623335,68.822589238146,68.9557805007992,69.4352690463506,69.6430474160895,67.6509500976736,70.1438465636654,71.0868407032499,71.427810335642,71.5450186467768,71.8859882791689,72.3175279701652,72.5306339904102,72.8875865743207,72.812999467235,72.8449653702717,72.8716036228024,72.8875865743207,72.1035340081691,73.1965903036761,73.404368673415,73.4150239744273,73.6281299946724,73.8678742674481,74.2727757059137,74.4645711241343,74.6510388918487,75.0452850293021,75.2370804475226,75.839104954715,76.4997336174747,74.4601314153792,77.6558337773042,78.3217900905701,79.1369206180075,81.8753329781567,84.0969632392115,87.4480554075653,89.6323921150773,89.4459243473628,88.6947256259989,87.9115610015983,87.4160895045285,86.9419286094832,84.8814597762387,87.2562599893447,88.193926478423,88.8811933937134,89.0037293553543,89.1262653169952,89.3180607352158,89.4246137453383,89.5684603090037,89.493873201918,89.6696856686202,90.4102290889718,90.964304741609,89.2758835020423,91.4171550346297,91.891315929675,91.9818859882792,92.0884389984017,92.2322855620672,92.3441662226958,92.5572722429409,92.9568460309004,92.9035695258391,92.7490676611614,93.2232285562067,93.6707511987214,92.5013319126265,94.8854555141183,96.3239211507725,96.8566862013852,97.0697922216303,97.1763452317528,97.3894512519979,97.602557272243,97.7623867874268,97.6558337773042,97.9222163026106,98.1885988279169,98.2418753329782,97.2562599893447
..NATIONAL CAPITAL REGION (NCR),ALL ITEMS,55.1907968574635,55.1010101010101,54.8597081930415,55.1739618406285,55.5443322109989,55.3254769921437,55.7912457912458,55.9483726150393,56.4590347923681,56.8013468013468,58.5465768799102,58.658810325477,56.1167227833894,59.2536475869809,58.4960718294052,58.2828282828283,58.5465768799102,58.8720538720539,59.2031425364759,59.8933782267116,59.5061728395062,59.6745230078563,59.8709315375982,60.4882154882155,60.5555555555556,59.3869248035915,60.3423120089787,59.8989898989899,60.1066217732884,60.2188552188552,60.7407407407407,60.2805836139169,60.4657687991021,60.5555555555556,60.2918069584736,60.2637485970819,60.1459034792368,60.9820426487093,60.3577441077441,61.7171717171717,61.7957351290685,61.8406285072952,61.8742985409652,62.2502805836139,63.0751964085297,62.5869809203143,62.6374859708193,62.6936026936027,62.8563411896745,63.27721661055,63.7878787878788,62.532734754957,64.1750841750842,64.1133557800225,64.1919191919192,64.5679012345679,65.0841750841751,66.5432098765432,66.8518518518519,67.1604938271605,67.6374859708193,67.9573512906846,68.5690235690236,69.96632996633,66.4015151515151,70.4040404040404,70.2076318742985,70.2244668911336,70.7687991021324,71.0942760942761,72.6543209876543,73.1762065095399,73.4006734006734,73.7934904601571,74.371492704826,74.8653198653199,75.4096520763187,72.5308641975309,75.8810325476992,76.9472502805836,76.9135802469136,77.1212121212121,77.2390572390572,77.7553310886644,78.4399551066218,78.6980920314254,78.1537598204265,79.0291806958474,78.9618406285073,79.1133557800225,77.8544706322484,79.2424242424243,78.5465768799102,78.294051627385,78.3501683501684,78.6307519640853,79.1189674523008,80.331088664422,80.7744107744108,81.0606060606061,81.358024691358,81.7957351290685,82.9068462401796,80.0341376730266,83.3782267115601,83.1200897867565,84.5959595959596,87.2446689113356,89.0347923681257,91.1616161616162,91.8686868686869,91.5712682379349,91.1728395061728,90.6004489337823,89.9382716049383,89.270482603816,88.5797792742237,90,90,89.8765432098765,90.4938271604938,90.6397306397306,90.9820426487093,91.0886644219978,91.1167227833895,91.7508417508417,93.4848484848485,93.0471380471381,93.5634118967452,91.3369809203143,93.3501683501684,93.5072951739618,93.7037037037037,94.6240179573513,93.8271604938272,94.320987654321,94.4051627384961,94.949494949495,94.006734006734,93.8664421997755,95.8193041526375,96.1223344556678,94.3752338196783,96.5207631874299,97.6430976430977,97.5308641975309,99.2143658810326,98.1481481481482,98.5970819304153,98.1481481481482,97.6430976430977,97.8675645342312,99.2704826038159,99.4388327721661,99.1021324354658,98.2603815937149
..CORDILLERA ADMINISTRATIVE REGION (CAR),ALL ITEMS,53.9010989010989,54.1923076923077,54.0934065934066,54.0604395604396,54.1098901098901,54.2197802197802,54.4835164835165,55.3296703296703,55.5714285714286,56.1263736263736,56.5054945054945,56.7362637362637,54.9441391941392,57.4285714285714,56.8021978021978,56.7637362637363,56.489010989011,56.7857142857143,56.7857142857143,57.2472527472528,57.4835164835165,57.456043956044,57.456043956044,57.3241758241758,57.4065934065934,57.1190476190476,57.5494505494506,57.1208791208791,57.2142857142857,57.1703296703297,57.3241758241758,57.478021978022,58.1428571428571,59.3571428571429,59.043956043956,58.945054945055,58.6593406593407,58.1043956043956,58.0091575091575,58.1208791208791,58.3681318681319,58.3406593406594,59.1648351648352,59.7747252747253,59.9395604395604,60.9725274725275,60.846153846153904,61.2472527472528,61.2032967032967,61.3901098901099,61.3956043956044,60.0636446886447,61.4505494505495,61.5934065934066,62.1373626373626,62.3901098901099,62.9065934065934,63.6153846153846,64.7692307692308,65.5054945054945,65.6538461538462,65.7197802197802,65.7747252747253,65.8406593406593,63.9464285714286,66.7307692307692,67.0879120879121,67.0054945054945,67.3351648351648,68.6318681318681,68.7472527472528,69.4010989010989,69.9010989010989,70.5934065934066,71.1098901098901,72.2857142857143,72.0494505494506,69.2399267399267,72.4010989010989,72.7197802197802,72.7362637362637,72.8406593406593,73.0824175824176,73.6703296703297,73.7142857142857,73.8021978021978,74.2032967032967,74.1813186813187,74.5,73.7967032967033,73.470695970696,73.8461538461539,73.543956043956,73.2967032967033,73.3076923076923,73.7032967032967,74,74.0824175824176,74.5714285714286,75.8131868131868,76.3681318681319,77.0384615384616,77.6813186813187,74.7710622710623,78.010989010989,78.5604395604396,79.2967032967033,81.5054945054945,84.9835164835165,86.9725274725275,88.8956043956044,91.3131868131868,91.2637362637363,90.6373626373627,89.0659340659341,88.6868131868132,85.7660256410257,87.6153846153846,88.7967032967033,89,89.3901098901099,88.456043956044,89.2967032967033,89.2362637362637,90.489010989011,90.6923076923077,91.3406593406594,92.3626373626374,93.1923076923077,89.989010989011,92.8461538461539,92.6098901098901,92.2637362637363,92.3461538461539,92.6813186813187,92.8736263736264,92.9395604395605,92.9175824175824,92.9230769230769,92.9175824175824,93.8351648351649,94.510989010989,92.9720695970696,95.3296703296703,95.989010989011,96.3736263736264,96.5934065934066,96.7032967032967,96.5384615384616,96.6483516483517,96.6483516483517,97.0879120879121,97.7472527472528,98.5164835164835,98.1318681318681,96.8589743589744
..REGION I (ILOCOS REGION),ALL ITEMS,55.1491277433877,55.1378728193585,55.0478334271244,55.2279122115926,55.3573438379291,55.5430500844119,55.9763646595386,57.1975239167136,56.6741699493528,57.2425436128306,58.1429375351716,58.5875070343275,56.2736822359783,59.9437253798537,59.634214969049,59.2965672481711,59.5554305008441,59.5948227349466,60,60.258863252673,60.3995498030388,60.5233539673607,60.5458638154193,60.5233539673607,60.9848058525605,60.1050459576065,61.0185706246483,60.9341586944288,60.9172763083849,61.1029825548678,61.0523353967361,61.5644344400675,63.770399549803,63.6691052335397,63.3033202025886,62.9994372537985,63.252673044457,63.3764772087788,62.2467642093416,62.4085537422622,61.7895329206528,61.7951603826674,61.7895329206528,61.8289251547552,62.4254361283061,62.4592009003939,62.7855936972425,62.8474957794035,62.9656724817108,62.8418683173889,63.0219471018571,62.4132432939411,63.1176139561058,63.5059088351154,63.9729881823298,64.1924592009004,64.7101857062465,65.5993247045582,67.2087788407428,67.450759707372,68.0585256049522,68.3117613956106,68.4974676420934,68.9420371412493,66.130650909773,69.8818232976928,70.4558244231852,70.6471581316826,71.2943162633652,71.5925717501407,72.1328081035453,73.1738885762521,73.6409679234665,74.3556555993247,74.9915588069781,75.6218345526168,75.7512661789533,72.7949728006003,75.8919527293191,76.1845807540799,76.5222284749578,76.48846370287,76.4828362408554,76.9386606640405,77.0906021384356,78.2554867754643,78.0416432189083,78.0360157568936,78.0810354530107,78.0754079909961,77.1740761583193,78.3680360157569,78.199212155318,77.9009566685425,78.4299380979178,78.5312324141812,78.9645469893078,79.2796848621272,79.3640967923467,79.8536859876196,80.5008441193022,80.7990996060777,81.2999437253799,79.2909397861564,82.0877884074283,82.4929656724817,82.7011817670231,86.9330332020259,88.4074282498593,90.793472144063,92.2172200337648,94.0011254924029,94.2712436691053,93.8829487900957,92.8587507034328,91.9864940911649,89.3861376852373,91.3224535734384,91.9977490151942,92.8868880135059,93.190770962296,93.2245357343838,93.6015756893641,93.8379290939786,93.9223410241981,93.8097917839055,94.0742824985931,96.7191896454699,96.1508159819921,93.7281935846933,95.6049521665729,95.2898142937535,95.1885199774902,95.4642656162071,95.481148002251,95.6218345526168,96.1395610579629,96.0551491277434,95.8525604952167,95.6049521665729,96.7979741136747,97.0061902082161,95.8422434815232,97.8615644344401,98.5931344963422,98.8182329769274,99.099606077659,99.3247045582442,99.2121553179516,99.8311761395611,99.4935284186832,99.6623522791221,100.168823860439,100.844119302195,100.675295441756,99.46539110861
..REGION II (CAGAYAN VALLEY),ALL ITEMS,55.5789473684211,55.218836565097,55.0360110803324,54.7257617728532,54.6814404432133,54.8476454293629,54.6925207756233,55.3739612188366,55.4515235457064,55.8227146814405,56.4487534626039,56.9085872576177,55.398891966759,58.2049861495845,58.1495844875346,58.1939058171745,58.0498614958449,57.9722991689751,58.398891966759,58.7368421052632,58.9085872576177,58.9418282548477,59.0360110803324,59.0969529085873,59.196675900277,58.5738688827331,59.2742382271468,58.7423822714682,58.814404432133,58.9639889196676,59.1800554016621,59.8282548476454,60,60.387811634349,61.1301939058172,61.213296398892,61.1191135734072,61.1246537396122,59.9815327793167,61.0138504155125,61.0747922437673,61.218836565097,61.1024930747923,61.3462603878116,61.617728531856,62.0997229916898,62.3268698060942,62.2216066481995,61.8891966759003,61.8171745152355,62.1385041551247,61.6555863342567,62.1772853185596,61.9778393351801,62.0831024930748,62.4709141274238,62.9695290858726,63.6565096952909,64.6204986149585,65.0526315789474,65.2520775623269,66.0554016620499,66.3157894736842,66.7202216066482,64.1126500461681,67.1357340720222,66.8421052631579,67.0803324099723,67.1080332409972,67.6565096952909,68.0277008310249,68.797783933518,69.3185595567867,69.8448753462604,70.1440443213296,70.7202216066482,71.2742382271468,68.662511542013,71.6842105263158,72.4986149584488,72.6703601108033,72.6481994459834,72.8808864265928,73.1578947368421,73.5124653739612,73.9113573407202,74.0387811634349,74.1052631578947,74.4986149584488,74.6648199445984,73.3559556786704,74.8310249307479,74.5318559556787,73.7728531855956,73.7783933518006,73.9279778393352,74.3102493074792,74.4321329639889,74.5706371191136,75.612188365651,75.9168975069252,76.2493074792244,77.2299168975069,74.9302862419206,78.2603878116344,78.0997229916898,78.7811634349031,81.218836565097,83.2299168975069,85.4570637119114,87.058171745152407,87.7950138504155,87.5512465373961,87.1246537396122,86.7590027700831,86.6149584487535,83.9958448753463,87.0304709141274,88.2216066481995,88.2437673130194,88.3601108033241,88.7036011080333,89.2409972299169,89.7673130193906,89.4016620498615,89.7396121883657,91.5567867036011,92.8975069252078,92.7811634349031,89.6620498614958,92.6537396121884,91.8060941828255,91.5013850415513,92.016620498615,92.1274238227147,92.3767313019391,92.6094182825485,92.797783933518,92.819944598338,92.786703601108,96.409972299169,96.4930747922438,93.0332409972299,96.8975069252078,97.6731301939058,97.3961218836565,97.3961218836565,97.8393351800554,97.617728531856,97.617728531856,97.2853185595568,97.7839335180055,99.2797783933518,100.277008310249,99.612188365651,98.056325023084
..REGION III (CENTRAL LUZON),ALL ITEMS,53.646288209607,53.82096069869,53.7991266375546,53.8755458515284,53.8864628820961,54.0884279475983,54.7543668122271,54.7325327510917,54.7379912663756,55.3766375545852,55.9989082969432,56.2827510917031,54.5833333333333,57.1342794759825,56.9705240174673,56.9213973799127,56.806768558952,57.1451965065502,57.7292576419214,57.8657205240175,57.9694323144105,58.1768558951965,58.0458515283843,58.1331877729258,58.0513100436681,57.5791484716157,58.2368995633188,57.8493449781659,57.9257641921397,57.9366812227074,58.0676855895197,58.3569868995633,58.3897379912664,59.1430131004367,58.711790393013104,59.3613537117904,59.1539301310044,58.9901746724891,58.5102802037846,59.2303493449782,59.2685589519651,59.3777292576419,59.3995633187773,59.5796943231441,60.4039301310044,60.5403930131004,60.6058951965066,60.5458515283843,60.4148471615721,60.5786026200873,60.7150655021834,60.0550400291121,61.703056768559,61.528384279476,61.7849344978166,61.910480349345,62.2434497816594,63.4934497816594,64.923580786026207,65.3766375545852,65.660480349345,65.8133187772926,65.8078602620088,67.014192139738,63.9383187772926,67.6910480349345,67.6146288209607,67.6910480349345,67.9039301310044,68.2751091703057,68.8482532751092,69.5305676855895,69.9017467248908,70.5949781659389,71.0316593886463,71.7139737991267,71.7958515283843,69.3827328966521,72.3799126637555,73.0458515283843,73.2969432314411,73.3296943231441,73.5807860262009,73.7336244541485,74.0665938864629,75.0327510917031,75.0491266375546,75.0927947598253,75.278384279476,75.0873362445415,74.0811499272198,75.453056768559,75.1364628820961,74.8799126637555,74.9017467248908,75.3875545851529,75.867903930131,76.0971615720524,76.2336244541485,76.8831877729258,77.6965065502183,78.5371179039301,79.0829694323144,76.3464337700146,79.8580786026201,80.382096069869,80.9334061135371,82.8711790393013,85.7041484716157,87.7893013100437,90.0600436681223,91.1681222707424,90.8296943231441,90.0327510917031,89.4323144104804,88.5262008733625,86.4656113537118,88.5862445414847,89.3668122270743,89.4486899563319,89.4596069868996,89.5796943231441,90.1473799126638,90.9170305676856,91.1954148471616,91.4737991266376,92.221615720524,93.6244541484716,93.8045851528384,90.8187772925764,93.5644104803494,93.438864628821,92.7183406113537,93.3133187772926,93.3897379912664,93.9847161572053,94.2521834061136,94.2576419213974,94.1484716157205,93.75,94.4759825327511,95.4366812227074,93.8941957787482,95.9061135371179,97.2707423580786,97.2161572052402,97.4344978165939,97.4890829694323,97.8711790393013,98.5262008733625,98.4170305676856,98.5262008733625,100.054585152838,100.436681222707,99.7816593886463,98.2441775836973
..REGION IV-A (CALABARZON),ALL ITEMS,55.0278396436526,55.0668151447661,54.8106904231626,54.793986636971,54.8886414253898,54.9498886414254,55.1336302895323,55.4899777282851,55.695991091314,56.5924276169265,57.0044543429844,58.7193763919822,55.681143281366,59.0033407572383,59.1035634743875,58.9810690423163,58.8864142538976,58.9587973273942,59.4543429844098,59.8218262806236,59.8329621380846,60.0167037861915,60.0835189309577,60.1503340757238,60.2616926503341,59.5462138084633,60.5456570155902,60.3062360801782,60.4120267260579,60.5846325167038,60.6681514476615,60.673719376392,60.695991091314,61.0244988864143,60.9298440979956,60.8296213808463,60.7906458797327,60.7572383073497,60.684855233853,60.9187082405345,61.1024498886414,60.9187082405345,61.0801781737194,61.1135857461025,61.7538975501114,61.7873051224944,61.8429844097996,61.8819599109131,62.0712694877506,62.3162583518931,62.5501113585746,61.6114513734224,63.2182628062361,63.184855233853,63.4799554565702,63.3129175946548,63.5022271714922,64.109131403118,64.6380846325167,64.9331848552339,65.467706013363,65.7182628062361,65.8351893095768,66.1581291759465,64.4631588715665,66.5423162583519,66.8541202672606,66.9097995545657,66.9543429844098,67.2438752783964,67.4665924276169,67.7839643652561,68.1681514476615,68.4688195991091,69.2204899777283,70.4844097995546,70.6180400890869,68.0595768374165,71.0913140311804,72.3106904231626,72.4721603563474,72.3385300668151,72.4387527839644,72.7672605790646,72.9231625835189,73.4298440979955,73.8251670378619,73.9587973273942,74.2093541202673,74.2037861915368,72.9974016332591,74.3708240534521,74.1982182628062,74.1703786191537,74.1926503340757,74.2483296213809,74.5211581291759,74.7494432071269,74.8440979955457,75.4788418708241,76.0467706013363,76.5367483296214,77.0935412026726,75.037583518931,77.9398663697105,78.402004454343,78.9755011135858,81.2583518930958,82.4610244988864,83.4799554565702,85.8630289532294,86.8541202672606,86.6258351893096,86.804008908686,85.9298440979956,85.3897550111359,83.3319413511507,85.239420935412,85.5011135857461,85.8296213808463,86.1581291759466,86.6202672605791,87.4053452115813,87.8452115812918,87.8897550111359,88.4576837416481,88.9253897550111,89.8997772828508,89.9721603563474,87.4786562731997,90.0835189309577,90.7795100222717,91.1971046770601,91.2973273942094,91.0690423162584,91.1859688195991,91.2806236080178,91.6481069042316,91.8541202672606,91.4587973273942,92.1269487750557,92.8118040089087,91.3994060876021,93.7639198218263,95.43429844098,95.9354120267261,97.3273942093541,96.6592427616926,96.8819599109131,96.8819599109131,96.8819599109131,97.0489977728285,97.4387527839644,98.5523385300668,98.2739420935412,96.7566815144766
..MIMAROPA REGION,ALL ITEMS,54.3337066069429,54.7704367301232,54.9384098544233,55.2407614781635,55.0727883538634,55.4199328107503,56.0078387458007,56.3997760358343,56.9204927211646,57.2452407614782,57.6987681970885,57.8387458006719,55.9905748413587,59.4120940649496,59.501679731243,59.6640537513998,59.6528555431131,59.7760358342665,59.8936170212766,60.2911534154535,60.4087346024636,60.4535274356103,60.5599104143337,60.7838745800672,60.8398656215006,60.1031168346398,60.8510638297872,60.9238521836506,61.1142217245241,61.1366181410974,60.4143337066069,60.5935050391937,60.6159014557671,61.7693169092945,62.2956326987682,62.060470324748,62.3012318029115,61.4221724524076,61.2915266890631,61.8477043673012,61.5397536394177,61.6125419932811,61.8421052631579,61.9316909294513,62.1388577827548,62.2284434490482,62.441209406495,62.5195968645017,62.5755879059351,62.4692049272116,62.6651735722284,62.1509891750653,62.6147816349384,62.5811870100784,62.8779395296752,62.956326987682,63.1522956326988,63.969764837626,64.9272116461366,65.0223964165733,65.3639417693169,65.5711086226204,66.0750279955207,66.5957446808511,64.3089772303098,66.926091825308,67.2900335946249,67.3684210526316,67.7771556550952,68.6562150055991,69.1097424412094,70.1231802911534,70.8510638297872,71.5397536394177,71.6797312430011,71.976483762598,72.2004479283315,69.6248600223964,72.8331466965286,73.1690929451288,73.5722284434491,73.8913773796193,74.1209406494961,74.6192609182531,74.725643896976493,74.9944008958567,75.274356103023507,75.6382978723404,75.6550951847704,75.7166853303471,74.5175438596491,75.9686450167973,75.8790593505039,75.9238521836506,76.0078387458007,76.2318029115342,76.5005599104143,76.959686450168,77.2564389697648,78.4042553191489,79.2385218365062,79.5128779395297,80.0895856662934,77.331093691676,80.531914893617,80.823068309070507,81.4053751399776,85.2127659574468,87.1556550951848,89.1097424412094,90.0839865621501,91.1366181410974,90.4423292273236,89.5632698768197,87.458006718925,87.1108622620381,86.6694662187383,87.8387458006719,88.1298992161254,88.538633818589,88.9473684210526,89.036954087346,89.7144456886898,89.7368421052632,90.2575587905935,90.5991041433371,90.8790593505039,91.6573348264278,91.8085106382979,89.7620380739082,92.5979843225084,92.5139977603583,93.1802911534154,92.8499440089586,92.9787234042553,93.0291153415454,93.4658454647257,94.3281075027996,94.2945128779395,94.3393057110862,94.7592385218365,95.0951847704367,93.6193542366555,96.6405375139978,97.5923852183651,97.5363941769317,97.2564389697648,96.7525195968645,96.5845464725644,96.8085106382979,97.0884658454647,97.3124300111982,97.6483762597984,98.040313549832,98.040313549832,97.2751026502426
..REGION V (BICOL REGION),ALL ITEMS,54.2055555555556,54.5333333333333,54.7666666666667,54.8555555555556,54.9166666666667,55.1611111111111,55.5611111111111,56.0222222222222,56.1444444444444,56.2888888888889,56.8111111111111,57.3722222222222,55.5532407407407,58.05,58.2388888888889,58.1,58.0666666666667,58.1,58.4611111111111,58.9222222222222,58.95,59.2111111111111,59.1611111111111,59.1333333333333,59.4055555555556,58.65,59.7888888888889,59.8222222222222,60.0722222222222,59.7888888888889,59.7166666666667,59.8777777777778,59.4555555555556,60.3388888888889,60.7277777777778,60.9166666666667,60.85,61,60.1962962962963,60.6444444444444,60.7555555555556,60.6833333333333,61.4333333333333,61.5333333333333,61.6944444444444,61.9111111111111,61.9888888888889,62.0611111111111,62.15,62.2722222222222,62.6055555555556,61.6444444444444,63.2055555555556,63.4222222222222,63.7166666666667,63.9444444444444,64.3111111111111,65.0333333333333,66.0555555555556,66.3833333333333,66.6666666666667,66.7833333333333,67.2111111111111,67.7222222222222,65.3712962962963,67.9722222222222,68.2277777777778,68.2833333333333,68.4166666666667,68.6333333333333,69.0166666666667,69.9222222222222,70.7055555555556,71.1333333333333,71.4222222222222,71.8166666666667,72.0722222222222,69.8018518518519,72.6166666666667,73.2166666666667,73.35,73.5,73.6277777777778,73.9444444444444,74.1444444444445,74.4666666666667,74.4333333333333,74.65,75.0222222222222,75.05,74.0018518518519,75.8166666666667,76.0055555555556,75.8277777777778,75.8444444444445,75.9555555555556,76.1277777777778,76.1722222222222,76.1944444444445,76.75,77.4333333333333,78.2888888888889,79.0111111111111,76.6189814814815,79.9666666666667,80.2666666666667,82.0277777777778,83.1666666666667,84.5222222222222,86.6888888888889,89.3944444444445,88.7333333333333,88.5,88.0555555555556,87.6333333333333,87.3277777777778,85.5236111111111,88.4722222222222,89.2833333333334,89.65,89.4388888888889,89.4111111111111,89.9166666666667,90.0055555555556,90.4944444444444,90.6055555555556,91.1611111111111,91.9888888888889,92.3888888888889,90.2347222222222,92.9222222222222,93.4166666666667,93.6055555555556,93.7888888888889,93.5555555555556,93.4888888888889,93.6277777777778,94.2388888888889,94.2444444444444,94.3333333333333,94.6444444444445,95.3,93.9305555555556,96.7777777777778,96.9444444444444,97.2777777777778,97.5,97.1666666666667,97.1666666666667,97.2777777777778,97.6111111111111,97.6666666666667,97.8888888888889,98.2777777777778,98.2222222222222,97.4814814814815
