Geographic location,Commodity Description,Consumer Price Index for Bottom 30% Income Households Weights: (2012=100)
PHILIPPINES,ALL ITEMS,100.00000000
PHILIPPINES,FOOD AND NON-ALCOHOLIC BEVERAGES,58.27946521
PHILIPPINES,FOOD,55.03893555
PHILIPPINES,Bread and cereals (ND),27.21354285
PHILIPPINES,Rice,20.73280626
PHILIPPINES,Corn,2.58095011
PHILIPPINES,"Other Cereals, Flour, Cereal Preparation, Bread,  Pasta and Other Bakery Products",3.89978648
PHILIPPINES,Meat (ND),5.12571273
PHILIPPINES,Fish  and Seafood (ND),9.29482139
PHILIPPINES,"Milk, cheese and eggs (ND)",2.97864242
PHILIPPINES,Oils and fats (ND),1.03763388
PHILIPPINES,Fruit (ND),1.74082331
PHILIPPINES,Vegetables (ND),4.37840678
PHILIPPINES,"Sugar, jam, honey, chocolate and confectionery (ND)",1.68283240
PHILIPPINES,Food products n.e.c. (ND),1.58651979
PHILIPPINES,NON-ALCOHOLIC BEVERAGES,3.24052966
PHILIPPINES,"Coffee, tea and cocoa (ND)",2.08848371
PHILIPPINES,"Mineral water, soft drinks, fruit and vegetable juices (ND)",1.15204595
PHILIPPINES,ALCOHOLIC BEVERAGES AND TOBACCO,2.45050060
PHILIPPINES,ALCOHOLIC BEVERAGES,0.86399768
PHILIPPINES,Spirits (ND),0.51942261
PHILIPPINES,Wine (ND),0.18048318
PHILIPPINES,Beer (ND),0.16409189
PHILIPPINES,TOBACCO,1.57616099
PHILIPPINES,Tobacco (ND),1.57616099
PHILIPPINES,OTHER VEGETABLE-BASED TOBACCO PRODUCTS,0.01034193
PHILIPPINES,Other vegetable-based products,0.01034193
PHILIPPINES,NON-FOOD,39.27003419
PHILIPPINES,CLOTHING AND FOOTWEAR,2.56736344
PHILIPPINES,CLOTHING,1.78609517
PHILIPPINES,Clothing materials (SD),0.00319346
PHILIPPINES,Garments (SD),1.76553651
PHILIPPINES,Other articles of clothing and clothing accessories (SD),0.01196539
PHILIPPINES,"Cleaning, repair and hire of clothing (S)",0.00539981
PHILIPPINES,FOOTWEAR,0.78126827
PHILIPPINES,Shoes and other footwear (SD),0.77999643
PHILIPPINES,Repair and hire of footwear (S),0.00127184
PHILIPPINES,"HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",15.43381909
PHILIPPINES,ACTUAL RENTALS FOR HOUSING,7.90935764
PHILIPPINES,Actual rentals paid by tenants (S),7.90935764
PHILIPPINES,MAINTENANCE AND REPAIR OF THE DWELLING,0.30455683
PHILIPPINES,Materials for the maintenance and repair of the dwelling (ND),0.26503953
PHILIPPINES,Services for the maintenance and repair of the dwelling (S),0.03951730
