Geolocation,Commodity Description,Consumer Price Index for Bottom 30% Income Households Weights: (2018=100)
PHILIPPINES,ALL ITEMS,100.00000000
PHILIPPINES,FOOD AND NON-ALCOHOLIC BEVERAGES,54.93042363
PHILIPPINES,FOOD,51.38033314
PHILIPPINES,Cereals and cereal products (ND),23.64338525
PHILIPPINES,Cereals (ND),19.61642771
PHILIPPINES,Rice,17.86845492
PHILIPPINES,Corn,1.74797279
PHILIPPINES,"Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",4.02695754
PHILIPPINES,Flour of cereals (ND),0.11773421
PHILIPPINES,Bread and bakery products (ND),2.35864647
PHILIPPINES,Breakfast cereals (ND),0.00841155
PHILIPPINES,"Macaroni, noodles, couscous and similar pasta products (ND)",1.00301718
PHILIPPINES,Other cereal and grain mill products (ND),0.53914813
PHILIPPINES,Meat and other parts of slaughtered land animals (ND),6.14848310
PHILIPPINES,"Meat, fresh, chilled or frozen (ND)",4.60550681
PHILIPPINES,"Meat, dried, salted, in brine or smoked (ND)",0.01194945
PHILIPPINES,"Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",0.13389738
PHILIPPINES,"Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",1.39712946
PHILIPPINES,Fish and other seafood (ND),8.49609019
PHILIPPINES,"Fish, live, fresh, chilled or frozen (ND)",6.28855605
PHILIPPINES,"Fish, dried, salted, in brine or smoked (ND)",0.95172080
PHILIPPINES,Fish preparations (ND),0.78852721
PHILIPPINES,"Other seafood, live, fresh, chilled or frozen (ND)",0.45952842
PHILIPPINES,Other seafood preparations (ND),0.00775771
PHILIPPINES,"Milk, other dairy products and eggs (ND)",3.35364483
PHILIPPINES,Raw and whole milk (ND),0.00688637
PHILIPPINES,Other milk and cream (ND),1.62345723
PHILIPPINES,Non-animal milk (ND),0.00149037
PHILIPPINES,Cheese (ND),0.04177300
PHILIPPINES,Yoghurt and similar products (ND),0.00099862
PHILIPPINES,Milk-based dessert and beverages (ND),0.01746278
PHILIPPINES,Eggs (ND),1.66157646
PHILIPPINES,Oils and fats (ND),0.67040273
PHILIPPINES,Vegetable oils (ND),0.56742811
PHILIPPINES,Butter and other fats and oils derived from milk (ND),0.00226548
PHILIPPINES,Margarine and similar preparations (ND),0.09854041
PHILIPPINES,Other animal oils and fats (ND),0.00216873
PHILIPPINES,Fruits and nuts (ND),1.72921001
PHILIPPINES,"Dates, figs and tropical fruits, fresh (ND)",1.64855165
PHILIPPINES,"Citrus fruits, fresh (ND)",0.01740332
PHILIPPINES,"Fruit, dried and dehydrated (ND)",0.00048071
PHILIPPINES,"Nuts, in shell or shelled (ND)",0.03690652
PHILIPPINES,Fruit and nuts ground and other preparations (ND),0.02586781
PHILIPPINES,"Vegetables, tubers, plantains, cooking bananas and pulses (ND)",4.00641566
PHILIPPINES,"Leafy or stem vegetables, fresh or chilled (ND)",1.24674292
PHILIPPINES,"Fruit-bearing vegetables, fresh or chilled (ND)",1.34968663
PHILIPPINES,"Other vegetables, fresh or chilled (ND)",0.96074500
PHILIPPINES,"Tubers, plantains and cooking bananas (ND)",0.40780468
PHILIPPINES,"Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (ND)",0.04143643
PHILIPPINES,"Sugar, confectionery and desserts (ND)",1.40394356
PHILIPPINES,Cane and beet sugar (ND),0.78700386
