Area,Commodity Description,2000 Jan,2000 Feb,2000 Mar,2000 Apr,2000 May,2000 Jun,2000 Jul,2000 Aug,2000 Sep,2000 Oct,2000 Nov,2000 Dec,2000 Ave,2001 Jan,2001 Feb,2001 Mar,2001 Apr,2001 May,2001 Jun,2001 Jul,2001 Aug,2001 Sep,2001 Oct,2001 Nov,2001 Dec,2001 Ave,2002 Jan,2002 Feb,2002 Mar,2002 Apr,2002 May,2002 Jun,2002 Jul,2002 Aug,2002 Sep,2002 Oct,2002 Nov,2002 Dec,2002 Ave,2003 Jan,2003 Feb,2003 Mar,2003 Apr,2003 May,2003 Jun,2003 Jul,2003 Aug,2003 Sep,2003 Oct,2003 Nov,2003 Dec,2003 Ave,2004 Jan,2004 Feb,2004 Mar,2004 Apr,2004 May,2004 Jun,2004 Jul,2004 Aug,2004 Sep,2004 Oct,2004 Nov,2004 Dec,2004 Ave,2005 Jan,2005 Feb,2005 Mar,2005 Apr,2005 May,2005 Jun,2005 Jul,2005 Aug,2005 Sep,2005 Oct,2005 Nov,2005 Dec,2005 Ave,2006 Jan,2006 Feb,2006 Mar,2006 Apr,2006 May,2006 Jun,2006 Jul,2006 Aug,2006 Sep,2006 Oct,2006 Nov,2006 Dec,2006 Ave,2007 Jan,2007 Feb,2007 Mar,2007 Apr,2007 May,2007 Jun,2007 Jul,2007 Aug,2007 Sep,2007 Oct,2007 Nov,2007 Dec,2007 Ave,2008 Jan,2008 Feb,2008 Mar,2008 Apr,2008 May,2008 Jun,2008 Jul,2008 Aug,2008 Sep,2008 Oct,2008 Nov,2008 Dec,2008 Ave,2009 Jan,2009 Feb,2009 Mar,2009 Apr,2009 May,2009 Jun,2009 Jul,2009 Aug,2009 Sep,2009 Oct,2009 Nov,2009 Dec,2009 Ave,2010 Jan,2010 Feb,2010 Mar,2010 Apr,2010 May,2010 Jun,2010 Jul,2010 Aug,2010 Sep,2010 Oct,2010 Nov,2010 Dec,2010 Ave,2011 Jan,2011 Feb,2011 Mar,2011 Apr,2011 May,2011 Jun,2011 Jul,2011 Aug,2011 Sep,2011 Oct,2011 Nov,2011 Dec,2011 Ave
PHILIPPINES,0 - ALL ITEMS,43.6272607864564,43.8853312735155,43.894230255828,43.9609726231708,44.036613972826,44.2056946367614,44.4237197034147,44.6906891727862,44.8197244163158,45.0466484652816,45.4471026693387,45.8831528026455,44.493428398195,46.3770463209827,46.3770463209827,46.408192759076,46.3992937767637,46.4971825821999,46.7997479808209,47.1112123617543,47.2046516760343,47.3114394637829,47.3203384460953,47.3648333576573,47.4894191100305,46.8883670130151,47.7252421413088,47.685196720903,47.7919845086516,47.8097824732764,47.8186814555887,47.9833126283679,48.4549586909241,48.7931200187947,48.9933471208233,48.8109179834195,48.7441756160766,48.8109179834195,48.2851364451295,48.7219281602956,48.846513912669,48.917705771168,49.033392541229,49.24251862557,49.5495335153472,49.7408616350634,49.8431999316558,49.869896878593,49.7497606173758,49.8609978962806,49.9544372105606,49.4442288913173,50.3504419234616,50.4705781846788,50.7909415479246,51.1246533846389,51.4227692921038,52.1613848240316,53.0112376348641,53.4383887858584,53.7187067286985,53.8432924810719,54.0257216184757,54.2526456674415,52.3842301727708,54.6753473272796,54.8978218850892,55.1202964428988,55.5563465762055,56.0368916210742,56.4417953162877,56.8911939230629,57.2649511801831,57.4918752291488,57.612011490366,58.0124656944232,58.1859958495147,56.5155827112945,58.6042480181967,59.3962574439988,59.6721258956826,59.774464192275,60.054782135115,60.4196404099227,60.6020695473266,60.8957359636352,60.8334430874485,60.8690390166981,60.891286472479,60.9001854547914,60.2427731364641,61.1582559418505,61.3228871146296,61.3228871146296,61.5008667608772,61.7010938629058,62.0392551907764,62.2127853458679,62.3729670274907,62.6977798818927,62.8624110546718,63.3652035553215,63.9169404586892,62.2061111091336,64.8735810572703,65.4164189783256,66.1105395986915,68.3886790706614,70.2396673916371,73.0250488554129,74.8270927736704,74.6669110920475,74.0484318213369,73.398806112533,72.980553943851,72.5845492309499,70.880023327199,72.8515187003215,73.6212806703426,74.1819165560226,74.2931538349275,74.3954921315199,74.5556738131427,74.6446636362665,74.7647998974837,74.7114060036094,74.8760371763885,75.4811679736306,75.9439150538745,74.5267521206275,76.3087733286821,76.7047780415831,76.7804193912384,76.8827576878308,76.9895454755794,77.0874342810156,77.2609644361071,77.5991257639776,77.5457318701033,77.4122471354176,77.8260498129434,78.1998070700634,77.2164695245452,79.2009425802065,80.4023051923782,80.8472543079973,81.025233954245,81.1142237773689,81.2922034236164,81.4701830698641,81.6036678045499,81.514677981426,81.7371525392356,81.9596270970452,82.0041220086071,81.1809661447117
..National Capital Region (NCR),0 - ALL ITEMS,46.1075997138375,46.032589892239,45.831000996693,46.0935353722878,46.4029508863817,46.2201144462353,46.6092278957776,46.740495083575,47.1671134439165,47.4530883887609,48.911091796082,49.0048540730802,46.8811384990722,49.5017941411703,48.8688987714329,48.6907504451364,48.911091796082,49.1830023993767,49.4596011165212,50.0362391200598,49.7127592644162,49.8534026799134,50.0174866646602,50.53317918815,50.5894365543489,49.6131368451057,50.4112882280524,50.0409272339097,50.2143874463562,50.3081497233544,50.7441443113957,50.3597189757033,50.5144267327503,50.5894365543489,50.3690952034032,50.3456546341536,50.2472042433056,50.9457332069418,50.4241805411396,51.5598761212796,51.6255097151784,51.6630146259776,51.691143309077,52.0052469370208,52.6943996729571,52.2865337680153,52.3287267926644,52.3756079311635,52.5115632328108,52.8631717715539,53.2897901318954,52.2412153341328,53.613269987539,53.5617007351901,53.6273343290887,53.9414379570325,54.372744431224,55.5916540321998,55.8495002939448,56.1073465556896,56.5058362329317,56.7730587223764,57.2840631320164,58.4514034806433,55.4732791574897,58.817076360936,58.6529923761892,58.667056717739,59.12180376118,59.3937143644746,60.6970100147488,61.1330046027902,61.3205291567865,61.64869712628,62.1315728528204,62.5441268716123,62.9988739150532,60.5938715100508,63.3926754784455,64.2834171099278,64.2552884268284,64.4287486392749,64.527199030123,64.9585055043145,65.5304553940032,65.7461086310989,65.2913615876579,66.0227073482434,65.9664499820445,66.0930290559921,65.0413288489962,66.2008556745399,65.6195295571514,65.4085644339056,65.4554455724047,65.6898512649,66.0977171698419,67.1103497614219,67.4807107555646,67.7198045619099,67.9682745959549,68.3339474762477,69.2621940185293,66.862270403531,69.6559955819216,69.4403423448258,70.6733162873514,72.8861060245076,74.381614342628,76.1584094917428,76.7491118368312,76.5006418027861,76.1677857194426,75.6895981067521,75.1364006724631,74.5785151243241,74.0014864446314,75.187969924812,75.187969924812,75.084831420114,75.6005239436038,75.7224149037014,76.0083898485458,76.0974640116941,76.1209045809436,76.650661445983,78.0992886256044,77.7336157453117,78.1649222195031,76.3049130495524,77.9867738932067,78.118041081004,78.2821250657508,79.0509757371356,78.3852635704488,78.7978175892406,78.8681392969892,79.3228863404302,78.5352832136458,78.4180803673981,80.0495439871658,80.3027021350608,78.843136023123,80.6355582184043,81.5731809883857,81.4794187113876,82.8858528663597,81.9951112348774,82.3701603428699,81.9951112348774,81.5731809883857,81.760705542382,82.9327340048587,83.073377420356,82.7920905893616,82.0888735118755
..Areas Outside National Capital Region (NCR),0 - ALL ITEMS,43.5995705860326,43.8663978234013,43.8797391852697,43.9419988739891,44.013152803954,44.1865905082437,44.4044994187614,44.67132665613,44.7958460335686,45.022649185332,45.4095486795164,45.8498136211747,44.4700944479478,46.3389968896838,46.3523382515523,46.3834680959119,46.3745738546664,46.4724105083682,46.7703675900964,47.0816660336932,47.179502687395,47.2862335823425,47.2951278235881,47.3307047885705,47.4552241660093,46.8600511893231,47.695368679641,47.6597917146585,47.7709697302288,47.7843110920972,47.78875821272,47.9621959170096,48.4380378236503,48.7804661116068,48.9894807808788,48.8027017147208,48.7359949053786,48.7938074734751,48.2668236796721,48.6915236991505,48.8160430765892,48.891644127177,49.00726926337,49.2162839326422,49.5186881349932,49.7143614423969,49.8210923373443,49.8433279404584,49.7232556836425,49.82998657859,49.9189289910462,49.4160337672834,50.3147227264763,50.4347949832922,50.7638819093801,51.0974159560909,51.3909259171964,52.1247008199601,52.9829951001625,53.4143658005751,53.6900872791894,53.814606656628,53.9924914815405,54.2015061508125,52.3518745651087,54.6284297306023,54.8552328823657,55.082036034129,55.5178538551644,55.998142882428,56.393936617858,56.8430958007619,57.2211010537007,57.4479042054641,57.5590822210344,57.9593230770873,58.1327607813769,56.4699082618311,58.550790119921,59.3379304701585,59.6225461900184,59.7203828437202,60.00499856358,60.3652153340277,60.5431001589401,60.8410572406684,60.7787975519491,60.8054802756859,60.8277158788,60.8410572406684,60.1865893223448,61.0989902367914,61.272427941081,61.2813221823266,61.4592070072391,61.6593274352655,61.9973086025991,62.1574049450203,62.3130541668186,62.6421410929066,62.8022374353277,63.3047620657053,63.8562050229338,62.1536990111679,64.8212301980836,65.377120275935,66.057529731225,68.3433497313495,70.1977990310614,72.9950379028091,74.8183573581614,74.6627081363629,74.0356641285467,73.3819373969936,72.9683551790722,72.5725614436421,70.8526375427702,72.8349415603879,73.6176347900025,74.1913133503451,74.2935971246697,74.3958808989943,74.5559772414155,74.6449196538717,74.7649919106876,74.7027322219683,74.849487202521,75.4676369690917,75.9301375138639,74.5207708698183,76.3081427668028,76.7039365022329,76.7795375528207,76.8684799652769,76.9885522220928,77.0819417551718,77.2598265800842,77.593360626795,77.5488894205669,77.4199229225054,77.8157166579355,78.1892747902516,77.2131318135447,79.2032182922523,80.4039408604111,80.8486529226922,81.0265377476046,81.1154801600608,81.2933649849732,81.4712498098857,81.60466342857,81.5157210161137,81.7380770472543,81.9604330783947,82.0049042846229,81.1821869694029
..Cordillera Administrative Region (CAR),0 - ALL ITEMS,46.8705207835643,47.123745819398,47.0377448638318,47.0090778786431,47.0520783564262,47.1476349737219,47.3769708552317,48.112756808409,48.3229813664597,48.8055422838031,49.1352126134735,49.3358815097945,47.7775123427297,49.9378881987577,49.393215480172,49.3597706641185,49.1208791208791,49.3788819875777,49.3788819875777,49.7802197802198,49.9856665074057,49.9617773530817,49.9617773530817,49.8471094123268,49.9187768752986,49.6687370600414,50.0430004777831,49.6703296703297,49.751552795031,49.7133301481128,49.8471094123268,49.9808886765409,50.5590062111801,51.6149068322982,51.3425704730052,51.2565695174391,51.0081223124702,50.5255613951266,50.442745660137,50.539894887721,50.7548972766364,50.7310081223125,51.4476827520306,51.978021978022,52.1213569039656,53.0195891065457,52.9096989966556,53.258480649785,53.2202580028667,53.3827042522695,53.3874820831343,52.2292562509954,53.4352603917822,53.5594839942666,54.0324892498805,54.2522694696608,54.7013855709508,55.3177257525083,56.3210702341137,56.9612995699952,57.0903010033445,57.1476349737219,57.1954132823698,57.2527472527472,55.6055900621118,58.0267558528428,58.337314859054,58.2656473960822,58.5523172479694,59.6798853320592,59.7802197802198,60.3487816531295,60.7835642618251,61.3855709507883,61.8346870520784,62.8571428571429,62.651696129957,60.2086319477624,62.9574773053034,63.234591495461,63.2489249880554,63.3397037744863,63.549928332537,64.0611562350693,64.0993788819876,64.1758241758242,64.5246058289537,64.5054945054945,64.7826086956522,64.1710463449594,63.8875617136487,64.2140468227425,63.9512661251791,63.7362637362637,63.7458193979933,64.089823220258,64.3478260869565,64.4194935499284,64.8447204968944,65.9245102723364,66.4070711896799,66.989966555184,67.5489727663641,65.018315018315,67.8356426182513,68.3134257047301,68.9536550406116,70.8743430482561,73.8987099856665,75.6282847587196,77.3005255613951,79.4027711419016,79.3597706641185,78.8150979455328,77.4486383182036,77.1189679885332,74.5791527313267,76.1872909698997,77.214524605829,77.3913043478261,77.730530339226,76.9182990922122,77.6493072145246,77.5967510750119,78.6860965121835,78.8628762541806,79.4266602962256,80.315336837076,81.0367892976589,78.2513139034878,80.7357859531773,80.5303392259914,80.2293358815098,80.3010033444816,80.5924510272337,80.7596751075012,80.8170090778787,80.7978977544195,80.8026755852843,80.7978977544195,81.5957955088391,82.1834687052078,80.8452779104953,82.8953655040611,83.4687052078357,83.8031533683708,83.9942666029623,84.089823220258,83.9464882943144,84.0420449116102,84.0420449116102,84.4242713807931,84.9976110845677,85.6665074056378,85.3320592451027,84.2251950947603
..Region I (Ilocos Region),0 - ALL ITEMS,46.8158979145906,46.8063436497101,46.7299095306659,46.8827777687543,46.992651814880404,47.1502971854091,47.5181363833095,48.5547741228469,48.1105008059022,48.5929911823689,49.3573323728112,49.7347258355921,47.7705282139035,50.8860147536959,50.6232724694813,50.3366445230655,50.5563926153176,50.5898325423995,50.9337860780985,51.1535341703506,51.2729624813572,51.378059395043,51.3971679248042,51.378059395043,51.7697842551447,51.0229592169834,51.7984470497863,51.7267900631824,51.7124586658616,51.8701040363903,51.8271098444279,52.2618288964919,54.1344648130756,54.0484764291509,53.7379628205336,53.4799976687593,53.6949686285713,53.8000655422571,52.841056204874,52.9783987625316,52.4529141941026,52.4576913265428,52.4529141941026,52.4863541211844,52.9927301598524,53.021392954494,53.2984666360293,53.3510150928722,53.4513348741178,53.346237960432,53.4991061985205,52.9823797062318,53.5803174500049,53.9099395883832,54.3064415809251,54.4927497460954,54.9322459305998,55.6870328561615,57.0532927340771,57.2587094290085,57.774639732557,57.9896106923689,58.1472560628976,58.5246495256785,56.1380737773965,59.3224306432027,59.8096981521097,59.9721206550786,60.521490885709,60.7746789050431,61.2332836193084,62.1170531207573,62.5135551132992,63.1202509332128,63.6600668989627,64.1951057322723,64.3049797783984,61.7953928697795,64.424408089405,64.6728189762987,64.9594469227146,64.930784128073,64.9260069956328,65.3129547232941,65.4419372991813,66.4308037143161,66.249272681586,66.2444955491457,66.2827126086678,66.2779354762276,65.5127980970452,66.5263463631213,66.3830323899134,66.1298443705794,66.5788948199642,66.664883203889,67.0327224017893,67.3002418184441,67.3718988050481,67.7875093273511,68.3368795579815,68.5900675773155,69.0152323644991,67.3097960833247,69.6840309061361,70.0279844418351,70.2047383421249,73.7971419372037,75.0487506365529,77.074254791225,78.2828692986119,79.7972202821756,80.0265226393084,79.6969005009301,78.8274623968021,78.087006868561,75.8795735867889,77.5233052406098,78.0965611334416,78.8513480590033,79.1093132107776,79.1379760054192,79.4580438789169,79.658683441408,79.730340428012,79.6347977792067,79.8593230038991,82.1045752508233,81.6220848743566,79.5655293588228,81.158703027651,80.8911836109962,80.8051952270715,81.0392747166444,81.0536061139652,81.1730344249718,81.6125306094761,81.5408736228722,81.3688968550227,81.158703027651,82.171455104987,82.3482090052768,81.3601387788822,83.074333136197,83.6953603534314,83.8864456510419,84.1253022730552,84.3163875706657,84.2208449218605,84.7463294902896,84.4597015438737,84.6030155170816,85.0329574367054,85.6062133295374,85.4628993563294,84.4358158816724
..Region II (Cagayan Valley),0 - ALL ITEMS,45.8572173006775,45.5600961758226,45.4092500662809,45.1532687894828,45.1167000356545,45.2538328625106,45.1258422241116,45.6880868142216,45.7520821334211,46.0583454467331,46.5748790945577,46.9542799155262,45.70865673825,48.0239159650037,47.9782050227183,48.0147737765466,47.8959253266047,47.8319300074052,48.1839042630025,48.4627410109432,48.6044449320278,48.6318714973991,48.7095800992842,48.7598621357981,48.8421418319117,48.3282746557204,48.9061371511112,48.4673121051718,48.5267363301427,48.6501558743132,48.8284285492262,49.3632465739649,49.5049504950495,49.824927091047,50.437453717671,50.506020131099,50.4283115292139,50.4328826234424,49.4897135142877,50.3414607388717,50.3917427753856,50.5105912253276,50.4145982465283,50.6157263925838,50.8397100097822,51.2373952076649,51.4248100710348,51.3379592806927,51.0636936269804,51.0042694020095,51.2693928672646,50.8709458203438,51.3013905268644,51.1368311346371,51.2236819249792,51.5436585209767,51.9550570015451,52.5218726858836,53.3172430816489,53.6737884314748,53.8383478237021,54.5011564868399,54.715997915581,55.0496877942642,52.8982261106997,55.3925198614045,55.150251867292,55.3468089191191,55.3696643902617,55.8222027188869,56.1284660321988,56.7638481299654,57.1935309874478,57.6277849391587,57.8746240274997,58.3500178272675,58.8071272501211,56.6522372458853,59.1453882230328,59.8173390746277,59.9590429957123,59.9407586187982,60.1327445763967,60.3612992878235,60.6538493184498,60.9829681029045,61.0881032701608,61.1429564009032,61.4675040911294,61.6046369179855,60.5247159064937,61.7417697448415,61.4949306565006,60.8686907471911,60.8732618414196,60.9966813855901,61.3120868873591,61.4126509603869,61.5269283161003,62.3862940310652,62.6377042136347,62.9119698673469,63.7210535457978,61.8236685164361,64.5712770723056,64.4387153396781,65.000959929788,67.0122413903441,68.6715485953027,70.5091284751744,71.8301747072215,72.4381302396168,72.2370020935611,71.8850278379639,71.5833356188804,71.4644871689385,69.3035023723979,71.8073192360787,72.7901044952141,72.8083888721282,72.9043818509275,73.1877896930968,73.6311858332648,74.0654397849757,73.7637475658923,74.0425843138331,75.541903220793,76.6481080240988,76.5521150452996,73.9785889946336,76.4469798780432,75.7476024610772,75.4961922785077,75.9213040417615,76.0127259263323,76.2184251666164,76.4104111242149,76.5658283279852,76.5841127048993,76.5566861395281,79.5461817649909,79.614748178419,76.760099832698,79.9484380571021,80.5883912490972,80.3598365376704,80.3598365376704,80.7255240759533,80.5426803068119,80.5426803068119,80.2684146530997,80.6798131336679,81.9140085753728,82.7368055365091,82.188274229085,80.9045585999043
..Region III (Central Luzon),0 - ALL ITEMS,46.3667140964624,46.5176842685307,46.4988129970221,46.564862447302,46.5742980830563,46.7488573445102,47.3244311255204,47.305559854011896,47.310277671889,47.8622623635136,48.4000936015067,48.645420131117604,47.1766061653702,49.3813997199503,49.2398651836364,49.1974048227422,49.0983306473224,49.3908353557046,49.8956418685578,50.0135873154862,50.1032258551517,50.2825029344827,50.1692753054316,50.2447603914657,50.1739931233087,49.7659018769367,50.3343989311312,49.9994338618547,50.0654833121346,50.0749189478889,50.1881465769401,50.4381909244281,50.4664978316909,51.1175566987353,50.7448490864418,51.3062694138206,51.1269923344895,50.9854577981755,50.5706829764776,51.1930417847694,51.2260665099093,51.3204228674519,51.3392941389605,51.4949821289059,52.207372628353,52.3253180752812,52.3819318898069,52.3300358931584,52.2168082641073,52.3583428004212,52.4762882473495,51.9058254357062,53.3302132831106,53.1792431110424,53.4009805512676,53.5094903624417,53.7972772529468,54.8776575468102,56.113725830619,56.5053047144211,56.750631244032,56.8827301445917,56.8780123267146,57.9206500775609,55.2621597037966,58.5056594943254,58.4396100440456,58.5056594943254,58.6896543915336,59.0104660071787,59.5058368842776,60.0955641189192,60.4163757345642,61.0155386049602,61.3929640351308,61.9826912697724,62.0534585379294,59.9677898847469,62.5582650507826,63.1338388317928,63.350858454141,63.3791653614037,63.5961849837519,63.7282838843116,64.0160707748167,64.8511245390692,64.8652779927006,64.9030205357176,65.0634263435402,64.8983027178405,64.028651622489,65.2143965156085,64.9407630787348,64.7190256385095,64.737896910018,65.1577827010829,65.5729506742705,65.7710990251101,65.8890444720385,66.4504647994173,67.15341966311,67.8799636161885,68.3517454039018,65.9865460414992,69.0216755424547,69.4745860586595,69.9510856642499,71.6259110106321,74.074458488864,75.8766649179289,77.8392771548162,78.7969941838742,78.5044894754919,77.8156880654305,77.2967280989459,76.5135703313418,74.7325940827241,76.5654663279902,77.2401142844203,77.3108815525773,77.3203171883315,77.4241091816284,77.9147622408503,78.579974561526,78.8205832732598,79.0611919849936,79.7075330341608,80.9200122285839,81.0757002185293,78.4950538397376,80.8681162319355,80.7596064207614,80.1368544609799,80.6510966095874,80.7171460598673,81.2313882084748,81.4625612844543,81.4672791023314,81.3729227447887,81.028522039758,81.6559918174167,82.4863277637921,81.1531510620123,82.8920601012255,84.0715145705087,84.0243363917374,84.2130491068227,84.260227285594,84.5904745369933,85.1566126822494,85.0622563247067,85.1566126822494,86.4776016878462,86.8078489392455,86.2417107939899,84.9128587585974
..Region IV-A (CALABARZON),0 - ALL ITEMS,46.7526250158476,46.7857392903705,46.5681312006479,46.5539393687094,46.634359749694,46.6863964668015,46.8425066181243,47.1452656994776,47.3202982933849,48.081926607414204,48.4319917952289,49.8890198742415,47.3076833316619,50.1302810171948,50.2154320088254,50.1113585746103,50.0309381936258,50.0924361320257,50.5134604795325,50.8256807821781,50.8351420034703,50.9912521547931,51.0480194825469,51.1047868103006,51.1993990232235,50.5915155551939,51.4406601661769,51.2372439083927,51.3271255106694,51.4737744406999,51.5447336003921,51.5494642110382,51.5683866536228,51.8474926817454,51.7670723007609,51.6819213091302,51.6488070346072,51.6204233707304,51.5589254323305,51.7576110794686,51.9137212307913,51.7576110794686,51.8947987882068,51.9231824520837,52.4672026763903,52.4955863402671,52.5428924467286,52.5760067212516,52.7368474832206,52.9449943516509,53.143679998789,52.3461778873597,53.7113532763263,53.6829696124495,53.9336919766952,53.7917736573108,53.9526144192797,54.4682509797094,54.9176589910932,55.1683813553389,55.6225199773687,55.8353974564453,55.9347402800143,56.2091156974907,54.7690389732935,56.5355278320747,56.8004420282588,56.8477481347202,56.8855930198894,57.1315847734889,57.3208091993347,57.5904540061649,57.9168661407489,58.1723191156407,58.8109515528703,59.8848001695451,59.9983348250526,57.8246192331491,60.4004367299749,61.4364404614805,61.5736281702187,61.4600935147112,61.5452445063419,61.8243505344644,61.9568076325564,62.3872932013556,62.7231665572319,62.8367012127393,63.0495786918159,63.0448480811698,62.0198824411717,63.186766400554,63.0401174705235,63.0164644172929,63.0353868598774,63.0826929663389,63.3144928879999,63.5084479244918,63.5888683054764,64.1281579191369,64.6106802050436,65.0269739419043,65.5000350065188,63.7532570254299,66.2190878247328,66.6117285083628,67.0989814049157,69.038531769835,70.0603436694022,70.9260454176467,72.9507467741966,73.7927954692104,73.5988404327184,73.7502199733951,73.0075141019504,72.5486448692743,70.80029001797,72.4209183818284,72.6432570821972,72.9223631103197,73.2014691384423,73.5941098220723,74.2611259231787,74.6348441642241,74.6726890493933,75.1552113353,75.5525826295761,76.3804394926515,76.4419374310513,74.3234122966862,76.5365496439743,77.1278759747423,77.4826717732031,77.5678227648338,77.3738677283419,77.4732105519109,77.5536309328953,77.8658512355409,78.0408838294483,77.705010473572,78.2726837511093,78.8545488605851,77.6545506266798,79.6634832810759,81.0826664749193,81.5084214330723,82.6910740946084,82.123400817071,82.3126252429168,82.3126252429168,82.3126252429168,82.4545435623012,82.7856863075314,83.7318084367602,83.495277904453,82.2061865033786
..MIMAROPA Region,0 - ALL ITEMS,46.2021314684889,46.5735006208531,46.7163349102239,46.9734366310914,46.8306023417206,47.1257932064203,47.6257132192183,47.9589932277503,48.4017795247998,48.6779258175835,49.0635783988848,49.1826069733605,47.6110330283663,50.5204881504674,50.5966664381318,50.7347395845236,50.7252172985656,50.8299624441042,50.9299464466638,51.2679875981748,51.3679716007344,51.4060607445666,51.4965224611681,51.6869681803293,51.7345796101196,51.1080925464624,51.7441018960776,51.8059967548049,51.9678756160919,51.986920188008,51.3727327437134,51.5250893190423,51.5441338909584,52.5249293446382,52.9724767846668,52.7725087795476,52.9772379276458,52.2297384799384,52.1186451437611,52.5915853463446,52.329722482498,52.3916173412254,52.5868242033656,52.66300249103,52.8391647812541,52.9153430689185,53.0962665021216,53.162922503828,53.2105339336183,53.1200722170167,53.2867122212827,52.8494805910419,53.2438619344714,53.2152950765973,53.4676356544857,53.5342916561922,53.7009316604582,54.3960585353963,55.21021398481,55.2911534154535,55.5815831371742,55.7577454273983,56.1862482955108,56.6290345925605,54.6845044475424,56.9099420283231,57.21941632196,57.2860723236663,57.6336357611354,58.3811352088428,58.7667877901441,59.6285546693481,60.2475032566218,60.8331238430423,60.9521524175179,61.2044929954065,61.3949387145676,59.2048129442146,61.9329478711978,62.2186164499395,62.5614187444295,62.8328038942341,63.0280107563742,63.4517524815078,63.5422141981093,63.7707490611026,64.008806210054,64.3182805036908,64.3325639326279,64.3849365053972,63.3652583840554,64.5991879394535,64.523009651789,64.5610987956213,64.6325159403067,64.8229616594679,65.0514965224611,65.4419102467415,65.6942508246299,66.6702851353307,67.379695439206,67.6129914451783,68.1033891720182,65.757732731017,68.4795194673614,68.7270989022708,69.2222577720898,72.4598349978289,74.1119516115517,75.7735905112325,76.6020293895834,77.4971242696407,76.9067425402412,76.1592430925338,74.3690533324192,74.0738624677195,73.6985256962061,74.6928110549931,74.9403904899026,75.2879539273716,75.6355173648407,75.7116956525051,76.2877939529675,76.3068385248837,76.7496248219333,77.040054543654,77.2781116926054,77.9399105666903,78.0684614271241,76.3282636682893,78.739782587167,78.6683654424815,79.2349414569859,78.9540340212233,79.0635403097409,79.1063905965522,79.4777597489164,80.2109757676867,80.1824089098125,80.2204980536447,80.5775837770719,80.8632523558135,79.6082944189247,82.1773278180254,82.9867221244601,82.9391106946698,82.7010535457184,82.2725506776059,82.129716388235,82.3201621073962,82.5582192563475,82.7486649755087,83.0343335542503,83.3676135627823,83.3676135627823,82.7169240223152
..Region V (Bicol Region),0 - ALL ITEMS,45.4744593586876,45.7494407158836,45.9451901565996,46.0197613721104,46.0710290827741,46.2760999254288,46.6116703952274,46.9985085756898,47.1010439970171,47.2222222222222,47.6603281133482,48.1310589112602,46.6050677355208,48.6996644295302,48.8581282624907,48.741610738255,48.7136465324385,48.741610738255,49.0445563012677,49.43139448173,49.4546979865772,49.6737509321402,49.6318046234154,49.6085011185682,49.8368754660701,49.2030201342282,50.1584638329605,50.186428038777,50.3961595824012,50.1584638329605,50.097874720358,50.2330350484713,49.878821774795,50.6198732289336,50.9461222967935,51.1045861297539,51.0486577181208,51.1744966442953,50.5002485707184,50.876211782252,50.9694258016406,50.908836689038,51.5380313199105,51.6219239373602,51.7570842654735,51.9388516032811,52.0041014168531,52.0646905294556,52.1392617449664,52.2417971662938,52.5214392244594,51.7151379567487,53.0247949291574,53.2065622669649,53.4535794183445,53.6446681580909,53.9522744220731,54.5581655480984,55.4157345264728,55.6907158836689,55.9284116331097,56.0262863534675,56.3851603281133,56.8139448173005,54.8416915237385,57.0236763609247,57.2380686055183,57.2846756152125,57.3965324384788,57.5782997762863,57.8998881431768,58.6595824011931,59.3167412378822,59.6756152125279,59.9179716629381,60.2488814317674,60.4632736763609,58.5586005468556,60.9200223713647,61.4233780760627,61.5352348993289,61.6610738255034,61.7682699478002,62.0339299030574,62.2017151379568,62.4720357941835,62.4440715883669,62.6258389261745,62.938105891126,62.9614093959732,62.0820904797415,63.604586129754,63.7630499627144,63.6139075316928,63.6278896346011,63.7211036539896,63.8655853840418,63.9028709917972,63.9215137956749,64.3875838926175,64.9608501118568,65.6785980611484,66.2844891871738,64.2776690280885,67.086129753915,67.337807606264,68.815249813572,69.7706935123043,70.9079045488441,72.7255779269202,74.9953392990306,74.4407158836689,74.244966442953,73.872110365399,73.5178970917226,73.2615585384042,71.7479958985832,74.2216629381059,74.9021252796421,75.2097315436242,75.032624906786,75.0093214019388,75.4334451901566,75.5080164056675,75.9181580909769,76.0113721103654,76.477442207308,77.1718866517524,77.5074571215511,75.7002703206562,77.954884414616,78.3696868008949,78.5281506338554,78.6819537658464,78.4862043251305,78.4302759134974,78.546793437733,79.0594705443699,79.0641312453393,79.1387024608501,79.399701715138,79.9496644295302,78.8008016405668,81.1894108873975,81.3292319164802,81.6088739746458,81.7953020134228,81.5156599552573,81.5156599552573,81.6088739746458,81.8885160328113,81.9351230425056,82.1215510812826,82.4478001491425,82.4011931394482,81.7797663435248
