Geolocation,Commodity Description,Consumer Price Index for Bottom 30% Income Households Weights: (2018=100)
PHILIPPINES,0 - ALL ITEMS,100.00000000
PHILIPPINES,01 - FOOD AND NON-ALCOHOLIC BEVERAGES,54.93042363
PHILIPPINES,01.1 - FOOD,51.38033314
PHILIPPINES,01.1.1 - Cereals and cereal products (ND),23.64338525
PHILIPPINES,01.1.1.1 - Cereals (ND),19.61642771
PHILIPPINES,01.1.1.12 - Rice,17.86845492
PHILIPPINES,01.1.1.16 - Corn,1.74797279
PHILIPPINES,"01.1.1.20 - Flour, Bread and Other Bakery Products, Pasta Products,  and Other Cereals",4.02695754
PHILIPPINES,01.1.1.2 - Flour of cereals (ND),0.11773421
PHILIPPINES,01.1.1.3 - Bread and bakery products (ND),2.35864647
PHILIPPINES,01.1.1.4 - Breakfast cereals (ND),0.00841155
PHILIPPINES,"01.1.1.5 - Macaroni, noodles, couscous and similar pasta products (ND)",1.00301718
PHILIPPINES,01.1.1.9 - Other cereal and grain mill products (ND),0.53914813
PHILIPPINES,01.1.2 - Meat and other parts of slaughtered land animals (ND),6.14848310
PHILIPPINES,"01.1.2.2 - Meat, fresh, chilled or frozen (ND)",4.60550681
PHILIPPINES,"01.1.2.3 - Meat, dried, salted, in brine or smoked (ND)",0.01194945
PHILIPPINES,"01.1.2.4 - Offal, blood and other parts of slaughtered animals, fresh, chilled or frozen, dried, salted, in brine or smoked (ND)",0.13389738
PHILIPPINES,"01.1.2.5 - Meat, offal, blood and other parts of slaughtered animals' preparations (ND)",1.39712946
PHILIPPINES,01.1.3 - Fish and other seafood (ND),8.49609019
PHILIPPINES,"01.1.3.1 - Fish, live, fresh, chilled or frozen (ND)",6.28855605
PHILIPPINES,"01.1.3.2 - Fish, dried, salted, in brine or smoked (ND)",0.95172080
PHILIPPINES,01.1.3.3 - Fish preparations (ND),0.78852721
PHILIPPINES,"01.1.3.4 - Other seafood, live, fresh, chilled or frozen (ND)",0.45952842
PHILIPPINES,01.1.3.6 - Other seafood preparations (ND),0.00775771
PHILIPPINES,"01.1.4 - Milk, other dairy products and eggs (ND)",3.35364483
PHILIPPINES,01.1.4.1 - Raw and whole milk (ND),0.00688637
