Geolocation,Commodity Group,Weights
PHILIPPINES,ALL ITEMS,100.000000
PHILIPPINES,..FOOD AND NON-ALCOHOLIC BEVERAGES,38.337727
PHILIPPINES,….Food,35.456828
PHILIPPINES,……Bread and cereals (ND),13.452799
PHILIPPINES,……..Rice,9.593564
PHILIPPINES,……..Corn,0.565360
PHILIPPINES,"……..Other Cereals, Flour, Cereal Preparation, Bread,  Pasta and Other Bakery Products",3.293875
PHILIPPINES,……Meat (ND),6.249372
PHILIPPINES,……Fish  and Seafood (ND),5.741835
PHILIPPINES,"……Milk, cheese and eggs (ND)",3.082247
PHILIPPINES,……Oils and fats (ND),0.784413
PHILIPPINES,……Fruit (ND),1.399311
PHILIPPINES,……Vegetables (ND),2.602285
PHILIPPINES,"……Sugar, jam, honey, chocolate and confectionery (ND)",1.026876
PHILIPPINES,……Food products n.e.c. (ND),1.117691
PHILIPPINES,….Non-Alcoholic Beverages,2.880899
PHILIPPINES,"……Coffee, tea and cocoa (ND)",1.465644
PHILIPPINES,"……Mineral water, soft drinks, fruit and vegetable juices (ND)",1.415255
PHILIPPINES,".. ALCOHOLIC BEVERAGES, TOBACCO AND OTHER VEGETABLE-BASED TOBACCO PRODUCTS",1.583831
PHILIPPINES,….Alcoholic Beverages,0.651317
PHILIPPINES,……Spirits (ND),0.317931
PHILIPPINES,……Wine (ND),0.055171
PHILIPPINES,……Beer (ND),0.278216
PHILIPPINES,….Tobacco,0.931716
PHILIPPINES,……Tobacco (ND),0.931716
PHILIPPINES,….Other Vegetable-Based Tobacco Products,0.000798
PHILIPPINES,……Other vegetable-based tobacco products,0.000798
PHILIPPINES,NON-FOOD,60.078442
PHILIPPINES,..CLOTHING AND FOOTWEAR,2.932420
PHILIPPINES,….Clothing,2.025955
PHILIPPINES,……Clothing materials (SD),0.006279
PHILIPPINES,……Garments (SD),1.967189
PHILIPPINES,……Other articles of clothing and clothing accessories (SD),0.019906
PHILIPPINES,"……Cleaning, repair and hire of clothing (S)",0.032581
PHILIPPINES,….Footwear,0.906465
PHILIPPINES,……Shoes and other footwear (SD),0.905007
PHILIPPINES,……Repair and hire of footwear (S),0.001458
PHILIPPINES,"..HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS",22.035269
PHILIPPINES,….Actual Rentals For Housing,12.883705
PHILIPPINES,……Actual rentals paid by tenants (S),12.883705
PHILIPPINES,….Maintenance And Repair Of The Dwelling,0.547846
PHILIPPINES,……Materials for the maintenance and repair of the dwelling (ND),0.430100
PHILIPPINES,……Services for the maintenance and repair of the dwelling (S),0.117746
PHILIPPINES,….Water Supply And Miscellaneous Services Relating To The Dwelling,1.168629
PHILIPPINES,……Water supply (ND),1.168629
PHILIPPINES,"….Electricity, Gas And Other Fuels",7.435089
PHILIPPINES,……Electricity (ND),4.800195
PHILIPPINES,……Gas (ND),1.284776
PHILIPPINES,……Liquid fuels (ND),0.134050
PHILIPPINES,……Solid fuels (ND),1.216068
PHILIPPINES,"..FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE",2.947934
PHILIPPINES,"….Furniture And Furnishings, Carpets And Other Floor Coverings",0.188136
PHILIPPINES,……Furniture and furnishings (D),0.184339
PHILIPPINES,……Carpets and other floor coverings (D),0.003797
PHILIPPINES,….Household Textiles,0.081831
PHILIPPINES,……Household textiles (SD),0.081831
PHILIPPINES,….Household Appliances,0.314291
PHILIPPINES,……Major household appliances whether electric or not (D),0.243162
PHILIPPINES,……Small electric household appliances (SD),0.065397
PHILIPPINES,……Repair of household appliances (S),0.005733
PHILIPPINES,"….Glassware, Tableware And Household Utensils",0.027280
PHILIPPINES,"……Glassware, tableware and household utensils (SD)",0.027280
PHILIPPINES,….Tools And Equipment For House And Garden,0.008093
PHILIPPINES,……Major tools and equipment (D),0.002528
PHILIPPINES,……Small tools and miscellaneous accessories (SD),0.005565
PHILIPPINES,….Goods And Services For Routine Household Maintenance,2.328303
PHILIPPINES,……Non-durable household goods (ND),1.255072
PHILIPPINES,……Domestic services and household services (S),1.073230
PHILIPPINES,..HEALTH,3.894710
PHILIPPINES,"….Medical Products, Appliances And Equipment",1.993672
PHILIPPINES,……Pharmaceutical Products (ND),1.928352
PHILIPPINES,……Other medical products (ND),0.027849
PHILIPPINES,……Therapeutic appliances and equipment (D),0.037471
PHILIPPINES,….Outpatient Services,0.631140
PHILIPPINES,……Medical services,0.523550
PHILIPPINES,……Dental services (S),0.054833
PHILIPPINES,……Paramedical services (S),0.052757
PHILIPPINES,….Hospital Services,1.269899
PHILIPPINES,……Hospital services (In-Patient Services),1.269899
PHILIPPINES,..TRANSPORT,8.057915
PHILIPPINES,….Purchase Of Vehicles,0.762235
