Region,At Current Prices 2000,At Current Prices 2001,At Current Prices 2002,At Current Prices 2003,At Current Prices 2004,At Current Prices 2005,At Current Prices 2006,At Current Prices 2007,At Current Prices 2008,At Current Prices 2009,At Current Prices 2010,At Current Prices 2011,At Current Prices 2012,At Current Prices 2013,At Current Prices 2014,At Current Prices 2015,At Current Prices 2016,At Current Prices 2017,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Constant 2018 Prices 2000,At Constant 2018 Prices 2001,At Constant 2018 Prices 2002,At Constant 2018 Prices 2003,At Constant 2018 Prices 2004,At Constant 2018 Prices 2005,At Constant 2018 Prices 2006,At Constant 2018 Prices 2007,At Constant 2018 Prices 2008,At Constant 2018 Prices 2009,At Constant 2018 Prices 2010,At Constant 2018 Prices 2011,At Constant 2018 Prices 2012,At Constant 2018 Prices 2013,At Constant 2018 Prices 2014,At Constant 2018 Prices 2015,At Constant 2018 Prices 2016,At Constant 2018 Prices 2017,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020
..National Capital Region (NCR),63023,69231,73480,79384,88900,99596,107169,114920,126263,129423,135565,148989,159966,170950,177128,185255,196454,210168,228147,244668,225643,123527,125676,128679,133617,140931,145307,147813,153673,159870,163512,164795,172776,180694,188124,194522,203564,214025,221045,228147,239835,216824
..Cordillera Administrative Region (CAR),42309,44806,47202,49670,55102,59285,62873,66182,73292,72790,74706,79261,87211,93562,98292,103872,110175,115653,124841,131679,123371,80574,80432,83171,83575,85721,86608,87847,90236,91395,89101,89583,92699,98150,102659,105505,110500,115489,119584,124841,129731,118236
..Region I (Ilocos Region),32282,34614,37094,39124,41962,48284,53213,56385,62591,62564,64384,68680,74135,80837,86005,91268,97894,103761,114290,121262,113170,60916,61999,64973,66543,67293,71356,74861,76912,78200,76753,77960,80725,85187,91126,94235,98906,104634,109551,114290,119069,108577
..Region II (Cagayan Valley),24647,26444,28044,28991,32941,35223,38759,40775,46385,47158,50140,55260,59651,62649,66044,69350,73424,78936,87647,94126,88143,49808,50674,52942,53738,57812,58241,60868,62196,63683,62506,63561,66738,70062,72387,74427,77054,79509,83004,87647,92788,84082
..Region III (Central Luzon),42566,44957,47272,49382,54153,58470,63133,66459,75379,76183,81923,88438,94989,100843,110879,118601,129296,139842,151004,160106,149736,82264,84117,87658,88605,90377,92388,94881,96749,98844,98114,100906,103839,107876,112412,120798,127491,136520,143765,151004,156501,142950
..Region IV-A (CALABARZON),48298,52357,54853,56909,61874,66038,70728,73329,80444,82027,87320,94214,101772,105230,111646,117418,123526,131837,142974,151565,139906,94702,95308,94954,95722,97365,97897,99538,100046,102444,102746,105361,107514,114417,116465,120243,126134,132051,137683,142974,148586,133986
..MIMAROPA Region,25077,27395,28997,32717,34796,38073,41740,43870,50212,51318,52742,58639,64535,69407,74496,79184,84739,90822,101036,106393,100660,50691,50181,50515,55534,56427,57937,60478,61156,63040,63740,65294,68577,73667,77828,81142,85525,90001,95156,101036,104960,95469
..Region V (Bicol Region),22843,25004,26870,28892,32947,36532,39087,41342,45855,48166,50954,56276,59777,64367,67757,72748,77234,84357,93461,99509,93777,48334,49396,51307,53343,56427,59267,60590,61609,62359,63712,65309,68708,71713,74868,76004,81178,85655,89883,93461,98056,88818
..Region VI (Western Visayas),22719,24322,26055,28330,31765,34953,37656,40188,46428,49936,51898,56870,61593,66859,72787,78854,84768,91196,100662,106977,99969,47918,48308,50208,52648,55851,57566,59826,61668,63096,65616,66476,69549,73004,77357,80962,86010,90904,96258,100662,105099,95370
..Region VII (Central Visayas),25345,27267,29233,31565,35538,39129,42373,45228,50415,49705,54188,59440,65044,70715,78230,83359,90087,96360,106346,112211,103883,56410,55888,57889,60021,63420,66174,67624,70098,70450,69034,71269,74477,78361,82324,87789,92364,97288,101456,106346,110259,100409
..Region VIII (Eastern Visayas),23657,25694,27630,30642,33574,36125,38630,41699,45479,45177,45558,49869,52882,55648,60458,63836,70234,75921,83419,88395,82371,47127,49070,51259,55109,57141,58804,59984,62235,60176,58336,58769,61311,63663,66220,67164,70040,76342,79833,83419,87033,79116
..Region IX (Zamboanga Peninsula),18739,20424,21870,23546,25592,28435,30467,33636,38108,38435,40782,45369,48172,51191,57374,60524,65181,69000,76601,81779,76423,41341,43255,45356,47323,48020,49815,50701,53664,53526,52990,53358,55401,58044,61178,64739,66971,70332,73031,76601,81520,74665
..Region X (Northern Mindanao),23833,26004,27872,30169,33284,35684,38635,42595,48924,51506,54728,60697,66081,70487,75907,78103,82128,86949,94351,100097,93777,52776,53975,55907,58200,59885,60295,61899,65344,66898,68804,70494,73721,77494,81039,83395,85152,88656,91220,94351,97941,89612
..Region XI (Davao Region),26614,29255,31097,33747,39035,42975,44344,47214,51454,54336,57155,62405,66267,69578,76007,81963,90406,98495,109264,114796,106707,58794,61071,61295,64709,68980,70560,69636,71550,71148,73018,73981,75356,78589,80956,86584,91387,98129,103680,109264,113693,103541
..Region XII (SOCCSKSARGEN),24727,26991,28839,31241,34680,36608,40127,43838,49509,51652,53631,57132,61823,65816,69946,71589,76850,80830,88756,93776,87914,47467,50176,54757,57162,59278,59008,61987,65114,66469,67746,68543,69874,73219,75752,77664,78812,82388,85515,88756,91779,83340
..Region XIII (Caraga),24101,26073,28143,30569,33076,35458,37530,39326,42814,43649,47326,52139,55893,58941,63118,66934,70315,74503,81543,85471,81017,52442,54543,57226,60018,61220,60914,61368,62299,61082,60529,61233,63266,65419,67816,69064,71845,74357,77285,81543,84486,77040
..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),19909,21849,23740,26292,29385,32330,34357,37929,40791,42272,44624,47045,51053,53489,54063,54622,55622,58251,62688,66551,62843,47990,49776,52881,55892,57916,58811,58265,60940,59353,59346,59217,60264,62423,64136,63197,62174,61732,62160,62688,65210,59783
Philippines,34563,37482,39839,42603,47222,51751,55716,59274,65931,67501,71252,77658,83707,88987,94917,100222,107081,114725,125290,133177,123915,69815,71130,73298,75754,78701,80660,82482,84875,86556,87172,88719,92024,96597,100492,104531,109433,115317,120264,125290,130746,118723
