Region,At Current Prices 2000,At Current Prices 2001,At Current Prices 2002,At Current Prices 2003,At Current Prices 2004,At Current Prices 2005,At Current Prices 2006,At Current Prices 2007,At Current Prices 2008,At Current Prices 2009,At Current Prices 2010,At Current Prices 2011,At Current Prices 2012,At Current Prices 2013,At Current Prices 2014,At Current Prices 2015,At Current Prices 2016,At Current Prices 2017,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Constant 2018 Prices 2000,At Constant 2018 Prices 2001,At Constant 2018 Prices 2002,At Constant 2018 Prices 2003,At Constant 2018 Prices 2004,At Constant 2018 Prices 2005,At Constant 2018 Prices 2006,At Constant 2018 Prices 2007,At Constant 2018 Prices 2008,At Constant 2018 Prices 2009,At Constant 2018 Prices 2010,At Constant 2018 Prices 2011,At Constant 2018 Prices 2012,At Constant 2018 Prices 2013,At Constant 2018 Prices 2014,At Constant 2018 Prices 2015,At Constant 2018 Prices 2016,At Constant 2018 Prices 2017,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021
..National Capital Region (NCR),627837965,702921580,760130614,836438145,953817118,1087732114,1191070996,1299367676,1452066637,1513422756,1611487158,1799929144,1963668846,2131717572,2243223059,2382232560,2567031522,2787843425,3069418917,3335681347,3114371438,3235781010,1230576204,1276021597,1331158835,1407867192,1512069344,1586960706,1642789431,1737541239,1838561140,1912046002,1958946001,2087303321,2218121501,2345876615,2463499528,2617678399,2796634532,2932115593,3069418917,3269787573,2992629080,3006050688
..Cordillera Administrative Region (CAR),57930978,62610817,67252860,72099184,81425660,89113160,96060507,102708497,115461329,116322309,121030573,130101519,144958859,157386739,167242240,178673007,191635461,203284428,221618941,235953560,222983280,251160049,110325792,112392020,118502557,121313803,126671881,130182804,134218020,140037803,143979750,142388538,145132156,152159613,163142387,172690250,179515712,190075487,200878707,210194677,221618941,232462011,213701579,230771582
..Region I (Ilocos Region),135875873,147630064,160270554,171210311,185949709,216612929,241634932,259102485,291017183,294259399,306273495,330371594,360557543,397419261,427346319,458269730,496930471,532141194,591838573,633692129,596390020,649807047,256400819,264424484,280728488,291196898,298199645,320123156,339936796,353431320,363593513,360999499,370854032,388308855,414309519,448005292,468240919,496623637,531142160,561839220,591838573,622229395,572183036,598143282
..Region II (Cagayan Valley),69496420,75653267,81387629,85337140,98334420,106611018,118926170,126815846,146209833,150623888,162253227,181146906,198063558,210668638,224881936,239082408,256519644,279253524,313751403,340705585,322348349,372288378,140440798,144971595,153645980,158182172,172577822,176278964,186766535,193436408,200735339,199643914,205683803,218773142,232632949,243413131,253424732,265640923,277777467,293643652,313751403,335863421,307495760,335120721
..Region III (Central Luzon),350476082,378540968,406911124,434436596,486786222,536863874,591958058,636163549,736486426,759513165,833188443,917345483,1004730141,1087386499,1218582012,1328222569,1478820044,1631625162,1795482249,1938163994,1843477477,1947938987,677333354,708262282,754553266,779499949,812414819,848296938,889628431,926107270,965745215,978159416,1026259362,1077099312,1141046894,1212136724,1327599890,1427783176,1561437393,1677396573,1795482249,1894517940,1759921692,1779945842
..Region IV-A (CALABARZON),452417513,507207183,549072930,588118439,659677642,725763402,800675711,854493299,964392931,1010973743,1105767103,1225147263,1358394490,1440809038,1567346697,1689312907,1820976934,1988798933,2204507930,2386035310,2246113561,2448523921,887095441,923300946,950478601,989218825,1038070050,1075885207,1126812611,1165825552,1228135747,1266322772,1334228015,1398095858,1527164100,1594633140,1688040779,1814710823,1946647841,2076981471,2204507930,2339147427,2151056691,2251469592
..MIMAROPA Region,57824640,64437066,69536859,79945890,86599868,96456087,107598194,115015143,133835198,138998041,145112087,163822139,183011296,199715451,217428907,234343473,254760769,277129313,312642758,333595684,319522682,353802031,116890403,118034091,121138356,135700097,140434927,146782000,155901940,160335954,168027728,172644424,179646802,191586175,208907045,223946282,236825009,253110116,270582530,290353538,312642758,329101861,303045322,320620793
..Region V (Bicol Region),107315403,119331311,130229540,142165713,164553848,185143674,200952938,215564581,242444423,258154472,276780531,309745605,333326449,363530455,387511190,421234366,453017581,500855605,561324804,604161059,575107193,650367592,227076727,235738505,248663116,262474501,281822797,300360136,311503081,321241776,329698263,341477666,354759500,378173592,399881294,422838192,434679624,470043124,502412796,533662743,561324804,595337807,544698704,579933887
..Region VI (Western Visayas),141423543,153664197,167011771,184177611,209386757,233529834,254928416,275591159,322427737,351088326,369297731,409469297,448625805,492496354,542109735,593661050,645120108,701184925,781529178,838256843,790100651,885652696,298288058,305203888,321834395,342276735,368158533,384612657,405013956,422893650,438186072,461327337,473035002,500759862,531740361,569830393,602995209,647539256,691815991,740103203,781529178,823540011,753753705,809941480
..Region VII (Central Visayas),145061343,158980029,173586652,190845256,218732650,245107852,270074896,293258984,332491502,333340275,369470735,411966845,458173945,506146927,568865888,615715097,676694640,735326170,823648807,881258744,826451927,910725407,322866978,325855187,343746090,362886080,390342357,414520110,431020201,454516338,464622688,462974148,485931311,516183111,551980861,589245835,638374250,682228692,730784924,774212155,823648807,865930555,798810717,857994843
