Region,At Current Prices 2000,At Current Prices 2001,At Current Prices 2002,At Current Prices 2003,At Current Prices 2004,At Current Prices 2005,At Current Prices 2006,At Current Prices 2007,At Current Prices 2008,At Current Prices 2009,At Current Prices 2010,At Current Prices 2011,At Current Prices 2012,At Current Prices 2013,At Current Prices 2014,At Current Prices 2015,At Current Prices 2016,At Current Prices 2017,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Constant 2018 Prices 2000,At Constant 2018 Prices 2001,At Constant 2018 Prices 2002,At Constant 2018 Prices 2003,At Constant 2018 Prices 2004,At Constant 2018 Prices 2005,At Constant 2018 Prices 2006,At Constant 2018 Prices 2007,At Constant 2018 Prices 2008,At Constant 2018 Prices 2009,At Constant 2018 Prices 2010,At Constant 2018 Prices 2011,At Constant 2018 Prices 2012,At Constant 2018 Prices 2013,At Constant 2018 Prices 2014,At Constant 2018 Prices 2015,At Constant 2018 Prices 2016,At Constant 2018 Prices 2017,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020
..National Capital Region (NCR),187751910,203345675,199965062,209272597,219661643,232348034,253584837,285248443,311621401,363382868,399533388,414850452,497368088,548834340,578704855,617197606,684495743,746209912,875152015,974198308,1107317880,380385371,384666983,352592876,366714083,378430688,382402207,413474217,445233703,457828106,510196598,527332015,517355501,591354311,627083681,640336448,675579695,731814447,772125271,875152015,960758236,1071832654
..Cordillera Administrative Region (CAR),11226930,11486814,12005143,12117732,11944372,13657979,14489229,14973850,15483945,17030551,18807077,20437341,25136080,26278279,28104453,30202229,33002345,36378037,42613500,45859059,50080038,22745760,21729490,21168337,21234233,20577634,22478526,23624925,23372126,22748711,23911224,24822892,25487187,29885973,30024870,31097554,33059124,35283774,37641422,42613500,45226386,48475168
..Region I (Ilocos Region),16282369,16489021,17579923,18783044,18831215,21070093,27225499,27843359,28056584,29860405,33571210,36274177,44200363,47036867,53756730,61555165,71157734,78630933,92061941,99385309,108973207,32988080,31192116,30998192,32914041,32442212,34677504,44391621,43459665,41220188,41924588,44309623,45237133,52552780,53743087,59481778,67377805,76076817,81361731,92061941,98014187,105481040
..Region II (Cagayan Valley),9911380,10323312,11512934,12379042,12943538,13683858,16083020,17885621,18200745,20961176,22722761,25040756,27767140,28573825,31066470,33853470,37331590,41104872,48620763,52801727,58546828,20080455,19528506,20300439,21692132,22298986,22521119,26223626,27917002,26740181,29429897,29991084,31228056,33014217,32647701,34375024,37055744,39912296,42532416,48620763,52073273,56670630
..Region III (Central Luzon),17484088,17838215,21597181,23142019,27689846,28732466,34548074,41907888,45715471,55005512,61218878,65937422,80972484,91091478,97292867,107052331,119859433,132880776,156661235,172809819,192159223,35422762,33744372,38081713,40552391,47703766,47288364,56331199,65412467,67164282,77228806,80800943,82229844,96273622,104078727,107654478,117178648,128145230,137495634,156661235,170425729,186001268
..Region IV-A (CALABARZON),17876114,19334528,22240844,23557437,24769740,29577139,33741922,46836085,47141014,56713344,63389464,67883618,85803150,91207545,101665806,112381334,127472895,141540394,167423865,185002693,207541820,36217007,36574934,39216667,41280340,42673039,48678542,55016755,73104707,69258661,79626636,83665833,84656924,102017125,104211341,112493131,123011733,136285005,146455995,167423865,182450389,200890913
..MIMAROPA Region,8313044,8565905,9234051,9861238,8969503,11229212,13254737,16089400,17208708,20080899,21815631,22933497,28482641,29544106,31330793,33220310,37022684,41013849,48152999,50509024,56390243,16842227,16204038,16282147,17280116,15452562,18481222,21612065,25113347,25282700,28193972,28793791,28600116,33864924,33756319,34667497,36362692,39582036,42438231,48152999,49812200,54583155
..Region V (Bicol Region),14920631,14962420,15427510,16468217,15580097,18451988,22304241,26850118,27202718,32997222,36501653,39477851,49906277,52795601,57746706,63439139,68506439,75396058,85143886,97437825,108163745,30229199,28304260,27202902,28857706,26841222,30368584,36367429,41909352,39965705,46328739,48177426,49232400,59336923,60322865,63896683,69439988,73242240,78014511,85143886,96093570,104697518
..Region VI (Western Visayas),20431614,22045743,22961401,23637188,23178458,25391309,30122504,31354876,31456697,37971157,42337877,45710590,55722839,57709445,60020773,68184982,78170554,86267471,106471380,116076214,127815018,41394451,41703711,40487205,41420090,39931595,41789433,49115235,48940662,46215568,53312241,55880482,57005182,66252624,65937294,66412936,74634751,83574429,89263481,106471380,114474823,123719044
..Region VII (Central Visayas),11247590,12014348,13330896,13564486,15426225,15515626,18260930,19418432,20874116,23629105,27024660,30024542,38682840,45363064,52494413,60890035,70429733,78414128,93844710,102978808,116075221,22787618,22727422,23506001,23769419,26576133,25535872,29774744,30309509,30667846,33175722,35669030,37443281,45992625,51830644,58085025,66649759,75298491,81137397,93844710,101558109,112355462
