Region,At Current Prices 2000,At Current Prices 2001,At Current Prices 2002,At Current Prices 2003,At Current Prices 2004,At Current Prices 2005,At Current Prices 2006,At Current Prices 2007,At Current Prices 2008,At Current Prices 2009,At Current Prices 2010,At Current Prices 2011,At Current Prices 2012,At Current Prices 2013,At Current Prices 2014,At Current Prices 2015,At Current Prices 2016,At Current Prices 2017,At Current Prices 2018,At Current Prices 2019,At Current Prices 2020,At Current Prices 2021,At Current Prices 2022,At Current Prices 2023,At Constant 2018 Prices 2000,At Constant 2018 Prices 2001,At Constant 2018 Prices 2002,At Constant 2018 Prices 2003,At Constant 2018 Prices 2004,At Constant 2018 Prices 2005,At Constant 2018 Prices 2006,At Constant 2018 Prices 2007,At Constant 2018 Prices 2008,At Constant 2018 Prices 2009,At Constant 2018 Prices 2010,At Constant 2018 Prices 2011,At Constant 2018 Prices 2012,At Constant 2018 Prices 2013,At Constant 2018 Prices 2014,At Constant 2018 Prices 2015,At Constant 2018 Prices 2016,At Constant 2018 Prices 2017,At Constant 2018 Prices 2018,At Constant 2018 Prices 2019,At Constant 2018 Prices 2020,At Constant 2018 Prices 2021,At Constant 2018 Prices 2022,At Constant 2018 Prices 2023
..National Capital Region (NCR),203930819,288023206,312792420,350366278,445396815,364638998,350945836,410794316,541772989,461856608,709295233,720272869,758973608,957586594,1055722012,1072923782,1268840988,1391592148,1640251453,1598461505,960095438,1280579381,1618034678,1722884032,394389396,518257465,526379284,549229849,624639949,578691766,540104342,655900021,747015796,665922506,879979596,795953279,814136171,899258808,943457629,1055777100,1334869204,1364654442,1640251453,1629320588,1111523355,1305582733,1426071625,1469692006
..Cordillera Administrative Region (CAR),13865180,13448285,16806013,19788755,24257807,20432006,25385665,26901466,29704835,32099095,40460952,49944680,29548738,33081560,24485878,29049288,32105379,35881923,32266092,23666821,31273604,24459638,58650273,56367747,16693441,22502720,22453250,27235430,31141922,24912107,23040572,30519731,37535659,41778561,49508407,43410767,29012559,33620165,35098035,30308209,24558165,33059389,32266092,26362454,32880080,29599224,50627094,50574237
..Region I (Ilocos Region),24454284,26821755,29627138,32967294,45222018,39338515,32127165,41310895,50763801,55904854,78634006,84747579,68070088,75736595,88877912,113489548,131580148,163128777,193759545,228616710,172416085,199497344,237714888,264173381,39687128,43485777,38886365,44971470,54054789,44280014,37732652,40788893,59322509,58697675,81386273,82663294,85433538,104875107,120705416,128404394,160871351,181860608,193759545,220744366,163339854,187162196,208828219,223280764
..Region II (Cagayan Valley),32773347,34873457,37349804,40755790,51068600,58370199,68595346,71904291,73649021,75637222,81642816,80940288,79946525,62731146,75028145,77480450,95196604,113995195,134311405,146410694,95318052,92913040,142270057,162690074,29311388,32285658,23368689,23072832,23612068,15942091,25414649,28197142,30195094,32827893,42546603,42835117,52381575,67970385,83988890,92410049,102800111,120125423,134311405,147930411,92662193,91345922,127310832,139503679
..Region III (Central Luzon),8037710,35506256,63533211,64973784,68231368,92419886,84806309,92665051,138098487,152676627,160676585,216166904,244530920,274814176,273085629,351251636,421665953,513606387,590017254,610978504,283879955,478244583,665695469,660738997,105208859,151916520,172481978,164862889,148342894,135875034,125153632,111457152,159315095,140717457,206788809,254138225,309828802,353024974,371092410,406615615,473831044,585347897,590017254,610620576,327860976,467526097,525406768,569994062
..Region IV-A (CALABARZON),18214696,76941117,108934789,111408235,117422285,173261985,120393803,119653336,149756689,137230627,201552417,217059209,231742975,290367514,320280912,303867486,517220942,630500072,712401187,766853055,298782200,515833776,754691616,779374913,158086124,175597466,228217678,207974632,205155600,219170883,178255466,151747550,157509961,138602709,214595650,175971083,160028504,288993216,323836715,451566485,630840253,767416654,712401187,770805671,355383516,517171273,606514627,665033681
..MIMAROPA Region,10234683,11200127,14899234,12029760,9464169,15527012,10027999,3017260,22411802,18093221,19103351,28886357,24934114,21427705,41529678,36665567,36490353,55532730,78995250,88406153,45361975,76147094,97441968,92355692,4325056,7181202,18417940,17676737,18742275,25289417,17876162,22778729,29238820,38541888,34424120,34062851,28545616,32125182,47669461,50527960,49834380,49231467,78995250,86362820,56825156,69762374,81355500,81436753
..Region V (Bicol Region),23129693,23889005,26003348,23452407,28387601,30110212,31513023,37647782,47880014,49960679,63983684,59544473,69740827,83011228,98493385,104978578,134334431,142545107,181534196,202053823,153689482,168229415,240760497,251911138,20718407,27194411,31093430,34257652,35348673,34776024,30888320,28804206,47779311,43025342,57071660,51953786,65112644,89509800,108718089,125633690,142075341,160202016,181534196,198313314,148804917,161135165,207199002,215573797
..Region VI (Western Visayas),46342201,44831024,46626457,45601881,48709503,44867130,52570827,61931227,73382845,65937469,78853405,93884238,95477787,101336678,77105459,95430431,119446427,132134843,155804331,176527730,133826656,132503399,184981510,199346499,60875074,63142302,52665454,55124865,58647504,63311467,48386409,56525231,77906746,70593314,83817826,90978389,97801511,84268564,86501669,91657960,90785992,111771723,155804331,171809008,137759556,138843991,159405835,180033615
..Region VII (Central Visayas),65471807,74574164,72065505,70933637,76422804,64122060,52741677,51229324,66644077,71085390,97617542,117435296,113821899,126595075,158426246,158168742,216329082,220634348,257710115,303559170,196171280,248525868,312499509,311159451,113896626,120031453,105269279,99047431,91510622,63529763,27370052,38377387,82273127,79196242,111251760,122005475,157231413,174373898,183162167,195165138,211462656,230970904,257710115,299306342,198939524,239058147,257871625,273507813
